	Saccharomyces_cerevisiae	Saccharomyces_uvarum
OG0003862	YOR104W	genemark-Sbay_8-processed-gene-2.112-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-2.112&CDS=1-843
OG0003863	YOR106W	genemark-Sbay_8-processed-gene-2.113-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-2.113&CDS=1-867
OG0003864	YOR107W	genemark-Sbay_8-processed-gene-2.114-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-2.114&CDS=1-1014
OG0003865	YOR114W	genemark-Sbay_8-processed-gene-3.82-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-3.82&CDS=1-879
OG0003866	YOR115C	genemark-Sbay_8-processed-gene-3.83-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-3.83&CDS=1-804
OG0003867	YOR116C	genemark-Sbay_8-processed-gene-3.84-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-3.84&CDS=1-4380
OG0003868	YOR117W	genemark-Sbay_8-processed-gene-3.85-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-3.85&CDS=1-1302
OG0003869	YOR118W	genemark-Sbay_8-processed-gene-3.86-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-3.86&CDS=1-1701
OG0003870	YOR119C	genemark-Sbay_8-processed-gene-3.100-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-3.100&CDS=1-1458
OG0003871	YOR120W	genemark-Sbay_8-processed-gene-3.87-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-3.87&CDS=1-936
OG0003872	YOR122C	maker-Sbay_8-augustus-gene-3.126-mRNA-1_1&gene=maker-Sbay_8-augustus-gene-3.126&CDS=1-378
OG0003873	YOR124C	augustus_masked-Sbay_8-processed-gene-3.19-mRNA-1_1&gene=augustus_masked-Sbay_8-processed-gene-3.19&CDS=1-5220
OG0003874	YOR125C	maker-Sbay_8-augustus-gene-3.127-mRNA-1_1&gene=maker-Sbay_8-augustus-gene-3.127&CDS=1-1422
OG0003875	YOR127W	genemark-Sbay_8-processed-gene-3.88-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-3.88&CDS=1-3021
OG0003876	YOR128C	genemark-Sbay_8-processed-gene-3.106-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-3.106&CDS=1-1713
OG0003877	YOR129C	augustus_masked-Sbay_8-processed-gene-3.22-mRNA-1_1&gene=augustus_masked-Sbay_8-processed-gene-3.22&CDS=1-3501
OG0003878	YOR131C	genemark-Sbay_8-processed-gene-3.109-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-3.109&CDS=1-654
OG0003879	YOR132W	genemark-Sbay_8-processed-gene-3.89-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-3.89&CDS=1-1653
OG0003880	YOR134W	genemark-Sbay_8-processed-gene-3.90-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-3.90&CDS=1-1212
OG0003881	YOR136W	genemark-Sbay_8-processed-gene-3.91-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-3.91&CDS=1-1107
OG0003882	YOR137C	genemark-Sbay_8-processed-gene-3.110-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-3.110&CDS=1-1878
OG0003883	YOR138C	augustus_masked-Sbay_8-processed-gene-3.25-mRNA-1_1&gene=augustus_masked-Sbay_8-processed-gene-3.25&CDS=1-1998
OG0003884	YOR140W	genemark-Sbay_8-processed-gene-3.92-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-3.92&CDS=1-2274
OG0003885	YOR141C	genemark-Sbay_8-processed-gene-3.112-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-3.112&CDS=1-2637
OG0003886	YOR142W	genemark-Sbay_8-processed-gene-3.93-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-3.93&CDS=1-987
OG0003887	YOR144C	augustus_masked-Sbay_8-processed-gene-3.27-mRNA-1_1&gene=augustus_masked-Sbay_8-processed-gene-3.27&CDS=1-4218
OG0003888	YOR147W	genemark-Sbay_8-processed-gene-3.94-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-3.94&CDS=1-1848
OG0003889	YOR148C	genemark-Sbay_8-processed-gene-3.116-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-3.116&CDS=1-561
OG0003890	YOR149C	genemark-Sbay_8-processed-gene-3.117-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-3.117&CDS=1-1545
OG0003891	YOR150W	genemark-Sbay_8-processed-gene-3.95-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-3.95&CDS=1-489
OG0003892	YOR151C	genemark-Sbay_8-processed-gene-3.118-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-3.118&CDS=1-3672
OG0003893	YOR152C	genemark-Sbay_8-processed-gene-3.119-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-3.119&CDS=1-768
OG0003894	YOR155C	genemark-Sbay_8-processed-gene-3.120-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-3.120&CDS=1-1350
OG0003895	YOR156C	genemark-Sbay_8-processed-gene-3.121-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-3.121&CDS=1-2166
OG0003896	YOR157C	genemark-Sbay_8-processed-gene-3.122-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-3.122&CDS=1-783
OG0003897	YOR158W	genemark-Sbay_8-processed-gene-3.98-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-3.98&CDS=1-948
OG0003898	YOR159C	augustus_masked-Sbay_8-processed-gene-3.33-mRNA-1_1&gene=augustus_masked-Sbay_8-processed-gene-3.33&CDS=1-282
OG0003899	YOR160W	genemark-Sbay_8-processed-gene-3.99-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-3.99&CDS=1-2907
OG0003900	YOR161C	snap_masked-Sbay_8-processed-gene-4.53-mRNA-1_1&gene=snap_masked-Sbay_8-processed-gene-4.53&CDS=1-1611
OG0003901	YOR162C	maker-Sbay_8-augustus-gene-4.7-mRNA-1_1&gene=maker-Sbay_8-augustus-gene-4.7&CDS=1-3210
OG0003902	YOR163W	genemark-Sbay_8-processed-gene-4.101-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.101&CDS=1-570
OG0003903	YOR164C	genemark-Sbay_8-processed-gene-4.105-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.105&CDS=1-936
OG0003904	YOR165W	augustus_masked-Sbay_8-processed-gene-4.10-mRNA-1_1&gene=augustus_masked-Sbay_8-processed-gene-4.10&CDS=1-2331
OG0003905	YOR166C	genemark-Sbay_8-processed-gene-4.106-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.106&CDS=1-1368
OG0003906	YOR167C	augustus_masked-Sbay_8-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-Sbay_8-processed-gene-4.15&CDS=1-201
OG0003907	YOR168W	snap_masked-Sbay_8-processed-gene-4.52-mRNA-1_1&gene=snap_masked-Sbay_8-processed-gene-4.52&CDS=1-2463
OG0003908	YOR169C	maker-Sbay_8-snap-gene-4.4-mRNA-1_1&gene=maker-Sbay_8-snap-gene-4.4&CDS=1-234
OG0003909	YOR172W	genemark-Sbay_8-processed-gene-4.108-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.108&CDS=1-2265
OG0003910	YOR173W	genemark-Sbay_8-processed-gene-4.109-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.109&CDS=1-1059
OG0003911	YOR174W	genemark-Sbay_8-processed-gene-4.110-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.110&CDS=1-861
OG0003912	YOR175C	genemark-Sbay_8-processed-gene-4.130-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.130&CDS=1-1854
OG0003913	YOR176W	genemark-Sbay_8-processed-gene-4.111-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.111&CDS=1-1179
OG0003914	YOR177C	genemark-Sbay_8-processed-gene-4.131-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.131&CDS=1-1395
OG0003915	YOR178C	genemark-Sbay_8-processed-gene-4.132-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.132&CDS=1-2436
OG0003916	YOR179C	genemark-Sbay_8-processed-gene-4.133-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.133&CDS=1-549
OG0003917	YOR180C	genemark-Sbay_8-processed-gene-4.134-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.134&CDS=1-813
OG0003918	YOR181W	genemark-Sbay_8-processed-gene-4.112-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.112&CDS=1-2004
OG0003919	YOR184W	genemark-Sbay_8-processed-gene-4.114-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.114&CDS=1-1185
OG0003920	YOR186W	genemark-Sbay_8-processed-gene-4.115-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.115&CDS=1-450
OG0003921	YOR188W	genemark-Sbay_8-processed-gene-4.117-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.117&CDS=1-3498
OG0003922	YOR189W	genemark-Sbay_8-processed-gene-4.118-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.118&CDS=1-336
OG0003923	YOR191W	snap_masked-Sbay_8-processed-gene-4.71-mRNA-1_1&gene=snap_masked-Sbay_8-processed-gene-4.71&CDS=1-4860
OG0003924	YOR193W	snap_masked-Sbay_8-processed-gene-4.72-mRNA-1_1&gene=snap_masked-Sbay_8-processed-gene-4.72&CDS=1-1107
OG0003925	YOR194C	genemark-Sbay_8-processed-gene-4.136-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.136&CDS=1-942
OG0003926	YOR195W	genemark-Sbay_8-processed-gene-4.121-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.121&CDS=1-2487
OG0003927	YOR196C	genemark-Sbay_8-processed-gene-4.137-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.137&CDS=1-1233
OG0003928	YOR197W	genemark-Sbay_8-processed-gene-4.122-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.122&CDS=1-1212
OG0003929	YOR198C	genemark-Sbay_8-processed-gene-4.138-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.138&CDS=1-1410
OG0003930	YOR201C	genemark-Sbay_8-processed-gene-4.139-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.139&CDS=1-1236
OG0003931	YOR202W	genemark-Sbay_8-processed-gene-4.123-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.123&CDS=1-660
OG0003932	YOR205C	genemark-Sbay_8-processed-gene-4.140-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.140&CDS=1-1692
OG0003933	YOR206W	genemark-Sbay_8-processed-gene-4.125-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.125&CDS=1-2124
OG0003934	YOR207C	genemark-Sbay_8-processed-gene-4.141-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.141&CDS=1-3447
OG0003935	YOR208W	augustus_masked-Sbay_8-processed-gene-4.30-mRNA-1_1&gene=augustus_masked-Sbay_8-processed-gene-4.30&CDS=1-2268
OG0003936	YOR209C	genemark-Sbay_8-processed-gene-4.142-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.142&CDS=1-1287
OG0003937	YOR210W	augustus_masked-Sbay_8-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-Sbay_8-processed-gene-4.31&CDS=1-210
OG0003938	YOR211C	genemark-Sbay_8-processed-gene-4.143-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.143&CDS=1-2694
OG0003939	YOR212W	genemark-Sbay_8-processed-gene-4.128-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.128&CDS=1-1269
OG0003940	YOR213C	augustus_masked-Sbay_8-processed-gene-4.47-mRNA-1_1&gene=augustus_masked-Sbay_8-processed-gene-4.47&CDS=1-1383
OG0003941	YOR215C	genemark-Sbay_8-processed-gene-4.146-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.146&CDS=1-555
OG0003942	YOR216C	genemark-Sbay_8-processed-gene-4.147-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-4.147&CDS=1-1455
OG0003943	YOR217W	genemark-Sbay_8-processed-gene-5.46-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.46&CDS=1-2580
OG0003944	YOR219C	genemark-Sbay_8-processed-gene-5.50-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.50&CDS=1-2790
OG0003945	YOR220W	genemark-Sbay_8-processed-gene-5.47-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.47&CDS=1-795
OG0003946	YOR221C	genemark-Sbay_8-processed-gene-5.51-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.51&CDS=1-1080
OG0003947	YOR222W	genemark-Sbay_8-processed-gene-5.48-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.48&CDS=1-921
OG0003948	YOR223W	genemark-Sbay_8-processed-gene-5.49-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.49&CDS=1-879
OG0003949	YOR228C	genemark-Sbay_8-processed-gene-5.82-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.82&CDS=1-906
OG0003950	YOR229W	genemark-Sbay_8-processed-gene-5.54-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.54&CDS=1-1404
OG0003951	YOR230W	genemark-Sbay_8-processed-gene-5.55-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.55&CDS=1-1308
OG0003952	YOR236W	genemark-Sbay_8-processed-gene-5.59-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.59&CDS=1-633
OG0003953	YOR238W	genemark-Sbay_8-processed-gene-5.61-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.61&CDS=1-897
OG0003954	YOR241W	maker-Sbay_8-augustus-gene-5.161-mRNA-1_1&gene=maker-Sbay_8-augustus-gene-5.161&CDS=1-3219
OG0003955	YOR243C	maker-Sbay_8-augustus-gene-5.164-mRNA-1_1&gene=maker-Sbay_8-augustus-gene-5.164&CDS=1-3126
OG0003956	YOR244W	genemark-Sbay_8-processed-gene-5.64-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.64&CDS=1-1332
OG0003957	YOR245C	genemark-Sbay_8-processed-gene-5.86-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.86&CDS=1-1254
OG0003958	YOR246C	genemark-Sbay_8-processed-gene-5.87-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.87&CDS=1-972
OG0003959	YOR247W	genemark-Sbay_8-processed-gene-5.65-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.65&CDS=1-696
OG0003960	YOR249C	augustus_masked-Sbay_8-processed-gene-5.33-mRNA-1_1&gene=augustus_masked-Sbay_8-processed-gene-5.33&CDS=1-3390
OG0003961	YOR251C	genemark-Sbay_8-processed-gene-5.90-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.90&CDS=1-912
OG0003962	YOR252W	genemark-Sbay_8-processed-gene-5.66-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.66&CDS=1-534
OG0003963	YOR253W	genemark-Sbay_8-processed-gene-5.67-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.67&CDS=1-528
OG0003964	YOR254C	genemark-Sbay_8-processed-gene-5.91-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.91&CDS=1-1992
OG0003965	YOR255W	genemark-Sbay_8-processed-gene-5.68-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.68&CDS=1-834
OG0003966	YOR256C	genemark-Sbay_8-processed-gene-5.92-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.92&CDS=1-2427
OG0003967	YOR257W	genemark-Sbay_8-processed-gene-5.69-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.69&CDS=1-483
OG0003968	YOR258W	genemark-Sbay_8-processed-gene-5.70-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.70&CDS=1-651
OG0003969	YOR259C	genemark-Sbay_8-processed-gene-5.93-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.93&CDS=1-1311
OG0003970	YOR260W	genemark-Sbay_8-processed-gene-5.71-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.71&CDS=1-1737
OG0003971	YOR261C	genemark-Sbay_8-processed-gene-5.94-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.94&CDS=1-999
OG0003972	YOR262W	genemark-Sbay_8-processed-gene-5.72-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.72&CDS=1-1041
OG0003973	YOR266W	augustus_masked-Sbay_8-processed-gene-5.22-mRNA-1_1&gene=augustus_masked-Sbay_8-processed-gene-5.22&CDS=1-2769
OG0003974	YOR267C	genemark-Sbay_8-processed-gene-5.95-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.95&CDS=1-2100
OG0003975	YOR269W	genemark-Sbay_8-processed-gene-5.76-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.76&CDS=1-1491
OG0003976	YOR270C	genemark-Sbay_8-processed-gene-5.96-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.96&CDS=1-2526
OG0003977	YOR271C	genemark-Sbay_8-processed-gene-5.97-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.97&CDS=1-981
OG0003978	YOR272W	genemark-Sbay_8-processed-gene-5.77-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.77&CDS=1-1380
OG0003979	YOR273C	genemark-Sbay_8-processed-gene-5.98-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.98&CDS=1-1956
OG0003980	YOR274W	genemark-Sbay_8-processed-gene-5.78-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.78&CDS=1-1251
OG0003981	YOR275C	genemark-Sbay_8-processed-gene-5.99-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.99&CDS=1-1980
OG0003982	YOR276W	genemark-Sbay_8-processed-gene-5.79-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.79&CDS=1-480
OG0003983	YOR278W	genemark-Sbay_8-processed-gene-5.80-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.80&CDS=1-822
OG0003984	YOR280C	augustus_masked-Sbay_8-processed-gene-5.44-mRNA-1_1&gene=augustus_masked-Sbay_8-processed-gene-5.44&CDS=1-1731
OG0003985	YOR281C	genemark-Sbay_8-processed-gene-5.102-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-5.102&CDS=1-855
OG0003986	YOR283W	genemark-Sbay_8-processed-gene-6.94-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.94&CDS=1-690
OG0003987	YOR284W	genemark-Sbay_8-processed-gene-6.95-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.95&CDS=1-822
OG0003988	YOR286W	maker-Sbay_8-snap-gene-6.2-mRNA-1_1&gene=maker-Sbay_8-snap-gene-6.2&CDS=1-927
OG0003989	YOR287C	snap_masked-Sbay_8-processed-gene-6.50-mRNA-1_1&gene=snap_masked-Sbay_8-processed-gene-6.50&CDS=1-906
OG0003990	YOR288C	genemark-Sbay_8-processed-gene-6.100-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.100&CDS=1-963
OG0003991	YOR289W	genemark-Sbay_8-processed-gene-6.98-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.98&CDS=1-711
OG0003992	YOR290C	genemark-Sbay_8-processed-gene-6.101-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.101&CDS=1-5136
OG0003993	YOR291W	genemark-Sbay_8-processed-gene-6.102-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.102&CDS=1-4416
OG0003994	YOR292C	genemark-Sbay_8-processed-gene-6.121-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.121&CDS=1-927
OG0003995	YOR294W	genemark-Sbay_8-processed-gene-6.104-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.104&CDS=1-609
OG0003996	YOR296W	augustus_masked-Sbay_8-processed-gene-6.16-mRNA-1_1&gene=augustus_masked-Sbay_8-processed-gene-6.16&CDS=1-4560
OG0003997	YOR297C	genemark-Sbay_8-processed-gene-6.122-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.122&CDS=1-576
OG0003998	YOR298C-A	genemark-Sbay_8-processed-gene-6.123-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.123&CDS=1-453
OG0003999	YOR298W	maker-Sbay_8-snap-gene-6.4-mRNA-1_1&gene=maker-Sbay_8-snap-gene-6.4&CDS=1-780
OG0004000	YOR301W	genemark-Sbay_8-processed-gene-6.109-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.109&CDS=1-1145
OG0004001	YOR303W	genemark-Sbay_8-processed-gene-6.110-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.110&CDS=1-1233
OG0004002	YOR304C-A	snap_masked-Sbay_8-processed-gene-6.76-mRNA-1_1&gene=snap_masked-Sbay_8-processed-gene-6.76&CDS=1-228
OG0004003	YOR305W	genemark-Sbay_8-processed-gene-6.112-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.112&CDS=1-717
OG0004004	YOR306C	genemark-Sbay_8-processed-gene-6.125-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.125&CDS=1-1566
OG0004005	YOR307C	genemark-Sbay_8-processed-gene-6.126-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.126&CDS=1-1359
OG0004006	YOR308C	genemark-Sbay_8-processed-gene-6.127-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.127&CDS=1-1794
OG0004007	YOR310C	genemark-Sbay_8-processed-gene-6.128-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.128&CDS=1-1545
OG0004008	YOR311C	genemark-Sbay_8-processed-gene-6.129-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.129&CDS=1-870
OG0004009	YOR313C	genemark-Sbay_8-processed-gene-6.131-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.131&CDS=1-1026
OG0004010	YOR315W	genemark-Sbay_8-processed-gene-6.113-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.113&CDS=1-1029
OG0004011	YOR319W	genemark-Sbay_8-processed-gene-6.115-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.115&CDS=1-639
OG0004012	YOR320C	genemark-Sbay_8-processed-gene-6.133-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.133&CDS=1-1446
OG0004013	YOR322C	genemark-Sbay_8-processed-gene-6.134-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.134&CDS=1-2424
OG0004014	YOR323C	genemark-Sbay_8-processed-gene-6.135-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.135&CDS=1-1368
OG0004015	YOR324C	genemark-Sbay_8-processed-gene-6.136-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.136&CDS=1-1806
OG0004016	YOR327C	genemark-Sbay_8-processed-gene-6.137-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.137&CDS=1-321
OG0004017	YOR329C	maker-Sbay_8-snap-gene-6.7-mRNA-1_1&gene=maker-Sbay_8-snap-gene-6.7&CDS=1-2619
OG0004018	YOR330C	maker-Sbay_8-snap-gene-6.6-mRNA-1_1&gene=maker-Sbay_8-snap-gene-6.6&CDS=1-4266
OG0004019	YOR332W	genemark-Sbay_8-processed-gene-6.119-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.119&CDS=1-699
OG0004020	YOR334W	genemark-Sbay_8-processed-gene-6.120-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.120&CDS=1-1407
OG0004021	YOR335C	genemark-Sbay_8-processed-gene-7.99-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-7.99&CDS=1-2874
OG0004022	YOR336W	genemark-Sbay_8-processed-gene-7.96-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-7.96&CDS=1-4077
OG0004023	YOR337W	augustus_masked-Sbay_8-processed-gene-7.1-mRNA-1_1&gene=augustus_masked-Sbay_8-processed-gene-7.1&CDS=1-3234
OG0004024	YOR340C	augustus_masked-Sbay_8-processed-gene-7.21-mRNA-1_1&gene=augustus_masked-Sbay_8-processed-gene-7.21&CDS=1-1428
OG0004025	YOR341W	genemark-Sbay_8-processed-gene-7.100-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-7.100&CDS=1-4995
OG0004026	YOR342C	genemark-Sbay_8-processed-gene-7.121-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-7.121&CDS=1-963
OG0004027	YOR344C	maker-Sbay_8-snap-gene-7.149-mRNA-1_1&gene=maker-Sbay_8-snap-gene-7.149&CDS=1-819
OG0004028	YOR346W	genemark-Sbay_8-processed-gene-7.102-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-7.102&CDS=1-2955
OG0004029	YOR348C	genemark-Sbay_8-processed-gene-7.124-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-7.124&CDS=1-1860
OG0004030	YOR349W	genemark-Sbay_8-processed-gene-7.103-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-7.103&CDS=1-3069
OG0004031	YOR350C	genemark-Sbay_8-processed-gene-7.125-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-7.125&CDS=1-1995
OG0004032	YOR351C	augustus_masked-Sbay_8-processed-gene-7.27-mRNA-1_1&gene=augustus_masked-Sbay_8-processed-gene-7.27&CDS=1-1494
OG0004033	YOR352W	genemark-Sbay_8-processed-gene-7.104-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-7.104&CDS=1-1014
OG0004034	YOR353C	genemark-Sbay_8-processed-gene-7.127-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-7.127&CDS=1-2400
OG0004035	YOR354C	genemark-Sbay_8-processed-gene-7.128-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-7.128&CDS=1-2085
OG0004036	YOR355W	genemark-Sbay_8-processed-gene-7.105-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-7.105&CDS=1-1593
OG0004037	YOR356W	genemark-Sbay_8-processed-gene-7.106-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-7.106&CDS=1-1893
OG0004038	YOR357C	genemark-Sbay_8-processed-gene-7.129-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-7.129&CDS=1-486
OG0004039	YOR359W	augustus_masked-Sbay_8-processed-gene-7.10-mRNA-1_1&gene=augustus_masked-Sbay_8-processed-gene-7.10&CDS=1-2316
OG0004040	YOR360C	genemark-Sbay_8-processed-gene-7.130-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-7.130&CDS=1-1560
OG0004041	YOR361C	maker-Sbay_8-augustus-gene-7.144-mRNA-1_1&gene=maker-Sbay_8-augustus-gene-7.144&CDS=1-3069
OG0004042	YOR363C	genemark-Sbay_8-processed-gene-7.133-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-7.133&CDS=1-4929
OG0004043	YOR367W	genemark-Sbay_8-processed-gene-7.110-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-7.110&CDS=1-600
OG0004044	YOR368W	genemark-Sbay_8-processed-gene-7.111-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-7.111&CDS=1-1206
OG0004045	YOR369C	genemark-Sbay_8-processed-gene-7.134-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-7.134&CDS=1-429
OG0004046	YOR370C	genemark-Sbay_8-processed-gene-7.135-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-7.135&CDS=1-1815
