	Pichia_membranifaciens	Saccharomyces_cerevisiae
OG0002339	snap_masked-scaffold_4-processed-gene-8.14-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-8.14&CDS=1-1491	YOR274W
OG0002340	snap_masked-scaffold_4-processed-gene-8.34-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-8.34&CDS=1-336	YPL046C
OG0002341	augustus_masked-scaffold_4-processed-gene-8.62-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-8.62&CDS=1-2583	YPL045W
OG0002342	snap_masked-scaffold_4-processed-gene-8.35-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-8.35&CDS=1-1452	YMR211W
OG0002343	snap_masked-scaffold_4-processed-gene-8.16-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-8.16&CDS=1-1386	YKL082C
OG0002344	augustus_masked-scaffold_4-processed-gene-8.64-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-8.64&CDS=1-2076	YKL104C
OG0002345	snap_masked-scaffold_4-processed-gene-8.38-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-8.38&CDS=1-714	YIR030C
OG0002346	snap_masked-scaffold_4-processed-gene-9.49-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.49&CDS=1-1236	YER154W
OG0002347	augustus_masked-scaffold_4-processed-gene-9.14-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-9.14&CDS=1-417	YIR005W
OG0002348	augustus_masked-scaffold_4-processed-gene-9.18-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-9.18&CDS=1-1095	YDR229W
OG0002349	augustus_masked-scaffold_4-processed-gene-9.15-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-9.15&CDS=1-843	YOR115C
OG0002350	snap_masked-scaffold_4-processed-gene-9.54-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.54&CDS=1-876	YDL201W
OG0002351	maker-scaffold_4-snap-gene-9.5-mRNA-1_1&gene=maker-scaffold_4-snap-gene-9.5&CDS=1-2160	YDL202W
OG0002352	snap_masked-scaffold_4-processed-gene-9.59-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.59&CDS=1-1371	YGL012W
OG0002353	snap_masked-scaffold_4-processed-gene-9.75-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.75&CDS=1-756	YGL011C
OG0002354	augustus_masked-scaffold_4-processed-gene-9.23-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-9.23&CDS=1-1401	YGL194C
OG0002355	snap_masked-scaffold_4-processed-gene-9.60-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.60&CDS=1-4365	YDL240W
OG0002356	snap_masked-scaffold_4-processed-gene-9.77-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.77&CDS=1-3081	YMR231W
OG0002357	maker-scaffold_4-snap-gene-9.7-mRNA-1_1&gene=maker-scaffold_4-snap-gene-9.7&CDS=1-3291	YGL014W
OG0002358	snap_masked-scaffold_4-processed-gene-9.80-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.80&CDS=1-828	YDR428C
OG0002359	snap_masked-scaffold_4-processed-gene-9.63-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.63&CDS=1-903	YMR244W
OG0002360	snap_masked-scaffold_4-processed-gene-9.64-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.64&CDS=1-1524	YOR316C
OG0002361	snap_masked-scaffold_4-processed-gene-9.82-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.82&CDS=1-1746	YMR227C
OG0002362	snap_masked-scaffold_4-processed-gene-9.69-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.69&CDS=1-1239	YMR228W
OG0002363	snap_masked-scaffold_4-processed-gene-9.70-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.70&CDS=1-1368	YLR363C
OG0002364	snap_masked-scaffold_4-processed-gene-9.84-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.84&CDS=1-2010	YJL034W
OG0002365	snap_masked-scaffold_4-processed-gene-9.71-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.71&CDS=1-3702	YDR027C
OG0002366	snap_masked-scaffold_4-processed-gene-9.72-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.72&CDS=1-2169	YLL007C
OG0002367	maker-scaffold_4-augustus-gene-9.92-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-9.92&CDS=1-2394	YLL008W
OG0002368	augustus_masked-scaffold_4-processed-gene-10.44-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-10.44&CDS=1-1515	YAL038W
OG0002369	augustus_masked-scaffold_4-processed-gene-10.46-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-10.46&CDS=1-1707	YPR161C
OG0002370	augustus_masked-scaffold_4-processed-gene-10.62-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-10.62&CDS=1-1254	YPL060W
OG0002371	augustus_masked-scaffold_4-processed-gene-10.65-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-10.65&CDS=1-1956	YAL022C
OG0002372	snap_masked-scaffold_4-processed-gene-10.9-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.9&CDS=1-606	YGL200C
OG0002373	snap_masked-scaffold_4-processed-gene-10.10-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.10&CDS=1-432	YFR011C
OG0002374	snap_masked-scaffold_4-processed-gene-10.26-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.26&CDS=1-1479	YFR010W
OG0002375	maker-scaffold_4-augustus-gene-10.40-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-10.40&CDS=1-4254	YDR291W
OG0002376	snap_masked-scaffold_4-processed-gene-10.29-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.29&CDS=1-645	YDL018C
OG0002377	snap_masked-scaffold_4-processed-gene-10.11-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.11&CDS=1-558	YJL024C
OG0002378	snap_masked-scaffold_4-processed-gene-10.32-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.32&CDS=1-375	YGR174C
OG0002379	snap_masked-scaffold_4-processed-gene-10.33-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.33&CDS=1-426	YBR254C
OG0002380	snap_masked-scaffold_4-processed-gene-10.13-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.13&CDS=1-3141	YBR255W
OG0002381	snap_masked-scaffold_4-processed-gene-10.14-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.14&CDS=1-543	YJR074W
OG0002382	snap_masked-scaffold_4-processed-gene-10.15-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.15&CDS=1-2124	YGL203C
OG0002383	maker-scaffold_4-snap-gene-10.82-mRNA-1_1&gene=maker-scaffold_4-snap-gene-10.82&CDS=1-4497	YMR165C
OG0002384	snap_masked-scaffold_4-processed-gene-10.35-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.35&CDS=1-1683	YOR132W
OG0002385	snap_masked-scaffold_4-processed-gene-10.17-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.17&CDS=1-7257	YDL058W
OG0002386	augustus_masked-scaffold_4-processed-gene-11.2-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-11.2&CDS=1-3096	YKL064W
OG0002387	snap_masked-scaffold_4-processed-gene-10.19-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.19&CDS=1-999	YMR041C
OG0002388	augustus_masked-scaffold_4-processed-gene-11.3-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-11.3&CDS=1-2724	YKR009C
OG0002389	maker-scaffold_4-snap-gene-11.109-mRNA-1_1&gene=maker-scaffold_4-snap-gene-11.109&CDS=1-4869	YKR056W
OG0002390	snap_masked-scaffold_4-processed-gene-11.85-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.85&CDS=1-1080	YKL060C
OG0002391	augustus_masked-scaffold_4-processed-gene-11.6-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-11.6&CDS=1-1509	YBL080C
OG0002392	maker-scaffold_4-augustus-gene-11.54-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-11.54&CDS=1-402	YBL078C
OG0002393	snap_masked-scaffold_4-processed-gene-11.65-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.65&CDS=1-1623	YDR188W
OG0002394	maker-scaffold_4-augustus-gene-11.55-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-11.55&CDS=1-2418	YNL141W
OG0002395	augustus_masked-scaffold_4-processed-gene-11.9-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-11.9&CDS=1-423	YOL040C
OG0002396	snap_masked-scaffold_4-processed-gene-11.93-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.93&CDS=1-1293	YAL013W
OG0002397	snap_masked-scaffold_4-processed-gene-11.94-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.94&CDS=1-1368	YOL041C
OG0002398	augustus_masked-scaffold_4-processed-gene-11.11-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-11.11&CDS=1-1050	YBR034C
OG0002399	snap_masked-scaffold_4-processed-gene-11.68-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.68&CDS=1-1047	YDL237W
OG0002400	snap_masked-scaffold_4-processed-gene-11.97-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.97&CDS=1-1155	YHR036W
OG0002401	snap_masked-scaffold_4-processed-gene-11.69-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.69&CDS=1-1125	YHR085W
OG0002402	augustus_masked-scaffold_4-processed-gene-11.40-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-11.40&CDS=1-954	YHR040W
OG0002403	snap_masked-scaffold_4-processed-gene-11.71-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.71&CDS=1-1182	YBR087W
OG0002404	augustus_masked-scaffold_4-processed-gene-11.41-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-11.41&CDS=1-639	YBL038W
OG0002405	maker-scaffold_4-snap-gene-11.106-mRNA-1_1&gene=maker-scaffold_4-snap-gene-11.106&CDS=1-3192	YPR047W
OG0002406	snap_masked-scaffold_4-processed-gene-11.98-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.98&CDS=1-942	YOR006C
OG0002407	snap_masked-scaffold_4-processed-gene-11.75-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.75&CDS=1-3756	YML002W
OG0002408	snap_masked-scaffold_4-processed-gene-11.99-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.99&CDS=1-1107	YOR007C
OG0002409	snap_masked-scaffold_4-processed-gene-11.76-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.76&CDS=1-1263	YMR026C
OG0002410	augustus_masked-scaffold_4-processed-gene-11.44-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-11.44&CDS=1-2406	YKL125W
OG0002411	augustus_masked-scaffold_4-processed-gene-11.18-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-11.18&CDS=1-1047	YGL115W
OG0002412	snap_masked-scaffold_4-processed-gene-11.77-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.77&CDS=1-2367	YGL114W
OG0002413	snap_masked-scaffold_4-processed-gene-11.101-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.101&CDS=1-1578	YBR233W
OG0002414	snap_masked-scaffold_4-processed-gene-11.78-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.78&CDS=1-1074	YBR231C
OG0002415	snap_masked-scaffold_4-processed-gene-11.102-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.102&CDS=1-3264	YEL055C
OG0002416	maker-scaffold_4-snap-gene-11.107-mRNA-1_1&gene=maker-scaffold_4-snap-gene-11.107&CDS=1-2370	YPL270W
OG0002417	snap_masked-scaffold_4-processed-gene-11.82-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.82&CDS=1-1917	YPL263C
OG0002418	snap_masked-scaffold_4-processed-gene-11.103-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.103&CDS=1-963	YPL266W
OG0002419	snap_masked-scaffold_4-processed-gene-11.105-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.105&CDS=1-2571	YDR074W
OG0002420	augustus_masked-scaffold_4-processed-gene-12.41-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-12.41&CDS=1-3234	YLR450W
OG0002421	snap_masked-scaffold_4-processed-gene-12.0-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-12.0&CDS=1-375	YPR063C
OG0002422	augustus_masked-scaffold_4-processed-gene-12.42-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-12.42&CDS=1-1179	YPR056W
OG0002423	snap_masked-scaffold_4-processed-gene-12.1-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-12.1&CDS=1-927	YBR101C
OG0002424	snap_masked-scaffold_4-processed-gene-12.3-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-12.3&CDS=1-2337	YBR098W
OG0002425	snap_masked-scaffold_4-processed-gene-12.4-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-12.4&CDS=1-849	YML052W
OG0002426	snap_masked-scaffold_4-processed-gene-12.22-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-12.22&CDS=1-4446	YMR259C
OG0002427	snap_masked-scaffold_4-processed-gene-12.23-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-12.23&CDS=1-453	YMR260C
OG0002428	snap_masked-scaffold_4-processed-gene-12.6-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-12.6&CDS=1-1521	YML112W
OG0002429	snap_masked-scaffold_4-processed-gene-12.8-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-12.8&CDS=1-1197	YMR028W
OG0002430	augustus_masked-scaffold_4-processed-gene-12.49-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-12.49&CDS=1-2043	YCR068W
OG0002431	snap_masked-scaffold_4-processed-gene-12.11-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-12.11&CDS=1-1560	YKL045W
OG0002432	snap_masked-scaffold_4-processed-gene-12.26-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-12.26&CDS=1-1125	YML018C
OG0002433	snap_masked-scaffold_4-processed-gene-12.14-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-12.14&CDS=1-651	YNR017W
OG0002434	snap_masked-scaffold_4-processed-gene-12.15-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-12.15&CDS=1-6741	YNR016C
OG0002435	augustus_masked-scaffold_4-processed-gene-12.64-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-12.64&CDS=1-1215	YDR435C
OG0002436	snap_masked-scaffold_4-processed-gene-12.16-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-12.16&CDS=1-1245	YCR045C
OG0002437	snap_masked-scaffold_4-processed-gene-12.27-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-12.27&CDS=1-1650	YJR010W
OG0002438	snap_masked-scaffold_4-processed-gene-12.28-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-12.28&CDS=1-969	YEL029C
OG0002439	augustus_masked-scaffold_4-processed-gene-12.56-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-12.56&CDS=1-14487	YKR054C
OG0002440	augustus_masked-scaffold_4-processed-gene-12.57-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-12.57&CDS=1-1386	YOL054W
OG0002441	snap_masked-scaffold_4-processed-gene-13.74-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-13.74&CDS=1-795	YDR429C
OG0002442	snap_masked-scaffold_4-processed-gene-13.75-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-13.75&CDS=1-2091	YEL011W
OG0002443	augustus_masked-scaffold_4-processed-gene-13.4-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-13.4&CDS=1-5955	YBR097W
OG0002444	augustus_masked-scaffold_4-processed-gene-13.2-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-13.2&CDS=1-1503	YPR054W
OG0002445	snap_masked-scaffold_4-processed-gene-13.81-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-13.81&CDS=1-780	YPR060C
OG0002446	augustus_masked-scaffold_4-processed-gene-13.7-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-13.7&CDS=1-912	YMR241W
OG0002447	snap_masked-scaffold_4-processed-gene-13.114-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-13.114&CDS=1-1419	YOR307C
OG0002448	snap_masked-scaffold_4-processed-gene-13.85-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-13.85&CDS=1-1053	YDR400W
OG0002449	maker-scaffold_4-augustus-gene-13.66-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-13.66&CDS=1-3417	YDR234W
OG0002450	augustus_masked-scaffold_4-processed-gene-13.37-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-13.37&CDS=1-819	YDL208W
OG0002451	augustus_masked-scaffold_4-processed-gene-13.13-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-13.13&CDS=1-1509	YDR235W
OG0002452	snap_masked-scaffold_4-processed-gene-13.118-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-13.118&CDS=1-2307	YDL206W
OG0002453	snap_masked-scaffold_4-processed-gene-13.119-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-13.119&CDS=1-921	YDR237W
OG0002454	maker-scaffold_4-snap-gene-13.147-mRNA-1_1&gene=maker-scaffold_4-snap-gene-13.147&CDS=1-2232	YDL207W
OG0002455	augustus_masked-scaffold_4-processed-gene-13.41-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-13.41&CDS=1-7434	YDR238C
OG0002456	snap_masked-scaffold_4-processed-gene-13.123-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-13.123&CDS=1-963	YPL111W
OG0002457	snap_masked-scaffold_4-processed-gene-13.91-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-13.91&CDS=1-1650	YIL166C
OG0002458	maker-scaffold_4-augustus-gene-13.68-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-13.68&CDS=1-5238	YMR297W
OG0002459	snap_masked-scaffold_4-processed-gene-13.124-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-13.124&CDS=1-3633	YJR035W
OG0002460	snap_masked-scaffold_4-processed-gene-13.125-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-13.125&CDS=1-324	YJR034W
OG0002461	snap_masked-scaffold_4-processed-gene-13.95-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-13.95&CDS=1-4599	YJR033C
OG0002462	snap_masked-scaffold_4-processed-gene-13.127-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-13.127&CDS=1-840	YGR132C
OG0002463	snap_masked-scaffold_4-processed-gene-13.128-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-13.128&CDS=1-765	YGR135W
OG0002464	snap_masked-scaffold_4-processed-gene-13.97-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-13.97&CDS=1-1980	YAL016W
OG0002465	augustus_masked-scaffold_4-processed-gene-13.50-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-13.50&CDS=1-993	YKL128C
OG0002466	augustus_masked-scaffold_4-processed-gene-13.20-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-13.20&CDS=1-813	YIL106W
OG0002467	augustus_masked-scaffold_4-processed-gene-13.21-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-13.21&CDS=1-2610	YIL107C
OG0002468	augustus_masked-scaffold_4-processed-gene-13.22-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-13.22&CDS=1-8463	YDR158W
OG0002469	snap_masked-scaffold_4-processed-gene-13.132-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-13.132&CDS=1-531	YKR020W
OG0002470	snap_masked-scaffold_4-processed-gene-13.102-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-13.102&CDS=1-1476	YOR250C
OG0002471	snap_masked-scaffold_4-processed-gene-13.133-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-13.133&CDS=1-3969	YMR076C
OG0002472	snap_masked-scaffold_4-processed-gene-13.103-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-13.103&CDS=1-516	YJL004C
OG0002473	snap_masked-scaffold_4-processed-gene-13.134-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-13.134&CDS=1-1512	YMR075W
OG0002474	snap_masked-scaffold_4-processed-gene-13.104-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-13.104&CDS=1-1305	YMR062C
OG0002475	snap_masked-scaffold_4-processed-gene-13.105-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-13.105&CDS=1-753	YFL045C
OG0002476	augustus_masked-scaffold_4-processed-gene-13.55-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-13.55&CDS=1-603	YFL046W
OG0002477	snap_masked-scaffold_4-processed-gene-13.106-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-13.106&CDS=1-258	YKR095W-A
OG0002478	snap_masked-scaffold_4-processed-gene-13.136-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-13.136&CDS=1-1014	YBR187W
OG0002479	snap_masked-scaffold_4-processed-gene-13.139-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-13.139&CDS=1-1500	YDR256C
OG0002480	snap_masked-scaffold_4-processed-gene-13.140-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-13.140&CDS=1-1575	YJL153C
OG0002481	snap_masked-scaffold_4-processed-gene-13.141-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-13.141&CDS=1-1305	YML094W
OG0002482	snap_masked-scaffold_4-processed-gene-13.107-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-13.107&CDS=1-861	YJR096W
OG0002483	augustus_masked-scaffold_5-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.82&CDS=1-918	YOR079C
OG0002484	genemark-scaffold_5-processed-gene-0.8-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.8&CDS=1-585	YDR115W
OG0002485	augustus_masked-scaffold_5-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.66&CDS=1-6468	YFR019W
OG0002486	snap_masked-scaffold_5-processed-gene-0.126-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-0.126&CDS=1-1518	YOL019W
OG0002487	augustus_masked-scaffold_5-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.67&CDS=1-1005	YGL224C
OG0002488	snap_masked-scaffold_5-processed-gene-0.128-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-0.128&CDS=1-1725	YNL308C
OG0002489	snap_masked-scaffold_5-processed-gene-0.130-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-0.130&CDS=1-2163	YHL016C
OG0002490	maker-scaffold_5-augustus-gene-0.55-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-0.55&CDS=1-1779	YEL023C
OG0002491	augustus_masked-scaffold_5-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.87&CDS=1-642	YJL030W
OG0002492	maker-scaffold_5-snap-gene-0.42-mRNA-1_1&gene=maker-scaffold_5-snap-gene-0.42&CDS=1-1116	YJL031C
OG0002493	snap_masked-scaffold_5-processed-gene-0.131-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-0.131&CDS=1-1107	YJL006C
OG0002494	snap_masked-scaffold_5-processed-gene-0.106-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-0.106&CDS=1-1320	YDL007W
OG0002495	maker-scaffold_5-snap-gene-0.43-mRNA-1_1&gene=maker-scaffold_5-snap-gene-0.43&CDS=1-1047	YDL006W
OG0002496	snap_masked-scaffold_5-processed-gene-0.108-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-0.108&CDS=1-1917	YKL148C
OG0002497	snap_masked-scaffold_5-processed-gene-0.109-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-0.109&CDS=1-594	YKL144C
OG0002498	snap_masked-scaffold_5-processed-gene-0.132-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-0.132&CDS=1-1332	YKL145W
OG0002499	snap_masked-scaffold_5-processed-gene-0.133-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-0.133&CDS=1-1932	YDR496C
OG0002500	snap_masked-scaffold_5-processed-gene-0.110-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-0.110&CDS=1-1491	YKL149C
OG0002501	snap_masked-scaffold_5-processed-gene-0.134-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-0.134&CDS=1-2172	YOR035C
OG0002502	snap_masked-scaffold_5-processed-gene-1.62-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.62&CDS=1-1770	YDR037W
OG0002503	snap_masked-scaffold_5-processed-gene-1.92-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.92&CDS=1-903	YBR061C
OG0002504	snap_masked-scaffold_5-processed-gene-1.67-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.67&CDS=1-885	YDR041W
OG0002505	snap_masked-scaffold_5-processed-gene-1.93-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.93&CDS=1-588	YBR062C
OG0002506	snap_masked-scaffold_5-processed-gene-1.68-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.68&CDS=1-705	YBR070C
OG0002507	snap_masked-scaffold_5-processed-gene-1.94-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.94&CDS=1-1065	YBR065C
OG0002508	snap_masked-scaffold_5-processed-gene-1.95-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.95&CDS=1-1389	YMR283C
OG0002509	snap_masked-scaffold_5-processed-gene-1.71-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.71&CDS=1-573	YBR022W
OG0002510	snap_masked-scaffold_5-processed-gene-1.72-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.72&CDS=1-606	YNL306W
OG0002511	snap_masked-scaffold_5-processed-gene-1.73-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.73&CDS=1-426	YOL127W
OG0002512	snap_masked-scaffold_5-processed-gene-1.75-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.75&CDS=1-717	YBR256C
OG0002513	snap_masked-scaffold_5-processed-gene-1.100-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.100&CDS=1-1269	YIR012W
OG0002514	snap_masked-scaffold_5-processed-gene-1.76-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.76&CDS=1-1347	YPL151C
OG0002515	snap_masked-scaffold_5-processed-gene-1.101-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.101&CDS=1-1092	YNR007C
