	Ogataea_methanolica	Saccharomyces_cerevisiae
OG0002705	-processed-gene-29.13-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-29.13&CDS=1-708	YKL009W
OG0002706	-processed-gene-29.14-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-29.14&CDS=1-1887	YKL089W
OG0002707	-processed-gene-30.41-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-30.41&CDS=1-3855	YHL007C
OG0002708	-processed-gene-30.42-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-30.42&CDS=1-732	YEL072W
OG0002709	-processed-gene-30.43-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-30.43&CDS=1-2079	YBR121C
OG0002710	-augustus-gene-30.5-mRNA-1_1&gene=maker-gi|1002316335|dbj|BCKW01000002.1|-augustus-gene-30.5&CDS=1-477	YDR529C
OG0002711	-processed-gene-30.44-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-30.44&CDS=1-6183	YBL104C
OG0002712	-processed-gene-30.58-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-30.58&CDS=1-3612	YDR407C
OG0002713	-processed-gene-30.47-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-30.47&CDS=1-3561	YNL091W
OG0002714	-processed-gene-30.48-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-30.48&CDS=1-585	YNL090W
OG0002715	-processed-gene-30.18-mRNA-1_1&gene=snap_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-30.18&CDS=1-1533	YMR023C
OG0002716	-processed-gene-30.60-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-30.60&CDS=1-1305	YNL206C
OG0002717	-processed-gene-30.51-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-30.51&CDS=1-2010	YOR087W
OG0002718	-processed-gene-30.52-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-30.52&CDS=1-1500	YBR006W
OG0002719	-augustus-gene-30.8-mRNA-1_1&gene=maker-gi|1002316335|dbj|BCKW01000002.1|-augustus-gene-30.8&CDS=1-318	YBL001C
OG0002720	-processed-gene-30.53-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-30.53&CDS=1-4770	YOR093C
OG0002721	-processed-gene-30.62-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-30.62&CDS=1-1272	YBR125C
OG0002722	-processed-gene-30.63-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-30.63&CDS=1-1458	YBR126C
OG0002723	-processed-gene-30.64-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-30.64&CDS=1-921	YHR041C
OG0002724	-processed-gene-30.65-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-30.65&CDS=1-3384	YIL130W
OG0002725	-snap-gene-30.2-mRNA-1_1&gene=maker-gi|1002316335|dbj|BCKW01000002.1|-snap-gene-30.2&CDS=1-6423	YDL171C
OG0002726	-processed-gene-30.29-mRNA-1_1&gene=snap_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-30.29&CDS=1-1695	YHR004C
OG0002727	-processed-gene-31.35-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-31.35&CDS=1-1572	YMR067C
OG0002728	-processed-gene-31.38-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-31.38&CDS=1-2535	YMR309C
OG0002729	-processed-gene-31.36-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-31.36&CDS=1-3636	YDL145C
OG0002730	-processed-gene-31.54-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-31.54&CDS=1-1764	YER051W
OG0002731	-processed-gene-31.39-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-31.39&CDS=1-510	YER050C
OG0002732	-processed-gene-31.55-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-31.55&CDS=1-3081	YIL042C
OG0002733	-processed-gene-31.56-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-31.56&CDS=1-1329	YDL147W
OG0002734	-processed-gene-31.41-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-31.41&CDS=1-9108	YLR087C
OG0002735	-processed-gene-31.57-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-31.57&CDS=1-1752	YDL030W
OG0002736	-processed-gene-31.58-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-31.58&CDS=1-1635	YDL020C
OG0002737	-processed-gene-31.59-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-31.59&CDS=1-1935	YIL131C
OG0002738	-processed-gene-31.62-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-31.62&CDS=1-1050	YOR358W
OG0002739	-processed-gene-31.13-mRNA-1_1&gene=snap_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-31.13&CDS=1-486	YOR357C
OG0002740	-processed-gene-31.31-mRNA-1_1&gene=snap_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-31.31&CDS=1-414	YNL113W
OG0002741	-processed-gene-31.49-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-31.49&CDS=1-2358	YOR113W
OG0002742	-processed-gene-31.50-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-31.50&CDS=1-3702	YCL061C
OG0002743	-processed-gene-31.51-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-31.51&CDS=1-1134	YCL059C
OG0002744	-processed-gene-31.66-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-31.66&CDS=1-2796	YNL279W
OG0002745	-processed-gene-31.52-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-31.52&CDS=1-345	YHL015W
OG0002746	-processed-gene-32.57-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-32.57&CDS=1-717	YPR183W
OG0002747	-processed-gene-32.53-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-32.53&CDS=1-1863	YDR390C
OG0002748	-processed-gene-32.58-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-32.58&CDS=1-2175	YDR389W
OG0002749	-processed-gene-32.54-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-32.54&CDS=1-633	YFL010C
OG0002750	-processed-gene-32.55-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-32.55&CDS=1-930	YDL119C
OG0002751	-processed-gene-32.59-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-32.59&CDS=1-1146	YGL155W
OG0002752	-processed-gene-32.78-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-32.78&CDS=1-4002	YAL024C
OG0002753	-processed-gene-32.81-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-32.81&CDS=1-1215	YDR331W
OG0002754	-processed-gene-32.60-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-32.60&CDS=1-1935	YDR332W
OG0002755	-processed-gene-32.82-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-32.82&CDS=1-3309	YLR240W
OG0002756	-processed-gene-32.61-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-32.61&CDS=1-1404	YNL142W
OG0002757	-processed-gene-32.63-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-32.63&CDS=1-915	YPR139C
OG0002758	-processed-gene-32.64-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-32.64&CDS=1-651	YBR171W
OG0002759	-processed-gene-32.39-mRNA-1_1&gene=snap_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-32.39&CDS=1-459	YBR173C
OG0002760	-processed-gene-32.65-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-32.65&CDS=1-786	YLR192C
OG0002761	-processed-gene-32.68-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-32.68&CDS=1-2550	YLR207W
OG0002762	-processed-gene-32.22-mRNA-1_1&gene=snap_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-32.22&CDS=1-480	YDR305C
OG0002763	-processed-gene-32.91-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-32.91&CDS=1-447	YHR059W
OG0002764	-snap-gene-32.0-mRNA-1_1&gene=maker-gi|1002316335|dbj|BCKW01000002.1|-snap-gene-32.0&CDS=1-1236	YHR058C
OG0002765	-processed-gene-32.72-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-32.72&CDS=1-867	YLR059C
OG0002766	-processed-gene-32.93-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-32.93&CDS=1-1179	YKL080W
OG0002767	-processed-gene-32.26-mRNA-1_1&gene=snap_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-32.26&CDS=1-513	YER134C
OG0002768	-processed-gene-32.96-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-32.96&CDS=1-279	YGL220W
OG0002769	-processed-gene-32.75-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-32.75&CDS=1-867	YGL221C
OG0002770	-processed-gene-32.97-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-32.97&CDS=1-1899	YNL294C
OG0002771	-processed-gene-32.77-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-32.77&CDS=1-1959	YNL293W
OG0002772	-processed-gene-32.98-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-32.98&CDS=1-624	YOL110W
OG0002773	-processed-gene-33.61-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-33.61&CDS=1-1431	YBR110W
OG0002774	-snap-gene-33.108-mRNA-1_1&gene=maker-gi|1002316335|dbj|BCKW01000002.1|-snap-gene-33.108&CDS=1-5388	YDR127W
OG0002775	-augustus-gene-33.119-mRNA-1_1&gene=maker-gi|1002316335|dbj|BCKW01000002.1|-augustus-gene-33.119&CDS=1-261	YBL029C-A
OG0002776	-processed-gene-33.86-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-33.86&CDS=1-2157	YLR396C
OG0002777	-processed-gene-33.33-mRNA-1_1&gene=snap_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-33.33&CDS=1-183	YDL067C
OG0002778	-processed-gene-33.62-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-33.62&CDS=1-234	YLR395C
OG0002779	-processed-gene-33.34-mRNA-1_1&gene=snap_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-33.34&CDS=1-1155	YLR394W
OG0002780	-processed-gene-33.65-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-33.65&CDS=1-1491	YOL137W
OG0002781	-processed-gene-33.90-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-33.90&CDS=1-3666	YHR072W
OG0002782	-processed-gene-33.69-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-33.69&CDS=1-1020	YGR080W
OG0002783	-processed-gene-33.71-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-33.71&CDS=1-315	YLR364W
OG0002784	-processed-gene-33.72-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-33.72&CDS=1-1569	YOR374W
OG0002785	-snap-gene-33.114-mRNA-1_1&gene=maker-gi|1002316335|dbj|BCKW01000002.1|-snap-gene-33.114&CDS=1-5787	YFR019W
OG0002786	-processed-gene-33.73-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-33.73&CDS=1-390	YDR115W
OG0002787	-processed-gene-33.95-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-33.95&CDS=1-903	YLR137W
OG0002788	-processed-gene-33.76-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-33.76&CDS=1-543	YLR193C
OG0002789	-augustus-gene-33.121-mRNA-1_1&gene=maker-gi|1002316335|dbj|BCKW01000002.1|-augustus-gene-33.121&CDS=1-1044	YDL165W
OG0002790	-processed-gene-33.77-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-33.77&CDS=1-552	YDL166C
OG0002791	-augustus-gene-33.118-mRNA-1_1&gene=maker-gi|1002316335|dbj|BCKW01000002.1|-augustus-gene-33.118&CDS=1-609	YGL200C
OG0002792	-processed-gene-33.81-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-33.81&CDS=1-1173	YBR065C
OG0002793	-processed-gene-33.101-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-33.101&CDS=1-702	YBR070C
OG0002794	-processed-gene-33.82-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-33.82&CDS=1-633	YBR062C
OG0002795	-processed-gene-33.102-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-33.102&CDS=1-864	YDR041W
OG0002796	-processed-gene-33.83-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-33.83&CDS=1-921	YBR061C
OG0002797	-processed-gene-33.104-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-33.104&CDS=1-1770	YDR037W
OG0002798	-processed-gene-33.85-mRNA-1_1&gene=augustus_masked-gi|1002316335|dbj|BCKW01000002.1|-processed-gene-33.85&CDS=1-2634	YMR165C
OG0002799	-processed-gene-0.31-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-0.31&CDS=1-642	YJL030W
OG0002800	-processed-gene-1.94-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.94&CDS=1-954	YJL031C
OG0002801	-processed-gene-1.98-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.98&CDS=1-1482	YJL006C
OG0002802	-processed-gene-1.99-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.99&CDS=1-1200	YDR058C
OG0002803	-processed-gene-1.97-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.97&CDS=1-765	YLR201C
OG0002804	-processed-gene-1.124-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.124&CDS=1-339	YLR200W
OG0002805	-processed-gene-1.101-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.101&CDS=1-1512	YLR197W
OG0002806	-processed-gene-1.102-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.102&CDS=1-711	YDL169C
OG0002807	-processed-gene-1.104-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.104&CDS=1-618	YDL018C
OG0002808	-processed-gene-1.106-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.106&CDS=1-2763	YBR281C
OG0002809	-processed-gene-1.126-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.126&CDS=1-1569	YDR470C
OG0002810	-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.34&CDS=1-1710	YHL008C
OG0002811	-processed-gene-1.111-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.111&CDS=1-510	YHR175W
OG0002812	-processed-gene-1.129-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.129&CDS=1-2802	YBR229C
OG0002813	-processed-gene-1.112-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.112&CDS=1-1419	YLR212C
OG0002814	-processed-gene-1.113-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.113&CDS=1-1182	YDR262W
OG0002815	-processed-gene-1.131-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.131&CDS=1-4416	YOR116C
OG0002816	-processed-gene-1.132-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.132&CDS=1-909	YDR361C
OG0002817	-processed-gene-1.114-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.114&CDS=1-1557	YDR364C
OG0002818	-processed-gene-1.133-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.133&CDS=1-1278	YOR117W
OG0002819	-snap-gene-1.140-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-snap-gene-1.140&CDS=1-4326	YDR359C
OG0002820	-processed-gene-1.135-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.135&CDS=1-1020	YNR003C
OG0002821	-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.26&CDS=1-981	YJL088W
OG0002822	-snap-gene-1.141-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-snap-gene-1.141&CDS=1-2658	YER072W
OG0002823	-processed-gene-1.138-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.138&CDS=1-1167	YHR107C
OG0002824	-processed-gene-1.93-mRNA-1_1&gene=snap_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.93&CDS=1-3804	YDR354C-A
OG0002825	-processed-gene-1.123-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-1.123&CDS=1-1104	YDR354W
OG0002826	-processed-gene-2.4-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-2.4&CDS=1-1575	YJL153C
OG0002827	-processed-gene-2.47-mRNA-1_1&gene=snap_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-2.47&CDS=1-252	YKR095W-A
OG0002828	-processed-gene-2.5-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-2.5&CDS=1-1092	YML131W
OG0002829	-processed-gene-2.10-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-2.10&CDS=1-1530	YDR256C
OG0002830	-processed-gene-2.52-mRNA-1_1&gene=snap_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-2.52&CDS=1-3438	YBR186W
OG0002831	-processed-gene-2.12-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-2.12&CDS=1-1059	YBR187W
OG0002832	-processed-gene-2.13-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-2.13&CDS=1-657	YFL046W
OG0002833	-processed-gene-2.29-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-2.29&CDS=1-753	YFL045C
OG0002834	-processed-gene-2.15-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-2.15&CDS=1-870	YJL145W
OG0002835	-processed-gene-2.16-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-2.16&CDS=1-5418	YFL033C
OG0002836	-processed-gene-2.31-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-2.31&CDS=1-1392	YGL065C
OG0002837	-augustus-gene-2.89-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-augustus-gene-2.89&CDS=1-2541	YNR050C
OG0002838	-processed-gene-2.21-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-2.21&CDS=1-2496	YDL126C
OG0002839	-snap-gene-2.1-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-snap-gene-2.1&CDS=1-2217	YHL011C
OG0002840	-processed-gene-2.35-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-2.35&CDS=1-750	YKL033W-A
OG0002841	-processed-gene-2.36-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-2.36&CDS=1-2409	YKL034W
OG0002842	-processed-gene-2.37-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-2.37&CDS=1-921	YGR060W
OG0002843	-processed-gene-2.27-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-2.27&CDS=1-1854	YJR002W
OG0002844	-processed-gene-2.40-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-2.40&CDS=1-1740	YJR001W
OG0002845	-processed-gene-2.41-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-2.41&CDS=1-600	YNL069C
OG0002846	-processed-gene-3.78-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-3.78&CDS=1-798	YFR052W
OG0002847	-processed-gene-3.80-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-3.80&CDS=1-1251	YBR004C
OG0002848	-processed-gene-3.98-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-3.98&CDS=1-1866	YHR114W
OG0002849	-processed-gene-3.83-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-3.83&CDS=1-1074	YCR019W
OG0002850	-processed-gene-3.84-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-3.84&CDS=1-1815	YDR091C
OG0002851	-processed-gene-3.85-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-3.85&CDS=1-1695	YLL018C
OG0002852	-processed-gene-3.86-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-3.86&CDS=1-2442	YML035C
OG0002853	-processed-gene-3.102-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-3.102&CDS=1-915	YDR459C
OG0002854	-processed-gene-3.103-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-3.103&CDS=1-561	YML036W
OG0002855	-processed-gene-3.104-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-3.104&CDS=1-882	YDL142C
OG0002856	-processed-gene-3.88-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-3.88&CDS=1-2013	YDL141W
OG0002857	-processed-gene-3.105-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-3.105&CDS=1-5223	YDL140C
OG0002858	-processed-gene-3.89-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-3.89&CDS=1-3813	YDL195W
OG0002859	-processed-gene-3.90-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-3.90&CDS=1-2997	YIL073C
OG0002860	-processed-gene-3.92-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-3.92&CDS=1-3588	YIL047C
OG0002861	-snap-gene-3.76-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-snap-gene-3.76&CDS=1-4371	YIL048W
OG0002862	-snap-gene-3.72-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-snap-gene-3.72&CDS=1-3735	YGR134W
OG0002863	-processed-gene-4.7-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-4.7&CDS=1-1713	YOR067C
OG0002864	-processed-gene-4.8-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-4.8&CDS=1-1074	YKR081C
OG0002865	-processed-gene-4.29-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-4.29&CDS=1-342	YKR083C
OG0002866	-processed-gene-4.30-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-4.30&CDS=1-924	YOR074C
OG0002867	-processed-gene-4.10-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-4.10&CDS=1-915	YOR065W
OG0002868	-processed-gene-4.12-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-4.12&CDS=1-837	YMR130W
OG0002869	-processed-gene-4.31-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-4.31&CDS=1-1362	YMR238W
OG0002870	-processed-gene-4.15-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-4.15&CDS=1-1140	YGL211W
OG0002871	-processed-gene-4.115-mRNA-1_1&gene=augustus_masked-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-4.115&CDS=1-6528	YFL007W
OG0002872	-processed-gene-4.16-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-4.16&CDS=1-1176	YBL055C
OG0002873	-processed-gene-4.17-mRNA-1_1&gene=genemark-gi|1002316336|dbj|BCKW01000001.1|-processed-gene-4.17&CDS=1-747	YDR007W
OG0002874	-snap-gene-4.3-mRNA-1_1&gene=maker-gi|1002316336|dbj|BCKW01000001.1|-snap-gene-4.3&CDS=1-1062	YBR011C
