	Cyberlindnera_fabianii_JCM3601	Saccharomyces_cerevisiae
OG0003145	-processed-gene-8.16-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-8.16&CDS=1-1002	YPR011C
OG0003146	-snap-gene-8.56-mRNA-1_1&gene=maker-gi|1002316269|dbj|BCGI01000001.1|-snap-gene-8.56&CDS=1-2355	YLR330W
OG0003147	-processed-gene-8.76-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-8.76&CDS=1-360	YGR020C
OG0003148	-processed-gene-8.94-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-8.94&CDS=1-1413	YGR019W
OG0003149	-processed-gene-8.95-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-8.95&CDS=1-747	YGR017W
OG0003150	-processed-gene-8.37-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-8.37&CDS=1-2670	YGL036W
OG0003151	-processed-gene-8.78-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-8.78&CDS=1-684	YGL037C
OG0003152	-processed-gene-8.99-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-8.99&CDS=1-279	YLR363W-A
OG0003153	-processed-gene-8.79-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-8.79&CDS=1-4026	YGR061C
OG0003154	-snap-gene-8.57-mRNA-1_1&gene=maker-gi|1002316269|dbj|BCGI01000001.1|-snap-gene-8.57&CDS=1-4197	YNL142W
OG0003155	-processed-gene-9.61-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-9.61&CDS=1-870	YHR134W
OG0003156	-processed-gene-9.62-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-9.62&CDS=1-1485	YNL083W
OG0003157	-processed-gene-9.64-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-9.64&CDS=1-1110	YNL080C
OG0003158	-processed-gene-9.9-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-9.9&CDS=1-444	YNL081C
OG0003159	-processed-gene-9.66-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-9.66&CDS=1-2793	YNL082W
OG0003160	-processed-gene-9.88-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-9.88&CDS=1-1005	YDR245W
OG0003161	-processed-gene-9.89-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-9.89&CDS=1-2433	YNL201C
OG0003162	-processed-gene-9.68-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-9.68&CDS=1-669	YNL200C
OG0003163	-processed-gene-9.90-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-9.90&CDS=1-876	YNL202W
OG0003164	-processed-gene-9.70-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-9.70&CDS=1-1107	YDL226C
OG0003165	-processed-gene-9.71-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-9.71&CDS=1-543	YCR027C
OG0003166	-processed-gene-9.93-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-9.93&CDS=1-285	YPL013C
OG0003167	-augustus-gene-9.108-mRNA-1_1&gene=maker-gi|1002316269|dbj|BCGI01000001.1|-augustus-gene-9.108&CDS=1-4362	YPL012W
OG0003168	-processed-gene-9.95-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-9.95&CDS=1-1488	YDL225W
OG0003169	-processed-gene-9.99-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-9.99&CDS=1-1293	YPL138C
OG0003170	-processed-gene-9.100-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-9.100&CDS=1-786	YPR060C
OG0003171	-snap-gene-9.52-mRNA-1_1&gene=maker-gi|1002316269|dbj|BCGI01000001.1|-snap-gene-9.52&CDS=1-837	YPR061C
OG0003172	-processed-gene-9.77-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-9.77&CDS=1-1221	YPR054W
OG0003173	-snap-gene-9.53-mRNA-1_1&gene=maker-gi|1002316269|dbj|BCGI01000001.1|-snap-gene-9.53&CDS=1-4911	YBR097W
OG0003174	-processed-gene-9.104-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-9.104&CDS=1-993	YNL263C
OG0003175	-processed-gene-9.80-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-9.80&CDS=1-6573	YNL262W
OG0003176	-processed-gene-9.81-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-9.81&CDS=1-2010	YOR035C
OG0003177	-processed-gene-9.82-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-9.82&CDS=1-2127	YDR264C
OG0003178	-processed-gene-9.106-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-9.106&CDS=1-933	YHR090C
OG0003179	-processed-gene-9.83-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-9.83&CDS=1-981	YHR083W
OG0003180	-processed-gene-9.84-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-9.84&CDS=1-1797	YHR084W
OG0003181	-processed-gene-9.85-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-9.85&CDS=1-1080	YKL060C
OG0003182	-processed-gene-9.30-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-9.30&CDS=1-1998	YKL054C
OG0003183	-processed-gene-9.87-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-9.87&CDS=1-855	YOR352W
OG0003184	-processed-gene-10.16-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-10.16&CDS=1-5667	YPL082C
OG0003185	-processed-gene-10.12-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-10.12&CDS=1-573	YBR189W
OG0003186	-processed-gene-10.14-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-10.14&CDS=1-1086	YBR187W
OG0003187	-processed-gene-10.18-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-10.18&CDS=1-840	YJL066C
OG0003188	-processed-gene-10.43-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-10.43&CDS=1-888	YMR281W
OG0003189	-processed-gene-10.19-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-10.19&CDS=1-1056	YBR192W
OG0003190	-processed-gene-10.44-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-10.44&CDS=1-591	YBR193C
OG0003191	-processed-gene-10.45-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-10.45&CDS=1-702	YPL078C
OG0003192	-processed-gene-10.21-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-10.21&CDS=1-2145	YBR198C
OG0003193	-processed-gene-10.46-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-10.46&CDS=1-1659	YBR196C
OG0003194	-augustus-gene-10.2-mRNA-1_1&gene=maker-gi|1002316269|dbj|BCGI01000001.1|-augustus-gene-10.2&CDS=1-1197	YBR195C
OG0003195	-processed-gene-10.24-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-10.24&CDS=1-1293	YBR076W
OG0003196	-snap-gene-10.9-mRNA-1_1&gene=maker-gi|1002316269|dbj|BCGI01000001.1|-snap-gene-10.9&CDS=1-333	YDR045C
OG0003197	-processed-gene-10.26-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-10.26&CDS=1-2502	YBR060C
OG0003198	-processed-gene-10.51-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-10.51&CDS=1-318	YBR058C-A
OG0003199	-processed-gene-10.28-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-10.28&CDS=1-771	YDR043C
OG0003200	-processed-gene-10.31-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-10.31&CDS=1-837	YDR051C
OG0003201	-processed-gene-10.83-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-10.83&CDS=1-744	YDR050C
OG0003202	-processed-gene-10.55-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-10.55&CDS=1-918	YBR061C
OG0003203	-processed-gene-10.33-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-10.33&CDS=1-783	YDR041W
OG0003204	-processed-gene-10.57-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-10.57&CDS=1-1044	YBR065C
OG0003205	-processed-gene-10.34-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-10.34&CDS=1-4053	YOR291W
OG0003206	-processed-gene-10.58-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-10.58&CDS=1-1227	YDL205C
OG0003207	-processed-gene-10.86-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-10.86&CDS=1-288	YNL038W
OG0003208	-snap-gene-10.7-mRNA-1_1&gene=maker-gi|1002316269|dbj|BCGI01000001.1|-snap-gene-10.7&CDS=1-1929	YNL039W
OG0003209	-processed-gene-10.36-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-10.36&CDS=1-960	YDL209C
OG0003210	-processed-gene-10.109-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-10.109&CDS=1-2748	YGR125W
OG0003211	-processed-gene-10.38-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-10.38&CDS=1-837	YIL043C
OG0003212	-snap-gene-10.11-mRNA-1_1&gene=maker-gi|1002316269|dbj|BCGI01000001.1|-snap-gene-10.11&CDS=1-1731	YDR244W
OG0003213	-processed-gene-10.39-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-10.39&CDS=1-1731	YDR243C
OG0003214	-processed-gene-10.92-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-10.92&CDS=1-1113	YGR127W
OG0003215	-processed-gene-11.6-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.6&CDS=1-1563	YER052C
OG0003216	-processed-gene-11.8-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.8&CDS=1-1014	YPR086W
OG0003217	-processed-gene-11.5-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.5&CDS=1-1527	YER006W
OG0003218	-processed-gene-11.9-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.9&CDS=1-1974	YER005W
OG0003219	-processed-gene-11.10-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.10&CDS=1-4275	YER008C
OG0003220	-processed-gene-11.11-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.11&CDS=1-1701	YGR128C
OG0003221	-processed-gene-11.12-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.12&CDS=1-1452	YER007W
OG0003222	-processed-gene-11.34-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.34&CDS=1-543	YER007C-A
OG0003223	-processed-gene-11.89-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.89&CDS=1-3756	YIR002C
OG0003224	-processed-gene-11.36-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.36&CDS=1-1383	YIR004W
OG0003225	-processed-gene-11.91-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.91&CDS=1-693	YER010C
OG0003226	-processed-gene-11.14-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.14&CDS=1-4239	YGR116W
OG0003227	-processed-gene-11.38-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.38&CDS=1-501	YDL120W
OG0003228	-processed-gene-11.39-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.39&CDS=1-702	YIR005W
OG0003229	-processed-gene-11.40-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.40&CDS=1-1881	YLR234W
OG0003230	-processed-gene-11.18-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.18&CDS=1-1092	YJR154W
OG0003231	-processed-gene-11.19-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.19&CDS=1-618	YNR057C
OG0003232	-processed-gene-11.43-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.43&CDS=1-1464	YGR123C
OG0003233	-processed-gene-11.23-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.23&CDS=1-897	YLR242C
OG0003234	-processed-gene-11.24-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.24&CDS=1-732	YDR196C
OG0003235	-processed-gene-11.25-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.25&CDS=1-2031	YDR194C
OG0003236	-processed-gene-11.49-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.49&CDS=1-1635	YPR018W
OG0003237	-processed-gene-11.27-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.27&CDS=1-2784	YPR019W
OG0003238	-processed-gene-11.52-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.52&CDS=1-1377	YLR231C
OG0003239	-processed-gene-11.53-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.53&CDS=1-1293	YDR072C
OG0003240	-processed-gene-11.54-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.54&CDS=1-906	YLR239C
OG0003241	-processed-gene-11.29-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.29&CDS=1-1320	YDR198C
OG0003242	-processed-gene-11.55-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.55&CDS=1-852	YDR204W
OG0003243	-processed-gene-11.30-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.30&CDS=1-975	YDR202C
OG0003244	-processed-gene-11.56-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.56&CDS=1-492	YDR201W
OG0003245	-processed-gene-11.33-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.33&CDS=1-1479	YPL262W
OG0003246	-processed-gene-12.46-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-12.46&CDS=1-3879	YNL273W
OG0003247	-processed-gene-12.1-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-12.1&CDS=1-3567	YMR224C
OG0003248	-snap-gene-12.37-mRNA-1_1&gene=maker-gi|1002316269|dbj|BCGI01000001.1|-snap-gene-12.37&CDS=1-2859	YOR335C
OG0003249	-processed-gene-12.51-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-12.51&CDS=1-486	YAL033W
OG0003250	-processed-gene-12.64-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-12.64&CDS=1-1344	YAL032C
OG0003251	-processed-gene-12.53-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-12.53&CDS=1-957	YOL042W
OG0003252	-processed-gene-12.66-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-12.66&CDS=1-2325	YAL021C
OG0003253	-processed-gene-12.9-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-12.9&CDS=1-2175	YOR322C
OG0003254	-processed-gene-12.21-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-12.21&CDS=1-5598	YOR336W
OG0003255	-processed-gene-12.55-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-12.55&CDS=1-1278	YJL060W
OG0003256	-processed-gene-12.69-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-12.69&CDS=1-2190	YOR001W
OG0003257	-processed-gene-12.56-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-12.56&CDS=1-432	YBR269C
OG0003258	-processed-gene-12.23-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-12.23&CDS=1-2505	YBR268W
OG0003259	-processed-gene-12.72-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-12.72&CDS=1-2397	YJL062W
OG0003260	-processed-gene-12.73-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-12.73&CDS=1-1176	YBR267W
OG0003261	-processed-gene-12.74-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-12.74&CDS=1-1167	YBR279W
OG0003262	-snap-gene-12.41-mRNA-1_1&gene=maker-gi|1002316269|dbj|BCGI01000001.1|-snap-gene-12.41&CDS=1-1983	YJL090C
OG0003263	-processed-gene-12.77-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-12.77&CDS=1-1890	YPL263C
OG0003264	-processed-gene-12.78-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-12.78&CDS=1-3060	YEL055C
OG0003265	-processed-gene-12.60-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-12.60&CDS=1-183	YPL271W
OG0003266	-processed-gene-12.62-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-12.62&CDS=1-2340	YPL269W
OG0003267	-snap-gene-12.42-mRNA-1_1&gene=maker-gi|1002316269|dbj|BCGI01000001.1|-snap-gene-12.42&CDS=1-1677	YDR212W
OG0003268	-processed-gene-12.80-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-12.80&CDS=1-984	YPL266W
OG0003269	-processed-gene-12.81-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-12.81&CDS=1-1626	YEL058W
OG0003270	-processed-gene-12.63-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-12.63&CDS=1-2070	YDR211W
OG0003271	-processed-gene-12.82-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-12.82&CDS=1-2988	YPR097W
OG0003272	-processed-gene-12.83-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-12.83&CDS=1-306	YEL059C-A
OG0003273	-augustus-gene-13.49-mRNA-1_1&gene=maker-gi|1002316269|dbj|BCGI01000001.1|-augustus-gene-13.49&CDS=1-3516	YDR128W
OG0003274	-processed-gene-13.55-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-13.55&CDS=1-1794	YGL125W
OG0003275	-processed-gene-13.2-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-13.2&CDS=1-2418	YLR240W
OG0003276	-processed-gene-13.58-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-13.58&CDS=1-567	YER046W
OG0003277	-processed-gene-13.62-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-13.62&CDS=1-579	YDR121W
OG0003278	-processed-gene-13.88-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-13.88&CDS=1-693	YLR093C
OG0003279	-processed-gene-13.89-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-13.89&CDS=1-753	YNL305C
OG0003280	-processed-gene-13.12-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-13.12&CDS=1-2007	YLR097C
OG0003281	-processed-gene-13.90-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-13.90&CDS=1-1470	YGL116W
OG0003282	-processed-gene-13.66-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-13.66&CDS=1-1035	YGL115W
OG0003283	-processed-gene-13.14-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-13.14&CDS=1-1992	YGL114W
OG0003284	-processed-gene-13.91-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-13.91&CDS=1-945	YBR231C
OG0003285	-processed-gene-13.68-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-13.68&CDS=1-999	YJL088W
OG0003286	-processed-gene-13.92-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-13.92&CDS=1-2442	YJL087C
OG0003287	-processed-gene-13.70-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-13.70&CDS=1-897	YNR003C
OG0003288	-processed-gene-13.95-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-13.95&CDS=1-1194	YBR271W
OG0003289	-processed-gene-13.96-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-13.96&CDS=1-1980	YLR362W
OG0003290	-processed-gene-13.97-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-13.97&CDS=1-837	YNL155W
OG0003291	-processed-gene-13.98-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-13.98&CDS=1-3711	YNL091W
OG0003292	-processed-gene-13.74-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-13.74&CDS=1-837	YLR079W
OG0003293	-snap-gene-13.108-mRNA-1_1&gene=maker-gi|1002316269|dbj|BCGI01000001.1|-snap-gene-13.108&CDS=1-2193	YFL047W
OG0003294	-processed-gene-13.100-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-13.100&CDS=1-675	YGR057C
OG0003295	-processed-gene-13.101-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-13.101&CDS=1-1635	YNL115C
OG0003296	-processed-gene-13.79-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-13.79&CDS=1-1905	YFL049W
OG0003297	-processed-gene-14.52-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-14.52&CDS=1-975	YGR031W
OG0003298	-processed-gene-14.51-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-14.51&CDS=1-4419	YOR093C
OG0003299	-processed-gene-14.76-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-14.76&CDS=1-990	YNL230C
OG0003300	-processed-gene-14.77-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-14.77&CDS=1-1407	YML068W
OG0003301	-processed-gene-14.57-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-14.57&CDS=1-1029	YML067C
OG0003302	-processed-gene-14.26-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-14.26&CDS=1-1602	YHR150W
OG0003303	-processed-gene-14.59-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-14.59&CDS=1-810	YNL232W
OG0003304	-processed-gene-14.80-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-14.80&CDS=1-1113	YNL231C
OG0003305	-processed-gene-14.87-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-14.87&CDS=1-999	YDR173C
OG0003306	-processed-gene-14.60-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-14.60&CDS=1-864	YPL232W
OG0003307	-processed-gene-14.61-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-14.61&CDS=1-2004	YKL135C
OG0003308	-processed-gene-14.88-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-14.88&CDS=1-2097	YDR172W
OG0003309	-processed-gene-14.12-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-14.12&CDS=1-1140	YGR112W
OG0003310	-processed-gene-14.90-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-14.90&CDS=1-729	YPL162C
OG0003311	-processed-gene-14.91-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-14.91&CDS=1-1059	YDR171W
OG0003312	-processed-gene-14.94-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-14.94&CDS=1-870	YER026C
OG0003313	-processed-gene-15.4-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-15.4&CDS=1-984	YBR251W
