	Saccharomyces_cerevisiae	Saitoella_complicata
OG0001661	YIL008W	XP_019023126.1
OG0001662	YIL019W	XP_019025665.1
OG0001663	YIL020C	XP_019025664.1
OG0001664	YIL021W	XP_019021800.1
OG0001665	YIL022W	XP_019024098.1
OG0001666	YIL023C	XP_019023766.1
OG0001667	YIL026C	XP_019025415.1
OG0001668	YIL030C	XP_019024998.1
OG0001669	YIL033C	XP_019021443.1
OG0001670	YIL034C	XP_019022178.1
OG0001671	YIL035C	XP_019022145.1
OG0001672	YIL038C	XP_019021417.1
OG0001673	YIL041W	XP_019026563.1
OG0001674	YIL043C	XP_019027691.1
OG0001675	YIL044C	XP_019022787.1
OG0001676	YIL046W	XP_019024873.1
OG0001677	YIL048W	XP_019022963.1
OG0001678	YIL049W	XP_019021909.1
OG0001679	YIL050W	XP_019026383.1
OG0001680	YIL061C	XP_019025490.1
OG0001681	YIL062C	XP_019021984.1
OG0001682	YIL063C	XP_019022676.1
OG0001683	YIL064W	XP_019021904.1
OG0001684	YIL065C	XP_019025567.1
OG0001685	YIL068C	XP_019021795.1
OG0001686	YIL070C	XP_019022558.1
OG0001687	YIL072W	XP_019024609.1
OG0001688	YIL075C	XP_019022384.1
OG0001689	YIL083C	XP_019021601.1
OG0001690	YIL084C	XP_019025836.1
OG0001691	YIL087C	XP_019024020.1
OG0001692	YIL090W	XP_019024036.1
OG0001693	YIL091C	XP_019023954.1
OG0001694	YIL093C	XP_019025932.1
OG0001695	YIL094C	XP_019022235.1
OG0001696	YIL096C	XP_019023585.1
OG0001697	YIL097W	XP_019023586.1
OG0001698	YIL098C	XP_019024497.1
OG0001699	YIL099W	XP_019022019.1
OG0001700	YIL103W	XP_019027570.1
OG0001701	YIL104C	XP_019024122.1
OG0001702	YIL108W	XP_019027234.1
OG0001703	YIL113W	XP_019021942.1
OG0001704	YIL116W	XP_019024574.1
OG0001705	YIL118W	XP_019021608.1
OG0001706	YIL124W	XP_019023668.1
OG0001707	YIL125W	XP_019023543.1
OG0001708	YIL128W	XP_019023471.1
OG0001709	YIL129C	XP_019027197.1
OG0001710	YIL130W	XP_019021988.1
OG0001711	YIL133C	XP_019021935.1
OG0001712	YIL140W	XP_019023998.1
OG0001713	YIL142W	XP_019026442.1
OG0001714	YIL143C	XP_019025233.1
OG0001715	YIL144W	XP_019020952.1
OG0001716	YIL145C	XP_019023228.1
OG0001717	YIL153W	XP_019022274.1
OG0001718	YIL155C	XP_019023976.1
OG0001719	YIL157C	XP_019025377.1
OG0001720	YIL164C	XP_019021569.1
OG0001721	YIR001C	XP_019025326.1
OG0001722	YIR002C	XP_019022172.1
OG0001723	YIR005W	XP_019026108.1
OG0001724	YIR006C	XP_019026351.1
OG0001725	YIR007W	XP_019023727.1
OG0001726	YIR008C	XP_019021669.1
OG0001727	YIR011C	XP_019024086.1
OG0001728	YIR012W	XP_019020983.1
OG0001729	YIR022W	XP_019022738.1
OG0001730	YIR023W	XP_019026904.1
OG0001731	YIR026C	XP_019024017.1
OG0001732	YIR027C	XP_019023272.1
OG0001733	YIR029W	XP_019027254.1
OG0001734	YIR030C	XP_019023193.1
OG0001735	YIR032C	XP_019021848.1
OG0001736	YIR037W	XP_019023874.1
OG0001737	YIR038C	XP_019021844.1
OG0001738	YIR042C	XP_019022651.1
OG0001739	YJL001W	XP_019026384.1
OG0001740	YJL002C	XP_019021114.1
OG0001741	YJL003W	XP_019022014.1
OG0001742	YJL005W	XP_019021089.1
OG0001743	YJL006C	XP_019026774.1
OG0001744	YJL008C	XP_019024783.1
OG0001745	YJL010C	XP_019027647.1
OG0001746	YJL014W	XP_019025936.1
OG0001747	YJL020C	XP_019022587.1
OG0001748	YJL024C	XP_019026547.1
OG0001749	YJL026W	XP_019025520.1
OG0001750	YJL029C	XP_019023512.1
OG0001751	YJL030W	XP_019021415.1
OG0001752	YJL031C	XP_019026875.1
OG0001753	YJL033W	XP_019025090.1
OG0001754	YJL035C	XP_019026695.1
OG0001755	YJL039C	XP_019026194.1
OG0001756	YJL046W	XP_019025489.1
OG0001757	YJL052W	XP_019026002.1
OG0001758	YJL053W	XP_019027132.1
OG0001759	YJL054W	XP_019024132.1
OG0001760	YJL055W	XP_019023076.1
OG0001761	YJL057C	XP_019022304.1
OG0001762	YJL059W	XP_019027426.1
OG0001763	YJL060W	XP_019022278.1
OG0001764	YJL062W-A	XP_019023402.1
OG0001765	YJL063C	XP_019024124.1
OG0001766	YJL068C	XP_019022486.1
OG0001767	YJL069C	XP_019021132.1
OG0001768	YJL071W	XP_019026553.1
OG0001769	YJL072C	XP_019024283.1
OG0001770	YJL074C	XP_019024858.1
OG0001771	YJL080C	XP_019023683.1
OG0001772	YJL085W	XP_019026801.1
OG0001773	YJL087C	XP_019021518.1
OG0001774	YJL088W	XP_019024014.1
OG0001775	YJL090C	XP_019026157.1
OG0001776	YJL091C	XP_019027686.1
OG0001777	YJL092W	XP_019022289.1
OG0001778	YJL093C	XP_019022187.1
OG0001779	YJL094C	XP_019022097.1
OG0001780	YJL095W	XP_019027650.1
OG0001781	YJL096W	XP_019023380.1
OG0001782	YJL097W	XP_019025494.1
OG0001783	YJL100W	XP_019025586.1
OG0001784	YJL101C	XP_019026558.1
OG0001785	YJL102W	XP_019027386.1
OG0001786	YJL104W	XP_019024431.1
OG0001787	YJL106W	XP_019021780.1
OG0001788	YJL108C	XP_019023875.1
OG0001789	YJL109C	XP_019025656.1
OG0001790	YJL111W	XP_019027683.1
OG0001791	YJL115W	XP_019026208.1
OG0001792	YJL121C	XP_019022619.1
OG0001793	YJL124C	XP_019021861.1
OG0001794	YJL125C	XP_019023346.1
OG0001795	YJL126W	XP_019022063.1
OG0001796	YJL127C	XP_019026187.1
OG0001797	YJL128C	XP_019023610.1
OG0001798	YJL141C	XP_019023671.1
OG0001799	YJL143W	XP_019023705.1
OG0001800	YJL145W	XP_019025692.1
OG0001801	YJL153C	XP_019023839.1
OG0001802	YJL154C	XP_019021031.1
OG0001803	YJL163C	XP_019026099.1
OG0001804	YJL166W	XP_019023747.1
OG0001805	YJL167W	XP_019025287.1
OG0001806	YJL168C	XP_019025667.1
OG0001807	YJL187C	XP_019021198.1
OG0001808	YJL189W	XP_019023573.1
OG0001809	YJL190C	XP_019025633.1
OG0001810	YJL194W	XP_019022938.1
OG0001811	YJL197W	XP_019024984.1
OG0001812	YJL203W	XP_019021584.1
OG0001813	YJL204C	XP_019026372.1
OG0001814	YJL207C	XP_019023071.1
OG0001815	YJL208C	XP_019024801.1
OG0001816	YJL213W	XP_019026910.1
OG0001817	YJL218W	XP_019027633.1
OG0001818	YJR001W	XP_019022991.1
OG0001819	YJR002W	XP_019024027.1
OG0001820	YJR006W	XP_019022825.1
OG0001821	YJR007W	XP_019026557.1
OG0001822	YJR008W	XP_019022309.1
OG0001823	YJR010W	XP_019021648.1
OG0001824	YJR013W	XP_019022353.1
OG0001825	YJR014W	XP_019023356.1
OG0001826	YJR017C	XP_019025128.1
OG0001827	YJR019C	XP_019023773.1
OG0001828	YJR024C	XP_019022168.1
OG0001829	YJR025C	XP_019024942.1
OG0001830	YJR033C	XP_019023090.1
OG0001831	YJR034W	XP_019023868.1
OG0001832	YJR035W	XP_019023670.1
OG0001833	YJR044C	XP_019023078.1
OG0001834	YJR045C	XP_019022728.1
OG0001835	YJR047C	XP_019025577.1
OG0001836	YJR048W	XP_019021754.1
OG0001837	YJR050W	XP_019026120.1
OG0001838	YJR052W	XP_019022867.1
OG0001839	YJR056C	XP_019026054.1
OG0001840	YJR058C	XP_019025868.1
OG0001841	YJR062C	XP_019025661.1
OG0001842	YJR063W	XP_019025069.1
OG0001843	YJR064W	XP_019024935.1
OG0001844	YJR065C	XP_019023198.1
OG0001845	YJR068W	XP_019022175.1
OG0001846	YJR069C	XP_019020815.1
OG0001847	YJR070C	XP_019025070.1
OG0001848	YJR072C	XP_019025472.1
OG0001849	YJR073C	XP_019025098.1
OG0001850	YJR074W	XP_019027535.1
OG0001851	YJR075W	XP_019020908.1
OG0001852	YJR076C	XP_019026110.1
OG0001853	YJR077C	XP_019022460.1
OG0001854	YJR078W	XP_019023834.1
OG0001855	YJR082C	XP_019023427.1
OG0001856	YJR086W	XP_019021846.1
OG0001857	YJR090C	XP_019021978.1
OG0001858	YJR095W	XP_019024731.1
OG0001859	YJR098C	XP_019026188.1
OG0001860	YJR099W	XP_019025047.1
OG0001861	YJR100C	XP_019025199.1
OG0001862	YJR101W	XP_019023108.1
OG0001863	YJR102C	XP_019027379.1
OG0001864	YJR104C	XP_019023362.1
OG0001865	YJR105W	XP_019027314.1
OG0001866	YJR110W	XP_019022027.1
OG0001867	YJR112W	XP_019023653.1
OG0001868	YJR113C	XP_019025912.1
OG0001869	YJR116W	XP_019025910.1
OG0001870	YJR117W	XP_019022838.1
OG0001871	YJR118C	XP_019022850.1
OG0001872	YJR119C	XP_019025174.1
OG0001873	YJR121W	XP_019021280.1
OG0001874	YJR122W	XP_019026235.1
OG0001875	YJR123W	XP_019026498.1
OG0001876	YJR124C	XP_019025349.1
OG0001877	YJR125C	XP_019021408.1
OG0001878	YJR126C	XP_019021412.1
OG0001879	YJR129C	XP_019024568.1
OG0001880	YJR132W	XP_019023634.1
OG0001881	YJR135W-A	XP_019025553.1
OG0001882	YJR137C	XP_019027177.1
OG0001883	YJR138W	XP_019025074.1
OG0001884	YJR139C	XP_019021036.1
OG0001885	YJR140C	XP_019022706.1
OG0001886	YJR141W	XP_019024218.1
OG0001887	YJR142W	XP_019023186.1
OG0001888	YJR143C	XP_019023367.1
OG0001889	YJR144W	XP_019023662.1
OG0001890	YKL001C	XP_019023895.1
OG0001891	YKL002W	XP_019026261.1
OG0001892	YKL003C	XP_019026273.1
OG0001893	YKL004W	XP_019027464.1
OG0001894	YKL006C-A	XP_019024905.1
OG0001895	YKL007W	XP_019024906.1
OG0001896	YKL009W	XP_019025480.1
OG0001897	YKL010C	XP_019024916.1
OG0001898	YKL012W	XP_019027168.1
OG0001899	YKL013C	XP_019025177.1
OG0001900	YKL014C	XP_019027075.1
OG0001901	YKL016C	XP_019027334.1
OG0001902	YKL017C	XP_019023936.1
OG0001903	YKL018W	XP_019025522.1
OG0001904	YKL019W	XP_019022940.1
OG0001905	YKL022C	XP_019023351.1
OG0001906	YKL024C	XP_019026406.1
OG0001907	YKL025C	XP_019025604.1
OG0001908	YKL027W	XP_019020906.1
OG0001909	YKL028W	XP_019023299.1
OG0001910	YKL029C	XP_019021343.1
OG0001911	YKL033W	XP_019024716.1
OG0001912	YKL033W-A	XP_019027235.1
OG0001913	YKL034W	XP_019026247.1
OG0001914	YKL035W	XP_019021324.1
OG0001915	YKL040C	XP_019021768.1
OG0001916	YKL041W	XP_019023162.1
OG0001917	YKL043W	XP_019024377.1
OG0001918	YKL045W	XP_019021833.1
OG0001919	YKL046C	XP_019027365.1
OG0001920	YKL047W	XP_019025655.1
OG0001921	YKL051W	XP_019022811.1
OG0001922	YKL052C	XP_019027659.1
OG0001923	YKL053C-A	XP_019024625.1
OG0001924	YKL056C	XP_019026239.1
OG0001925	YKL058W	XP_019023243.1
OG0001926	YKL059C	XP_019021206.1
OG0001927	YKL060C	XP_019021000.1
OG0001928	YKL067W	XP_019025300.1
OG0001929	YKL069W	XP_019023890.1
OG0001930	YKL080W	XP_019021566.1
OG0001931	YKL082C	XP_019022541.1
OG0001932	YKL084W	XP_019025163.1
OG0001933	YKL086W	XP_019025882.1
OG0001934	YKL087C	XP_019025323.1
OG0001935	YKL089W	XP_019024395.1
OG0001936	YKL094W	XP_019022426.1
OG0001937	YKL095W	XP_019026449.1
OG0001938	YKL099C	XP_019026451.1
OG0001939	YKL100C	XP_019027318.1
OG0001940	YKL104C	XP_019022890.1
OG0001941	YKL110C	XP_019024313.1
OG0001942	YKL113C	XP_019022578.1
OG0001943	YKL114C	XP_019022245.1
OG0001944	YKL116C	XP_019024769.1
OG0001945	YKL117W	XP_019023169.1
OG0001946	YKL119C	XP_019024484.1
OG0001947	YKL120W	XP_019025523.1
OG0001948	YKL125W	XP_019026648.1
OG0001949	YKL134C	XP_019025046.1
OG0001950	YKL138C	XP_019025419.1
OG0001951	YKL140W	XP_019023870.1
OG0001952	YKL143W	XP_019025660.1
OG0001953	YKL144C	XP_019024880.1
OG0001954	YKL145W	XP_019023453.1
OG0001955	YKL146W	XP_019022804.1
OG0001956	YKL148C	XP_019023454.1
OG0001957	YKL149C	XP_019023189.1
OG0001958	YKL150W	XP_019026988.1
OG0001959	YKL151C	XP_019023434.1
OG0001960	YKL154W	XP_019025629.1
OG0001961	YKL160W	XP_019021789.1
OG0001962	YKL162C	XP_019022167.1
OG0001963	YKL165C	XP_019022672.1
OG0001964	YKL167C	XP_019021840.1
OG0001965	YKL172W	XP_019025508.1
OG0001966	YKL175W	XP_019024788.1
OG0001967	YKL178C	XP_019025693.1
OG0001968	YKL179C	XP_019023572.1
OG0001969	YKL181W	XP_019027623.1
OG0001970	YKL182W	XP_019027511.1
OG0001971	YKL184W	XP_019022806.1
OG0001972	YKL185W	XP_019024042.1
OG0001973	YKL189W	XP_019023079.1
OG0001974	YKL190W	XP_019026807.1
OG0001975	YKL191W	XP_019022395.1
OG0001976	YKL193C	XP_019026930.1
OG0001977	YKL195W	XP_019025898.1
OG0001978	YKL196C	XP_019021824.1
OG0001979	YKL203C	XP_019023660.1
OG0001980	YKL205W	XP_019022456.1
OG0001981	YKL206C	XP_019024832.1
OG0001982	YKL207W	XP_019023472.1
OG0001983	YKL210W	XP_019025129.1
OG0001984	YKL211C	XP_019023794.1
OG0001985	YKL212W	XP_019022243.1
OG0001986	YKL213C	XP_019026122.1
OG0001987	YKL216W	XP_019024727.1
OG0001988	YKL218C	XP_019024861.1
OG0001989	YKR002W	XP_019026483.1
OG0001990	YKR009C	XP_019022664.1
OG0001991	YKR010C	XP_019026319.1
OG0001992	YKR016W	XP_019022308.1
OG0001993	YKR017C	XP_019022556.1
OG0001994	YKR019C	XP_019025477.1
OG0001995	YKR023W	XP_019027322.1
OG0001996	YKR024C	XP_019023330.1
OG0001997	YKR026C	XP_019023255.1
OG0001998	YKR035W-A	XP_019023654.1
OG0001999	YKR036C	XP_019023304.1
OG0002000	YKR038C	XP_019025111.1
OG0002001	YKR039W	XP_019024385.1
OG0002002	YKR048C	XP_019023551.1
OG0002003	YKR051W	XP_019022093.1
OG0002004	YKR054C	XP_019025114.1
OG0002005	YKR056W	XP_019023247.1
OG0002006	YKR060W	XP_019026702.1
OG0002007	YKR062W	XP_019024624.1
OG0002008	YKR063C	XP_019025432.1
OG0002009	YKR065C	XP_019026318.1
OG0002010	YKR068C	XP_019024618.1
OG0002011	YKR069W	XP_019021604.1
OG0002012	YKR071C	XP_019025355.1
OG0002013	YKR074W	XP_019026192.1
OG0002014	YKR079C	XP_019025975.1
OG0002015	YKR080W	XP_019023470.1
OG0002016	YKR081C	XP_019023469.1
OG0002017	YKR082W	XP_019025357.1
OG0002018	YKR087C	XP_019024785.1
OG0002019	YKR088C	XP_019021708.1
OG0002020	YKR092C	XP_019024451.1
OG0002021	YKR097W	XP_019025089.1
OG0002022	YLL002W	XP_019025235.1
OG0002023	YLL006W	XP_019023049.1
OG0002024	YLL008W	XP_019026518.1
OG0002025	YLL009C	XP_019021742.1
OG0002026	YLL011W	XP_019026068.1
OG0002027	YLL013C	XP_019023054.1
OG0002028	YLL018C	XP_019021595.1
OG0002029	YLL018C-A	XP_019027090.1
OG0002030	YLL021W	XP_019021380.1
OG0002031	YLL023C	XP_019027696.1
OG0002032	YLL027W	XP_019021759.1
OG0002033	YLL029W	XP_019024934.1
OG0002034	YLL031C	XP_019022992.1
OG0002035	YLL032C	XP_019026685.1
OG0002036	YLL034C	XP_019025339.1
OG0002037	YLL035W	XP_019027553.1
OG0002038	YLL036C	XP_019025496.1
OG0002039	YLL039C	XP_019024456.1
OG0002040	YLL040C	XP_019024514.1
OG0002041	YLL041C	XP_019024270.1
OG0002042	YLL050C	XP_019024212.1
OG0002043	YLL057C	XP_019025801.1
OG0002044	YLR002C	XP_019024748.1
OG0002045	YLR005W	XP_019024526.1
OG0002046	YLR006C	XP_019026067.1
OG0002047	YLR008C	XP_019023008.1
OG0002048	YLR009W	XP_019022396.1
OG0002049	YLR015W	XP_019023624.1
OG0002050	YLR016C	XP_019027734.1
OG0002051	YLR017W	XP_019027053.1
OG0002052	YLR019W	XP_019026959.1
OG0002053	YLR022C	XP_019021227.1
OG0002054	YLR025W	XP_019021423.1
OG0002055	YLR026C	XP_019021723.1
OG0002056	YLR038C	XP_019021807.1
OG0002057	YLR045C	XP_019024621.1
OG0002058	YLR050C	XP_019026565.1
OG0002059	YLR051C	XP_019026789.1
OG0002060	YLR055C	XP_019023774.1
OG0002061	YLR056W	XP_019025770.1
OG0002062	YLR059C	XP_019021017.1
OG0002063	YLR060W	XP_019021903.1
OG0002064	YLR063W	XP_019023905.1
OG0002065	YLR066W	XP_019025260.1
OG0002066	YLR069C	XP_019022277.1
OG0002067	YLR074C	XP_019027597.1
OG0002068	YLR075W	XP_019021090.1
OG0002069	YLR078C	XP_019024829.1
OG0002070	YLR084C	XP_019023395.1
OG0002071	YLR085C	XP_019023636.1
OG0002072	YLR086W	XP_019027455.1
OG0002073	YLR088W	XP_019027544.1
OG0002074	YLR097C	XP_019021155.1
OG0002075	YLR098C, YOR337W	
OG0002076	YLR099W-A	XP_019024951.1
OG0002077	YLR103C	XP_019023097.1
OG0002078	YLR104W	XP_019025188.1
OG0002079	YLR105C	XP_019025187.1
OG0002080	YLR106C	XP_019024705.1
OG0002081	YLR113W	XP_019026688.1
OG0002082	YLR114C	XP_019026687.1
OG0002083	YLR115W	XP_019022715.1
OG0002084	YLR116W	XP_019021940.1
OG0002085	YLR117C	XP_019024168.1
OG0002086	YLR118C	XP_019021719.1
OG0002087	YLR126C	XP_019027545.1
OG0002088	YLR127C	XP_019021175.1
OG0002089	YLR129W	XP_019023418.1
OG0002090	YLR130C	XP_019025548.1
OG0002091	YLR133W	XP_019021649.1
OG0002092	YLR137W	XP_019022739.1
OG0002093	YLR142W	XP_019021334.1
OG0002094	YLR143W	XP_019022817.1
OG0002095	YLR144C	XP_019021173.1
OG0002096	YLR147C	XP_019025492.1
OG0002097	YLR148W	XP_019023592.1
OG0002098	YLR151C	XP_019023405.1
OG0002099	YLR153C	XP_019021871.1
OG0002100	YLR154W-A	XP_019020705.1
OG0002101	YLR154W-E	XP_019022953.1
OG0002102	YLR163C	XP_019026979.1
OG0002103	YLR165C	XP_019026047.1
OG0002104	YLR166C	XP_019023494.1
OG0002105	YLR168C	XP_019025338.1
OG0002106	YLR170C	XP_019023826.1
OG0002107	YLR172C	XP_019025824.1
OG0002108	YLR174W	XP_019025785.1
OG0002109	YLR175W	XP_019026797.1
OG0002110	YLR176C	XP_019026678.1
OG0002111	YLR186W	XP_019023376.1
OG0002112	YLR188W	XP_019024807.1
OG0002113	YLR189C	XP_019027730.1
OG0002114	YLR191W	XP_019022188.1
OG0002115	YLR193C	XP_019025993.1
OG0002116	YLR195C	XP_019022296.1
OG0002117	YLR196W	XP_019024541.1
OG0002118	YLR197W	XP_019027619.1
OG0002119	YLR200W	XP_019027551.1
OG0002120	YLR201C	XP_019021199.1
OG0002121	YLR203C	XP_019025641.1
OG0002122	YLR205C	XP_019025423.1
OG0002123	YLR207W	XP_019026907.1
OG0002124	YLR208W	XP_019021161.1
OG0002125	YLR215C	XP_019021109.1
OG0002126	YLR218C	XP_019025831.1
OG0002127	YLR221C	XP_019025668.1
OG0002128	YLR222C	XP_019022827.1
OG0002129	YLR229C	XP_019024681.1
OG0002130	YLR231C	XP_019024126.1
OG0002131	YLR234W	XP_019022033.1
OG0002132	YLR239C	XP_019021659.1
OG0002133	YLR240W	XP_019026106.1
OG0002134	YLR241W	XP_019026387.1
OG0002135	YLR242C	XP_019026561.1
OG0002136	YLR243W	XP_019026732.1
OG0002137	YLR244C	XP_019022315.1
OG0002138	YLR245C	XP_019023448.1
OG0002139	YLR246W	XP_019021581.1
OG0002140	YLR247C	XP_019022884.1
OG0002141	YLR248W	XP_019021384.1
OG0002142	YLR250W	XP_019023217.1
OG0002143	YLR251W	XP_019022272.1
OG0002144	YLR253W	XP_019024106.1
OG0002145	YLR259C	XP_019024320.1
OG0002146	YLR262C	XP_019027184.1
OG0002147	YLR262C-A	XP_019021025.1
OG0002148	YLR268W	XP_019022954.1
OG0002149	YLR271W	XP_019027193.1
OG0002150	YLR272C	XP_019020732.1
OG0002151	YLR274W	XP_019025311.1
OG0002152	YLR275W	XP_019027325.1
OG0002153	YLR276C	XP_019024846.1
OG0002154	YLR277C	XP_019022993.1
OG0002155	YLR281C	XP_019023065.1
OG0002156	YLR285W	XP_019020802.1
OG0002157	YLR289W	XP_019021416.1
OG0002158	YLR290C	XP_019024815.1
OG0002159	YLR293C	XP_019024623.1
OG0002160	YLR295C	XP_019021044.1
OG0002161	YLR298C	XP_019026061.1
OG0002162	YLR303W	XP_019027078.1
OG0002163	YLR305C	XP_019022856.1
OG0002164	YLR306W	XP_019026037.1
OG0002165	YLR309C	XP_019026868.1
OG0002166	YLR312W-A	XP_019025184.1
OG0002167	YLR314C	XP_019027652.1
OG0002168	YLR316C	XP_019021244.1
OG0002169	YLR319C	XP_019025343.1
OG0002170	YLR321C	XP_019020850.1
OG0002171	YLR323C	XP_019026077.1
OG0002172	YLR325C	XP_019022862.1
OG0002173	YLR326W	XP_019024547.1
OG0002174	YLR330W	XP_019027387.1
OG0002175	YLR336C	XP_019027499.1
OG0002176	YLR337C	XP_019025885.1
OG0002177	YLR339C	XP_019023461.1
OG0002178	YLR342W	XP_019027563.1
OG0002179	YLR347C	XP_019025607.1
OG0002180	YLR348C	XP_019021801.1
OG0002181	YLR351C	XP_019021185.1
OG0002182	YLR352W	XP_019025373.1
OG0002183	YLR354C	XP_019020923.1
OG0002184	YLR355C	XP_019026021.1
OG0002185	YLR359W	XP_019025016.1
OG0002186	YLR361C	XP_019022538.1
OG0002187	YLR370C	XP_019022121.1
OG0002188	YLR371W	XP_019020905.1
OG0002189	YLR377C	XP_019024580.1
OG0002190	YLR378C	XP_019023581.1
OG0002191	YLR380W	XP_019027459.1
OG0002192	YLR382C	XP_019027095.1
OG0002193	YLR383W	XP_019022567.1
OG0002194	YLR384C	XP_019025321.1
OG0002195	YLR386W	XP_019027714.1
OG0002196	YLR389C	XP_019024133.1
OG0002197	YLR396C	XP_019026598.1
OG0002198	YLR399C	XP_019021753.1
OG0002199	YLR401C	XP_019021029.1
OG0002200	YLR403W	XP_019020987.1
OG0002201	YLR405W	XP_019021013.1
OG0002202	YLR407W	XP_019027712.1
OG0002203	YLR409C	XP_019021912.1
OG0002204	YLR410W	XP_019027421.1
OG0002205	YLR417W	XP_019022757.1
OG0002206	YLR418C	XP_019023521.1
OG0002207	YLR424W	XP_019024610.1
OG0002208	YLR427W	XP_019024288.1
OG0002209	YLR429W	XP_019024757.1
OG0002210	YLR430W	XP_019027294.1
OG0002211	YLR433C	XP_019025168.1
OG0002212	YLR435W	XP_019027063.1
OG0002213	YLR438C-A	XP_019026279.1
OG0002214	YLR438W	XP_019022941.1
OG0002215	YLR439W	XP_019022710.1
OG0002216	YLR447C	XP_019025909.1
OG0002217	YLR451W	XP_019025981.1
OG0002218	YLR452C	XP_019026534.1
OG0002219	YLR459W	XP_019022604.1
OG0002220	YML001W	XP_019025525.1
OG0002221	YML002W	XP_019021515.1
OG0002222	YML004C	XP_019023684.1
OG0002223	YML007W	XP_019027044.1
OG0002224	YML008C	XP_019023646.1
OG0002225	YML010W	XP_019022343.1
OG0002226	YML012W	XP_019025992.1
OG0002227	YML014W	XP_019024324.1
OG0002228	YML015C	XP_019026211.1
OG0002229	YML020W	XP_019027431.1
OG0002230	YML021C	XP_019026758.1
OG0002231	YML025C	XP_019026206.1
OG0002232	YML030W	XP_019026465.1
OG0002233	YML032C	XP_019024117.1
OG0002234	YML035C	XP_019023375.1
OG0002235	YML036W	XP_019021432.1
OG0002236	YML038C	XP_019026992.1
OG0002237	YML042W	XP_019026741.1
OG0002238	YML043C	XP_019024600.1
OG0002239	YML046W	XP_019022854.1
OG0002240	YML049C	XP_019025598.1
OG0002241	YML052W	XP_019021631.1
OG0002242	YML055W	XP_019026025.1
OG0002243	YML056C	XP_019021376.1
OG0002244	YML059C	XP_019027602.1
OG0002245	YML060W	XP_019027240.1
OG0002246	YML064C	XP_019026292.1
OG0002247	YML065W	XP_019027120.1
OG0002248	YML067C	XP_019023753.1
OG0002249	YML068W	XP_019023050.1
OG0002250	YML069W	XP_019022508.1
OG0002251	YML070W	XP_019026500.1
OG0002252	YML073C	XP_019020848.1
OG0002253	YML077W	XP_019026111.1
OG0002254	YML079W	XP_019024459.1
OG0002255	YML080W	XP_019023665.1
OG0002256	YML081C-A	XP_019021662.1
OG0002257	YML085C	XP_019023400.1
OG0002258	YML086C	XP_019026512.1
OG0002259	YML092C	XP_019021781.1
OG0002260	YML093W	XP_019024542.1
OG0002261	YML094W	XP_019021549.1
OG0002262	YML095C	XP_019020828.1
OG0002263	YML096W	XP_019020844.1
OG0002264	YML097C	XP_019020845.1
OG0002265	YML102W	XP_019022392.1
OG0002266	YML103C	XP_019023851.1
OG0002267	YML105C	XP_019025969.1
OG0002268	YML110C	XP_019024914.1
OG0002269	YML114C	XP_019026086.1
OG0002270	YML121W	XP_019025193.1
OG0002271	YML123C	XP_019020775.1
OG0002272	YML126C	XP_019021028.1
OG0002273	YML127W	XP_019024925.1
OG0002274	YML130C	XP_019022183.1
OG0002275	YMR001C	XP_019026627.1
OG0002276	YMR002W	XP_019021606.1
OG0002277	YMR005W	XP_019025899.1
OG0002278	YMR009W	XP_019023045.1
OG0002279	YMR010W	XP_019025216.1
OG0002280	YMR012W	XP_019021995.1
OG0002281	YMR013C	XP_019022816.1
OG0002282	YMR015C	XP_019026743.1
OG0002283	YMR020W	XP_019021488.1
OG0002284	YMR022W	XP_019025251.1
OG0002285	YMR023C	XP_019023020.1
OG0002286	YMR024W	XP_019026744.1
OG0002287	YMR026C	XP_019027186.1
OG0002288	YMR028W	XP_019027121.1
OG0002289	YMR032W	XP_019020971.1
OG0002290	YMR033W	XP_019027510.1
OG0002291	YMR034C	XP_019022517.1
OG0002292	YMR036C	XP_019021106.1
OG0002293	YMR038C	XP_019024776.1
OG0002294	YMR041C	XP_019024818.1
OG0002295	YMR043W	XP_019027350.1
OG0002296	YMR044W	XP_019022194.1
OG0002297	YMR048W	XP_019023631.1
OG0002298	YMR049C	XP_019020834.1
OG0002299	YMR055C	XP_019023426.1
OG0002300	YMR058W	XP_019026487.1
OG0002301	YMR061W	XP_019027658.1
OG0002302	YMR062C	XP_019023613.1
OG0002303	YMR063W	XP_019021718.1
OG0002304	YMR068W	XP_019021910.1
OG0002305	YMR071C	XP_019021067.1
OG0002306	YMR073C	XP_019022339.1
OG0002307	YMR074C	XP_019021627.1
OG0002308	YMR075W	XP_019024674.1
OG0002309	YMR076C	XP_019024675.1
OG0002310	YMR077C	XP_019025340.1
OG0002311	YMR079W	XP_019027671.1
OG0002312	YMR080C	XP_019023938.1
OG0002313	YMR089C	XP_019021985.1
OG0002314	YMR090W	XP_019027494.1
OG0002315	YMR091C	XP_019022724.1
OG0002316	YMR093W	XP_019021400.1
OG0002317	YMR096W	XP_019025611.1
OG0002318	YMR097C	XP_019025259.1
OG0002319	YMR099C	XP_019026522.1
OG0002320	YMR100W	XP_019025440.1
OG0002321	YMR105C	XP_019021004.1
OG0002322	YMR106C	XP_019021989.1
OG0002323	YMR108W	XP_019020948.1
OG0002324	YMR109W	XP_019026657.1
OG0002325	YMR114C	XP_019026055.1
OG0002326	YMR120C	XP_019026392.1
