	Lodderomyces_elongisporus	Saccharomyces_cerevisiae
OG0002408	snap_masked-NW_001813684.1-processed-gene-7.43-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-7.43&CDS=1-1488	YFL022C
OG0002409	augustus_masked-NW_001813684.1-processed-gene-7.29-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-7.29&CDS=1-624	YFL046W
OG0002410	snap_masked-NW_001813684.1-processed-gene-7.46-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-7.46&CDS=1-2133	YLR077W
OG0002411	snap_masked-NW_001813684.1-processed-gene-7.65-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-7.65&CDS=1-756	YFL045C
OG0002412	augustus_masked-NW_001813684.1-processed-gene-7.32-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-7.32&CDS=1-660	YLR075W
OG0002413	snap_masked-NW_001813684.1-processed-gene-7.48-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-7.48&CDS=1-525	YLR074C
OG0002414	snap_masked-NW_001813684.1-processed-gene-7.49-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-7.49&CDS=1-1272	YFL044C
OG0002415	augustus_masked-NW_001813684.1-processed-gene-7.12-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-7.12&CDS=1-1989	YGR054W
OG0002416	snap_masked-NW_001813684.1-processed-gene-7.51-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-7.51&CDS=1-5805	YGR032W
OG0002417	augustus_masked-NW_001813684.1-processed-gene-7.14-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-7.14&CDS=1-1005	YOL107W
OG0002418	augustus_masked-NW_001813684.1-processed-gene-7.15-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-7.15&CDS=1-1314	YJL183W
OG0002419	maker-NW_001813684.1-augustus-gene-7.38-mRNA-1_1&gene=maker-NW_001813684.1-augustus-gene-7.38&CDS=1-2601	YMR137C
OG0002420	augustus_masked-NW_001813684.1-processed-gene-7.16-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-7.16&CDS=1-561	YMR138W
OG0002421	snap_masked-NW_001813684.1-processed-gene-7.67-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-7.67&CDS=1-816	YGR033C
OG0002422	snap_masked-NW_001813684.1-processed-gene-7.54-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-7.54&CDS=1-1872	YDL225W
OG0002423	augustus_masked-NW_001813684.1-processed-gene-7.19-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-7.19&CDS=1-2574	YLR347C
OG0002424	augustus_masked-NW_001813684.1-processed-gene-8.1-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-8.1&CDS=1-774	YGR036C
OG0002425	augustus_masked-NW_001813684.1-processed-gene-8.3-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-8.3&CDS=1-1122	YDL226C
OG0002426	snap_masked-NW_001813684.1-processed-gene-8.36-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-8.36&CDS=1-3057	YNL201C
OG0002427	snap_masked-NW_001813684.1-processed-gene-8.37-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-8.37&CDS=1-1092	YJL180C
OG0002428	snap_masked-NW_001813684.1-processed-gene-8.35-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-8.35&CDS=1-354	YJL179W
OG0002429	snap_masked-NW_001813684.1-processed-gene-8.38-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-8.38&CDS=1-426	YJL184W
OG0002430	snap_masked-NW_001813684.1-processed-gene-8.39-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-8.39&CDS=1-1671	YLR345W
OG0002431	augustus_masked-NW_001813684.1-processed-gene-8.7-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-8.7&CDS=1-615	YNL200C
OG0002432	augustus_masked-NW_001813684.1-processed-gene-8.8-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-8.8&CDS=1-858	YPL149W
OG0002433	augustus_masked-NW_001813684.1-processed-gene-8.23-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-8.23&CDS=1-1899	YBR018C
OG0002434	maker-NW_001813684.1-augustus-gene-8.33-mRNA-1_1&gene=maker-NW_001813684.1-augustus-gene-8.33&CDS=1-2619	YBR019C
OG0002435	snap_masked-NW_001813684.1-processed-gene-8.60-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-8.60&CDS=1-1389	YMR010W
OG0002436	snap_masked-NW_001813684.1-processed-gene-8.61-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-8.61&CDS=1-2052	YMR126C
OG0002437	augustus_masked-NW_001813684.1-processed-gene-8.26-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-8.26&CDS=1-1221	YLR246W
OG0002438	snap_masked-NW_001813684.1-processed-gene-8.45-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-8.45&CDS=1-648	YER183C
OG0002439	snap_masked-NW_001813684.1-processed-gene-8.63-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-8.63&CDS=1-2637	YPL072W
OG0002440	snap_masked-NW_001813684.1-processed-gene-8.46-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-8.46&CDS=1-276	YBL029C-A
OG0002441	snap_masked-NW_001813684.1-processed-gene-8.47-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-8.47&CDS=1-1020	YCR021C
OG0002442	snap_masked-NW_001813684.1-processed-gene-8.48-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-8.48&CDS=1-879	YLR064W
OG0002443	augustus_masked-NW_001813684.1-processed-gene-8.16-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-8.16&CDS=1-567	YLR065C
OG0002444	snap_masked-NW_001813684.1-processed-gene-8.66-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-8.66&CDS=1-1674	YIL024C
OG0002445	snap_masked-NW_001813684.1-processed-gene-8.67-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-8.67&CDS=1-3843	YOL075C
OG0002446	snap_masked-NW_001813684.1-processed-gene-8.68-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-8.68&CDS=1-999	YER156C
OG0002447	snap_masked-NW_001813684.1-processed-gene-8.71-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-8.71&CDS=1-954	YPL067C
OG0002448	maker-NW_001813684.1-snap-gene-8.0-mRNA-1_1&gene=maker-NW_001813684.1-snap-gene-8.0&CDS=1-1614	YDL020C
OG0002449	snap_masked-NW_001813684.1-processed-gene-9.49-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-9.49&CDS=1-1224	YBR004C
OG0002450	snap_masked-NW_001813684.1-processed-gene-9.69-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-9.69&CDS=1-1047	YLR421C
OG0002451	snap_masked-NW_001813684.1-processed-gene-9.53-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-9.53&CDS=1-1350	YLR314C
OG0002452	snap_masked-NW_001813684.1-processed-gene-9.54-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-9.54&CDS=1-849	YLL023C
OG0002453	snap_masked-NW_001813684.1-processed-gene-9.55-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-9.55&CDS=1-3474	YFL025C
OG0002454	snap_masked-NW_001813684.1-processed-gene-9.71-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-9.71&CDS=1-1242	YIR005W
OG0002455	augustus_masked-NW_001813684.1-processed-gene-9.11-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-9.11&CDS=1-2622	YMR049C
OG0002456	maker-NW_001813684.1-snap-gene-9.93-mRNA-1_1&gene=maker-NW_001813684.1-snap-gene-9.93&CDS=1-999	YMR087W
OG0002457	snap_masked-NW_001813684.1-processed-gene-9.59-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-9.59&CDS=1-846	YNL055C
OG0002458	snap_masked-NW_001813684.1-processed-gene-9.60-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-9.60&CDS=1-2493	YJL031C
OG0002459	augustus_masked-NW_001813684.1-processed-gene-9.27-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-9.27&CDS=1-738	YJL030W
OG0002460	snap_masked-NW_001813684.1-processed-gene-9.61-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-9.61&CDS=1-2148	YJL010C
OG0002461	snap_masked-NW_001813684.1-processed-gene-9.74-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-9.74&CDS=1-2091	YPL104W
OG0002462	snap_masked-NW_001813684.1-processed-gene-9.62-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-9.62&CDS=1-1446	YBR199W
OG0002463	snap_masked-NW_001813684.1-processed-gene-9.75-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-9.75&CDS=1-840	YNL155W
OG0002464	snap_masked-NW_001813684.1-processed-gene-9.63-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-9.63&CDS=1-909	YHR062C
OG0002465	snap_masked-NW_001813684.1-processed-gene-9.64-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-9.64&CDS=1-3132	YBR281C
OG0002466	maker-NW_001813684.1-augustus-gene-9.43-mRNA-1_1&gene=maker-NW_001813684.1-augustus-gene-9.43&CDS=1-1671	YMR140W
OG0002467	snap_masked-NW_001813684.1-processed-gene-9.85-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-9.85&CDS=1-918	YER175C
OG0002468	snap_masked-NW_001813684.1-processed-gene-9.66-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-9.66&CDS=1-1197	YML095C
OG0002469	augustus_masked-NW_001813684.1-processed-gene-9.38-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-9.38&CDS=1-456	YML094W
OG0002470	snap_masked-NW_001813684.1-processed-gene-9.88-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-9.88&CDS=1-2052	YML127W
OG0002471	augustus_masked-NW_001813684.1-processed-gene-10.23-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-10.23&CDS=1-465	YBL078C
OG0002472	snap_masked-NW_001813684.1-processed-gene-10.63-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-10.63&CDS=1-1266	YDR415C
OG0002473	augustus_masked-NW_001813684.1-processed-gene-10.25-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-10.25&CDS=1-924	YDR020C
OG0002474	snap_masked-NW_001813684.1-processed-gene-10.46-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-10.46&CDS=1-1197	YDR021W
OG0002475	snap_masked-NW_001813684.1-processed-gene-10.47-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-10.47&CDS=1-3321	YER110C
OG0002476	snap_masked-NW_001813684.1-processed-gene-10.64-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-10.64&CDS=1-1533	YBL080C
OG0002477	snap_masked-NW_001813684.1-processed-gene-10.65-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-10.65&CDS=1-492	YOL143C
OG0002478	augustus_masked-NW_001813684.1-processed-gene-10.9-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-10.9&CDS=1-1506	YBR283C
OG0002479	snap_masked-NW_001813684.1-processed-gene-10.67-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-10.67&CDS=1-2418	YKL155C
OG0002480	snap_masked-NW_001813684.1-processed-gene-10.52-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-10.52&CDS=1-735	YGR235C
OG0002481	snap_masked-NW_001813684.1-processed-gene-10.68-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-10.68&CDS=1-1344	YGR257C
OG0002482	snap_masked-NW_001813684.1-processed-gene-10.69-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-10.69&CDS=1-4794	YHR186C
OG0002483	maker-NW_001813684.1-augustus-gene-10.78-mRNA-1_1&gene=maker-NW_001813684.1-augustus-gene-10.78&CDS=1-2427	YOL148C
OG0002484	snap_masked-NW_001813684.1-processed-gene-10.71-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-10.71&CDS=1-576	YOL149W
OG0002485	augustus_masked-NW_001813684.1-processed-gene-10.15-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-10.15&CDS=1-633	YOL114C
OG0002486	augustus_masked-NW_001813684.1-processed-gene-10.17-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-10.17&CDS=1-4902	YBR275C
OG0002487	snap_masked-NW_001813684.1-processed-gene-10.57-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-10.57&CDS=1-2781	YJL057C
OG0002488	snap_masked-NW_001813684.1-processed-gene-10.58-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-10.58&CDS=1-1992	YOL115W
OG0002489	snap_masked-NW_001813684.1-processed-gene-10.75-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-10.75&CDS=1-1332	YDR306C
OG0002490	snap_masked-NW_001813684.1-processed-gene-10.59-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-10.59&CDS=1-2097	YCL057W
OG0002491	snap_masked-NW_001813684.1-processed-gene-10.76-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-10.76&CDS=1-1956	YBR121C
OG0002492	snap_masked-NW_001813684.1-processed-gene-10.77-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-10.77&CDS=1-1929	YHR078W
OG0002493	snap_masked-NW_001813684.1-processed-gene-10.60-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-10.60&CDS=1-705	YDR296W
OG0002494	snap_masked-NW_001813684.1-processed-gene-11.0-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-11.0&CDS=1-861	YOR238W
OG0002495	snap_masked-NW_001813684.1-processed-gene-11.4-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-11.4&CDS=1-1101	YBR249C
OG0002496	maker-NW_001813684.1-augustus-gene-11.33-mRNA-1_1&gene=maker-NW_001813684.1-augustus-gene-11.33&CDS=1-2481	YKR070W
OG0002497	augustus_masked-NW_001813684.1-processed-gene-11.42-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-11.42&CDS=1-381	YKL144C
OG0002498	snap_masked-NW_001813684.1-processed-gene-11.23-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-11.23&CDS=1-1293	YKL145W
OG0002499	augustus_masked-NW_001813684.1-processed-gene-11.58-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-11.58&CDS=1-1023	YOL002C
OG0002500	snap_masked-NW_001813684.1-processed-gene-11.26-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-11.26&CDS=1-1803	YJL071W
OG0002501	maker-NW_001813684.1-snap-gene-11.68-mRNA-1_1&gene=maker-NW_001813684.1-snap-gene-11.68&CDS=1-603	YJL072C
OG0002502	augustus_masked-NW_001813684.1-processed-gene-11.61-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-11.61&CDS=1-2478	YOR001W
OG0002503	augustus_masked-NW_001813684.1-processed-gene-11.43-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-11.43&CDS=1-1614	YBR267W
OG0002504	snap_masked-NW_001813684.1-processed-gene-11.28-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-11.28&CDS=1-2700	YJL062W
OG0002505	snap_masked-NW_001813684.1-processed-gene-11.29-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-11.29&CDS=1-4191	YMR012W
OG0002506	snap_masked-NW_001813684.1-processed-gene-11.16-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-11.16&CDS=1-2118	YML088W
OG0002507	snap_masked-NW_001813684.1-processed-gene-11.19-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-11.19&CDS=1-348	YBR268W
OG0002508	snap_masked-NW_001813684.1-processed-gene-11.32-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-11.32&CDS=1-2625	YPR089W
OG0002509	augustus_masked-NW_001813684.1-processed-gene-11.51-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-11.51&CDS=1-921	YPR079W
OG0002510	maker-NW_001813684.1-snap-gene-12.4-mRNA-1_1&gene=maker-NW_001813684.1-snap-gene-12.4&CDS=1-5202	YNL287W
OG0002511	augustus_masked-NW_001813684.1-processed-gene-12.43-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-12.43&CDS=1-627	YPL178W
OG0002512	snap_masked-NW_001813684.1-processed-gene-12.16-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-12.16&CDS=1-2904	YGL083W
OG0002513	snap_masked-NW_001813684.1-processed-gene-12.17-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-12.17&CDS=1-1179	YLR056W
OG0002514	snap_masked-NW_001813684.1-processed-gene-12.18-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-12.18&CDS=1-2175	YHL016C
OG0002515	snap_masked-NW_001813684.1-processed-gene-12.19-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-12.19&CDS=1-5577	YBR208C
OG0002516	snap_masked-NW_001813684.1-processed-gene-12.31-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-12.31&CDS=1-1968	YPR007C
OG0002517	snap_masked-NW_001813684.1-processed-gene-12.33-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-12.33&CDS=1-600	YLR221C
OG0002518	maker-NW_001813684.1-snap-gene-12.1-mRNA-1_1&gene=maker-NW_001813684.1-snap-gene-12.1&CDS=1-2076	YPL088W
OG0002519	snap_masked-NW_001813684.1-processed-gene-12.35-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-12.35&CDS=1-3546	YIL048W
OG0002520	augustus_masked-NW_001813684.1-processed-gene-12.54-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-12.54&CDS=1-3180	YIL047C
OG0002521	maker-NW_001813684.1-snap-gene-12.5-mRNA-1_1&gene=maker-NW_001813684.1-snap-gene-12.5&CDS=1-1641	YBL099W
OG0002522	augustus_masked-NW_001813684.1-processed-gene-12.56-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-12.56&CDS=1-825	YEL072W
OG0002523	snap_masked-NW_001813684.1-processed-gene-12.28-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-12.28&CDS=1-909	YKL024C
OG0002524	snap_masked-NW_001813684.1-processed-gene-12.29-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-12.29&CDS=1-528	YJR017C
OG0002525	snap_masked-NW_001813684.1-processed-gene-12.30-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-12.30&CDS=1-2634	YKL157W
OG0002526	maker-NW_001813684.1-augustus-gene-12.11-mRNA-1_1&gene=maker-NW_001813684.1-augustus-gene-12.11&CDS=1-4698	YLR425W
OG0002527	snap_masked-NW_001813684.1-processed-gene-13.38-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-13.38&CDS=1-1641	YER065C
OG0002528	snap_masked-NW_001813684.1-processed-gene-13.41-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-13.41&CDS=1-1083	YPL031C
OG0002529	snap_masked-NW_001813684.1-processed-gene-13.64-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-13.64&CDS=1-2997	YPL030W
OG0002530	snap_masked-NW_001813684.1-processed-gene-13.65-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-13.65&CDS=1-297	YPL046C
OG0002531	snap_masked-NW_001813684.1-processed-gene-13.42-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-13.42&CDS=1-2853	YPL045W
OG0002532	snap_masked-NW_001813684.1-processed-gene-13.43-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-13.43&CDS=1-2385	YPL043W
OG0002533	snap_masked-NW_001813684.1-processed-gene-13.66-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-13.66&CDS=1-942	YDL047W
OG0002534	snap_masked-NW_001813684.1-processed-gene-13.44-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-13.44&CDS=1-645	YER050C
OG0002535	maker-NW_001813684.1-snap-gene-13.79-mRNA-1_1&gene=maker-NW_001813684.1-snap-gene-13.79&CDS=1-378	YMR059W
OG0002536	augustus_masked-NW_001813684.1-processed-gene-13.9-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-13.9&CDS=1-1488	YNL234W
OG0002537	augustus_masked-NW_001813684.1-processed-gene-13.11-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-13.11&CDS=1-3954	YNL233W
OG0002538	augustus_masked-NW_001813684.1-processed-gene-13.12-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-13.12&CDS=1-942	YNL232W
OG0002539	snap_masked-NW_001813684.1-processed-gene-13.68-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-13.68&CDS=1-1182	YNL231C
OG0002540	snap_masked-NW_001813684.1-processed-gene-13.69-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-13.69&CDS=1-1443	YMR210W
OG0002541	snap_masked-NW_001813684.1-processed-gene-13.51-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-13.51&CDS=1-1287	YPL154C
OG0002542	snap_masked-NW_001813684.1-processed-gene-13.70-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-13.70&CDS=1-1962	YJR045C
OG0002543	snap_masked-NW_001813684.1-processed-gene-13.72-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-13.72&CDS=1-1281	YPL157W
OG0002544	snap_masked-NW_001813684.1-processed-gene-13.74-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-13.74&CDS=1-693	YEL032W
OG0002545	snap_masked-NW_001813684.1-processed-gene-13.75-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-13.75&CDS=1-1689	YPR144C
OG0002546	snap_masked-NW_001813684.1-processed-gene-13.55-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-13.55&CDS=1-999	YDR400W
OG0002547	snap_masked-NW_001813684.1-processed-gene-13.76-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-13.76&CDS=1-723	YKR043C
OG0002548	snap_masked-NW_001813684.1-processed-gene-13.56-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-13.56&CDS=1-345	YBR120C
OG0002549	snap_masked-NW_001813684.1-processed-gene-13.77-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-13.77&CDS=1-1113	YJL117W
OG0002550	augustus_masked-NW_001813684.1-processed-gene-13.19-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-13.19&CDS=1-2283	YGL110C
OG0002551	snap_masked-NW_001813684.1-processed-gene-13.60-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-13.60&CDS=1-1413	YOL062C
OG0002552	snap_masked-NW_001813684.1-processed-gene-13.61-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-13.61&CDS=1-1461	YOL061W
OG0002553	snap_masked-NW_001813684.1-processed-gene-13.62-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-13.62&CDS=1-2337	YJR143C
OG0002554	snap_masked-NW_001813684.1-processed-gene-13.63-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-13.63&CDS=1-1194	YHR201C
OG0002555	augustus_masked-NW_001813684.1-processed-gene-14.46-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-14.46&CDS=1-1119	YJR141W
OG0002556	augustus_masked-NW_001813684.1-processed-gene-14.45-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-14.45&CDS=1-1050	YMR048W
OG0002557	snap_masked-NW_001813684.1-processed-gene-14.8-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-14.8&CDS=1-915	YHR200W
OG0002558	snap_masked-NW_001813684.1-processed-gene-14.9-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-14.9&CDS=1-4365	YJR137C
OG0002559	snap_masked-NW_001813684.1-processed-gene-14.10-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-14.10&CDS=1-1752	YER086W
OG0002560	maker-NW_001813684.1-snap-gene-14.88-mRNA-1_1&gene=maker-NW_001813684.1-snap-gene-14.88&CDS=1-3171	YLR289W
OG0002561	snap_masked-NW_001813684.1-processed-gene-14.30-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-14.30&CDS=1-1011	YLR288C
OG0002562	maker-NW_001813684.1-augustus-gene-14.0-mRNA-1_1&gene=maker-NW_001813684.1-augustus-gene-14.0&CDS=1-2709	YLR277C
OG0002563	snap_masked-NW_001813684.1-processed-gene-14.31-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-14.31&CDS=1-2187	YLR274W
OG0002564	augustus_masked-NW_001813684.1-processed-gene-14.52-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-14.52&CDS=1-516	YLR281C
OG0002565	snap_masked-NW_001813684.1-processed-gene-14.33-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-14.33&CDS=1-324	YLR295C
OG0002566	snap_masked-NW_001813684.1-processed-gene-14.15-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-14.15&CDS=1-555	YLR298C
OG0002567	snap_masked-NW_001813684.1-processed-gene-14.34-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-14.34&CDS=1-645	YLR293C
OG0002568	snap_masked-NW_001813684.1-processed-gene-14.36-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-14.36&CDS=1-930	YAL025C
OG0002569	snap_masked-NW_001813684.1-processed-gene-14.37-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-14.37&CDS=1-537	YOR367W
OG0002570	maker-NW_001813684.1-snap-gene-14.90-mRNA-1_1&gene=maker-NW_001813684.1-snap-gene-14.90&CDS=1-1563	YML056C
OG0002571	maker-NW_001813684.1-snap-gene-14.91-mRNA-1_1&gene=maker-NW_001813684.1-snap-gene-14.91&CDS=1-4143	YOR014W
OG0002572	maker-NW_001813684.1-augustus-gene-14.5-mRNA-1_1&gene=maker-NW_001813684.1-augustus-gene-14.5&CDS=1-3612	YGR094W
OG0002573	snap_masked-NW_001813684.1-processed-gene-14.44-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-14.44&CDS=1-1278	YGR091W
OG0002574	snap_masked-NW_001813684.1-processed-gene-14.26-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-14.26&CDS=1-702	YGR095C
OG0002575	snap_masked-NW_001813684.1-processed-gene-15.24-mRNA-1_1&gene=snap_masked-NW_001813684.1-processed-gene-15.24&CDS=1-4905	YAL024C
OG0002576	augustus_masked-NW_001813684.1-processed-gene-15.61-mRNA-1_1&gene=augustus_masked-NW_001813684.1-processed-gene-15.61&CDS=1-639	YGR081C
