	Saccharomyces_cerevisiae	Yarrowia_deformans
OG0002434	YLR438W	-processed-gene-0.36-mRNA-1_1&gene=genemark-gi|1002317468|dbj|BCIW01000021.1|-processed-gene-0.36&CDS=1-1296
OG0002435	YLR439W	-processed-gene-7.46-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-7.46&CDS=1-1020
OG0002436	YLR441C	-processed-gene-2.42-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-2.42&CDS=1-765
OG0002437	YLR447C	-processed-gene-10.4-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-10.4&CDS=1-1038
OG0002438	YLR451W	-processed-gene-16.50-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-16.50&CDS=1-2433
OG0002439	YLR452C	-processed-gene-9.22-mRNA-1_1&gene=snap_masked-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-9.22&CDS=1-1350
OG0002440	YLR459W	-processed-gene-3.24-mRNA-1_1&gene=genemark-gi|1002317473|dbj|BCIW01000016.1|-processed-gene-3.24&CDS=1-1239
OG0002441	YML001W	-processed-gene-9.34-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-9.34&CDS=1-615
OG0002442	YML002W	-processed-gene-3.63-mRNA-1_1&gene=genemark-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-3.63&CDS=1-3165
OG0002443	YML004C	-processed-gene-1.14-mRNA-1_1&gene=genemark-gi|1002317472|dbj|BCIW01000017.1|-processed-gene-1.14&CDS=1-960
OG0002444	YML005W	-processed-gene-2.87-mRNA-1_1&gene=augustus_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-2.87&CDS=1-939
OG0002445	YML007W	-processed-gene-10.52-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-10.52&CDS=1-1662
OG0002446	YML008C	-processed-gene-5.55-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-5.55&CDS=1-1140
OG0002447	YML009C	-processed-gene-9.30-mRNA-1_1&gene=augustus_masked-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-9.30&CDS=1-210
OG0002448	YML010W	-processed-gene-8.69-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-8.69&CDS=1-2949
OG0002449	YML012W	-processed-gene-8.89-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-8.89&CDS=1-633
OG0002450	YML014W	-processed-gene-5.56-mRNA-1_1&gene=augustus_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-5.56&CDS=1-2022
OG0002451	YML015C	-processed-gene-10.149-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-10.149&CDS=1-534
OG0002452	YML016C	-processed-gene-5.51-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-5.51&CDS=1-1566
OG0002453	YML018C	-processed-gene-9.16-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-9.16&CDS=1-1251
OG0002454	YML020W	-processed-gene-17.16-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-17.16&CDS=1-2673
OG0002455	YML021C	-processed-gene-10.17-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-10.17&CDS=1-1128
OG0002456	YML022W	-processed-gene-13.8-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-13.8&CDS=1-546
OG0002457	YML025C	-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-1.13&CDS=1-810
OG0002458	YML028W	-processed-gene-2.3-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-2.3&CDS=1-588
OG0002459	YML030W	-processed-gene-9.77-mRNA-1_1&gene=genemark-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-9.77&CDS=1-420
OG0002460	YML032C	-processed-gene-11.94-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-11.94&CDS=1-1248
OG0002461	YML035C	-processed-gene-0.103-mRNA-1_1&gene=snap_masked-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-0.103&CDS=1-2592
OG0002462	YML036W	-processed-gene-4.38-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-4.38&CDS=1-507
OG0002463	YML038C	-processed-gene-0.66-mRNA-1_1&gene=genemark-gi|1002317472|dbj|BCIW01000017.1|-processed-gene-0.66&CDS=1-1200
OG0002464	YML042W	-processed-gene-8.43-mRNA-1_1&gene=augustus_masked-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-8.43&CDS=1-1881
OG0002465	YML048W	-processed-gene-4.1-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-4.1&CDS=1-1302
OG0002466	YML049C	-processed-gene-4.3-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-4.3&CDS=1-3159
OG0002467	YML050W	-processed-gene-3.13-mRNA-1_1&gene=snap_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-3.13&CDS=1-492
OG0002468	YML054C	-processed-gene-0.87-mRNA-1_1&gene=genemark-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-0.87&CDS=1-1479
OG0002469	YML056C	-processed-gene-4.98-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-4.98&CDS=1-1578
OG0002470	YML059C	-processed-gene-7.45-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-7.45&CDS=1-4281
OG0002471	YML060W	-processed-gene-5.33-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-5.33&CDS=1-1206
OG0002472	YML061C	-processed-gene-5.2-mRNA-1_1&gene=snap_masked-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-5.2&CDS=1-2562
OG0002473	YML064C	-processed-gene-4.15-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-4.15&CDS=1-630
OG0002474	YML065W	-processed-gene-14.12-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-14.12&CDS=1-2130
OG0002475	YML067C	-processed-gene-23.18-mRNA-1_1&gene=augustus_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-23.18&CDS=1-1011
OG0002476	YML068W	-processed-gene-1.32-mRNA-1_1&gene=snap_masked-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-1.32&CDS=1-942
OG0002477	YML069W	-processed-gene-5.112-mRNA-1_1&gene=genemark-gi|1002317476|dbj|BCIW01000013.1|-processed-gene-5.112&CDS=1-1635
OG0002478	YML071C	-processed-gene-10.5-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-10.5&CDS=1-1095
OG0002479	YML073C	-processed-gene-7.95-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-7.95&CDS=1-561
OG0002480	YML076C	-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-1.25&CDS=1-2391
OG0002481	YML077W	-processed-gene-8.23-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-8.23&CDS=1-570
OG0002482	YML080W	-processed-gene-2.42-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-2.42&CDS=1-1266
OG0002483	YML081C-A	-processed-gene-6.9-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-6.9&CDS=1-186
OG0002484	YML085C	-processed-gene-2.69-mRNA-1_1&gene=genemark-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-2.69&CDS=1-1347
OG0002485	YML086C	-processed-gene-8.144-mRNA-1_1&gene=genemark-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-8.144&CDS=1-1578
OG0002486	YML092C	-processed-gene-1.27-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-1.27&CDS=1-753
OG0002487	YML093W	-snap-gene-15.76-mRNA-1_1&gene=maker-gi|1002317488|dbj|BCIW01000001.1|-snap-gene-15.76&CDS=1-2742
OG0002488	YML094W	-processed-gene-4.46-mRNA-1_1&gene=genemark-gi|1002317476|dbj|BCIW01000013.1|-processed-gene-4.46&CDS=1-462
OG0002489	YML095C	-processed-gene-4.80-mRNA-1_1&gene=snap_masked-gi|1002317476|dbj|BCIW01000013.1|-processed-gene-4.80&CDS=1-792
OG0002490	YML096W	-processed-gene-4.60-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-4.60&CDS=1-1389
OG0002491	YML097C	-processed-gene-3.6-mRNA-1_1&gene=genemark-gi|1002317473|dbj|BCIW01000016.1|-processed-gene-3.6&CDS=1-1659
OG0002492	YML098W	-processed-gene-7.20-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-7.20&CDS=1-450
OG0002493	YML099C	-processed-gene-10.5-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-10.5&CDS=1-2406
OG0002494	YML102W	-processed-gene-2.6-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-2.6&CDS=1-2094
OG0002495	YML103C	-processed-gene-6.97-mRNA-1_1&gene=augustus_masked-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-6.97&CDS=1-4644
OG0002496	YML104C	-processed-gene-11.100-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-11.100&CDS=1-4086
OG0002497	YML105C	-processed-gene-11.170-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-11.170&CDS=1-936
OG0002498	YML110C	-processed-gene-6.41-mRNA-1_1&gene=genemark-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-6.41&CDS=1-918
OG0002499	YML114C	-processed-gene-3.113-mRNA-1_1&gene=augustus_masked-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-3.113&CDS=1-1419
OG0002500	YML121W	-processed-gene-11.158-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-11.158&CDS=1-708
OG0002501	YML126C	-processed-gene-2.69-mRNA-1_1&gene=genemark-gi|1002317472|dbj|BCIW01000017.1|-processed-gene-2.69&CDS=1-1338
OG0002502	YML127W	-processed-gene-2.121-mRNA-1_1&gene=augustus_masked-gi|1002317472|dbj|BCIW01000017.1|-processed-gene-2.121&CDS=1-1812
OG0002503	YML128C	-processed-gene-2.106-mRNA-1_1&gene=augustus_masked-gi|1002317472|dbj|BCIW01000017.1|-processed-gene-2.106&CDS=1-1689
OG0002504	YML130C	-processed-gene-7.11-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-7.11&CDS=1-1710
OG0002505	YMR001C	-processed-gene-4.56-mRNA-1_1&gene=genemark-gi|1002317476|dbj|BCIW01000013.1|-processed-gene-4.56&CDS=1-2181
OG0002506	YMR002W	-processed-gene-11.68-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-11.68&CDS=1-456
OG0002507	YMR003W	-processed-gene-11.10-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-11.10&CDS=1-675
OG0002508	YMR004W	-processed-gene-1.93-mRNA-1_1&gene=genemark-gi|1002317477|dbj|BCIW01000012.1|-processed-gene-1.93&CDS=1-1830
OG0002509	YMR005W	-processed-gene-1.26-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-1.26&CDS=1-1113
OG0002510	YMR009W	-processed-gene-22.38-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-22.38&CDS=1-519
OG0002511	YMR010W	-processed-gene-1.27-mRNA-1_1&gene=genemark-gi|1002317472|dbj|BCIW01000017.1|-processed-gene-1.27&CDS=1-1038
OG0002512	YMR012W	-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-0.66&CDS=1-3603
OG0002513	YMR013C	-processed-gene-3.38-mRNA-1_1&gene=genemark-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-3.38&CDS=1-1764
OG0002514	YMR015C	-processed-gene-1.38-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-1.38&CDS=1-1521
OG0002515	YMR019W	-processed-gene-10.85-mRNA-1_1&gene=augustus_masked-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-10.85&CDS=1-2304
OG0002516	YMR020W	-processed-gene-0.51-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-0.51&CDS=1-1317
OG0002517	YMR022W	-processed-gene-3.48-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-3.48&CDS=1-507
OG0002518	YMR023C	-processed-gene-0.6-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-0.6&CDS=1-1443
OG0002519	YMR024W	-processed-gene-8.76-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-8.76&CDS=1-1197
OG0002520	YMR026C	-processed-gene-3.28-mRNA-1_1&gene=snap_masked-gi|1002317476|dbj|BCIW01000013.1|-processed-gene-3.28&CDS=1-1224
OG0002521	YMR027W	-processed-gene-11.123-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-11.123&CDS=1-1371
OG0002522	YMR028W	-processed-gene-11.121-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-11.121&CDS=1-1134
OG0002523	YMR029C	-processed-gene-6.28-mRNA-1_1&gene=augustus_masked-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-6.28&CDS=1-1614
OG0002524	YMR033W	-processed-gene-7.63-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-7.63&CDS=1-1392
OG0002525	YMR035W	-processed-gene-7.62-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-7.62&CDS=1-573
OG0002526	YMR036C	-processed-gene-4.25-mRNA-1_1&gene=augustus_masked-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-4.25&CDS=1-1509
OG0002527	YMR038C	-processed-gene-1.32-mRNA-1_1&gene=genemark-gi|1002317472|dbj|BCIW01000017.1|-processed-gene-1.32&CDS=1-702
OG0002528	YMR039C	-processed-gene-6.67-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-6.67&CDS=1-414
OG0002529	YMR041C	-processed-gene-1.17-mRNA-1_1&gene=genemark-gi|1002317472|dbj|BCIW01000017.1|-processed-gene-1.17&CDS=1-990
OG0002530	YMR042W	-processed-gene-5.46-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-5.46&CDS=1-840
OG0002531	YMR044W	-processed-gene-8.59-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-8.59&CDS=1-1542
OG0002532	YMR049C	-processed-gene-3.122-mRNA-1_1&gene=genemark-gi|1002317471|dbj|BCIW01000018.1|-processed-gene-3.122&CDS=1-2460
OG0002533	YMR055C	-processed-gene-4.61-mRNA-1_1&gene=genemark-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-4.61&CDS=1-1050
OG0002534	YMR059W	-processed-gene-3.64-mRNA-1_1&gene=genemark-gi|1002317476|dbj|BCIW01000013.1|-processed-gene-3.64&CDS=1-321
OG0002535	YMR061W	-processed-gene-8.43-mRNA-1_1&gene=augustus_masked-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-8.43&CDS=1-2556
OG0002536	YMR062C	-processed-gene-2.5-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-2.5&CDS=1-1293
OG0002537	YMR063W	-processed-gene-1.83-mRNA-1_1&gene=genemark-gi|1002317473|dbj|BCIW01000016.1|-processed-gene-1.83&CDS=1-2163
OG0002538	YMR065W	-processed-gene-9.88-mRNA-1_1&gene=snap_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-9.88&CDS=1-1221
OG0002539	YMR068W	-processed-gene-5.30-mRNA-1_1&gene=snap_masked-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-5.30&CDS=1-1539
OG0002540	YMR069W	-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-gi|1002317466|dbj|BCIW01000023.1|-processed-gene-1.5&CDS=1-471
OG0002541	YMR071C	-processed-gene-5.24-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-5.24&CDS=1-444
OG0002542	YMR073C	-processed-gene-1.61-mRNA-1_1&gene=snap_masked-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-1.61&CDS=1-513
OG0002543	YMR074C	-processed-gene-4.57-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-4.57&CDS=1-420
OG0002544	YMR075W	-processed-gene-2.3-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-2.3&CDS=1-1758
OG0002545	YMR076C	-processed-gene-2.99-mRNA-1_1&gene=augustus_masked-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-2.99&CDS=1-3528
OG0002546	YMR077C	-processed-gene-11.204-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-11.204&CDS=1-633
OG0002547	YMR078C	-processed-gene-1.56-mRNA-1_1&gene=snap_masked-gi|1002317476|dbj|BCIW01000013.1|-processed-gene-1.56&CDS=1-2601
OG0002548	YMR079W	-processed-gene-19.71-mRNA-1_1&gene=augustus_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-19.71&CDS=1-1452
OG0002549	YMR080C	-processed-gene-1.21-mRNA-1_1&gene=genemark-gi|1002317476|dbj|BCIW01000013.1|-processed-gene-1.21&CDS=1-2922
OG0002550	YMR088C	-processed-gene-1.63-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-1.63&CDS=1-1674
OG0002551	YMR091C	-processed-gene-10.32-mRNA-1_1&gene=augustus_masked-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-10.32&CDS=1-1581
OG0002552	YMR092C	-processed-gene-4.19-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-4.19&CDS=1-1719
OG0002553	YMR093W	-processed-gene-4.11-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-4.11&CDS=1-1497
OG0002554	YMR097C	-processed-gene-4.15-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-4.15&CDS=1-1140
OG0002555	YMR098C	-processed-gene-4.12-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-4.12&CDS=1-1965
OG0002556	YMR099C	-processed-gene-8.57-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-8.57&CDS=1-861
OG0002557	YMR100W	-snap-gene-2.0-mRNA-1_1&gene=maker-gi|1002317484|dbj|BCIW01000005.1|-snap-gene-2.0&CDS=1-1875
OG0002558	YMR105C	-processed-gene-4.42-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-4.42&CDS=1-1647
OG0002559	YMR106C	-processed-gene-4.25-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-4.25&CDS=1-2181
OG0002560	YMR108W	-processed-gene-0.16-mRNA-1_1&gene=genemark-gi|1002317469|dbj|BCIW01000020.1|-processed-gene-0.16&CDS=1-2046
OG0002561	YMR109W	-augustus-gene-4.45-mRNA-1_1&gene=maker-gi|1002317481|dbj|BCIW01000008.1|-augustus-gene-4.45&CDS=1-3714
OG0002562	YMR116C	-processed-gene-1.98-mRNA-1_1&gene=genemark-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-1.98&CDS=1-972
OG0002563	YMR120C	-processed-gene-2.30-mRNA-1_1&gene=genemark-gi|1002317476|dbj|BCIW01000013.1|-processed-gene-2.30&CDS=1-1770
OG0002564	YMR121C	-processed-gene-2.29-mRNA-1_1&gene=genemark-gi|1002317476|dbj|BCIW01000013.1|-processed-gene-2.29&CDS=1-609
OG0002565	YMR123W	-processed-gene-2.120-mRNA-1_1&gene=augustus_masked-gi|1002317472|dbj|BCIW01000017.1|-processed-gene-2.120&CDS=1-291
OG0002566	YMR125W	-processed-gene-0.10-mRNA-1_1&gene=snap_masked-gi|1002317470|dbj|BCIW01000019.1|-processed-gene-0.10&CDS=1-2604
OG0002567	YMR126C	-processed-gene-3.49-mRNA-1_1&gene=genemark-gi|1002317476|dbj|BCIW01000013.1|-processed-gene-3.49&CDS=1-1329
OG0002568	YMR127C	-processed-gene-3.47-mRNA-1_1&gene=genemark-gi|1002317476|dbj|BCIW01000013.1|-processed-gene-3.47&CDS=1-1164
OG0002569	YMR128W	-processed-gene-3.63-mRNA-1_1&gene=genemark-gi|1002317476|dbj|BCIW01000013.1|-processed-gene-3.63&CDS=1-3807
OG0002570	YMR129W	-processed-gene-3.44-mRNA-1_1&gene=genemark-gi|1002317476|dbj|BCIW01000013.1|-processed-gene-3.44&CDS=1-3870
OG0002571	YMR131C	-processed-gene-8.60-mRNA-1_1&gene=genemark-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-8.60&CDS=1-1521
OG0002572	YMR132C	-processed-gene-4.16-mRNA-1_1&gene=genemark-gi|1002317473|dbj|BCIW01000016.1|-processed-gene-4.16&CDS=1-633
OG0002573	YMR135C	-processed-gene-13.13-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-13.13&CDS=1-678
OG0002574	YMR137C	-processed-gene-5.1-mRNA-1_1&gene=snap_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-5.1&CDS=1-1569
OG0002575	YMR139W	-processed-gene-3.58-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-3.58&CDS=1-1131
OG0002576	YMR140W	-processed-gene-5.49-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-5.49&CDS=1-1518
OG0002577	YMR146C	-processed-gene-3.32-mRNA-1_1&gene=genemark-gi|1002317477|dbj|BCIW01000012.1|-processed-gene-3.32&CDS=1-1011
OG0002578	YMR150C	-processed-gene-4.8-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-4.8&CDS=1-561
OG0002579	YMR156C	-processed-gene-6.63-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-6.63&CDS=1-948
OG0002580	YMR158W	-processed-gene-6.35-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-6.35&CDS=1-474
OG0002581	YMR161W	-processed-gene-2.14-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-2.14&CDS=1-1029
OG0002582	YMR162C	-snap-gene-2.1-mRNA-1_1&gene=maker-gi|1002317484|dbj|BCIW01000005.1|-snap-gene-2.1&CDS=1-5160
OG0002583	YMR165C	-processed-gene-3.38-mRNA-1_1&gene=genemark-gi|1002317476|dbj|BCIW01000013.1|-processed-gene-3.38&CDS=1-2358
OG0002584	YMR166C	-processed-gene-3.192-mRNA-1_1&gene=genemark-gi|1002317472|dbj|BCIW01000017.1|-processed-gene-3.192&CDS=1-984
OG0002585	YMR167W	-processed-gene-1.137-mRNA-1_1&gene=snap_masked-gi|1002317468|dbj|BCIW01000021.1|-processed-gene-1.137&CDS=1-1926
OG0002586	YMR178W	-processed-gene-16.19-mRNA-1_1&gene=augustus_masked-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-16.19&CDS=1-867
OG0002587	YMR185W	-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-gi|1002317469|dbj|BCIW01000020.1|-processed-gene-1.138&CDS=1-2730
OG0002588	YMR188C	-processed-gene-1.47-mRNA-1_1&gene=genemark-gi|1002317469|dbj|BCIW01000020.1|-processed-gene-1.47&CDS=1-699
OG0002589	YMR189W	-processed-gene-10.56-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-10.56&CDS=1-2985
OG0002590	YMR190C	-processed-gene-0.181-mRNA-1_1&gene=augustus_masked-gi|1002317465|dbj|BCIW01000024.1|-processed-gene-0.181&CDS=1-3294
OG0002591	YMR193W	-processed-gene-11.12-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-11.12&CDS=1-897
OG0002592	YMR194C-B	-processed-gene-1.8-mRNA-1_1&gene=genemark-gi|1002317472|dbj|BCIW01000017.1|-processed-gene-1.8&CDS=1-267
OG0002593	YMR196W	-processed-gene-9.14-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-9.14&CDS=1-3066
OG0002594	YMR197C	-processed-gene-9.1-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-9.1&CDS=1-654
OG0002595	YMR200W	-processed-gene-0.15-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-0.15&CDS=1-747
OG0002596	YMR201C	-processed-gene-2.71-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-2.71&CDS=1-837
OG0002597	YMR203W	-processed-gene-0.8-mRNA-1_1&gene=genemark-gi|1002317465|dbj|BCIW01000024.1|-processed-gene-0.8&CDS=1-1125
OG0002598	YMR205C	-processed-gene-3.47-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-3.47&CDS=1-2862
OG0002599	YMR208W	-processed-gene-12.31-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-12.31&CDS=1-1347
OG0002600	YMR210W	-processed-gene-0.24-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-0.24&CDS=1-1440
OG0002601	YMR211W	-processed-gene-0.65-mRNA-1_1&gene=genemark-gi|1002317471|dbj|BCIW01000018.1|-processed-gene-0.65&CDS=1-1419
OG0002602	YMR212C	-processed-gene-2.59-mRNA-1_1&gene=snap_masked-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-2.59&CDS=1-2556
OG0002603	YMR213W	-processed-gene-2.30-mRNA-1_1&gene=genemark-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-2.30&CDS=1-2169
OG0002604	YMR214W	-processed-gene-0.50-mRNA-1_1&gene=genemark-gi|1002317471|dbj|BCIW01000018.1|-processed-gene-0.50&CDS=1-1089
OG0002605	YMR215W	-processed-gene-1.97-mRNA-1_1&gene=genemark-gi|1002317477|dbj|BCIW01000012.1|-processed-gene-1.97&CDS=1-1470
