	Metschnikowia_kipukae	Saccharomyces_cerevisiae
OG0002690	snap_masked-kipT_s8-processed-gene-1.63-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-1.63&CDS=1-1101	YOL010W
OG0002691	snap_masked-kipT_s8-processed-gene-1.89-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-1.89&CDS=1-7389	YKL203C
OG0002692	snap_masked-kipT_s8-processed-gene-1.90-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-1.90&CDS=1-1260	YJR065C
OG0002693	snap_masked-kipT_s8-processed-gene-1.91-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-1.91&CDS=1-1647	YJR064W
OG0002694	snap_masked-kipT_s8-processed-gene-1.64-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-1.64&CDS=1-951	YJR070C
OG0002695	snap_masked-kipT_s8-processed-gene-1.92-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-1.92&CDS=1-369	YJR063W
OG0002696	snap_masked-kipT_s8-processed-gene-1.65-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-1.65&CDS=1-783	YOR004W
OG0002697	snap_masked-kipT_s8-processed-gene-1.93-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-1.93&CDS=1-771	YNL023C
OG0002698	snap_masked-kipT_s8-processed-gene-1.66-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-1.66&CDS=1-3798	YMR076C
OG0002699	snap_masked-kipT_s8-processed-gene-1.96-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-1.96&CDS=1-1440	YDL207W
OG0002700	snap_masked-kipT_s8-processed-gene-1.67-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-1.67&CDS=1-858	YDR237W
OG0002701	snap_masked-kipT_s8-processed-gene-1.68-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-1.68&CDS=1-690	YGR042W
OG0002702	snap_masked-kipT_s8-processed-gene-2.47-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-2.47&CDS=1-1128	YOL001W
OG0002703	snap_masked-kipT_s8-processed-gene-2.48-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-2.48&CDS=1-861	YMR178W
OG0002704	snap_masked-kipT_s8-processed-gene-2.51-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-2.51&CDS=1-2859	YOR335C
OG0002705	augustus_masked-kipT_s8-processed-gene-2.2-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-2.2&CDS=1-2598	YGL073W
OG0002706	snap_masked-kipT_s8-processed-gene-2.72-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-2.72&CDS=1-1053	YHR052W
OG0002707	snap_masked-kipT_s8-processed-gene-2.74-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-2.74&CDS=1-1338	YMR065W
OG0002708	genemark-kipT_s8-processed-gene-2.123-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-2.123&CDS=1-966	YMR063W
OG0002709	augustus_masked-kipT_s8-processed-gene-2.6-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-2.6&CDS=1-1083	YOL064C
OG0002710	maker-kipT_s8-snap-gene-2.148-mRNA-1_1&gene=maker-kipT_s8-snap-gene-2.148&CDS=1-1689	YPL097W
OG0002711	snap_masked-kipT_s8-processed-gene-2.77-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-2.77&CDS=1-1113	YPL096W
OG0002712	augustus_masked-kipT_s8-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-2.8&CDS=1-1659	YOR002W
OG0002713	snap_masked-kipT_s8-processed-gene-2.57-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-2.57&CDS=1-1401	YPL120W
OG0002714	genemark-kipT_s8-processed-gene-2.106-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-2.106&CDS=1-1173	YDR459C
OG0002715	snap_masked-kipT_s8-processed-gene-2.60-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-2.60&CDS=1-588	YHR026W
OG0002716	snap_masked-kipT_s8-processed-gene-2.82-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-2.82&CDS=1-2844	YHR027C
OG0002717	snap_masked-kipT_s8-processed-gene-2.61-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-2.61&CDS=1-1701	YJL201W
OG0002718	genemark-kipT_s8-processed-gene-2.133-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-2.133&CDS=1-699	YLR145W
OG0002719	genemark-kipT_s8-processed-gene-2.112-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-2.112&CDS=1-1143	YDR161W
OG0002720	snap_masked-kipT_s8-processed-gene-2.65-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-2.65&CDS=1-606	YDR163W
OG0002721	snap_masked-kipT_s8-processed-gene-2.86-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-2.86&CDS=1-3810	YLL021W
OG0002722	snap_masked-kipT_s8-processed-gene-2.87-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-2.87&CDS=1-852	YDL052C
OG0002723	snap_masked-kipT_s8-processed-gene-2.88-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-2.88&CDS=1-1878	YOR129C
OG0002724	maker-kipT_s8-snap-gene-2.149-mRNA-1_1&gene=maker-kipT_s8-snap-gene-2.149&CDS=1-657	YDR381W
OG0002725	genemark-kipT_s8-processed-gene-2.115-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-2.115&CDS=1-1356	YOR301W
OG0002726	snap_masked-kipT_s8-processed-gene-2.68-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-2.68&CDS=1-1683	YOR128C
OG0002727	snap_masked-kipT_s8-processed-gene-2.91-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-2.91&CDS=1-1773	YBR083W
OG0002728	snap_masked-kipT_s8-processed-gene-2.92-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-2.92&CDS=1-2154	YPR031W
OG0002729	augustus_masked-kipT_s8-processed-gene-3.4-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-3.4&CDS=1-1314	YDR364C
OG0002730	snap_masked-kipT_s8-processed-gene-3.40-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-3.40&CDS=1-900	YDR361C
OG0002731	snap_masked-kipT_s8-processed-gene-3.41-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-3.41&CDS=1-2817	YBR079C
OG0002732	snap_masked-kipT_s8-processed-gene-3.42-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-3.42&CDS=1-990	YCR036W
OG0002733	snap_masked-kipT_s8-processed-gene-3.43-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-3.43&CDS=1-762	YBR153W
OG0002734	snap_masked-kipT_s8-processed-gene-3.46-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-3.46&CDS=1-639	YBR154C
OG0002735	snap_masked-kipT_s8-processed-gene-3.66-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-3.66&CDS=1-282	YOL086W-A
OG0002736	snap_masked-kipT_s8-processed-gene-3.48-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-3.48&CDS=1-1458	YJL194W
OG0002737	snap_masked-kipT_s8-processed-gene-3.49-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-3.49&CDS=1-3435	YCR033W
OG0002738	snap_masked-kipT_s8-processed-gene-3.50-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-3.50&CDS=1-948	YBR146W
OG0002739	snap_masked-kipT_s8-processed-gene-3.67-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-3.67&CDS=1-1332	YNL040W
OG0002740	genemark-kipT_s8-processed-gene-3.102-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-3.102&CDS=1-633	YKL119C
OG0002741	genemark-kipT_s8-processed-gene-3.120-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-3.120&CDS=1-1068	YOL077C
OG0002742	augustus_masked-kipT_s8-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-3.28&CDS=1-3309	YOL080C
OG0002743	snap_masked-kipT_s8-processed-gene-3.56-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-3.56&CDS=1-1281	YOL097C
OG0002744	genemark-kipT_s8-processed-gene-3.108-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-3.108&CDS=1-606	YDR487C
OG0002745	genemark-kipT_s8-processed-gene-3.124-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-3.124&CDS=1-2928	YOL021C
OG0002746	snap_masked-kipT_s8-processed-gene-3.76-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-3.76&CDS=1-981	YKL051W
OG0002747	snap_masked-kipT_s8-processed-gene-3.58-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-3.58&CDS=1-747	YGL136C
OG0002748	snap_masked-kipT_s8-processed-gene-3.79-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-3.79&CDS=1-1146	YJL171C
OG0002749	snap_masked-kipT_s8-processed-gene-3.61-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-3.61&CDS=1-4800	YGR098C
OG0002750	snap_masked-kipT_s8-processed-gene-3.81-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-3.81&CDS=1-2436	YMR100W
OG0002751	snap_masked-kipT_s8-processed-gene-3.83-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-3.83&CDS=1-2370	YMR078C
OG0002752	snap_masked-kipT_s8-processed-gene-3.84-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-3.84&CDS=1-897	YMR079W
OG0002753	snap_masked-kipT_s8-processed-gene-3.85-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-3.85&CDS=1-3531	YKL092C
OG0002754	genemark-kipT_s8-processed-gene-3.115-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-3.115&CDS=1-2769	YMR080C
OG0002755	snap_masked-kipT_s8-processed-gene-3.65-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-3.65&CDS=1-453	YDR092W
OG0002756	snap_masked-kipT_s8-processed-gene-4.90-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-4.90&CDS=1-897	YBR085W
OG0002757	snap_masked-kipT_s8-processed-gene-4.93-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-4.93&CDS=1-1278	YOL052C
OG0002758	snap_masked-kipT_s8-processed-gene-4.103-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-4.103&CDS=1-477	YBR022W
OG0002759	snap_masked-kipT_s8-processed-gene-4.106-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-4.106&CDS=1-1215	YNL292W
OG0002760	snap_masked-kipT_s8-processed-gene-4.107-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-4.107&CDS=1-735	YOL110W
OG0002761	snap_masked-kipT_s8-processed-gene-4.108-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-4.108&CDS=1-795	YAL039C
OG0002762	snap_masked-kipT_s8-processed-gene-4.109-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-4.109&CDS=1-894	YHL013C
OG0002763	genemark-kipT_s8-processed-gene-4.9-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-4.9&CDS=1-1500	YOR355W
OG0002764	augustus_masked-kipT_s8-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-4.70&CDS=1-4203	YOR356W
OG0002765	snap_masked-kipT_s8-processed-gene-4.97-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-4.97&CDS=1-1242	YAL042W
OG0002766	snap_masked-kipT_s8-processed-gene-4.116-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-4.116&CDS=1-819	YNL252C
OG0002767	snap_masked-kipT_s8-processed-gene-4.98-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-4.98&CDS=1-2031	YNL251C
OG0002768	genemark-kipT_s8-processed-gene-4.28-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-4.28&CDS=1-2004	YPR024W
OG0002769	snap_masked-kipT_s8-processed-gene-4.118-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-4.118&CDS=1-2142	YBL097W
OG0002770	snap_masked-kipT_s8-processed-gene-4.119-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-4.119&CDS=1-972	YIL019W
OG0002771	genemark-kipT_s8-processed-gene-4.12-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-4.12&CDS=1-822	YIL020C
OG0002772	genemark-kipT_s8-processed-gene-4.31-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-4.31&CDS=1-924	YIL021W
OG0002773	snap_masked-kipT_s8-processed-gene-4.101-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-4.101&CDS=1-1224	YDR394W
OG0002774	snap_masked-kipT_s8-processed-gene-4.123-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-4.123&CDS=1-1587	YOR149C
OG0002775	snap_masked-kipT_s8-processed-gene-4.124-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-4.124&CDS=1-1899	YDR398W
OG0002776	snap_masked-kipT_s8-processed-gene-4.102-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-4.102&CDS=1-669	YIL118W
OG0002777	snap_masked-kipT_s8-processed-gene-4.125-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-4.125&CDS=1-453	YDR512C
OG0002778	snap_masked-kipT_s8-processed-gene-4.126-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-4.126&CDS=1-1944	YIR027C
OG0002779	snap_masked-kipT_s8-processed-gene-4.130-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-4.130&CDS=1-1362	YER122C
OG0002780	snap_masked-kipT_s8-processed-gene-4.131-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-4.131&CDS=1-1287	YIL022W
OG0002781	snap_masked-kipT_s8-processed-gene-4.132-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-4.132&CDS=1-1386	YBL098W
OG0002782	snap_masked-kipT_s8-processed-gene-4.134-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-4.134&CDS=1-3165	YIL031W
OG0002783	augustus_masked-kipT_s8-processed-gene-5.1-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-5.1&CDS=1-1068	YOR074C
OG0002784	snap_masked-kipT_s8-processed-gene-5.46-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-5.46&CDS=1-321	YKR083C
OG0002785	snap_masked-kipT_s8-processed-gene-5.49-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-5.49&CDS=1-3447	YKR082W
OG0002786	maker-kipT_s8-snap-gene-5.100-mRNA-1_1&gene=maker-kipT_s8-snap-gene-5.100&CDS=1-963	YKR081C
OG0002787	snap_masked-kipT_s8-processed-gene-5.51-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-5.51&CDS=1-1797	YDL017W
OG0002788	maker-kipT_s8-augustus-gene-5.149-mRNA-1_1&gene=maker-kipT_s8-augustus-gene-5.149&CDS=1-1629	YGR165W
OG0002789	snap_masked-kipT_s8-processed-gene-5.81-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-5.81&CDS=1-999	YPR110C
OG0002790	genemark-kipT_s8-processed-gene-5.138-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-5.138&CDS=1-4293	YGR090W
OG0002791	snap_masked-kipT_s8-processed-gene-5.54-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-5.54&CDS=1-2322	YHR072W
OG0002792	snap_masked-kipT_s8-processed-gene-5.56-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-5.56&CDS=1-861	YNL284C
OG0002793	augustus_masked-kipT_s8-processed-gene-5.33-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-5.33&CDS=1-834	YOR060C
OG0002794	snap_masked-kipT_s8-processed-gene-5.57-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-5.57&CDS=1-984	YOR061W
OG0002795	snap_masked-kipT_s8-processed-gene-5.59-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-5.59&CDS=1-444	YKR074W
OG0002796	snap_masked-kipT_s8-processed-gene-5.60-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-5.60&CDS=1-1206	YOL031C
OG0002797	snap_masked-kipT_s8-processed-gene-5.61-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-5.61&CDS=1-1470	YOL049W
OG0002798	snap_masked-kipT_s8-processed-gene-5.62-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-5.62&CDS=1-1668	YLL018C
OG0002799	snap_masked-kipT_s8-processed-gene-5.87-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-5.87&CDS=1-1578	YIL142W
OG0002800	snap_masked-kipT_s8-processed-gene-5.63-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-5.63&CDS=1-1467	YGL122C
OG0002801	snap_masked-kipT_s8-processed-gene-5.88-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-5.88&CDS=1-753	YGL123W
OG0002802	snap_masked-kipT_s8-processed-gene-5.66-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-5.66&CDS=1-1056	YNL234W
OG0002803	snap_masked-kipT_s8-processed-gene-5.67-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-5.67&CDS=1-3402	YNL233W
OG0002804	snap_masked-kipT_s8-processed-gene-5.68-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-5.68&CDS=1-861	YNL232W
OG0002805	snap_masked-kipT_s8-processed-gene-5.90-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-5.90&CDS=1-1041	YNL231C
OG0002806	augustus_masked-kipT_s8-processed-gene-5.21-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-5.21&CDS=1-4047	YDR245W
OG0002807	snap_masked-kipT_s8-processed-gene-5.72-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-5.72&CDS=1-3438	YPL016W
OG0002808	snap_masked-kipT_s8-processed-gene-5.74-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-5.74&CDS=1-1770	YDR244W
OG0002809	snap_masked-kipT_s8-processed-gene-5.75-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-5.75&CDS=1-2556	YCL030C
OG0002810	snap_masked-kipT_s8-processed-gene-5.78-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-5.78&CDS=1-3213	YPL022W
OG0002811	snap_masked-kipT_s8-processed-gene-5.80-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-5.80&CDS=1-1044	YDL205C
OG0002812	snap_masked-kipT_s8-processed-gene-6.61-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-6.61&CDS=1-1134	YLR056W
OG0002813	maker-kipT_s8-snap-gene-6.0-mRNA-1_1&gene=maker-kipT_s8-snap-gene-6.0&CDS=1-2160	YPL042C
OG0002814	snap_masked-kipT_s8-processed-gene-6.65-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-6.65&CDS=1-1224	YMR139W
OG0002815	snap_masked-kipT_s8-processed-gene-5.93-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-5.93&CDS=1-657	YPL041C
OG0002816	snap_masked-kipT_s8-processed-gene-6.66-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-6.66&CDS=1-1200	YPL028W
OG0002817	snap_masked-kipT_s8-processed-gene-6.72-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-6.72&CDS=1-540	YDR248C
OG0002818	snap_masked-kipT_s8-processed-gene-6.73-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-6.73&CDS=1-2049	YPL029W
OG0002819	snap_masked-kipT_s8-processed-gene-6.74-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-6.74&CDS=1-1533	YOR241W
OG0002820	snap_masked-kipT_s8-processed-gene-6.77-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-6.77&CDS=1-5715	YPL082C
OG0002821	snap_masked-kipT_s8-processed-gene-6.78-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-6.78&CDS=1-1080	YBR192W
OG0002822	snap_masked-kipT_s8-processed-gene-6.79-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-6.79&CDS=1-615	YBR193C
OG0002823	snap_masked-kipT_s8-processed-gene-6.107-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-6.107&CDS=1-897	YBR187W
OG0002824	genemark-kipT_s8-processed-gene-6.47-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-6.47&CDS=1-1293	YGL065C
OG0002825	snap_masked-kipT_s8-processed-gene-6.108-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-6.108&CDS=1-2199	YPL207W
OG0002826	snap_masked-kipT_s8-processed-gene-6.84-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-6.84&CDS=1-1467	YGL066W
OG0002827	snap_masked-kipT_s8-processed-gene-6.109-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-6.109&CDS=1-957	YPL209C
OG0002828	snap_masked-kipT_s8-processed-gene-6.85-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-6.85&CDS=1-1719	YDR389W
OG0002829	snap_masked-kipT_s8-processed-gene-6.86-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-6.86&CDS=1-1128	YOR123C
OG0002830	maker-kipT_s8-snap-gene-6.1-mRNA-1_1&gene=maker-kipT_s8-snap-gene-6.1&CDS=1-3069	YER171W
OG0002831	snap_masked-kipT_s8-processed-gene-6.90-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-6.90&CDS=1-792	YCR009C
OG0002832	snap_masked-kipT_s8-processed-gene-6.95-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-6.95&CDS=1-705	YER148W
OG0002833	snap_masked-kipT_s8-processed-gene-6.110-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-6.110&CDS=1-1659	YBL019W
OG0002834	snap_masked-kipT_s8-processed-gene-6.111-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-6.111&CDS=1-1428	YLR175W
OG0002835	snap_masked-kipT_s8-processed-gene-6.112-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-6.112&CDS=1-1500	YCL008C
OG0002836	snap_masked-kipT_s8-processed-gene-6.98-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-6.98&CDS=1-207	YCL005W-A
OG0002837	maker-kipT_s8-augustus-gene-6.122-mRNA-1_1&gene=maker-kipT_s8-augustus-gene-6.122&CDS=1-3198	YGL078C
OG0002838	genemark-kipT_s8-processed-gene-6.39-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-6.39&CDS=1-1602	YML130C
OG0002839	snap_masked-kipT_s8-processed-gene-6.114-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-6.114&CDS=1-2499	YML099C
OG0002840	snap_masked-kipT_s8-processed-gene-6.102-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-6.102&CDS=1-1767	YML070W
OG0002841	snap_masked-kipT_s8-processed-gene-6.115-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-6.115&CDS=1-1884	YDR034C
OG0002842	snap_masked-kipT_s8-processed-gene-6.104-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-6.104&CDS=1-1047	YIL110W
OG0002843	snap_masked-kipT_s8-processed-gene-6.117-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-6.117&CDS=1-3693	YDR335W
OG0002844	augustus_masked-kipT_s8-processed-gene-6.177-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-6.177&CDS=1-2661	YHR088W
OG0002845	genemark-kipT_s8-processed-gene-7.7-mRNA-1_1&gene=genemark-kipT_s8-processed-gene-7.7&CDS=1-462	YJR104C
OG0002846	snap_masked-kipT_s8-processed-gene-7.57-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-7.57&CDS=1-456	YHR105W
OG0002847	snap_masked-kipT_s8-processed-gene-7.58-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-7.58&CDS=1-960	YDR353W
OG0002848	augustus_masked-kipT_s8-processed-gene-7.116-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-7.116&CDS=1-3861	YOR038C
OG0002849	maker-kipT_s8-augustus-gene-7.0-mRNA-1_1&gene=maker-kipT_s8-augustus-gene-7.0&CDS=1-1491	YOR039W
OG0002850	snap_masked-kipT_s8-processed-gene-7.66-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-7.66&CDS=1-927	YLR209C
OG0002851	snap_masked-kipT_s8-processed-gene-7.84-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-7.84&CDS=1-903	YLR208W
OG0002852	snap_masked-kipT_s8-processed-gene-7.86-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-7.86&CDS=1-702	YGR152C
OG0002853	snap_masked-kipT_s8-processed-gene-7.88-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-7.88&CDS=1-2799	YGL201C
OG0002854	snap_masked-kipT_s8-processed-gene-7.90-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-7.90&CDS=1-2718	YBL066C
OG0002855	snap_masked-kipT_s8-processed-gene-7.91-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-7.91&CDS=1-1011	YER095W
OG0002856	snap_masked-kipT_s8-processed-gene-7.69-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-7.69&CDS=1-2583	YPR135W
OG0002857	snap_masked-kipT_s8-processed-gene-7.70-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-7.70&CDS=1-576	YPR131C
OG0002858	snap_masked-kipT_s8-processed-gene-7.92-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-7.92&CDS=1-1944	YIL155C
OG0002859	snap_masked-kipT_s8-processed-gene-7.72-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-7.72&CDS=1-1602	YML013W
OG0002860	augustus_masked-kipT_s8-processed-gene-7.146-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-7.146&CDS=1-1974	YDL014W
OG0002861	augustus_masked-kipT_s8-processed-gene-7.126-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-7.126&CDS=1-444	YBR173C
OG0002862	snap_masked-kipT_s8-processed-gene-7.96-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-7.96&CDS=1-1989	YOR069W
OG0002863	snap_masked-kipT_s8-processed-gene-7.98-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-7.98&CDS=1-561	YNL090W
OG0002864	augustus_masked-kipT_s8-processed-gene-7.152-mRNA-1_1&gene=augustus_masked-kipT_s8-processed-gene-7.152&CDS=1-3069	YOR087W
OG0002865	snap_masked-kipT_s8-processed-gene-7.77-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-7.77&CDS=1-936	YHR142W
OG0002866	snap_masked-kipT_s8-processed-gene-7.78-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-7.78&CDS=1-1821	YBR260C
OG0002867	snap_masked-kipT_s8-processed-gene-7.104-mRNA-1_1&gene=snap_masked-kipT_s8-processed-gene-7.104&CDS=1-228	YHR001W-A
