	Ascoidea_asiatica	Saccharomyces_cerevisiae
OG0002369	-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-2.25&CDS=1-1434	YLR378C
OG0002370	-processed-gene-2.75-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-2.75&CDS=1-2730	YDR229W
OG0002371	-processed-gene-2.12-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-2.12&CDS=1-1809	YKL047W
OG0002372	-processed-gene-2.114-mRNA-1_1&gene=genemark-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-2.114&CDS=1-1335	YGL038C
OG0002373	-processed-gene-2.81-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-2.81&CDS=1-186	YDR379C-A
OG0002374	-snap-gene-2.122-mRNA-1_1&gene=maker-gi|1002316733|dbj|BCKQ01000003.1|-snap-gene-2.122&CDS=1-3324	YOR038C
OG0002375	-processed-gene-3.40-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-3.40&CDS=1-1143	YGR017W
OG0002376	-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-3.26&CDS=1-540	YDR231C
OG0002377	-snap-gene-3.122-mRNA-1_1&gene=maker-gi|1002316733|dbj|BCKQ01000003.1|-snap-gene-3.122&CDS=1-3486	YPL022W
OG0002378	-processed-gene-3.64-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-3.64&CDS=1-891	YKL007W
OG0002379	-processed-gene-3.47-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-3.47&CDS=1-924	YDR233C
OG0002380	-augustus-gene-3.115-mRNA-1_1&gene=maker-gi|1002316733|dbj|BCKQ01000003.1|-augustus-gene-3.115&CDS=1-1902	YCR095C
OG0002381	-processed-gene-3.51-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-3.51&CDS=1-705	YBL041W
OG0002382	-processed-gene-3.29-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-3.29&CDS=1-642	YBL040C
OG0002383	-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-3.16&CDS=1-1548	YAL009W
OG0002384	-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-3.30&CDS=1-1347	YDL104C
OG0002385	-snap-gene-3.124-mRNA-1_1&gene=maker-gi|1002316733|dbj|BCKQ01000003.1|-snap-gene-3.124&CDS=1-783	YML092C
OG0002386	-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-3.17&CDS=1-3690	YOR330C
OG0002387	-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-3.18&CDS=1-4347	YOR116C
OG0002388	-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-3.32&CDS=1-2910	YER047C
OG0002389	-processed-gene-3.19-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-3.19&CDS=1-327	YER048W-A
OG0002390	-processed-gene-3.71-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-3.71&CDS=1-462	YIR005W
OG0002391	-processed-gene-3.58-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-3.58&CDS=1-1095	YIL041W
OG0002392	-processed-gene-3.36-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-3.36&CDS=1-4050	YOR353C
OG0002393	-processed-gene-3.76-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-3.76&CDS=1-3690	YMR212C
OG0002394	-processed-gene-4.79-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-4.79&CDS=1-1836	YOR244W
OG0002395	-processed-gene-4.3-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-4.3&CDS=1-486	YHR051W
OG0002396	-processed-gene-4.78-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-4.78&CDS=1-1917	YNL219C
OG0002397	-processed-gene-4.96-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-4.96&CDS=1-636	YOR089C
OG0002398	-processed-gene-4.98-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-4.98&CDS=1-579	YDR248C
OG0002399	-snap-gene-4.42-mRNA-1_1&gene=maker-gi|1002316733|dbj|BCKQ01000003.1|-snap-gene-4.42&CDS=1-4323	YPL029W
OG0002400	-processed-gene-4.100-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-4.100&CDS=1-2979	YDR238C
OG0002401	-processed-gene-4.101-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-4.101&CDS=1-945	YDR237W
OG0002402	-processed-gene-4.102-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-4.102&CDS=1-3348	YPR055W
OG0002403	-processed-gene-4.36-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-4.36&CDS=1-1599	YKR097W
OG0002404	-processed-gene-4.20-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-4.20&CDS=1-2346	YNR033W
OG0002405	-processed-gene-4.37-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-4.37&CDS=1-1032	YCR075C
OG0002406	-processed-gene-5.67-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-5.67&CDS=1-1509	YDR256C
OG0002407	-processed-gene-5.14-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-5.14&CDS=1-1296	YFL055W
OG0002408	-processed-gene-5.7-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-5.7&CDS=1-1908	YNL152W
OG0002409	-processed-gene-5.15-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-5.15&CDS=1-1083	YKL019W
OG0002410	-processed-gene-5.34-mRNA-1_1&gene=genemark-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-5.34&CDS=1-984	YOR271C
OG0002411	-snap-gene-5.22-mRNA-1_1&gene=maker-gi|1002316733|dbj|BCKQ01000003.1|-snap-gene-5.22&CDS=1-927	YKR020W
OG0002412	-processed-gene-5.17-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-5.17&CDS=1-2931	YGR157W
OG0002413	-snap-gene-5.23-mRNA-1_1&gene=maker-gi|1002316733|dbj|BCKQ01000003.1|-snap-gene-5.23&CDS=1-3573	YPL268W
OG0002414	-processed-gene-6.81-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-6.81&CDS=1-1662	YMR020W
OG0002415	-processed-gene-6.16-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-6.16&CDS=1-3306	YMR029C
OG0002416	-snap-gene-6.77-mRNA-1_1&gene=maker-gi|1002316733|dbj|BCKQ01000003.1|-snap-gene-6.77&CDS=1-501	YMR022W
OG0002417	-processed-gene-6.83-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-6.83&CDS=1-1074	YNL191W
OG0002418	-processed-gene-6.19-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-6.19&CDS=1-1533	YHR176W
OG0002419	-processed-gene-6.21-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-6.21&CDS=1-411	YDR308C
OG0002420	-processed-gene-6.8-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-6.8&CDS=1-1089	YPL149W
OG0002421	-processed-gene-6.22-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-6.22&CDS=1-930	YOR239W
OG0002422	-processed-gene-6.103-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-6.103&CDS=1-477	YIR026C
OG0002423	-processed-gene-6.30-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-6.30&CDS=1-2922	YJL029C
OG0002424	-processed-gene-6.12-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-6.12&CDS=1-282	YJL166W
OG0002425	-processed-gene-6.93-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-6.93&CDS=1-630	YOL108C
OG0002426	-processed-gene-6.31-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-6.31&CDS=1-435	YJL184W
OG0002427	-processed-gene-6.94-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-6.94&CDS=1-4458	YIR002C
OG0002428	-processed-gene-6.32-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-6.32&CDS=1-2349	YGL009C
OG0002429	-processed-gene-7.0-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-7.0&CDS=1-1950	YGL252C
OG0002430	-processed-gene-7.2-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-7.2&CDS=1-1608	YER006W
OG0002431	-processed-gene-7.3-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-7.3&CDS=1-2430	YER005W
OG0002432	-processed-gene-7.4-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-7.4&CDS=1-1221	YPR108W
OG0002433	-snap-gene-7.34-mRNA-1_1&gene=maker-gi|1002316733|dbj|BCKQ01000003.1|-snap-gene-7.34&CDS=1-1602	YBR241C
OG0002434	-processed-gene-7.71-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-7.71&CDS=1-447	YGL103W
OG0002435	-processed-gene-7.89-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-7.89&CDS=1-1161	YNL001W
OG0002436	-processed-gene-7.90-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-7.90&CDS=1-2352	YGL110C
OG0002437	-processed-gene-7.72-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-7.72&CDS=1-4986	YOR341W
OG0002438	-processed-gene-7.7-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-7.7&CDS=1-1650	YBR274W
OG0002439	-processed-gene-7.93-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-7.93&CDS=1-747	YCR027C
OG0002440	-processed-gene-7.9-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-7.9&CDS=1-450	YJR044C
OG0002441	-processed-gene-7.25-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-7.25&CDS=1-2613	YNL256W
OG0002442	-processed-gene-7.26-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-7.26&CDS=1-666	YHR089C
OG0002443	-processed-gene-7.95-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-7.95&CDS=1-5628	YHR023W
OG0002444	-processed-gene-7.28-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-7.28&CDS=1-4662	YJR092W
OG0002445	-processed-gene-7.84-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-7.84&CDS=1-822	YGR280C
OG0002446	-processed-gene-7.29-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-7.29&CDS=1-1683	YBL095W
OG0002447	-processed-gene-8.25-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-8.25&CDS=1-780	YDR041W
OG0002448	-processed-gene-8.26-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-8.26&CDS=1-2922	YMR036C
OG0002449	-processed-gene-8.80-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-8.80&CDS=1-249	YPL189C-A
OG0002450	-processed-gene-8.63-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-8.63&CDS=1-2649	YPL221W
OG0002451	-processed-gene-8.89-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-8.89&CDS=1-1908	YPR163C
OG0002452	-processed-gene-8.69-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-8.69&CDS=1-852	YGL242C
OG0002453	-snap-gene-8.56-mRNA-1_1&gene=maker-gi|1002316733|dbj|BCKQ01000003.1|-snap-gene-8.56&CDS=1-3195	YGL241W
OG0002454	-processed-gene-8.92-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-8.92&CDS=1-2163	YGL244W
OG0002455	-processed-gene-8.71-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-8.71&CDS=1-2637	YPR160W
OG0002456	-processed-gene-9.61-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-9.61&CDS=1-972	YPR023C
OG0002457	-processed-gene-9.48-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-9.48&CDS=1-1692	YPR033C
OG0002458	-processed-gene-9.62-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-9.62&CDS=1-1200	YGR096W
OG0002459	-processed-gene-9.64-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-9.64&CDS=1-2307	YDR221W
OG0002460	-processed-gene-9.66-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-9.66&CDS=1-1443	YNL142W
OG0002461	-processed-gene-9.68-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-9.68&CDS=1-3189	YMR277W
OG0002462	-processed-gene-9.69-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-9.69&CDS=1-4788	YGL093W
OG0002463	-processed-gene-9.11-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-9.11&CDS=1-1275	YPL151C
OG0002464	-processed-gene-9.13-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-9.13&CDS=1-642	YOR242C
OG0002465	-processed-gene-9.71-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-9.71&CDS=1-357	YJL003W
OG0002466	-processed-gene-9.39-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-9.39&CDS=1-678	YJL023C
OG0002467	-processed-gene-9.113-mRNA-1_1&gene=genemark-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-9.113&CDS=1-2190	YOR243C
OG0002468	-processed-gene-9.56-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-9.56&CDS=1-1134	YPL157W
OG0002469	-processed-gene-9.115-mRNA-1_1&gene=genemark-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-9.115&CDS=1-2952	YPL155C
OG0002470	-processed-gene-9.19-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-9.19&CDS=1-1161	YNR015W
OG0002471	-processed-gene-9.58-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-9.58&CDS=1-657	YNR017W
OG0002472	-processed-gene-9.43-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-9.43&CDS=1-2274	YJL101C
OG0002473	-processed-gene-10.80-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-10.80&CDS=1-999	YPR139C
OG0002474	-processed-gene-10.43-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-10.43&CDS=1-717	YNL056W
OG0002475	-snap-gene-10.33-mRNA-1_1&gene=maker-gi|1002316733|dbj|BCKQ01000003.1|-snap-gene-10.33&CDS=1-1389	YDR523C
OG0002476	-processed-gene-10.98-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-10.98&CDS=1-1380	YOR358W
OG0002477	-processed-gene-10.84-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-10.84&CDS=1-957	YDR044W
OG0002478	-processed-gene-10.19-mRNA-1_1&gene=genemark-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-10.19&CDS=1-417	YCR071C
OG0002479	-processed-gene-10.47-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-10.47&CDS=1-1572	YCR072C
OG0002480	-processed-gene-10.67-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-10.67&CDS=1-2976	YMR078C
OG0002481	-processed-gene-10.89-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-10.89&CDS=1-3714	YDR080W
OG0002482	-processed-gene-10.104-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-10.104&CDS=1-1224	YEL009C
OG0002483	-processed-gene-10.71-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-10.71&CDS=1-1545	YHR024C
OG0002484	-processed-gene-10.94-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-10.94&CDS=1-450	YCR087C-A
OG0002485	-processed-gene-10.61-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-10.61&CDS=1-2532	YCL045C
OG0002486	-processed-gene-10.110-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-10.110&CDS=1-2274	YDR496C
OG0002487	-processed-gene-10.111-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-10.111&CDS=1-1524	YBR139W
OG0002488	-processed-gene-11.78-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-11.78&CDS=1-1917	YKR051W
OG0002489	-processed-gene-11.97-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-11.97&CDS=1-1134	YNL274C
OG0002490	-processed-gene-11.81-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-11.81&CDS=1-1062	YFR052W
OG0002491	-processed-gene-11.98-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-11.98&CDS=1-939	YPL065W
OG0002492	-snap-gene-11.111-mRNA-1_1&gene=maker-gi|1002316733|dbj|BCKQ01000003.1|-snap-gene-11.111&CDS=1-1755	YPL066W
OG0002493	-processed-gene-11.100-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-11.100&CDS=1-1584	YOL072W
OG0002494	-processed-gene-11.86-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-11.86&CDS=1-2553	YAL053W
OG0002495	-processed-gene-11.89-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-11.89&CDS=1-2997	YPR070W
OG0002496	-processed-gene-11.104-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-11.104&CDS=1-957	YML110C
OG0002497	-processed-gene-11.91-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-11.91&CDS=1-1617	YAL022C
OG0002498	-processed-gene-11.36-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-11.36&CDS=1-1452	YJL091C
OG0002499	-processed-gene-11.20-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-11.20&CDS=1-942	YGR267C
OG0002500	-processed-gene-11.93-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-11.93&CDS=1-1719	YOR245C
OG0002501	-processed-gene-11.94-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-11.94&CDS=1-1068	YNL290W
OG0002502	-processed-gene-11.108-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-11.108&CDS=1-1401	YCR086W
OG0002503	-processed-gene-11.40-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-11.40&CDS=1-780	YGR167W
OG0002504	-snap-gene-11.112-mRNA-1_1&gene=maker-gi|1002316733|dbj|BCKQ01000003.1|-snap-gene-11.112&CDS=1-1164	YGL047W
OG0002505	-processed-gene-11.41-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-11.41&CDS=1-1350	YNR029C
OG0002506	-processed-gene-11.96-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-11.96&CDS=1-2100	YNR030W
OG0002507	-processed-gene-12.70-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-12.70&CDS=1-951	YHR142W
OG0002508	-processed-gene-12.36-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-12.36&CDS=1-2904	YLR141W
OG0002509	-processed-gene-12.72-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-12.72&CDS=1-4245	YFL036W
OG0002510	-processed-gene-12.40-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-12.40&CDS=1-2577	YLR144C
OG0002511	-processed-gene-12.58-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-12.58&CDS=1-561	YLR109W
OG0002512	-processed-gene-12.46-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-12.46&CDS=1-975	YHR104W
OG0002513	-snap-gene-12.32-mRNA-1_1&gene=maker-gi|1002316733|dbj|BCKQ01000003.1|-snap-gene-12.32&CDS=1-363	YBR058C-A
OG0002514	-processed-gene-12.82-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-12.82&CDS=1-2214	YPL104W
OG0002515	-processed-gene-12.92-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-12.92&CDS=1-1470	YDR449C
OG0002516	-processed-gene-12.93-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-12.93&CDS=1-1488	YBR110W
OG0002517	-processed-gene-12.55-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-12.55&CDS=1-2889	YAL016W
OG0002518	-processed-gene-12.87-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-12.87&CDS=1-330	YLR364W
OG0002519	-snap-gene-13.45-mRNA-1_1&gene=maker-gi|1002316733|dbj|BCKQ01000003.1|-snap-gene-13.45&CDS=1-2097	YBL035C
OG0002520	-processed-gene-13.83-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-13.83&CDS=1-4638	YGL094C
OG0002521	-processed-gene-13.84-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-13.84&CDS=1-870	YLR312W-A
OG0002522	-processed-gene-13.30-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-13.30&CDS=1-1068	YPL178W
OG0002523	-processed-gene-13.32-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-13.32&CDS=1-675	YJL001W
OG0002524	-processed-gene-13.9-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-13.9&CDS=1-1446	YHR063C
OG0002525	-processed-gene-13.89-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-13.89&CDS=1-2052	YKL212W
OG0002526	-snap-gene-13.47-mRNA-1_1&gene=maker-gi|1002316733|dbj|BCKQ01000003.1|-snap-gene-13.47&CDS=1-333	YGR063C
OG0002527	-processed-gene-13.107-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-13.107&CDS=1-627	YHR100C
OG0002528	-processed-gene-13.92-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-13.92&CDS=1-1602	YJL002C
OG0002529	-processed-gene-13.39-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-13.39&CDS=1-312	YDR510W
OG0002530	-processed-gene-14.1-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-14.1&CDS=1-714	YOR223W
OG0002531	-processed-gene-14.3-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-14.3&CDS=1-1011	YLR227C
OG0002532	-processed-gene-14.4-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-14.4&CDS=1-1356	YOL140W
OG0002533	-processed-gene-14.6-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-14.6&CDS=1-1173	YKR071C
OG0002534	-processed-gene-14.21-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-14.21&CDS=1-2631	YER070W
