	Metschnikowia_dekortum	Saccharomyces_cerevisiae
OG0002723	augustus_masked-dek_s61-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-dek_s61-processed-gene-1.125&CDS=1-1638	YCL031C
OG0002724	snap_masked-dek_s61-processed-gene-1.40-mRNA-1_1&gene=snap_masked-dek_s61-processed-gene-1.40&CDS=1-906	YGR208W
OG0002725	snap_masked-dek_s61-processed-gene-1.43-mRNA-1_1&gene=snap_masked-dek_s61-processed-gene-1.43&CDS=1-1422	YJL025W
OG0002726	genemark-dek_s61-processed-gene-1.84-mRNA-1_1&gene=genemark-dek_s61-processed-gene-1.84&CDS=1-1533	YOR374W
OG0002727	genemark-dek_s61-processed-gene-1.107-mRNA-1_1&gene=genemark-dek_s61-processed-gene-1.107&CDS=1-2160	YDR017C
OG0002728	genemark-dek_s61-processed-gene-1.87-mRNA-1_1&gene=genemark-dek_s61-processed-gene-1.87&CDS=1-459	YLR170C
OG0002729	genemark-dek_s61-processed-gene-1.88-mRNA-1_1&gene=genemark-dek_s61-processed-gene-1.88&CDS=1-2868	YDL031W
OG0002730	genemark-dek_s61-processed-gene-1.108-mRNA-1_1&gene=genemark-dek_s61-processed-gene-1.108&CDS=1-1545	YOL123W
OG0002731	genemark-dek_s61-processed-gene-1.89-mRNA-1_1&gene=genemark-dek_s61-processed-gene-1.89&CDS=1-1323	YOL124C
OG0002732	genemark-dek_s61-processed-gene-1.90-mRNA-1_1&gene=genemark-dek_s61-processed-gene-1.90&CDS=1-984	YGR144W
OG0002733	augustus_masked-dek_s61-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-dek_s61-processed-gene-1.134&CDS=1-6624	YLR289W
OG0002734	genemark-dek_s61-processed-gene-2.1-mRNA-1_1&gene=genemark-dek_s61-processed-gene-2.1&CDS=1-1686	YER086W
OG0002735	genemark-dek_s61-processed-gene-2.2-mRNA-1_1&gene=genemark-dek_s61-processed-gene-2.2&CDS=1-1272	YGR058W
OG0002736	genemark-dek_s61-processed-gene-2.6-mRNA-1_1&gene=genemark-dek_s61-processed-gene-2.6&CDS=1-6132	YOR290C
OG0002737	genemark-dek_s61-processed-gene-2.7-mRNA-1_1&gene=genemark-dek_s61-processed-gene-2.7&CDS=1-1092	YMR228W
OG0002738	genemark-dek_s61-processed-gene-2.34-mRNA-1_1&gene=genemark-dek_s61-processed-gene-2.34&CDS=1-2223	YMR061W
OG0002739	genemark-dek_s61-processed-gene-2.8-mRNA-1_1&gene=genemark-dek_s61-processed-gene-2.8&CDS=1-1032	YMR060C
OG0002740	genemark-dek_s61-processed-gene-2.9-mRNA-1_1&gene=genemark-dek_s61-processed-gene-2.9&CDS=1-1341	YKL077W
OG0002741	genemark-dek_s61-processed-gene-2.10-mRNA-1_1&gene=genemark-dek_s61-processed-gene-2.10&CDS=1-1452	YKL175W
OG0002742	genemark-dek_s61-processed-gene-2.12-mRNA-1_1&gene=genemark-dek_s61-processed-gene-2.12&CDS=1-1173	YMR243C
OG0002743	genemark-dek_s61-processed-gene-2.13-mRNA-1_1&gene=genemark-dek_s61-processed-gene-2.13&CDS=1-606	YFL010C
OG0002744	genemark-dek_s61-processed-gene-2.38-mRNA-1_1&gene=genemark-dek_s61-processed-gene-2.38&CDS=1-612	YFL005W
OG0002745	maker-dek_s61-augustus-gene-2.56-mRNA-1_1&gene=maker-dek_s61-augustus-gene-2.56&CDS=1-4623	YLR060W
OG0002746	genemark-dek_s61-processed-gene-2.15-mRNA-1_1&gene=genemark-dek_s61-processed-gene-2.15&CDS=1-3849	YJL197W
OG0002747	genemark-dek_s61-processed-gene-2.40-mRNA-1_1&gene=genemark-dek_s61-processed-gene-2.40&CDS=1-978	YPL015C
OG0002748	snap_masked-dek_s61-processed-gene-2.77-mRNA-1_1&gene=snap_masked-dek_s61-processed-gene-2.77&CDS=1-3036	YPL009C
OG0002749	genemark-dek_s61-processed-gene-2.41-mRNA-1_1&gene=genemark-dek_s61-processed-gene-2.41&CDS=1-960	YNL229C
OG0002750	genemark-dek_s61-processed-gene-2.19-mRNA-1_1&gene=genemark-dek_s61-processed-gene-2.19&CDS=1-861	YLR126C
OG0002751	genemark-dek_s61-processed-gene-2.43-mRNA-1_1&gene=genemark-dek_s61-processed-gene-2.43&CDS=1-396	YPL170W
OG0002752	genemark-dek_s61-processed-gene-2.20-mRNA-1_1&gene=genemark-dek_s61-processed-gene-2.20&CDS=1-996	YIL061C
OG0002753	genemark-dek_s61-processed-gene-2.21-mRNA-1_1&gene=genemark-dek_s61-processed-gene-2.21&CDS=1-1701	YNL308C
OG0002754	genemark-dek_s61-processed-gene-2.46-mRNA-1_1&gene=genemark-dek_s61-processed-gene-2.46&CDS=1-954	YDR044W
OG0002755	genemark-dek_s61-processed-gene-2.47-mRNA-1_1&gene=genemark-dek_s61-processed-gene-2.47&CDS=1-675	YFR007W
OG0002756	maker-dek_s61-augustus-gene-2.58-mRNA-1_1&gene=maker-dek_s61-augustus-gene-2.58&CDS=1-3057	YFR048W
OG0002757	genemark-dek_s61-processed-gene-2.23-mRNA-1_1&gene=genemark-dek_s61-processed-gene-2.23&CDS=1-2148	YGL245W
OG0002758	genemark-dek_s61-processed-gene-2.24-mRNA-1_1&gene=genemark-dek_s61-processed-gene-2.24&CDS=1-1575	YOL132W
OG0002759	genemark-dek_s61-processed-gene-2.25-mRNA-1_1&gene=genemark-dek_s61-processed-gene-2.25&CDS=1-729	YDL087C
OG0002760	snap_masked-dek_s61-processed-gene-2.113-mRNA-1_1&gene=snap_masked-dek_s61-processed-gene-2.113&CDS=1-1353	YJR117W
OG0002761	augustus_masked-dek_s61-processed-gene-2.143-mRNA-1_1&gene=augustus_masked-dek_s61-processed-gene-2.143&CDS=1-4164	YLL008W
OG0002762	genemark-dek_s61-processed-gene-2.28-mRNA-1_1&gene=genemark-dek_s61-processed-gene-2.28&CDS=1-543	YJL004C
OG0002763	genemark-dek_s66-processed-gene-0.5-mRNA-1_1&gene=genemark-dek_s66-processed-gene-0.5&CDS=1-1968	YLR352W
OG0002764	genemark-dek_s66-processed-gene-0.1-mRNA-1_1&gene=genemark-dek_s66-processed-gene-0.1&CDS=1-4698	YML059C
OG0002765	genemark-dek_s71-processed-gene-0.28-mRNA-1_1&gene=genemark-dek_s71-processed-gene-0.28&CDS=1-3414	YMR287C
OG0002766	genemark-dek_s71-processed-gene-0.29-mRNA-1_1&gene=genemark-dek_s71-processed-gene-0.29&CDS=1-2571	YMR266W
OG0002767	snap_masked-dek_s71-processed-gene-0.7-mRNA-1_1&gene=snap_masked-dek_s71-processed-gene-0.7&CDS=1-5061	YML103C
OG0002768	genemark-dek_s71-processed-gene-0.32-mRNA-1_1&gene=genemark-dek_s71-processed-gene-0.32&CDS=1-1242	YMR208W
OG0002769	genemark-dek_s71-processed-gene-0.42-mRNA-1_1&gene=genemark-dek_s71-processed-gene-0.42&CDS=1-984	YOR271C
OG0002770	genemark-dek_s71-processed-gene-0.43-mRNA-1_1&gene=genemark-dek_s71-processed-gene-0.43&CDS=1-1587	YMR217W
OG0002771	genemark-dek_s71-processed-gene-0.34-mRNA-1_1&gene=genemark-dek_s71-processed-gene-0.34&CDS=1-1356	YOR272W
OG0002772	augustus_masked-dek_s71-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-dek_s71-processed-gene-0.66&CDS=1-1419	YMR209C
OG0002773	genemark-dek_s71-processed-gene-0.35-mRNA-1_1&gene=genemark-dek_s71-processed-gene-0.35&CDS=1-858	YKL019W
OG0002774	genemark-dek_s71-processed-gene-0.45-mRNA-1_1&gene=genemark-dek_s71-processed-gene-0.45&CDS=1-1389	YMR210W
OG0002775	genemark-dek_s72-processed-gene-0.56-mRNA-1_1&gene=genemark-dek_s72-processed-gene-0.56&CDS=1-1365	YOR197W
OG0002776	genemark-dek_s72-processed-gene-0.58-mRNA-1_1&gene=genemark-dek_s72-processed-gene-0.58&CDS=1-945	YMR161W
OG0002777	genemark-dek_s72-processed-gene-0.59-mRNA-1_1&gene=genemark-dek_s72-processed-gene-0.59&CDS=1-3279	YDL102W
OG0002778	genemark-dek_s72-processed-gene-0.61-mRNA-1_1&gene=genemark-dek_s72-processed-gene-0.61&CDS=1-1158	YGL153W
OG0002779	augustus_masked-dek_s72-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-dek_s72-processed-gene-0.96&CDS=1-2088	YDL119C
OG0002780	genemark-dek_s72-processed-gene-0.64-mRNA-1_1&gene=genemark-dek_s72-processed-gene-0.64&CDS=1-918	YGL154C
OG0002781	snap_masked-dek_s72-processed-gene-0.27-mRNA-1_1&gene=snap_masked-dek_s72-processed-gene-0.27&CDS=1-3558	YGL150C
OG0002782	genemark-dek_s72-processed-gene-0.45-mRNA-1_1&gene=genemark-dek_s72-processed-gene-0.45&CDS=1-324	YJR085C
OG0002783	genemark-dek_s72-processed-gene-0.66-mRNA-1_1&gene=genemark-dek_s72-processed-gene-0.66&CDS=1-738	YNL178W
OG0002784	genemark-dek_s72-processed-gene-0.67-mRNA-1_1&gene=genemark-dek_s72-processed-gene-0.67&CDS=1-4047	YGR061C
OG0002785	snap_masked-dek_s72-processed-gene-0.8-mRNA-1_1&gene=snap_masked-dek_s72-processed-gene-0.8&CDS=1-288	YLR363W-A
OG0002786	genemark-dek_s72-processed-gene-0.68-mRNA-1_1&gene=genemark-dek_s72-processed-gene-0.68&CDS=1-1617	YMR221C
OG0002787	genemark-dek_s72-processed-gene-0.47-mRNA-1_1&gene=genemark-dek_s72-processed-gene-0.47&CDS=1-444	YOR224C
OG0002788	genemark-dek_s72-processed-gene-0.71-mRNA-1_1&gene=genemark-dek_s72-processed-gene-0.71&CDS=1-1437	YKL035W
OG0002789	augustus_masked-dek_s72-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-dek_s72-processed-gene-0.87&CDS=1-6054	YPL125W
OG0002790	augustus_masked-dek_s72-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-dek_s72-processed-gene-1.3&CDS=1-1350	YBR199W
OG0002791	genemark-dek_s72-processed-gene-1.113-mRNA-1_1&gene=genemark-dek_s72-processed-gene-1.113&CDS=1-1989	YPL104W
OG0002792	genemark-dek_s72-processed-gene-1.117-mRNA-1_1&gene=genemark-dek_s72-processed-gene-1.117&CDS=1-2127	YJL010C
OG0002793	snap_masked-dek_s72-processed-gene-1.52-mRNA-1_1&gene=snap_masked-dek_s72-processed-gene-1.52&CDS=1-1431	YOR056C
OG0002794	snap_masked-dek_s72-processed-gene-1.58-mRNA-1_1&gene=snap_masked-dek_s72-processed-gene-1.58&CDS=1-1725	YDR295C
OG0002795	genemark-dek_s72-processed-gene-1.119-mRNA-1_1&gene=genemark-dek_s72-processed-gene-1.119&CDS=1-1719	YDR294C
OG0002796	genemark-dek_s72-processed-gene-1.121-mRNA-1_1&gene=genemark-dek_s72-processed-gene-1.121&CDS=1-2940	YOR058C
OG0002797	genemark-dek_s72-processed-gene-1.143-mRNA-1_1&gene=genemark-dek_s72-processed-gene-1.143&CDS=1-1971	YGL099W
OG0002798	augustus_masked-dek_s72-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-dek_s72-processed-gene-1.27&CDS=1-1953	YPL218W
OG0002799	genemark-dek_s72-processed-gene-1.123-mRNA-1_1&gene=genemark-dek_s72-processed-gene-1.123&CDS=1-1815	YER080W
OG0002800	genemark-dek_s72-processed-gene-1.146-mRNA-1_1&gene=genemark-dek_s72-processed-gene-1.146&CDS=1-492	YBR254C
OG0002801	snap_masked-dek_s72-processed-gene-1.89-mRNA-1_1&gene=snap_masked-dek_s72-processed-gene-1.89&CDS=1-2031	YBR255W
OG0002802	augustus_masked-dek_s72-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-dek_s72-processed-gene-1.10&CDS=1-2178	YOL027C
OG0002803	snap_masked-dek_s72-processed-gene-1.68-mRNA-1_1&gene=snap_masked-dek_s72-processed-gene-1.68&CDS=1-1530	YPR018W
OG0002804	maker-dek_s72-augustus-gene-1.46-mRNA-1_1&gene=maker-dek_s72-augustus-gene-1.46&CDS=1-4008	YER169W
OG0002805	genemark-dek_s72-processed-gene-1.130-mRNA-1_1&gene=genemark-dek_s72-processed-gene-1.130&CDS=1-3510	YDR216W
OG0002806	augustus_masked-dek_s72-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-dek_s72-processed-gene-1.32&CDS=1-4005	YDR097C
OG0002807	genemark-dek_s72-processed-gene-1.154-mRNA-1_1&gene=genemark-dek_s72-processed-gene-1.154&CDS=1-1596	YLR107W
OG0002808	snap_masked-dek_s72-processed-gene-1.78-mRNA-1_1&gene=snap_masked-dek_s72-processed-gene-1.78&CDS=1-14880	YLR106C
OG0002809	genemark-dek_s72-processed-gene-1.159-mRNA-1_1&gene=genemark-dek_s72-processed-gene-1.159&CDS=1-9156	YDR127W
OG0002810	genemark-dek_s72-processed-gene-1.138-mRNA-1_1&gene=genemark-dek_s72-processed-gene-1.138&CDS=1-1002	YDR460W
OG0002811	genemark-dek_s72-processed-gene-1.139-mRNA-1_1&gene=genemark-dek_s72-processed-gene-1.139&CDS=1-543	YML036W
OG0002812	genemark-dek_s72-processed-gene-1.163-mRNA-1_1&gene=genemark-dek_s72-processed-gene-1.163&CDS=1-1155	YDR523C
OG0002813	genemark-dek_s72-processed-gene-1.140-mRNA-1_1&gene=genemark-dek_s72-processed-gene-1.140&CDS=1-1332	YDR527W
OG0002814	snap_masked-dek_s72-processed-gene-1.108-mRNA-1_1&gene=snap_masked-dek_s72-processed-gene-1.108&CDS=1-237	YDR525W-A
OG0002815	augustus_masked-dek_s72-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-dek_s72-processed-gene-1.25&CDS=1-2544	YCL045C
OG0002816	augustus_masked-dek_s72-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-dek_s72-processed-gene-1.43&CDS=1-933	YDR479C
OG0002817	genemark-dek_s75-processed-gene-0.0-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.0&CDS=1-1326	YDR148C
OG0002818	genemark-dek_s75-processed-gene-0.30-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.30&CDS=1-3543	YPL012W
OG0002819	genemark-dek_s75-processed-gene-0.1-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.1&CDS=1-402	YPL013C
OG0002820	genemark-dek_s75-processed-gene-0.32-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.32&CDS=1-927	YLR340W
OG0002821	genemark-dek_s75-processed-gene-0.33-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.33&CDS=1-1815	YDR452W
OG0002822	genemark-dek_s75-processed-gene-0.34-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.34&CDS=1-1059	YMR214W
OG0002823	genemark-dek_s75-processed-gene-0.4-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.4&CDS=1-1473	YMR211W
OG0002824	genemark-dek_s75-processed-gene-0.35-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.35&CDS=1-1332	YNR050C
OG0002825	genemark-dek_s75-processed-gene-0.36-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.36&CDS=1-1059	YMR146C
OG0002826	genemark-dek_s75-processed-gene-0.37-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.37&CDS=1-807	YDL086W
OG0002827	maker-dek_s75-augustus-gene-0.138-mRNA-1_1&gene=maker-dek_s75-augustus-gene-0.138&CDS=1-1209	YDL100C
OG0002828	genemark-dek_s75-processed-gene-0.40-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.40&CDS=1-1803	YFL002C
OG0002829	genemark-dek_s75-processed-gene-0.7-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.7&CDS=1-1293	YFL001W
OG0002830	genemark-dek_s75-processed-gene-0.8-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.8&CDS=1-1914	YDL057W
OG0002831	genemark-dek_s75-processed-gene-0.41-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.41&CDS=1-372	YHR191C
OG0002832	genemark-dek_s75-processed-gene-0.42-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.42&CDS=1-1644	YMR145C
OG0002833	genemark-dek_s75-processed-gene-0.44-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.44&CDS=1-2742	YDL056W
OG0002834	genemark-dek_s75-processed-gene-0.46-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.46&CDS=1-522	YHR193C
OG0002835	genemark-dek_s75-processed-gene-0.47-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.47&CDS=1-2088	YLR002C
OG0002836	snap_masked-dek_s75-processed-gene-0.79-mRNA-1_1&gene=snap_masked-dek_s75-processed-gene-0.79&CDS=1-1410	YMR015C
OG0002837	augustus_masked-dek_s75-processed-gene-0.185-mRNA-1_1&gene=augustus_masked-dek_s75-processed-gene-0.185&CDS=1-1476	YHR183W
OG0002838	genemark-dek_s75-processed-gene-0.13-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.13&CDS=1-1596	YJR010W
OG0002839	snap_masked-dek_s75-processed-gene-0.81-mRNA-1_1&gene=snap_masked-dek_s75-processed-gene-0.81&CDS=1-1149	YKL124W
OG0002840	genemark-dek_s75-processed-gene-0.14-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.14&CDS=1-525	YER134C
OG0002841	augustus_masked-dek_s75-processed-gene-0.156-mRNA-1_1&gene=augustus_masked-dek_s75-processed-gene-0.156&CDS=1-2412	YDL002C
OG0002842	genemark-dek_s75-processed-gene-0.49-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.49&CDS=1-7542	YBL004W
OG0002843	genemark-dek_s75-processed-gene-0.17-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.17&CDS=1-861	YDL001W
OG0002844	genemark-dek_s75-processed-gene-0.51-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.51&CDS=1-1938	YDR208W
OG0002845	genemark-dek_s75-processed-gene-0.19-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.19&CDS=1-912	YBR151W
OG0002846	augustus_masked-dek_s75-processed-gene-0.191-mRNA-1_1&gene=augustus_masked-dek_s75-processed-gene-0.191&CDS=1-2397	YDR444W
OG0002847	genemark-dek_s75-processed-gene-0.55-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.55&CDS=1-2940	YIL125W
OG0002848	genemark-dek_s75-processed-gene-0.56-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.56&CDS=1-522	YKR065C
OG0002849	genemark-dek_s75-processed-gene-0.21-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.21&CDS=1-3789	YIL126W
OG0002850	genemark-dek_s75-processed-gene-0.23-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.23&CDS=1-462	YIL065C
OG0002851	genemark-dek_s75-processed-gene-0.24-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.24&CDS=1-876	YNL316C
OG0002852	genemark-dek_s75-processed-gene-0.57-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.57&CDS=1-351	YOL133W
OG0002853	genemark-dek_s75-processed-gene-0.25-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.25&CDS=1-708	YOL135C
OG0002854	genemark-dek_s75-processed-gene-0.58-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.58&CDS=1-2145	YKL135C
OG0002855	snap_masked-dek_s75-processed-gene-0.128-mRNA-1_1&gene=snap_masked-dek_s75-processed-gene-0.128&CDS=1-549	YJR074W
OG0002856	genemark-dek_s75-processed-gene-0.26-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.26&CDS=1-1182	YJR075W
OG0002857	genemark-dek_s75-processed-gene-0.60-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.60&CDS=1-6129	YLR305C
OG0002858	genemark-dek_s75-processed-gene-0.61-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.61&CDS=1-735	YPR016C
OG0002859	genemark-dek_s75-processed-gene-0.62-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.62&CDS=1-2664	YLL026W
OG0002860	genemark-dek_s75-processed-gene-0.63-mRNA-1_1&gene=genemark-dek_s75-processed-gene-0.63&CDS=1-1350	YGL181W
OG0002861	genemark-dek_s76-processed-gene-0.42-mRNA-1_1&gene=genemark-dek_s76-processed-gene-0.42&CDS=1-969	YGR080W
OG0002862	snap_masked-dek_s76-processed-gene-0.74-mRNA-1_1&gene=snap_masked-dek_s76-processed-gene-0.74&CDS=1-924	YGR086C
OG0002863	maker-dek_s76-augustus-gene-0.85-mRNA-1_1&gene=maker-dek_s76-augustus-gene-0.85&CDS=1-3003	YOR014W
OG0002864	genemark-dek_s76-processed-gene-0.47-mRNA-1_1&gene=genemark-dek_s76-processed-gene-0.47&CDS=1-843	YPR103W
OG0002865	genemark-dek_s76-processed-gene-0.48-mRNA-1_1&gene=genemark-dek_s76-processed-gene-0.48&CDS=1-2844	YPR104C
OG0002866	genemark-dek_s76-processed-gene-0.35-mRNA-1_1&gene=genemark-dek_s76-processed-gene-0.35&CDS=1-4413	YAL024C
OG0002867	genemark-dek_s76-processed-gene-0.49-mRNA-1_1&gene=genemark-dek_s76-processed-gene-0.49&CDS=1-852	YMR096W
OG0002868	snap_masked-dek_s76-processed-gene-0.66-mRNA-1_1&gene=snap_masked-dek_s76-processed-gene-0.66&CDS=1-4677	YJR138W
OG0002869	genemark-dek_s76-processed-gene-0.50-mRNA-1_1&gene=genemark-dek_s76-processed-gene-0.50&CDS=1-1071	YJR139C
OG0002870	genemark-dek_s76-processed-gene-0.51-mRNA-1_1&gene=genemark-dek_s76-processed-gene-0.51&CDS=1-546	YGR082W
OG0002871	snap_masked-dek_s76-processed-gene-0.81-mRNA-1_1&gene=snap_masked-dek_s76-processed-gene-0.81&CDS=1-765	YJR144W
OG0002872	genemark-dek_s76-processed-gene-0.40-mRNA-1_1&gene=genemark-dek_s76-processed-gene-0.40&CDS=1-1173	YJR076C
OG0002873	snap_masked-dek_s76-processed-gene-0.83-mRNA-1_1&gene=snap_masked-dek_s76-processed-gene-0.83&CDS=1-450	YIL067C
OG0002874	genemark-dek_s76-processed-gene-0.54-mRNA-1_1&gene=genemark-dek_s76-processed-gene-0.54&CDS=1-2319	YJL212C
OG0002875	genemark-dek_s76-processed-gene-1.37-mRNA-1_1&gene=genemark-dek_s76-processed-gene-1.37&CDS=1-2583	YER070W
OG0002876	genemark-dek_s76-processed-gene-1.36-mRNA-1_1&gene=genemark-dek_s76-processed-gene-1.36&CDS=1-2037	YHR042W
OG0002877	snap_masked-dek_s76-processed-gene-1.98-mRNA-1_1&gene=snap_masked-dek_s76-processed-gene-1.98&CDS=1-2370	YNL085W
OG0002878	genemark-dek_s76-processed-gene-1.54-mRNA-1_1&gene=genemark-dek_s76-processed-gene-1.54&CDS=1-963	YOR261C
OG0002879	snap_masked-dek_s76-processed-gene-1.83-mRNA-1_1&gene=snap_masked-dek_s76-processed-gene-1.83&CDS=1-972	YOR262W
OG0002880	snap_masked-dek_s76-processed-gene-1.100-mRNA-1_1&gene=snap_masked-dek_s76-processed-gene-1.100&CDS=1-288	YOR265W
OG0002881	snap_masked-dek_s76-processed-gene-1.84-mRNA-1_1&gene=snap_masked-dek_s76-processed-gene-1.84&CDS=1-2013	YFL023W
OG0002882	maker-dek_s76-augustus-gene-1.74-mRNA-1_1&gene=maker-dek_s76-augustus-gene-1.74&CDS=1-2553	YBL015W
OG0002883	genemark-dek_s76-processed-gene-1.58-mRNA-1_1&gene=genemark-dek_s76-processed-gene-1.58&CDS=1-1092	YLR216C
OG0002884	genemark-dek_s76-processed-gene-1.62-mRNA-1_1&gene=genemark-dek_s76-processed-gene-1.62&CDS=1-1065	YHR034C
OG0002885	genemark-dek_s76-processed-gene-1.43-mRNA-1_1&gene=genemark-dek_s76-processed-gene-1.43&CDS=1-2061	YDL141W
OG0002886	genemark-dek_s76-processed-gene-1.44-mRNA-1_1&gene=genemark-dek_s76-processed-gene-1.44&CDS=1-1155	YNR041C
OG0002887	snap_masked-dek_s76-processed-gene-1.109-mRNA-1_1&gene=snap_masked-dek_s76-processed-gene-1.109&CDS=1-3285	YDR495C
OG0002888	genemark-dek_s76-processed-gene-1.46-mRNA-1_1&gene=genemark-dek_s76-processed-gene-1.46&CDS=1-1854	YDR143C
OG0002889	genemark-dek_s76-processed-gene-1.64-mRNA-1_1&gene=genemark-dek_s76-processed-gene-1.64&CDS=1-807	YGL050W
OG0002890	snap_masked-dek_s76-processed-gene-1.111-mRNA-1_1&gene=snap_masked-dek_s76-processed-gene-1.111&CDS=1-3717	YLR309C
OG0002891	genemark-dek_s76-processed-gene-1.47-mRNA-1_1&gene=genemark-dek_s76-processed-gene-1.47&CDS=1-1035	YJL053W
OG0002892	genemark-dek_s76-processed-gene-1.67-mRNA-1_1&gene=genemark-dek_s76-processed-gene-1.67&CDS=1-780	YEL021W
OG0002893	augustus_masked-dek_s76-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-dek_s76-processed-gene-1.11&CDS=1-2148	YMR075W
OG0002894	genemark-dek_s76-processed-gene-1.70-mRNA-1_1&gene=genemark-dek_s76-processed-gene-1.70&CDS=1-1281	YMR062C
OG0002895	genemark-dek_s76-processed-gene-1.71-mRNA-1_1&gene=genemark-dek_s76-processed-gene-1.71&CDS=1-813	YDL114W
OG0002896	genemark-dek_s76-processed-gene-1.73-mRNA-1_1&gene=genemark-dek_s76-processed-gene-1.73&CDS=1-639	YOR115C
OG0002897	genemark-dek_s78-processed-gene-0.117-mRNA-1_1&gene=genemark-dek_s78-processed-gene-0.117&CDS=1-1788	YAR018C
OG0002898	genemark-dek_s78-processed-gene-0.141-mRNA-1_1&gene=genemark-dek_s78-processed-gene-0.141&CDS=1-915	YAR015W
OG0002899	genemark-dek_s78-processed-gene-0.118-mRNA-1_1&gene=genemark-dek_s78-processed-gene-0.118&CDS=1-597	YKL001C
OG0002900	genemark-dek_s78-processed-gene-0.144-mRNA-1_1&gene=genemark-dek_s78-processed-gene-0.144&CDS=1-6354	YJL207C
OG0002901	snap_masked-dek_s78-processed-gene-0.6-mRNA-1_1&gene=snap_masked-dek_s78-processed-gene-0.6&CDS=1-249	YLR038C
OG0002902	genemark-dek_s78-processed-gene-0.147-mRNA-1_1&gene=genemark-dek_s78-processed-gene-0.147&CDS=1-699	YMR132C
OG0002903	snap_masked-dek_s78-processed-gene-0.8-mRNA-1_1&gene=snap_masked-dek_s78-processed-gene-0.8&CDS=1-6777	YCR093W
OG0002904	genemark-dek_s78-processed-gene-0.123-mRNA-1_1&gene=genemark-dek_s78-processed-gene-0.123&CDS=1-660	YDR177W
OG0002905	snap_masked-dek_s78-processed-gene-0.10-mRNA-1_1&gene=snap_masked-dek_s78-processed-gene-0.10&CDS=1-1521	YNR051C
OG0002906	genemark-dek_s78-processed-gene-0.125-mRNA-1_1&gene=genemark-dek_s78-processed-gene-0.125&CDS=1-516	YBL090W
OG0002907	genemark-dek_s78-processed-gene-0.148-mRNA-1_1&gene=genemark-dek_s78-processed-gene-0.148&CDS=1-2583	YIL143C
OG0002908	genemark-dek_s78-processed-gene-0.149-mRNA-1_1&gene=genemark-dek_s78-processed-gene-0.149&CDS=1-1035	YKR092C
OG0002909	genemark-dek_s78-processed-gene-0.150-mRNA-1_1&gene=genemark-dek_s78-processed-gene-0.150&CDS=1-1146	YOR084W
OG0002910	genemark-dek_s78-processed-gene-0.127-mRNA-1_1&gene=genemark-dek_s78-processed-gene-0.127&CDS=1-813	YIL145C
OG0002911	genemark-dek_s78-processed-gene-0.151-mRNA-1_1&gene=genemark-dek_s78-processed-gene-0.151&CDS=1-3432	YKR086W
