	Lachancea_fantastica	Saccharomyces_cerevisiae
OG0003171	snap_masked-LAFA0F-processed-gene-18.44-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-18.44&CDS=1-1293	YDR229W
OG0003172	snap_masked-LAFA0F-processed-gene-18.48-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-18.48&CDS=1-552	YDR231C
OG0003173	snap_masked-LAFA0F-processed-gene-18.45-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-18.45&CDS=1-1836	YDL203C
OG0003174	snap_masked-LAFA0F-processed-gene-18.49-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-18.49&CDS=1-1689	YDR232W
OG0003175	snap_masked-LAFA0F-processed-gene-18.70-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-18.70&CDS=1-810	YDR233C
OG0003176	snap_masked-LAFA0F-processed-gene-18.50-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-18.50&CDS=1-2058	YDR234W
OG0003177	snap_masked-LAFA0F-processed-gene-18.51-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-18.51&CDS=1-990	YDL205C
OG0003178	genemark-LAFA0F-processed-gene-18.10-mRNA-1_1&gene=genemark-LAFA0F-processed-gene-18.10&CDS=1-1590	YDR235W
OG0003179	snap_masked-LAFA0F-processed-gene-18.71-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-18.71&CDS=1-1977	YDL206W
OG0003180	maker-LAFA0F-snap-gene-18.0-mRNA-1_1&gene=maker-LAFA0F-snap-gene-18.0&CDS=1-2088	YDL207W
OG0003181	genemark-LAFA0F-processed-gene-18.11-mRNA-1_1&gene=genemark-LAFA0F-processed-gene-18.11&CDS=1-870	YDR237W
OG0003182	snap_masked-LAFA0F-processed-gene-18.73-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-18.73&CDS=1-2913	YDR238C
OG0003183	snap_masked-LAFA0F-processed-gene-18.74-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-18.74&CDS=1-2118	YDR239C
OG0003184	snap_masked-LAFA0F-processed-gene-18.75-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-18.75&CDS=1-1377	YDR240C
OG0003185	snap_masked-LAFA0F-processed-gene-18.76-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-18.76&CDS=1-447	YDL208W
OG0003186	snap_masked-LAFA0F-processed-gene-18.54-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-18.54&CDS=1-669	YKL159C
OG0003187	snap_masked-LAFA0F-processed-gene-18.55-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-18.55&CDS=1-447	YHR051W
OG0003188	snap_masked-LAFA0F-processed-gene-18.77-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-18.77&CDS=1-459	YKL160W
OG0003189	snap_masked-LAFA0F-processed-gene-18.56-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-18.56&CDS=1-1254	YHR052W
OG0003190	snap_masked-LAFA0F-processed-gene-18.78-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-18.78&CDS=1-1866	YHR032W
OG0003191	snap_masked-LAFA0F-processed-gene-18.79-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-18.79&CDS=1-1146	YGL256W
OG0003192	snap_masked-LAFA0F-processed-gene-18.59-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-18.59&CDS=1-2040	YHR031C
OG0003193	snap_masked-LAFA0F-processed-gene-18.60-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-18.60&CDS=1-1575	YHR030C
OG0003194	snap_masked-LAFA0F-processed-gene-18.61-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-18.61&CDS=1-2472	YHR028C
OG0003195	snap_masked-LAFA0F-processed-gene-18.62-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-18.62&CDS=1-2937	YHR027C
OG0003196	snap_masked-LAFA0F-processed-gene-18.80-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-18.80&CDS=1-636	YHR026W
OG0003197	snap_masked-LAFA0F-processed-gene-18.81-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-18.81&CDS=1-1101	YHR025W
OG0003198	genemark-LAFA0F-processed-gene-18.23-mRNA-1_1&gene=genemark-LAFA0F-processed-gene-18.23&CDS=1-1473	YHR024C
OG0003199	snap_masked-LAFA0F-processed-gene-18.82-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-18.82&CDS=1-5577	YHR023W
OG0003200	snap_masked-LAFA0F-processed-gene-18.66-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-18.66&CDS=1-1155	YHR022C
OG0003201	snap_masked-LAFA0F-processed-gene-18.83-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-18.83&CDS=1-2049	YKL155C
OG0003202	snap_masked-LAFA0F-processed-gene-18.68-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-18.68&CDS=1-789	YKL154W
OG0003203	snap_masked-LAFA0F-processed-gene-18.69-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-18.69&CDS=1-4959	YJL039C
OG0003204	genemark-LAFA0F-processed-gene-19.97-mRNA-1_1&gene=genemark-LAFA0F-processed-gene-19.97&CDS=1-6303	YJL042W
OG0003205	snap_masked-LAFA0F-processed-gene-19.43-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.43&CDS=1-1191	YJL044C
OG0003206	snap_masked-LAFA0F-processed-gene-19.46-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.46&CDS=1-744	YKL152C
OG0003207	snap_masked-LAFA0F-processed-gene-19.47-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.47&CDS=1-954	YKL151C
OG0003208	snap_masked-LAFA0F-processed-gene-19.44-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.44&CDS=1-876	YKL150W
OG0003209	snap_masked-LAFA0F-processed-gene-19.48-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.48&CDS=1-1080	YKL149C
OG0003210	snap_masked-LAFA0F-processed-gene-19.70-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.70&CDS=1-1914	YKL148C
OG0003211	genemark-LAFA0F-processed-gene-19.122-mRNA-1_1&gene=genemark-LAFA0F-processed-gene-19.122&CDS=1-1806	YKL146W
OG0003212	maker-LAFA0F-snap-gene-19.92-mRNA-1_1&gene=maker-LAFA0F-snap-gene-19.92&CDS=1-1335	YKL145W
OG0003213	snap_masked-LAFA0F-processed-gene-19.72-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.72&CDS=1-633	YKL144C
OG0003214	snap_masked-LAFA0F-processed-gene-19.50-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.50&CDS=1-1452	YKL143W
OG0003215	snap_masked-LAFA0F-processed-gene-19.51-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.51&CDS=1-663	YKL142W
OG0003216	snap_masked-LAFA0F-processed-gene-19.73-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.73&CDS=1-2001	YJL010C
OG0003217	snap_masked-LAFA0F-processed-gene-19.74-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.74&CDS=1-1674	YJL008C
OG0003218	snap_masked-LAFA0F-processed-gene-19.52-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.52&CDS=1-2424	YJL029C
OG0003219	snap_masked-LAFA0F-processed-gene-19.75-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.75&CDS=1-624	YJL030W
OG0003220	genemark-LAFA0F-processed-gene-19.105-mRNA-1_1&gene=genemark-LAFA0F-processed-gene-19.105&CDS=1-978	YJL031C
OG0003221	snap_masked-LAFA0F-processed-gene-19.76-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.76&CDS=1-648	YJL006C
OG0003222	snap_masked-LAFA0F-processed-gene-19.77-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.77&CDS=1-2358	YJL033W
OG0003223	snap_masked-LAFA0F-processed-gene-19.54-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.54&CDS=1-657	YLR016C
OG0003224	snap_masked-LAFA0F-processed-gene-19.78-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.78&CDS=1-2046	YJL034W
OG0003225	snap_masked-LAFA0F-processed-gene-19.55-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.55&CDS=1-750	YJL035C
OG0003226	snap_masked-LAFA0F-processed-gene-19.79-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.79&CDS=1-1269	YJL036W
OG0003227	snap_masked-LAFA0F-processed-gene-19.80-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.80&CDS=1-1368	YLR015W
OG0003228	snap_masked-LAFA0F-processed-gene-19.56-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.56&CDS=1-2724	YLR014C
OG0003229	snap_masked-LAFA0F-processed-gene-19.57-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.57&CDS=1-972	YOR100C
OG0003230	augustus_masked-LAFA0F-processed-gene-19.15-mRNA-1_1&gene=augustus_masked-LAFA0F-processed-gene-19.15&CDS=1-2673	YOR098C
OG0003231	maker-LAFA0F-snap-gene-19.94-mRNA-1_1&gene=maker-LAFA0F-snap-gene-19.94&CDS=1-567	YOR096W
OG0003232	genemark-LAFA0F-processed-gene-19.112-mRNA-1_1&gene=genemark-LAFA0F-processed-gene-19.112&CDS=1-768	YOR095C
OG0003233	augustus_masked-LAFA0F-processed-gene-19.40-mRNA-1_1&gene=augustus_masked-LAFA0F-processed-gene-19.40&CDS=1-552	YOR094W
OG0003234	snap_masked-LAFA0F-processed-gene-19.60-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.60&CDS=1-4872	YOR093C
OG0003235	snap_masked-LAFA0F-processed-gene-19.61-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.61&CDS=1-1647	YOR092W
OG0003236	snap_masked-LAFA0F-processed-gene-19.62-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.62&CDS=1-1746	YNL094W
OG0003237	snap_masked-LAFA0F-processed-gene-19.85-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.85&CDS=1-1029	YOR091W
OG0003238	snap_masked-LAFA0F-processed-gene-19.63-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.63&CDS=1-1473	YOR090C
OG0003239	snap_masked-LAFA0F-processed-gene-19.64-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.64&CDS=1-642	YOR089C
OG0003240	snap_masked-LAFA0F-processed-gene-19.86-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.86&CDS=1-2025	YOR087W
OG0003241	snap_masked-LAFA0F-processed-gene-19.67-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.67&CDS=1-4335	YNL088W
OG0003242	snap_masked-LAFA0F-processed-gene-19.68-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.68&CDS=1-3507	YOR086C
OG0003243	snap_masked-LAFA0F-processed-gene-19.69-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-19.69&CDS=1-285	YNL086W
OG0003244	snap_masked-LAFA0F-processed-gene-20.48-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-20.48&CDS=1-1053	YOR085W
OG0003245	augustus_masked-LAFA0F-processed-gene-20.85-mRNA-1_1&gene=augustus_masked-LAFA0F-processed-gene-20.85&CDS=1-3972	YIL142W
OG0003246	snap_masked-LAFA0F-processed-gene-20.49-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-20.49&CDS=1-1119	YNL084C
OG0003247	snap_masked-LAFA0F-processed-gene-20.47-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-20.47&CDS=1-2478	YIL140W
OG0003248	snap_masked-LAFA0F-processed-gene-20.50-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-20.50&CDS=1-1545	YNL083W
OG0003249	snap_masked-LAFA0F-processed-gene-20.68-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-20.68&CDS=1-717	YIL139C
OG0003250	snap_masked-LAFA0F-processed-gene-20.51-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-20.51&CDS=1-2718	YNL082W
OG0003251	snap_masked-LAFA0F-processed-gene-20.69-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-20.69&CDS=1-435	YNL081C
OG0003252	snap_masked-LAFA0F-processed-gene-20.70-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-20.70&CDS=1-1110	YNL080C
OG0003253	maker-LAFA0F-snap-gene-20.36-mRNA-1_1&gene=maker-LAFA0F-snap-gene-20.36&CDS=1-483	YNL079C
OG0003254	snap_masked-LAFA0F-processed-gene-20.73-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-20.73&CDS=1-1332	YNL077W
OG0003255	snap_masked-LAFA0F-processed-gene-20.52-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-20.52&CDS=1-2748	YIL137C
OG0003256	snap_masked-LAFA0F-processed-gene-20.74-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-20.74&CDS=1-897	YNL078W
OG0003257	snap_masked-LAFA0F-processed-gene-20.53-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-20.53&CDS=1-1599	YIL136W
OG0003258	snap_masked-LAFA0F-processed-gene-20.54-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-20.54&CDS=1-1749	YNL076W
OG0003259	snap_masked-LAFA0F-processed-gene-20.55-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-20.55&CDS=1-849	YNL075W
OG0003260	snap_masked-LAFA0F-processed-gene-20.56-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-20.56&CDS=1-1326	YNL073W
OG0003261	snap_masked-LAFA0F-processed-gene-20.57-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-20.57&CDS=1-966	YNL072W
OG0003262	snap_masked-LAFA0F-processed-gene-20.58-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-20.58&CDS=1-1386	YNL071W
OG0003263	snap_masked-LAFA0F-processed-gene-20.59-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-20.59&CDS=1-180	YNL070W
OG0003264	snap_masked-LAFA0F-processed-gene-20.60-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-20.60&CDS=1-924	YIL134W
OG0003265	snap_masked-LAFA0F-processed-gene-20.78-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-20.78&CDS=1-681	YIL132C
OG0003266	maker-LAFA0F-snap-gene-20.37-mRNA-1_1&gene=maker-LAFA0F-snap-gene-20.37&CDS=1-2166	YIL131C
OG0003267	snap_masked-LAFA0F-processed-gene-20.81-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-20.81&CDS=1-7755	YIL129C
OG0003268	snap_masked-LAFA0F-processed-gene-20.62-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-20.62&CDS=1-3051	YIL128W
OG0003269	snap_masked-LAFA0F-processed-gene-20.83-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-20.83&CDS=1-606	YIL127C
OG0003270	snap_masked-LAFA0F-processed-gene-20.65-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-20.65&CDS=1-3054	YIL125W
OG0003271	maker-LAFA0F-snap-gene-21.174-mRNA-1_1&gene=maker-LAFA0F-snap-gene-21.174&CDS=1-3345	YNL065W
OG0003272	snap_masked-LAFA0F-processed-gene-21.80-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.80&CDS=1-1233	YNL064C
OG0003273	snap_masked-LAFA0F-processed-gene-21.79-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.79&CDS=1-879	YNL063W
OG0003274	snap_masked-LAFA0F-processed-gene-21.123-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.123&CDS=1-1440	YNL062C
OG0003275	snap_masked-LAFA0F-processed-gene-21.81-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.81&CDS=1-1968	YNL061W
OG0003276	snap_masked-LAFA0F-processed-gene-21.124-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.124&CDS=1-2232	YNL059C
OG0003277	snap_masked-LAFA0F-processed-gene-21.82-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.82&CDS=1-690	YIL118W
OG0003278	snap_masked-LAFA0F-processed-gene-21.126-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.126&CDS=1-852	YNL058C
OG0003279	snap_masked-LAFA0F-processed-gene-21.83-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.83&CDS=1-534	YNL056W
OG0003280	snap_masked-LAFA0F-processed-gene-21.84-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.84&CDS=1-1170	YIL116W
OG0003281	snap_masked-LAFA0F-processed-gene-21.127-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.127&CDS=1-4182	YIL115C
OG0003282	snap_masked-LAFA0F-processed-gene-21.128-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.128&CDS=1-843	YNL055C
OG0003283	snap_masked-LAFA0F-processed-gene-21.85-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.85&CDS=1-2763	YHR154W
OG0003284	snap_masked-LAFA0F-processed-gene-21.129-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.129&CDS=1-690	YGR235C
OG0003285	augustus_masked-LAFA0F-processed-gene-21.46-mRNA-1_1&gene=augustus_masked-LAFA0F-processed-gene-21.46&CDS=1-2412	YGR237C
OG0003286	snap_masked-LAFA0F-processed-gene-21.132-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.132&CDS=1-2973	YHR158C
OG0003287	snap_masked-LAFA0F-processed-gene-21.87-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.87&CDS=1-1065	YHR159W
OG0003288	snap_masked-LAFA0F-processed-gene-21.133-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.133&CDS=1-861	YGR239C
OG0003289	snap_masked-LAFA0F-processed-gene-21.88-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.88&CDS=1-1743	YLR267W
OG0003290	snap_masked-LAFA0F-processed-gene-21.134-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.134&CDS=1-1176	YKL080W
OG0003291	snap_masked-LAFA0F-processed-gene-21.89-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.89&CDS=1-1368	YKL082C
OG0003292	snap_masked-LAFA0F-processed-gene-21.90-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.90&CDS=1-2502	YMR066W
OG0003293	snap_masked-LAFA0F-processed-gene-21.136-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.136&CDS=1-1215	YMR067C
OG0003294	genemark-LAFA0F-processed-gene-21.193-mRNA-1_1&gene=genemark-LAFA0F-processed-gene-21.193&CDS=1-1194	YMR068W
OG0003295	snap_masked-LAFA0F-processed-gene-21.137-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.137&CDS=1-996	YKL085W
OG0003296	augustus_masked-LAFA0F-processed-gene-21.54-mRNA-1_1&gene=augustus_masked-LAFA0F-processed-gene-21.54&CDS=1-1050	YBR046C
OG0003297	snap_masked-LAFA0F-processed-gene-21.140-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.140&CDS=1-381	YKL086W
OG0003298	snap_masked-LAFA0F-processed-gene-21.141-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.141&CDS=1-1353	YHR005C
OG0003299	snap_masked-LAFA0F-processed-gene-21.95-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.95&CDS=1-786	YKL087C
OG0003300	snap_masked-LAFA0F-processed-gene-21.142-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.142&CDS=1-279	YHR005C-A
OG0003301	snap_masked-LAFA0F-processed-gene-21.143-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.143&CDS=1-1494	YKL088W
OG0003302	snap_masked-LAFA0F-processed-gene-21.96-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.96&CDS=1-1050	YKL011C
OG0003303	snap_masked-LAFA0F-processed-gene-21.145-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.145&CDS=1-666	YMR090W
OG0003304	augustus_masked-LAFA0F-processed-gene-21.19-mRNA-1_1&gene=augustus_masked-LAFA0F-processed-gene-21.19&CDS=1-504	YIR022W
OG0003305	snap_masked-LAFA0F-processed-gene-21.146-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.146&CDS=1-1737	YKL012W
OG0003306	snap_masked-LAFA0F-processed-gene-21.98-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.98&CDS=1-513	YKL013C
OG0003307	snap_masked-LAFA0F-processed-gene-21.99-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.99&CDS=1-3192	YIR023W
OG0003308	snap_masked-LAFA0F-processed-gene-21.147-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.147&CDS=1-687	YIR024C
OG0003309	snap_masked-LAFA0F-processed-gene-21.100-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.100&CDS=1-5142	YKL014C
OG0003310	snap_masked-LAFA0F-processed-gene-21.148-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.148&CDS=1-2445	YKL015W
OG0003311	snap_masked-LAFA0F-processed-gene-21.101-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.101&CDS=1-522	YKL016C
OG0003312	snap_masked-LAFA0F-processed-gene-21.102-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.102&CDS=1-1986	YKL017C
OG0003313	snap_masked-LAFA0F-processed-gene-21.149-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.149&CDS=1-984	YKL018W
OG0003314	snap_masked-LAFA0F-processed-gene-21.103-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.103&CDS=1-264	YKL018C-A
OG0003315	snap_masked-LAFA0F-processed-gene-21.104-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.104&CDS=1-993	YIR025W
OG0003316	maker-LAFA0F-augustus-gene-21.172-mRNA-1_1&gene=maker-LAFA0F-augustus-gene-21.172&CDS=1-2067	YIR026C
OG0003317	snap_masked-LAFA0F-processed-gene-21.105-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.105&CDS=1-3318	YKL020C
OG0003318	snap_masked-LAFA0F-processed-gene-21.106-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.106&CDS=1-1203	YKL021C
OG0003319	snap_masked-LAFA0F-processed-gene-21.152-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.152&CDS=1-1119	YIR034C
OG0003320	snap_masked-LAFA0F-processed-gene-21.107-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.107&CDS=1-2241	YKL022C
OG0003321	snap_masked-LAFA0F-processed-gene-21.155-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.155&CDS=1-879	YKL024C
OG0003322	snap_masked-LAFA0F-processed-gene-21.108-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.108&CDS=1-1908	YKL025C
OG0003323	snap_masked-LAFA0F-processed-gene-21.158-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.158&CDS=1-942	YKL216W
OG0003324	snap_masked-LAFA0F-processed-gene-21.160-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.160&CDS=1-585	YJL218W
OG0003325	snap_masked-LAFA0F-processed-gene-21.112-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.112&CDS=1-1653	YLL058W
OG0003326	snap_masked-LAFA0F-processed-gene-21.113-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.113&CDS=1-1629	YMR319C
OG0003327	snap_masked-LAFA0F-processed-gene-21.163-mRNA-1_1&gene=snap_masked-LAFA0F-processed-gene-21.163&CDS=1-1803	YOL158C
OG0003328	augustus_masked-LAFA0G-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LAFA0G-processed-gene-0.3&CDS=1-1326	YCL063W
OG0003329	augustus_masked-LAFA0G-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-LAFA0G-processed-gene-0.16&CDS=1-3108	YCL061C
OG0003330	snap_masked-LAFA0G-processed-gene-0.53-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-0.53&CDS=1-1005	YCL059C
OG0003331	snap_masked-LAFA0G-processed-gene-0.37-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-0.37&CDS=1-318	YCL058W-A
OG0003332	snap_masked-LAFA0G-processed-gene-0.54-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-0.54&CDS=1-246	YCL057C-A
OG0003333	genemark-LAFA0G-processed-gene-0.74-mRNA-1_1&gene=genemark-LAFA0G-processed-gene-0.74&CDS=1-963	YCL055W
OG0003334	snap_masked-LAFA0G-processed-gene-0.39-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-0.39&CDS=1-2469	YCL054W
OG0003335	augustus_masked-LAFA0G-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-LAFA0G-processed-gene-0.22&CDS=1-1260	YCL052C
OG0003336	snap_masked-LAFA0G-processed-gene-0.59-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-0.59&CDS=1-384	YDR529C
OG0003337	snap_masked-LAFA0G-processed-gene-0.41-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-0.41&CDS=1-1101	YDR531W
OG0003338	snap_masked-LAFA0G-processed-gene-0.61-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-0.61&CDS=1-1116	YDR532C
OG0003339	snap_masked-LAFA0G-processed-gene-0.62-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-0.62&CDS=1-1353	YDR527W
OG0003340	snap_masked-LAFA0G-processed-gene-0.63-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-0.63&CDS=1-228	YDR525W-A
OG0003341	augustus_masked-LAFA0G-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-LAFA0G-processed-gene-0.27&CDS=1-816	YIR030C
OG0003342	snap_masked-LAFA0G-processed-gene-0.43-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-0.43&CDS=1-2523	YDR524C
OG0003343	snap_masked-LAFA0G-processed-gene-0.44-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-0.44&CDS=1-1491	YDR523C
OG0003344	snap_masked-LAFA0G-processed-gene-0.45-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-0.45&CDS=1-1434	YCL048W
OG0003345	snap_masked-LAFA0G-processed-gene-0.46-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-0.46&CDS=1-2040	YDR520C
OG0003346	snap_masked-LAFA0G-processed-gene-0.65-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-0.65&CDS=1-783	YCL047C
OG0003347	snap_masked-LAFA0G-processed-gene-0.66-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-0.66&CDS=1-414	YDR519W
OG0003348	snap_masked-LAFA0G-processed-gene-0.67-mRNA-1_1&gene=snap_masked-LAFA0G-processed-gene-0.67&CDS=1-2223	YCL045C
