	Pachysolen_tannophilus	Saccharomyces_cerevisiae
OG0002941	augustus_masked-scaffold_6-processed-gene-5.84-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.84&CDS=1-966	YJR070C
OG0002942	augustus_masked-scaffold_6-processed-gene-5.101-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.101&CDS=1-372	YJR063W
OG0002943	augustus_masked-scaffold_6-processed-gene-5.85-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.85&CDS=1-1680	YJR064W
OG0002944	augustus_masked-scaffold_6-processed-gene-5.86-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.86&CDS=1-2484	YJR065C
OG0002945	augustus_masked-scaffold_6-processed-gene-5.87-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.87&CDS=1-7299	YKL203C
OG0002946	augustus_masked-scaffold_6-processed-gene-6.60-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.60&CDS=1-1137	YOR043W
OG0002947	augustus_masked-scaffold_6-processed-gene-6.63-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.63&CDS=1-3405	YBR276C
OG0002948	augustus_masked-scaffold_6-processed-gene-6.64-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.64&CDS=1-1764	YJL069C
OG0002949	augustus_masked-scaffold_6-processed-gene-6.65-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.65&CDS=1-291	YJL062W-A
OG0002950	maker-scaffold_6-augustus-gene-6.11-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-6.11&CDS=1-684	YER170W
OG0002951	maker-scaffold_6-augustus-gene-6.12-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-6.12&CDS=1-423	YDR100W
OG0002952	augustus_masked-scaffold_6-processed-gene-6.83-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.83&CDS=1-1806	YDR101C
OG0002953	augustus_masked-scaffold_6-processed-gene-6.66-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.66&CDS=1-330	YER180C-A
OG0002954	augustus_masked-scaffold_6-processed-gene-6.84-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.84&CDS=1-1329	YDR106W
OG0002955	maker-scaffold_6-augustus-gene-6.10-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-6.10&CDS=1-1002	YER179W
OG0002956	augustus_masked-scaffold_6-processed-gene-6.70-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.70&CDS=1-1509	YDR105C
OG0002957	augustus_masked-scaffold_6-processed-gene-6.71-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.71&CDS=1-318	YER159C
OG0002958	augustus_masked-scaffold_6-processed-gene-6.72-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.72&CDS=1-2328	YDR109C
OG0002959	augustus_masked-scaffold_6-processed-gene-6.73-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.73&CDS=1-3957	YLR084C
OG0002960	augustus_masked-scaffold_6-processed-gene-6.74-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.74&CDS=1-1017	YPR110C
OG0002961	augustus_masked-scaffold_6-processed-gene-6.87-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.87&CDS=1-3522	YGR090W
OG0002962	augustus_masked-scaffold_6-processed-gene-6.88-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.88&CDS=1-3939	YAL001C
OG0002963	augustus_masked-scaffold_6-processed-gene-6.89-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.89&CDS=1-849	YGR220C
OG0002964	augustus_masked-scaffold_6-processed-gene-6.90-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.90&CDS=1-645	YHR147C
OG0002965	augustus_masked-scaffold_6-processed-gene-6.91-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.91&CDS=1-549	YBL057C
OG0002966	augustus_masked-scaffold_6-processed-gene-6.94-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.94&CDS=1-6228	YNL242W
OG0002967	augustus_masked-scaffold_6-processed-gene-6.76-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.76&CDS=1-3099	YDL215C
OG0002968	augustus_masked-scaffold_6-processed-gene-6.96-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.96&CDS=1-1524	YNL241C
OG0002969	augustus_masked-scaffold_6-processed-gene-6.97-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.97&CDS=1-1716	YNL240C
OG0002970	snap_masked-scaffold_6-processed-gene-6.57-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-6.57&CDS=1-948	YJL053W
OG0002971	augustus_masked-scaffold_6-processed-gene-6.101-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.101&CDS=1-3459	YOR191W
OG0002972	augustus_masked-scaffold_6-processed-gene-6.102-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.102&CDS=1-681	YLR292C
OG0002973	augustus_masked-scaffold_6-processed-gene-6.77-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.77&CDS=1-738	YLR301W
OG0002974	augustus_masked-scaffold_6-processed-gene-6.78-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.78&CDS=1-330	YGL054C
OG0002975	augustus_masked-scaffold_6-processed-gene-7.45-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.45&CDS=1-1602	YBR212W
OG0002976	augustus_masked-scaffold_6-processed-gene-7.48-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.48&CDS=1-828	YBR213W
OG0002977	augustus_masked-scaffold_6-processed-gene-7.47-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.47&CDS=1-2895	YIL075C
OG0002978	augustus_masked-scaffold_6-processed-gene-7.49-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.49&CDS=1-1581	YER082C
OG0002979	augustus_masked-scaffold_6-processed-gene-7.51-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.51&CDS=1-1386	YKL216W
OG0002980	augustus_masked-scaffold_6-processed-gene-7.76-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.76&CDS=1-975	YER083C
OG0002981	maker-scaffold_6-augustus-gene-7.150-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-7.150&CDS=1-888	YIL076W
OG0002982	augustus_masked-scaffold_6-processed-gene-7.77-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.77&CDS=1-2178	YIL078W
OG0002983	augustus_masked-scaffold_6-processed-gene-7.78-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.78&CDS=1-549	YHR148W
OG0002984	augustus_masked-scaffold_6-processed-gene-7.79-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.79&CDS=1-1800	YBR274W
OG0002985	augustus_masked-scaffold_6-processed-gene-7.80-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.80&CDS=1-2388	YGR150C
OG0002986	augustus_masked-scaffold_6-processed-gene-7.81-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.81&CDS=1-1512	YJL054W
OG0002987	augustus_masked-scaffold_6-processed-gene-7.82-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.82&CDS=1-2013	YJL128C
OG0002988	augustus_masked-scaffold_6-processed-gene-7.62-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.62&CDS=1-681	YJL055W
OG0002989	augustus_masked-scaffold_6-processed-gene-7.84-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.84&CDS=1-1044	YLR307W
OG0002990	augustus_masked-scaffold_6-processed-gene-7.64-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.64&CDS=1-1272	YGR161C
OG0002991	augustus_masked-scaffold_6-processed-gene-7.85-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.85&CDS=1-1647	YKR051W
OG0002992	genemark-scaffold_6-processed-gene-7.18-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.18&CDS=1-2319	YJL132W
OG0002993	maker-scaffold_6-snap-gene-7.147-mRNA-1_1&gene=maker-scaffold_6-snap-gene-7.147&CDS=1-1203	YJL131C
OG0002994	genemark-scaffold_6-processed-gene-7.19-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.19&CDS=1-945	YNL274C
OG0002995	maker-scaffold_6-augustus-gene-7.153-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-7.153&CDS=1-207	YJL127C-B
OG0002996	augustus_masked-scaffold_6-processed-gene-7.88-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.88&CDS=1-492	YGL127C
OG0002997	augustus_masked-scaffold_6-processed-gene-7.70-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.70&CDS=1-885	YGL126W
OG0002998	augustus_masked-scaffold_6-processed-gene-7.89-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.89&CDS=1-1845	YBR220C
OG0002999	augustus_masked-scaffold_6-processed-gene-7.71-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.71&CDS=1-1089	YBR221C
OG0003000	augustus_masked-scaffold_6-processed-gene-7.72-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.72&CDS=1-1587	YBR222C
OG0003001	augustus_masked-scaffold_6-processed-gene-7.90-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.90&CDS=1-1824	YGL119W
OG0003002	augustus_masked-scaffold_6-processed-gene-7.74-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.74&CDS=1-1458	YGL122C
OG0003003	augustus_masked-scaffold_6-processed-gene-7.91-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.91&CDS=1-765	YGL123W
OG0003004	augustus_masked-scaffold_6-processed-gene-8.12-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.12&CDS=1-5196	YJR138W
OG0003005	maker-scaffold_6-augustus-gene-8.0-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-8.0&CDS=1-1086	YJR139C
OG0003006	augustus_masked-scaffold_6-processed-gene-8.14-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.14&CDS=1-1194	YGL048C
OG0003007	augustus_masked-scaffold_6-processed-gene-8.27-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.27&CDS=1-2103	YLL019C
OG0003008	augustus_masked-scaffold_6-processed-gene-8.17-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.17&CDS=1-294	YLL018C-A
OG0003009	augustus_masked-scaffold_6-processed-gene-8.29-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.29&CDS=1-1497	YGL172W
OG0003010	augustus_masked-scaffold_6-processed-gene-8.18-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.18&CDS=1-4632	YGL173C
OG0003011	augustus_masked-scaffold_6-processed-gene-8.19-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.19&CDS=1-1002	YGL174W
OG0003012	augustus_masked-scaffold_6-processed-gene-8.21-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.21&CDS=1-2451	YPR021C
OG0003013	maker-scaffold_6-augustus-gene-8.1-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-8.1&CDS=1-1959	YGL175C
OG0003014	augustus_masked-scaffold_6-processed-gene-8.31-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.31&CDS=1-2775	YPR022C
OG0003015	augustus_masked-scaffold_6-processed-gene-8.32-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.32&CDS=1-783	YER126C
OG0003016	augustus_masked-scaffold_6-processed-gene-8.22-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.22&CDS=1-1086	YER127W
OG0003017	maker-scaffold_6-augustus-gene-8.2-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-8.2&CDS=1-585	YGL033W
OG0003018	augustus_masked-scaffold_6-processed-gene-8.37-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.37&CDS=1-2433	YGL027C
OG0003019	maker-scaffold_6-augustus-gene-8.3-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-8.3&CDS=1-2121	YGL026C
OG0003020	augustus_masked-scaffold_6-processed-gene-8.23-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.23&CDS=1-1146	YBL013W
OG0003021	maker-scaffold_6-augustus-gene-9.7-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-9.7&CDS=1-9588	YLL040C
OG0003022	maker-scaffold_6-augustus-gene-9.0-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-9.0&CDS=1-648	YLR268W
OG0003023	augustus_masked-scaffold_6-processed-gene-9.22-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.22&CDS=1-1182	YLR271W
OG0003024	augustus_masked-scaffold_6-processed-gene-9.23-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.23&CDS=1-912	YOR174W
OG0003025	augustus_masked-scaffold_6-processed-gene-9.27-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.27&CDS=1-1827	YOR175C
OG0003026	augustus_masked-scaffold_6-processed-gene-9.24-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.24&CDS=1-2244	YMR004W
OG0003027	augustus_masked-scaffold_6-processed-gene-9.47-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.47&CDS=1-1101	YOL010W
OG0003028	augustus_masked-scaffold_6-processed-gene-9.28-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.28&CDS=1-1056	YMR005W
OG0003029	augustus_masked-scaffold_6-processed-gene-9.29-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.29&CDS=1-3606	YLR272C
OG0003030	augustus_masked-scaffold_6-processed-gene-9.48-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.48&CDS=1-1278	YOR176W
OG0003031	augustus_masked-scaffold_6-processed-gene-9.30-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.30&CDS=1-1284	YLR085C
OG0003032	genemark-scaffold_6-processed-gene-9.95-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-9.95&CDS=1-1755	YDR088C
OG0003033	augustus_masked-scaffold_6-processed-gene-9.31-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.31&CDS=1-825	YDR087C
OG0003034	maker-scaffold_6-augustus-gene-9.4-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-9.4&CDS=1-201	YDR086C
OG0003035	augustus_masked-scaffold_6-processed-gene-9.50-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.50&CDS=1-3228	YER162C
OG0003036	augustus_masked-scaffold_6-processed-gene-9.52-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.52&CDS=1-1299	YLR438W
OG0003037	augustus_masked-scaffold_6-processed-gene-9.53-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.53&CDS=1-534	YLR435W
OG0003038	maker-scaffold_6-augustus-gene-9.5-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-9.5&CDS=1-1833	YLR433C
OG0003039	augustus_masked-scaffold_6-processed-gene-9.38-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.38&CDS=1-915	YKL183W
OG0003040	augustus_masked-scaffold_6-processed-gene-9.54-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.54&CDS=1-1659	YKL184W
OG0003041	augustus_masked-scaffold_6-processed-gene-9.55-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.55&CDS=1-1812	YKL185W
OG0003042	augustus_masked-scaffold_6-processed-gene-9.39-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.39&CDS=1-540	YKL186C
OG0003043	augustus_masked-scaffold_6-processed-gene-9.57-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.57&CDS=1-2406	YML066C
OG0003044	augustus_masked-scaffold_6-processed-gene-9.58-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.58&CDS=1-1620	YLR443W
OG0003045	augustus_masked-scaffold_6-processed-gene-9.40-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.40&CDS=1-2322	YML065W
OG0003046	augustus_masked-scaffold_6-processed-gene-9.59-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.59&CDS=1-738	YML064C
OG0003047	maker-scaffold_6-augustus-gene-9.8-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-9.8&CDS=1-1578	YML056C
OG0003048	augustus_masked-scaffold_6-processed-gene-9.42-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.42&CDS=1-4311	YLR086W
OG0003049	maker-scaffold_6-snap-gene-9.16-mRNA-1_1&gene=maker-scaffold_6-snap-gene-9.16&CDS=1-1680	YML069W
OG0003050	augustus_masked-scaffold_6-processed-gene-9.61-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.61&CDS=1-2319	YLR277C
OG0003051	maker-scaffold_6-augustus-gene-9.6-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-9.6&CDS=1-264	YLR438C-A
OG0003052	snap_masked-scaffold_6-processed-gene-9.150-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-9.150&CDS=1-4662	YML059C
OG0003053	snap_masked-scaffold_6-processed-gene-10.130-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-10.130&CDS=1-6195	YKL182W
OG0003054	genemark-scaffold_6-processed-gene-10.3-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-10.3&CDS=1-786	YLR412W
OG0003055	augustus_masked-scaffold_6-processed-gene-10.69-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.69&CDS=1-3441	YLR410W
OG0003056	augustus_masked-scaffold_6-processed-gene-10.67-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.67&CDS=1-2895	YLR409C
OG0003057	augustus_masked-scaffold_6-processed-gene-10.71-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.71&CDS=1-3249	YMR196W
OG0003058	maker-scaffold_6-augustus-gene-10.212-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-10.212&CDS=1-666	YMR197C
OG0003059	augustus_masked-scaffold_6-processed-gene-10.72-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.72&CDS=1-528	YPL252C
OG0003060	augustus_masked-scaffold_6-processed-gene-10.103-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.103&CDS=1-1680	YPL254W
OG0003061	augustus_masked-scaffold_6-processed-gene-10.75-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.75&CDS=1-738	YMR200W
OG0003062	maker-scaffold_6-augustus-gene-10.213-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-10.213&CDS=1-1092	YMR201C
OG0003063	augustus_masked-scaffold_6-processed-gene-10.106-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.106&CDS=1-1116	YNR007C
OG0003064	augustus_masked-scaffold_6-processed-gene-10.76-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.76&CDS=1-2091	YNR008W
OG0003065	augustus_masked-scaffold_6-processed-gene-10.107-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.107&CDS=1-1074	YPL244C
OG0003066	augustus_masked-scaffold_6-processed-gene-10.79-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.79&CDS=1-1134	YNL328C
OG0003067	augustus_masked-scaffold_6-processed-gene-10.109-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.109&CDS=1-1230	YPL236C
OG0003068	augustus_masked-scaffold_6-processed-gene-10.80-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.80&CDS=1-1434	YPL235W
OG0003069	augustus_masked-scaffold_6-processed-gene-10.110-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.110&CDS=1-519	YPL234C
OG0003070	maker-scaffold_6-augustus-gene-10.209-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-10.209&CDS=1-669	YPL233W
OG0003071	maker-scaffold_6-augustus-gene-10.210-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-10.210&CDS=1-915	YPL246C
OG0003072	augustus_masked-scaffold_6-processed-gene-10.111-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.111&CDS=1-642	YDR020C
OG0003073	augustus_masked-scaffold_6-processed-gene-10.85-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.85&CDS=1-1188	YDR021W
OG0003074	augustus_masked-scaffold_6-processed-gene-10.87-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.87&CDS=1-1083	YMR203W
OG0003075	augustus_masked-scaffold_6-processed-gene-10.113-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.113&CDS=1-5622	YJR140C
OG0003076	augustus_masked-scaffold_6-processed-gene-10.114-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.114&CDS=1-1146	YHR201C
OG0003077	augustus_masked-scaffold_6-processed-gene-10.116-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.116&CDS=1-1692	YNR012W
OG0003078	genemark-scaffold_6-processed-gene-10.56-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-10.56&CDS=1-810	YML067C
OG0003079	snap_masked-scaffold_6-processed-gene-10.155-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-10.155&CDS=1-1527	YML068W
OG0003080	augustus_masked-scaffold_6-processed-gene-10.119-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.119&CDS=1-1740	YHR150W
OG0003081	augustus_masked-scaffold_6-processed-gene-10.96-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.96&CDS=1-1503	YLR299W
OG0003082	genemark-scaffold_6-processed-gene-10.34-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-10.34&CDS=1-4365	YOR188W
OG0003083	augustus_masked-scaffold_6-processed-gene-10.99-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.99&CDS=1-1296	YNL191W
OG0003084	augustus_masked-scaffold_6-processed-gene-10.100-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.100&CDS=1-840	YPR192W
OG0003085	maker-scaffold_62-augustus-gene-0.2-mRNA-1_1&gene=maker-scaffold_62-augustus-gene-0.2&CDS=1-774	YGR152C
OG0003086	maker-scaffold_63-augustus-gene-0.3-mRNA-1_1&gene=maker-scaffold_63-augustus-gene-0.3&CDS=1-468	YJL143W
OG0003087	snap_masked-scaffold_69-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scaffold_69-processed-gene-0.0&CDS=1-513	YOR252W
OG0003088	augustus_masked-scaffold_7-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.10&CDS=1-1500	YOR250C
OG0003089	augustus_masked-scaffold_7-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.11&CDS=1-897	YOR251C
OG0003090	augustus_masked-scaffold_7-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.0&CDS=1-3252	YDR027C
OG0003091	augustus_masked-scaffold_7-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.14&CDS=1-369	YDR511W
OG0003092	augustus_masked-scaffold_7-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.16&CDS=1-2631	YJL209W
OG0003093	augustus_masked-scaffold_7-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.1&CDS=1-1041	YJL208C
OG0003094	augustus_masked-scaffold_7-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.18&CDS=1-1731	YNL275W
OG0003095	augustus_masked-scaffold_7-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.19&CDS=1-8394	YJL207C
OG0003096	augustus_masked-scaffold_7-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.20&CDS=1-444	YPL225W
OG0003097	augustus_masked-scaffold_7-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.23&CDS=1-5061	YMR176W
OG0003098	augustus_masked-scaffold_7-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.2&CDS=1-1473	YMR215W
OG0003099	augustus_masked-scaffold_7-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.24&CDS=1-711	YPL107W
OG0003100	augustus_masked-scaffold_7-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.3&CDS=1-1752	YBR170C
OG0003101	augustus_masked-scaffold_7-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.4&CDS=1-2100	YPL106C
OG0003102	augustus_masked-scaffold_7-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.7&CDS=1-3510	YIL047C
OG0003103	maker-scaffold_7-augustus-gene-0.66-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-0.66&CDS=1-4515	YIL048W
OG0003104	augustus_masked-scaffold_7-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.51&CDS=1-561	YGR133W
OG0003105	augustus_masked-scaffold_7-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.52&CDS=1-2571	YGR134W
OG0003106	augustus_masked-scaffold_7-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.55&CDS=1-1344	YOR049C
OG0003107	maker-scaffold_7-augustus-gene-1.150-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-1.150&CDS=1-3429	YDL001W
OG0003108	augustus_masked-scaffold_7-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.81&CDS=1-750	YLR022C
OG0003109	augustus_masked-scaffold_7-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.58&CDS=1-1524	YLR023C
OG0003110	augustus_masked-scaffold_7-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.82&CDS=1-1446	YCR066W
OG0003111	augustus_masked-scaffold_7-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.83&CDS=1-2847	YLR001C
OG0003112	augustus_masked-scaffold_7-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.84&CDS=1-1785	YJR001W
OG0003113	augustus_masked-scaffold_7-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.85&CDS=1-1794	YJR002W
OG0003114	augustus_masked-scaffold_7-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.61&CDS=1-2058	YLR002C
OG0003115	genemark-scaffold_7-processed-gene-1.16-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.16&CDS=1-1212	YGR193C
