	Saccharomyces_cerevisiae	yHMPu5000041833_Candida_tammaniensis
OG0002778	YNL240C	snap_masked-NODE_15_length_147441_cov_123.374_ID_2916-processed-gene-0.143-mRNA-1_1&gene=snap_masked-NODE_15_length_147441_cov_123.374_ID_2916-processed-gene-0.143&CDS=1-1533
OG0002779	YNL241C	snap_masked-NODE_15_length_147441_cov_123.374_ID_2916-processed-gene-0.111-mRNA-1_1&gene=snap_masked-NODE_15_length_147441_cov_123.374_ID_2916-processed-gene-0.111&CDS=1-1506
OG0002780	YNL242W	genemark-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-8.119-mRNA-1_1&gene=genemark-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-8.119&CDS=1-5523
OG0002781	YNL243W	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-6.79-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-6.79&CDS=1-3120
OG0002782	YNL244C	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-1.16-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-1.16&CDS=1-327
OG0002783	YNL245C	genemark-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-1.69-mRNA-1_1&gene=genemark-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-1.69&CDS=1-582
OG0002784	YNL247W	augustus_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-2.5-mRNA-1_1&gene=augustus_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-2.5&CDS=1-4557
OG0002785	YNL248C	maker-NODE_15_length_147441_cov_123.374_ID_2916-snap-gene-0.74-mRNA-1_1&gene=maker-NODE_15_length_147441_cov_123.374_ID_2916-snap-gene-0.74&CDS=1-1989
OG0002786	YNL250W	snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-8.10-mRNA-1_1&gene=snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-8.10&CDS=1-5493
OG0002787	YNL251C	snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-2.114-mRNA-1_1&gene=snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-2.114&CDS=1-1893
OG0002788	YNL252C	genemark-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-2.139-mRNA-1_1&gene=genemark-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-2.139&CDS=1-828
OG0002789	YNL254C	snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-2.113-mRNA-1_1&gene=snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-2.113&CDS=1-975
OG0002790	YNL256W	snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-2.112-mRNA-1_1&gene=snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-2.112&CDS=1-2352
OG0002791	YNL258C	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-4.187-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-4.187&CDS=1-2079
OG0002792	YNL259C	genemark-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-4.22-mRNA-1_1&gene=genemark-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-4.22&CDS=1-165
OG0002793	YNL260C	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-4.151-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-4.151&CDS=1-462
OG0002794	YNL262W	maker-NODE_5_length_905678_cov_45.6404_ID_4750-augustus-gene-4.101-mRNA-1_1&gene=maker-NODE_5_length_905678_cov_45.6404_ID_4750-augustus-gene-4.101&CDS=1-8922
OG0002795	YNL265C	snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-8.81-mRNA-1_1&gene=snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-8.81&CDS=1-705
OG0002796	YNL267W	genemark-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-7.138-mRNA-1_1&gene=genemark-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-7.138&CDS=1-2820
OG0002797	YNL271C	maker-NODE_10_length_351050_cov_44.863_ID_3249-augustus-gene-2.88-mRNA-1_1&gene=maker-NODE_10_length_351050_cov_44.863_ID_3249-augustus-gene-2.88&CDS=1-7824
OG0002798	YNL273W	snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-4.83-mRNA-1_1&gene=snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-4.83&CDS=1-3888
OG0002799	YNL275W	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-15.85-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-15.85&CDS=1-1665
OG0002800	YNL277W	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-15.130-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-15.130&CDS=1-1359
OG0002801	YNL279W	augustus_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-2.46&CDS=1-1842
OG0002802	YNL280C	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-0.89-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-0.89&CDS=1-1287
OG0002803	YNL281W	augustus_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-2.41&CDS=1-429
OG0002804	YNL282W	snap_masked-NODE_12_length_208975_cov_103.862_ID_2973-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NODE_12_length_208975_cov_103.862_ID_2973-processed-gene-0.51&CDS=1-822
OG0002805	YNL284C	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-10.94-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-10.94&CDS=1-831
OG0002806	YNL286W	snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-0.79-mRNA-1_1&gene=snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-0.79&CDS=1-855
OG0002807	YNL287W	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-3.69-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-3.69&CDS=1-2826
OG0002808	YNL288W	snap_masked-NODE_16_length_146000_cov_112.095_ID_4313-processed-gene-0.138-mRNA-1_1&gene=snap_masked-NODE_16_length_146000_cov_112.095_ID_4313-processed-gene-0.138&CDS=1-1206
OG0002809	YNL290W	maker-NODE_5_length_905678_cov_45.6404_ID_4750-augustus-gene-2.51-mRNA-1_1&gene=maker-NODE_5_length_905678_cov_45.6404_ID_4750-augustus-gene-2.51&CDS=1-4359
OG0002810	YNL292W	augustus_masked-NODE_12_length_208975_cov_103.862_ID_2973-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_12_length_208975_cov_103.862_ID_2973-processed-gene-0.34&CDS=1-2421
OG0002811	YNL293W	snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-7.65-mRNA-1_1&gene=snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-7.65&CDS=1-1737
OG0002812	YNL294C	snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-7.91-mRNA-1_1&gene=snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-7.91&CDS=1-1530
OG0002813	YNL297C	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-2.54-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-2.54&CDS=1-4494
OG0002814	YNL305C	maker-NODE_17_length_118177_cov_104.474_ID_4239-snap-gene-0.191-mRNA-1_1&gene=maker-NODE_17_length_118177_cov_104.474_ID_4239-snap-gene-0.191&CDS=1-1092
OG0002815	YNL307C	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-3.70-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-3.70&CDS=1-1143
OG0002816	YNL308C	snap_masked-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.4&CDS=1-1569
OG0002817	YNL312W	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-14.95-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-14.95&CDS=1-759
OG0002818	YNL313C	snap_masked-NODE_14_length_186271_cov_96.6982_ID_2666-processed-gene-0.127-mRNA-1_1&gene=snap_masked-NODE_14_length_186271_cov_96.6982_ID_2666-processed-gene-0.127&CDS=1-2742
OG0002819	YNL315C	snap_masked-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.30-mRNA-1_1&gene=snap_masked-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.30&CDS=1-861
OG0002820	YNL316C	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-4.126-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-4.126&CDS=1-864
OG0002821	YNL317W	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-8.85-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-8.85&CDS=1-1401
OG0002822	YNL320W	augustus_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-0.85&CDS=1-906
OG0002823	YNL321W	snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-0.114-mRNA-1_1&gene=snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-0.114&CDS=1-3078
OG0002824	YNL323W	snap_masked-NODE_17_length_118177_cov_104.474_ID_4239-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_17_length_118177_cov_104.474_ID_4239-processed-gene-0.4&CDS=1-1299
OG0002825	YNL325C	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-12.59-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-12.59&CDS=1-3063
OG0002826	YNL326C	maker-NODE_5_length_905678_cov_45.6404_ID_4750-snap-gene-3.124-mRNA-1_1&gene=maker-NODE_5_length_905678_cov_45.6404_ID_4750-snap-gene-3.124&CDS=1-1110
OG0002827	YNL329C	genemark-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-1.4-mRNA-1_1&gene=genemark-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-1.4&CDS=1-3546
OG0002828	YNL330C	maker-NODE_5_length_905678_cov_45.6404_ID_4750-augustus-gene-3.116-mRNA-1_1&gene=maker-NODE_5_length_905678_cov_45.6404_ID_4750-augustus-gene-3.116&CDS=1-2232
OG0002829	YNR001C	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-4.123-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-4.123&CDS=1-1386
OG0002830	YNR003C	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-5.83-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-5.83&CDS=1-939
OG0002831	YNR006W	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-3.56-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-3.56&CDS=1-2196
OG0002832	YNR007C	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-2.127-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-2.127&CDS=1-858
OG0002833	YNR008W	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-2.126-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-2.126&CDS=1-1935
OG0002834	YNR012W	snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-5.144-mRNA-1_1&gene=snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-5.144&CDS=1-1500
OG0002835	YNR015W	snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-3.84-mRNA-1_1&gene=snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-3.84&CDS=1-1218
OG0002836	YNR016C	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-3.119-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-3.119&CDS=1-6684
OG0002837	YNR017W	snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-3.62-mRNA-1_1&gene=snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-3.62&CDS=1-600
OG0002838	YNR018W	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-6.83-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-6.83&CDS=1-603
OG0002839	YNR021W	snap_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-2.230-mRNA-1_1&gene=snap_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-2.230&CDS=1-1122
OG0002840	YNR023W	genemark-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-2.103-mRNA-1_1&gene=genemark-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-2.103&CDS=1-1449
OG0002841	YNR027W	snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-2.116-mRNA-1_1&gene=snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-2.116&CDS=1-894
OG0002842	YNR029C	snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-6.107-mRNA-1_1&gene=snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-6.107&CDS=1-1239
OG0002843	YNR030W	genemark-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-6.139-mRNA-1_1&gene=genemark-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-6.139&CDS=1-1806
OG0002844	YNR032C-A	snap_masked-NODE_11_length_319508_cov_75.386_ID_2522-processed-gene-2.73-mRNA-1_1&gene=snap_masked-NODE_11_length_319508_cov_75.386_ID_2522-processed-gene-2.73&CDS=1-219
OG0002845	YNR032W	snap_masked-NODE_11_length_319508_cov_75.386_ID_2522-processed-gene-2.72-mRNA-1_1&gene=snap_masked-NODE_11_length_319508_cov_75.386_ID_2522-processed-gene-2.72&CDS=1-1014
OG0002846	YNR033W	augustus_masked-NODE_11_length_319508_cov_75.386_ID_2522-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-NODE_11_length_319508_cov_75.386_ID_2522-processed-gene-1.101&CDS=1-2307
OG0002847	YNR035C	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-11.198-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-11.198&CDS=1-1008
OG0002848	YNR036C	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-11.202-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-11.202&CDS=1-501
OG0002849	YNR041C	genemark-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-0.38-mRNA-1_1&gene=genemark-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-0.38&CDS=1-1065
OG0002850	YNR043W	maker-NODE_12_length_208975_cov_103.862_ID_2973-augustus-gene-0.41-mRNA-1_1&gene=maker-NODE_12_length_208975_cov_103.862_ID_2973-augustus-gene-0.41&CDS=1-2859
OG0002851	YNR046W	snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-7.62-mRNA-1_1&gene=snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-7.62&CDS=1-384
OG0002852	YNR049C	augustus_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-1.144-mRNA-1_1&gene=augustus_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-1.144&CDS=1-630
OG0002853	YNR050C	snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-6.65-mRNA-1_1&gene=snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-6.65&CDS=1-1344
OG0002854	YNR051C	snap_masked-NODE_14_length_186271_cov_96.6982_ID_2666-processed-gene-0.93-mRNA-1_1&gene=snap_masked-NODE_14_length_186271_cov_96.6982_ID_2666-processed-gene-0.93&CDS=1-1200
OG0002855	YNR052C	snap_masked-NODE_14_length_186271_cov_96.6982_ID_2666-processed-gene-0.95-mRNA-1_1&gene=snap_masked-NODE_14_length_186271_cov_96.6982_ID_2666-processed-gene-0.95&CDS=1-1392
OG0002856	YNR053C	maker-NODE_14_length_186271_cov_96.6982_ID_2666-snap-gene-0.182-mRNA-1_1&gene=maker-NODE_14_length_186271_cov_96.6982_ID_2666-snap-gene-0.182&CDS=1-1614
OG0002857	YNR054C	snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-6.59-mRNA-1_1&gene=snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-6.59&CDS=1-918
OG0002858	YNR055C	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-2.76-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-2.76&CDS=1-1677
OG0002859	YOL001W	snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-3.58-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-3.58&CDS=1-1428
OG0002860	YOL003C	genemark-NODE_12_length_208975_cov_103.862_ID_2973-processed-gene-0.139-mRNA-1_1&gene=genemark-NODE_12_length_208975_cov_103.862_ID_2973-processed-gene-0.139&CDS=1-1008
OG0002861	YOL004W	maker-NODE_1_length_1639312_cov_47.3867_ID_4086-snap-gene-12.54-mRNA-1_1&gene=maker-NODE_1_length_1639312_cov_47.3867_ID_4086-snap-gene-12.54&CDS=1-4362
OG0002862	YOL005C	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-12.78-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-12.78&CDS=1-351
OG0002863	YOL006C	genemark-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-12.128-mRNA-1_1&gene=genemark-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-12.128&CDS=1-2235
OG0002864	YOL008W	augustus_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-7.21-mRNA-1_1&gene=augustus_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-7.21&CDS=1-483
OG0002865	YOL009C	snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-4.63-mRNA-1_1&gene=snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-4.63&CDS=1-1032
OG0002866	YOL010W	snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-3.51-mRNA-1_1&gene=snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-3.51&CDS=1-1098
OG0002867	YOL012C	snap_masked-NODE_9_length_422362_cov_41.9648_ID_2612-processed-gene-2.78-mRNA-1_1&gene=snap_masked-NODE_9_length_422362_cov_41.9648_ID_2612-processed-gene-2.78&CDS=1-396
OG0002868	YOL016C	snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-0.126-mRNA-1_1&gene=snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-0.126&CDS=1-1416
OG0002869	YOL021C	snap_masked-NODE_11_length_319508_cov_75.386_ID_2522-processed-gene-0.60-mRNA-1_1&gene=snap_masked-NODE_11_length_319508_cov_75.386_ID_2522-processed-gene-0.60&CDS=1-2922
OG0002870	YOL023W	maker-NODE_3_length_1269879_cov_49.5199_ID_3585-augustus-gene-11.195-mRNA-1_1&gene=maker-NODE_3_length_1269879_cov_49.5199_ID_3585-augustus-gene-11.195&CDS=1-4833
OG0002871	YOL026C	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-5.91-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-5.91&CDS=1-387
OG0002872	YOL027C	augustus_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-8.120-mRNA-1_1&gene=augustus_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-8.120&CDS=1-1524
OG0002873	YOL030W	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-3.118-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-3.118&CDS=1-1365
OG0002874	YOL031C	genemark-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-8.84-mRNA-1_1&gene=genemark-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-8.84&CDS=1-1149
OG0002875	YOL032W	snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-8.140-mRNA-1_1&gene=snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-8.140&CDS=1-579
OG0002876	YOL033W	snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-7.72-mRNA-1_1&gene=snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-7.72&CDS=1-1449
OG0002877	YOL034W	snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-7.69-mRNA-1_1&gene=snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-7.69&CDS=1-3159
OG0002878	YOL038W	maker-NODE_1_length_1639312_cov_47.3867_ID_4086-snap-gene-5.62-mRNA-1_1&gene=maker-NODE_1_length_1639312_cov_47.3867_ID_4086-snap-gene-5.62&CDS=1-744
OG0002879	YOL040C	maker-NODE_3_length_1269879_cov_49.5199_ID_3585-snap-gene-6.2-mRNA-1_1&gene=maker-NODE_3_length_1269879_cov_49.5199_ID_3585-snap-gene-6.2&CDS=1-426
OG0002880	YOL041C	snap_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-2.245-mRNA-1_1&gene=snap_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-2.245&CDS=1-1308
OG0002881	YOL048C	snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-8.171-mRNA-1_1&gene=snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-8.171&CDS=1-516
OG0002882	YOL049W	snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-8.143-mRNA-1_1&gene=snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-8.143&CDS=1-1440
OG0002883	YOL051W	augustus_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-2.72&CDS=1-3147
OG0002884	YOL052C	snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-5.56-mRNA-1_1&gene=snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-5.56&CDS=1-1203
OG0002885	YOL054W	genemark-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.226-mRNA-1_1&gene=genemark-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.226&CDS=1-2373
OG0002886	YOL057W	genemark-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-5.117-mRNA-1_1&gene=genemark-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-5.117&CDS=1-4158
OG0002887	YOL058W	snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-2.26-mRNA-1_1&gene=snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-2.26&CDS=1-1245
OG0002888	YOL060C	snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-2.100-mRNA-1_1&gene=snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-2.100&CDS=1-1896
OG0002889	YOL061W	genemark-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-8.83-mRNA-1_1&gene=genemark-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-8.83&CDS=1-2553
OG0002890	YOL063C	snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-7.52-mRNA-1_1&gene=snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-7.52&CDS=1-2154
OG0002891	YOL064C	snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-1.71-mRNA-1_1&gene=snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-1.71&CDS=1-1086
OG0002892	YOL065C	snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-7.90-mRNA-1_1&gene=snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-7.90&CDS=1-1305
OG0002893	YOL066C	snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-7.64-mRNA-1_1&gene=snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-7.64&CDS=1-1740
OG0002894	YOL067C	snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-0.149-mRNA-1_1&gene=snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-0.149&CDS=1-639
OG0002895	YOL069W	snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-7.73-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-7.73&CDS=1-1467
OG0002896	YOL070C	snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-4.68-mRNA-1_1&gene=snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-4.68&CDS=1-1767
OG0002897	YOL071W	snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-0.147-mRNA-1_1&gene=snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-0.147&CDS=1-426
OG0002898	YOL073C	snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-5.85-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-5.85&CDS=1-678
OG0002899	YOL075C	snap_masked-NODE_15_length_147441_cov_123.374_ID_2916-processed-gene-0.125-mRNA-1_1&gene=snap_masked-NODE_15_length_147441_cov_123.374_ID_2916-processed-gene-0.125&CDS=1-4800
