	Geotrichum_candidum	Saccharomyces_cerevisiae
OG0002902	genemark-CCBN010000015.1-processed-gene-5.121-mRNA-1_1&gene=genemark-CCBN010000015.1-processed-gene-5.121&CDS=1-342	YGL070C
OG0002903	maker-CCBN010000015.1-snap-gene-6.81-mRNA-1_1&gene=maker-CCBN010000015.1-snap-gene-6.81&CDS=1-1308	YMR090W
OG0002904	genemark-CCBN010000015.1-processed-gene-6.6-mRNA-1_1&gene=genemark-CCBN010000015.1-processed-gene-6.6&CDS=1-2625	YJL176C
OG0002905	maker-CCBN010000015.1-augustus-gene-6.86-mRNA-1_1&gene=maker-CCBN010000015.1-augustus-gene-6.86&CDS=1-2259	YKL171W
OG0002906	genemark-CCBN010000015.1-processed-gene-6.28-mRNA-1_1&gene=genemark-CCBN010000015.1-processed-gene-6.28&CDS=1-777	YLR285W
OG0002907	genemark-CCBN010000015.1-processed-gene-6.9-mRNA-1_1&gene=genemark-CCBN010000015.1-processed-gene-6.9&CDS=1-1347	YOR260W
OG0002908	genemark-CCBN010000015.1-processed-gene-6.10-mRNA-1_1&gene=genemark-CCBN010000015.1-processed-gene-6.10&CDS=1-3303	YPL160W
OG0002909	genemark-CCBN010000015.1-processed-gene-6.13-mRNA-1_1&gene=genemark-CCBN010000015.1-processed-gene-6.13&CDS=1-1443	YOR241W
OG0002910	genemark-CCBN010000015.1-processed-gene-6.29-mRNA-1_1&gene=genemark-CCBN010000015.1-processed-gene-6.29&CDS=1-969	YOR239W
OG0002911	genemark-CCBN010000015.1-processed-gene-6.16-mRNA-1_1&gene=genemark-CCBN010000015.1-processed-gene-6.16&CDS=1-1341	YMR208W
OG0002912	genemark-CCBN010000015.1-processed-gene-6.30-mRNA-1_1&gene=genemark-CCBN010000015.1-processed-gene-6.30&CDS=1-990	YOR271C
OG0002913	genemark-CCBN010000015.1-processed-gene-6.31-mRNA-1_1&gene=genemark-CCBN010000015.1-processed-gene-6.31&CDS=1-1578	YMR217W
OG0002914	genemark-CCBN010000015.1-processed-gene-6.33-mRNA-1_1&gene=genemark-CCBN010000015.1-processed-gene-6.33&CDS=1-501	YJR097W
OG0002915	genemark-CCBN010000015.1-processed-gene-6.19-mRNA-1_1&gene=genemark-CCBN010000015.1-processed-gene-6.19&CDS=1-1296	YNL248C
OG0002916	augustus_masked-CCBN010000016.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-CCBN010000016.1-processed-gene-0.16&CDS=1-1008	YNL110C
OG0002917	genemark-CCBN010000016.1-processed-gene-0.46-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-0.46&CDS=1-2451	YLR166C
OG0002918	genemark-CCBN010000016.1-processed-gene-0.35-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-0.35&CDS=1-954	YFR025C
OG0002919	genemark-CCBN010000016.1-processed-gene-0.47-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-0.47&CDS=1-2115	YHR020W
OG0002920	maker-CCBN010000016.1-snap-gene-1.40-mRNA-1_1&gene=maker-CCBN010000016.1-snap-gene-1.40&CDS=1-10617	YDR457W
OG0002921	genemark-CCBN010000016.1-processed-gene-1.96-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-1.96&CDS=1-1392	YHR011W
OG0002922	maker-CCBN010000016.1-snap-gene-1.37-mRNA-1_1&gene=maker-CCBN010000016.1-snap-gene-1.37&CDS=1-510	YLR050C
OG0002923	genemark-CCBN010000016.1-processed-gene-1.79-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-1.79&CDS=1-3447	YNL329C
OG0002924	augustus_masked-CCBN010000016.1-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-CCBN010000016.1-processed-gene-1.47&CDS=1-1803	YPL243W
OG0002925	genemark-CCBN010000016.1-processed-gene-1.83-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-1.83&CDS=1-936	YLR340W
OG0002926	genemark-CCBN010000016.1-processed-gene-1.85-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-1.85&CDS=1-555	YKL069W
OG0002927	snap_masked-CCBN010000016.1-processed-gene-1.27-mRNA-1_1&gene=snap_masked-CCBN010000016.1-processed-gene-1.27&CDS=1-501	YIL004C
OG0002928	genemark-CCBN010000016.1-processed-gene-1.101-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-1.101&CDS=1-759	YLR022C
OG0002929	genemark-CCBN010000016.1-processed-gene-1.102-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-1.102&CDS=1-2493	YKL155C
OG0002930	augustus_masked-CCBN010000016.1-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-CCBN010000016.1-processed-gene-1.56&CDS=1-2655	YKR079C
OG0002931	genemark-CCBN010000016.1-processed-gene-1.91-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-1.91&CDS=1-1593	YOR067C
OG0002932	genemark-CCBN010000016.1-processed-gene-1.107-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-1.107&CDS=1-1548	YNL317W
OG0002933	maker-CCBN010000016.1-augustus-gene-1.110-mRNA-1_1&gene=maker-CCBN010000016.1-augustus-gene-1.110&CDS=1-546	YER007C-A
OG0002934	snap_masked-CCBN010000016.1-processed-gene-1.35-mRNA-1_1&gene=snap_masked-CCBN010000016.1-processed-gene-1.35&CDS=1-1515	YER007W
OG0002935	genemark-CCBN010000016.1-processed-gene-1.94-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-1.94&CDS=1-1488	YMR215W
OG0002936	genemark-CCBN010000016.1-processed-gene-1.95-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-1.95&CDS=1-753	YPL065W
OG0002937	genemark-CCBN010000016.1-processed-gene-2.6-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-2.6&CDS=1-675	YPL233W
OG0002938	genemark-CCBN010000016.1-processed-gene-2.9-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-2.9&CDS=1-573	YBR106W
OG0002939	genemark-CCBN010000016.1-processed-gene-2.10-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-2.10&CDS=1-1152	YIL039W
OG0002940	genemark-CCBN010000016.1-processed-gene-2.16-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-2.16&CDS=1-1434	YGR009C
OG0002941	genemark-CCBN010000016.1-processed-gene-3.8-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-3.8&CDS=1-1065	YER107C
OG0002942	augustus_masked-CCBN010000016.1-processed-gene-3.44-mRNA-1_1&gene=augustus_masked-CCBN010000016.1-processed-gene-3.44&CDS=1-2067	YPR018W
OG0002943	genemark-CCBN010000016.1-processed-gene-3.12-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-3.12&CDS=1-981	YDL119C
OG0002944	genemark-CCBN010000016.1-processed-gene-3.31-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-3.31&CDS=1-942	YGL043W
OG0002945	genemark-CCBN010000016.1-processed-gene-3.14-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-3.14&CDS=1-498	YOL143C
OG0002946	genemark-CCBN010000016.1-processed-gene-3.15-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-3.15&CDS=1-1320	YPL083C
OG0002947	maker-CCBN010000016.1-snap-gene-3.84-mRNA-1_1&gene=maker-CCBN010000016.1-snap-gene-3.84&CDS=1-300	YPL046C
OG0002948	genemark-CCBN010000016.1-processed-gene-3.16-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-3.16&CDS=1-2484	YPL045W
OG0002949	genemark-CCBN010000016.1-processed-gene-3.17-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-3.17&CDS=1-1026	YPL031C
OG0002950	genemark-CCBN010000016.1-processed-gene-3.19-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-3.19&CDS=1-2103	YER005W
OG0002951	genemark-CCBN010000016.1-processed-gene-3.20-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-3.20&CDS=1-681	YNL306W
OG0002952	genemark-CCBN010000016.1-processed-gene-3.37-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-3.37&CDS=1-1383	YPL151C
OG0002953	genemark-CCBN010000016.1-processed-gene-3.22-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-3.22&CDS=1-1026	YNL231C
OG0002954	genemark-CCBN010000016.1-processed-gene-3.24-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-3.24&CDS=1-1422	YNL239W
OG0002955	maker-CCBN010000016.1-snap-gene-3.85-mRNA-1_1&gene=maker-CCBN010000016.1-snap-gene-3.85&CDS=1-2055	YDR419W
OG0002956	genemark-CCBN010000016.1-processed-gene-3.25-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-3.25&CDS=1-1317	YGR285C
OG0002957	genemark-CCBN010000016.1-processed-gene-3.42-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-3.42&CDS=1-2424	YDL126C
OG0002958	genemark-CCBN010000016.1-processed-gene-4.14-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-4.14&CDS=1-2124	YKL179C
OG0002959	genemark-CCBN010000016.1-processed-gene-4.15-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-4.15&CDS=1-960	YDL014W
OG0002960	genemark-CCBN010000016.1-processed-gene-4.32-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-4.32&CDS=1-3201	YDL102W
OG0002961	snap_masked-CCBN010000016.1-processed-gene-4.85-mRNA-1_1&gene=snap_masked-CCBN010000016.1-processed-gene-4.85&CDS=1-855	YNL252C
OG0002962	genemark-CCBN010000016.1-processed-gene-4.18-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-4.18&CDS=1-1362	YBL082C
OG0002963	genemark-CCBN010000016.1-processed-gene-4.19-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-4.19&CDS=1-978	YDL114W
OG0002964	genemark-CCBN010000016.1-processed-gene-4.34-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-4.34&CDS=1-1248	YJL125C
OG0002965	genemark-CCBN010000016.1-processed-gene-4.21-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-4.21&CDS=1-477	YDL208W
OG0002966	genemark-CCBN010000016.1-processed-gene-4.35-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-4.35&CDS=1-2076	YDR234W
OG0002967	genemark-CCBN010000016.1-processed-gene-5.66-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-5.66&CDS=1-1473	YGL059W
OG0002968	genemark-CCBN010000016.1-processed-gene-5.91-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-5.91&CDS=1-1434	YFR044C
OG0002969	genemark-CCBN010000016.1-processed-gene-5.67-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-5.67&CDS=1-372	YLR104W
OG0002970	genemark-CCBN010000016.1-processed-gene-5.92-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-5.92&CDS=1-357	YML098W
OG0002971	maker-CCBN010000016.1-augustus-gene-5.1-mRNA-1_1&gene=maker-CCBN010000016.1-augustus-gene-5.1&CDS=1-1899	YKL025C
OG0002972	genemark-CCBN010000016.1-processed-gene-5.94-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-5.94&CDS=1-828	YBR213W
OG0002973	genemark-CCBN010000016.1-processed-gene-5.74-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-5.74&CDS=1-843	YBR185C
OG0002974	genemark-CCBN010000016.1-processed-gene-5.75-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-5.75&CDS=1-2247	YGL022W
OG0002975	genemark-CCBN010000016.1-processed-gene-5.97-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-5.97&CDS=1-420	YPR100W
OG0002976	maker-CCBN010000016.1-snap-gene-5.58-mRNA-1_1&gene=maker-CCBN010000016.1-snap-gene-5.58&CDS=1-939	YIL061C
OG0002977	snap_masked-CCBN010000016.1-processed-gene-5.131-mRNA-1_1&gene=snap_masked-CCBN010000016.1-processed-gene-5.131&CDS=1-1026	YKL085W
OG0002978	genemark-CCBN010000016.1-processed-gene-5.101-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-5.101&CDS=1-444	YMR071C
OG0002979	genemark-CCBN010000016.1-processed-gene-5.82-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-5.82&CDS=1-390	YKL086W
OG0002980	genemark-CCBN010000016.1-processed-gene-5.104-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-5.104&CDS=1-2202	YER015W
OG0002981	genemark-CCBN010000016.1-processed-gene-5.105-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-5.105&CDS=1-1404	YGR119C
OG0002982	augustus_masked-CCBN010000016.1-processed-gene-5.50-mRNA-1_1&gene=augustus_masked-CCBN010000016.1-processed-gene-5.50&CDS=1-2598	YPR135W
OG0002983	genemark-CCBN010000016.1-processed-gene-5.107-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-5.107&CDS=1-1458	YDR434W
OG0002984	genemark-CCBN010000016.1-processed-gene-5.108-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-5.108&CDS=1-903	YDR116C
OG0002985	genemark-CCBN010000016.1-processed-gene-5.109-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-5.109&CDS=1-357	YDR115W
OG0002986	genemark-CCBN010000016.1-processed-gene-5.87-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-5.87&CDS=1-948	YOL154W
OG0002987	snap_masked-CCBN010000017.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-CCBN010000017.1-processed-gene-0.2&CDS=1-1086	YGR053C
OG0002988	snap_masked-CCBN010000017.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-CCBN010000017.1-processed-gene-0.9&CDS=1-894	YOR143C
OG0002989	snap_masked-CCBN010000017.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-CCBN010000017.1-processed-gene-0.10&CDS=1-2787	YLR424W
OG0002990	maker-CCBN010000017.1-snap-gene-0.61-mRNA-1_1&gene=maker-CCBN010000017.1-snap-gene-0.61&CDS=1-1308	YLR423C
OG0002991	genemark-CCBN010000017.1-processed-gene-0.51-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-0.51&CDS=1-384	YBR269C
OG0002992	maker-CCBN010000017.1-snap-gene-0.62-mRNA-1_1&gene=maker-CCBN010000017.1-snap-gene-0.62&CDS=1-3528	YPL110C
OG0002993	genemark-CCBN010000017.1-processed-gene-0.60-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-0.60&CDS=1-2175	YLR103C
OG0002994	snap_masked-CCBN010000017.1-processed-gene-1.1-mRNA-1_1&gene=snap_masked-CCBN010000017.1-processed-gene-1.1&CDS=1-1533	YNL119W
OG0002995	genemark-CCBN010000017.1-processed-gene-1.90-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-1.90&CDS=1-384	YHR116W
OG0002996	genemark-CCBN010000017.1-processed-gene-1.94-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-1.94&CDS=1-324	YNL135C
OG0002997	augustus_masked-CCBN010000017.1-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-CCBN010000017.1-processed-gene-1.73&CDS=1-861	YNL136W
OG0002998	genemark-CCBN010000017.1-processed-gene-1.95-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-1.95&CDS=1-1542	YNL137C
OG0002999	genemark-CCBN010000017.1-processed-gene-1.110-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-1.110&CDS=1-1617	YNL138W
OG0003000	genemark-CCBN010000017.1-processed-gene-1.96-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-1.96&CDS=1-2226	YNL059C
OG0003001	genemark-CCBN010000017.1-processed-gene-1.111-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-1.111&CDS=1-912	YNL063W
OG0003002	genemark-CCBN010000017.1-processed-gene-1.101-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-1.101&CDS=1-402	YLR245C
OG0003003	genemark-CCBN010000017.1-processed-gene-1.116-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-1.116&CDS=1-354	YLR200W
OG0003004	genemark-CCBN010000017.1-processed-gene-1.117-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-1.117&CDS=1-1503	YLR197W
OG0003005	genemark-CCBN010000017.1-processed-gene-1.103-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-1.103&CDS=1-1107	YLR244C
OG0003006	genemark-CCBN010000017.1-processed-gene-1.119-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-1.119&CDS=1-2169	YPR186C
OG0003007	genemark-CCBN010000017.1-processed-gene-1.105-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-1.105&CDS=1-447	YPR187W
OG0003008	genemark-CCBN010000017.1-processed-gene-1.123-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-1.123&CDS=1-873	YLR220W
OG0003009	genemark-CCBN010000017.1-processed-gene-2.24-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-2.24&CDS=1-918	YMR200W
OG0003010	genemark-CCBN010000017.1-processed-gene-2.37-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-2.37&CDS=1-4047	YCR042C
OG0003011	maker-CCBN010000017.1-snap-gene-2.61-mRNA-1_1&gene=maker-CCBN010000017.1-snap-gene-2.61&CDS=1-2508	YOR154W
OG0003012	maker-CCBN010000017.1-snap-gene-2.62-mRNA-1_1&gene=maker-CCBN010000017.1-snap-gene-2.62&CDS=1-747	YOL038W
OG0003013	genemark-CCBN010000017.1-processed-gene-2.29-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-2.29&CDS=1-2106	YBR198C
OG0003014	genemark-CCBN010000017.1-processed-gene-2.31-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-2.31&CDS=1-2253	YJL100W
OG0003015	genemark-CCBN010000017.1-processed-gene-2.32-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-2.32&CDS=1-1446	YCR066W
OG0003016	genemark-CCBN010000017.1-processed-gene-3.46-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-3.46&CDS=1-648	YLR059C
OG0003017	genemark-CCBN010000017.1-processed-gene-3.50-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-3.50&CDS=1-2178	YCR088W
OG0003018	maker-CCBN010000017.1-snap-gene-3.39-mRNA-1_1&gene=maker-CCBN010000017.1-snap-gene-3.39&CDS=1-3345	YER008C
OG0003019	genemark-CCBN010000017.1-processed-gene-3.51-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-3.51&CDS=1-1479	YER006W
OG0003020	genemark-CCBN010000017.1-processed-gene-3.53-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-3.53&CDS=1-1725	YPL030W
OG0003021	genemark-CCBN010000017.1-processed-gene-3.70-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-3.70&CDS=1-2076	YPL043W
OG0003022	snap_masked-CCBN010000017.1-processed-gene-3.15-mRNA-1_1&gene=snap_masked-CCBN010000017.1-processed-gene-3.15&CDS=1-1116	YDR254W
OG0003023	genemark-CCBN010000017.1-processed-gene-3.71-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-3.71&CDS=1-1137	YDR255C
OG0003024	genemark-CCBN010000017.1-processed-gene-3.55-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-3.55&CDS=1-3072	YPL084W
OG0003025	genemark-CCBN010000017.1-processed-gene-3.72-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-3.72&CDS=1-1059	YGL044C
OG0003026	genemark-CCBN010000017.1-processed-gene-3.57-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-3.57&CDS=1-1554	YBL080C
OG0003027	genemark-CCBN010000017.1-processed-gene-3.74-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-3.74&CDS=1-1110	YGL155W
OG0003028	genemark-CCBN010000017.1-processed-gene-3.61-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-3.61&CDS=1-3369	YMR304W
OG0003029	maker-CCBN010000017.1-snap-gene-3.40-mRNA-1_1&gene=maker-CCBN010000017.1-snap-gene-3.40&CDS=1-2790	YFL003C
OG0003030	genemark-CCBN010000017.1-processed-gene-3.76-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-3.76&CDS=1-4401	YGR116W
OG0003031	snap_masked-CCBN010000017.1-processed-gene-3.25-mRNA-1_1&gene=snap_masked-CCBN010000017.1-processed-gene-3.25&CDS=1-1734	YBR203W
OG0003032	genemark-CCBN010000017.1-processed-gene-4.31-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-4.31&CDS=1-630	YNL056W
OG0003033	snap_masked-CCBN010000017.1-processed-gene-4.89-mRNA-1_1&gene=snap_masked-CCBN010000017.1-processed-gene-4.89&CDS=1-2352	YOL006C
OG0003034	maker-CCBN010000017.1-snap-gene-4.57-mRNA-1_1&gene=maker-CCBN010000017.1-snap-gene-4.57&CDS=1-2067	YMR001C
OG0003035	genemark-CCBN010000017.1-processed-gene-4.47-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-4.47&CDS=1-363	YOL005C
OG0003036	genemark-CCBN010000017.1-processed-gene-4.48-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-4.48&CDS=1-1308	YOL003C
OG0003037	genemark-CCBN010000017.1-processed-gene-4.34-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-4.34&CDS=1-1389	YHR018C
OG0003038	augustus_masked-CCBN010000017.1-processed-gene-4.8-mRNA-1_1&gene=augustus_masked-CCBN010000017.1-processed-gene-4.8&CDS=1-1185	YGR111W
OG0003039	augustus_masked-CCBN010000017.1-processed-gene-4.22-mRNA-1_1&gene=augustus_masked-CCBN010000017.1-processed-gene-4.22&CDS=1-2373	YJL044C
OG0003040	genemark-CCBN010000017.1-processed-gene-4.41-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-4.41&CDS=1-357	YBR120C
OG0003041	genemark-CCBN010000017.1-processed-gene-5.41-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-5.41&CDS=1-1527	YBR127C
OG0003042	genemark-CCBN010000017.1-processed-gene-5.42-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-5.42&CDS=1-552	YCR027C
OG0003043	augustus_masked-CCBN010000017.1-processed-gene-5.14-mRNA-1_1&gene=augustus_masked-CCBN010000017.1-processed-gene-5.14&CDS=1-1302	YMR262W
OG0003044	genemark-CCBN010000017.1-processed-gene-5.59-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-5.59&CDS=1-2502	YNR013C
OG0003045	genemark-CCBN010000017.1-processed-gene-5.60-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-5.60&CDS=1-1674	YMR239C
OG0003046	genemark-CCBN010000017.1-processed-gene-5.50-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-5.50&CDS=1-498	YOR150W
OG0003047	genemark-CCBN010000017.1-processed-gene-5.51-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-5.51&CDS=1-813	YHR200W
OG0003048	genemark-CCBN010000017.1-processed-gene-5.62-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-5.62&CDS=1-1338	YDL147W
OG0003049	genemark-CCBN010000017.1-processed-gene-5.54-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-5.54&CDS=1-3189	YNR011C
OG0003050	genemark-CCBN010000017.1-processed-gene-5.64-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-5.64&CDS=1-3264	YLR383W
OG0003051	snap_masked-CCBN010000018.1-processed-gene-0.93-mRNA-1_1&gene=snap_masked-CCBN010000018.1-processed-gene-0.93&CDS=1-2571	YOR005C
OG0003052	genemark-CCBN010000018.1-processed-gene-0.39-mRNA-1_1&gene=genemark-CCBN010000018.1-processed-gene-0.39&CDS=1-2073	YMR068W
OG0003053	snap_masked-CCBN010000018.1-processed-gene-0.80-mRNA-1_1&gene=snap_masked-CCBN010000018.1-processed-gene-0.80&CDS=1-858	YMR312W
OG0003054	snap_masked-CCBN010000018.1-processed-gene-0.82-mRNA-1_1&gene=snap_masked-CCBN010000018.1-processed-gene-0.82&CDS=1-753	YJR024C
OG0003055	genemark-CCBN010000018.1-processed-gene-0.58-mRNA-1_1&gene=genemark-CCBN010000018.1-processed-gene-0.58&CDS=1-1416	YEL064C
OG0003056	genemark-CCBN010000018.1-processed-gene-0.61-mRNA-1_1&gene=genemark-CCBN010000018.1-processed-gene-0.61&CDS=1-1992	YIL144W
OG0003057	genemark-CCBN010000018.1-processed-gene-0.62-mRNA-1_1&gene=genemark-CCBN010000018.1-processed-gene-0.62&CDS=1-3552	YKR086W
OG0003058	genemark-CCBN010000018.1-processed-gene-0.45-mRNA-1_1&gene=genemark-CCBN010000018.1-processed-gene-0.45&CDS=1-549	YKR085C
OG0003059	genemark-CCBN010000018.1-processed-gene-0.64-mRNA-1_1&gene=genemark-CCBN010000018.1-processed-gene-0.64&CDS=1-468	YDL064W
OG0003060	genemark-CCBN010000018.1-processed-gene-0.47-mRNA-1_1&gene=genemark-CCBN010000018.1-processed-gene-0.47&CDS=1-1017	YDL065C
OG0003061	maker-CCBN010000018.1-snap-gene-1.78-mRNA-1_1&gene=maker-CCBN010000018.1-snap-gene-1.78&CDS=1-1479	YPL097W
OG0003062	genemark-CCBN010000018.1-processed-gene-1.102-mRNA-1_1&gene=genemark-CCBN010000018.1-processed-gene-1.102&CDS=1-2121	YGR245C
OG0003063	genemark-CCBN010000018.1-processed-gene-1.104-mRNA-1_1&gene=genemark-CCBN010000018.1-processed-gene-1.104&CDS=1-750	YDR043C
OG0003064	genemark-CCBN010000018.1-processed-gene-1.89-mRNA-1_1&gene=genemark-CCBN010000018.1-processed-gene-1.89&CDS=1-1749	YBR065C
OG0003065	genemark-CCBN010000018.1-processed-gene-1.90-mRNA-1_1&gene=genemark-CCBN010000018.1-processed-gene-1.90&CDS=1-1587	YFR051C
OG0003066	genemark-CCBN010000018.1-processed-gene-1.108-mRNA-1_1&gene=genemark-CCBN010000018.1-processed-gene-1.108&CDS=1-807	YFR050C
OG0003067	genemark-CCBN010000018.1-processed-gene-1.110-mRNA-1_1&gene=genemark-CCBN010000018.1-processed-gene-1.110&CDS=1-1311	YLR203C
OG0003068	genemark-CCBN010000018.1-processed-gene-1.92-mRNA-1_1&gene=genemark-CCBN010000018.1-processed-gene-1.92&CDS=1-1353	YOR245C
OG0003069	genemark-CCBN010000018.1-processed-gene-1.93-mRNA-1_1&gene=genemark-CCBN010000018.1-processed-gene-1.93&CDS=1-999	YHR058C
OG0003070	genemark-CCBN010000018.1-processed-gene-1.114-mRNA-1_1&gene=genemark-CCBN010000018.1-processed-gene-1.114&CDS=1-456	YER093C-A
OG0003071	genemark-CCBN010000018.1-processed-gene-1.97-mRNA-1_1&gene=genemark-CCBN010000018.1-processed-gene-1.97&CDS=1-285	YBL059C-A
OG0003072	genemark-CCBN010000018.1-processed-gene-2.60-mRNA-1_1&gene=genemark-CCBN010000018.1-processed-gene-2.60&CDS=1-1566	YML054C
OG0003073	augustus_masked-CCBN010000018.1-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-CCBN010000018.1-processed-gene-2.31&CDS=1-924	YBL086C
