	Saccharomyces_cerevisiae	yHMPu5000034862_Zygotorulaspora_florentina
OG0003093	YMR203W	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-13.9-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-13.9&CDS=1-1161
OG0003094	YMR204C	snap_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-13.79-mRNA-1_1&gene=snap_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-13.79&CDS=1-1251
OG0003095	YMR208W	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-12.59-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-12.59&CDS=1-1257
OG0003096	YMR209C	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-12.84-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-12.84&CDS=1-1362
OG0003097	YMR210W	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-12.61-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-12.61&CDS=1-1320
OG0003098	YMR211W	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-12.62-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-12.62&CDS=1-1425
OG0003099	YMR212C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.268-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.268&CDS=1-2241
OG0003100	YMR213W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.224-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.224&CDS=1-1728
OG0003101	YMR214W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.226-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.226&CDS=1-1122
OG0003102	YMR216C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.269-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.269&CDS=1-2076
OG0003103	YMR217W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.227-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.227&CDS=1-1569
OG0003104	YMR218C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.270-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.270&CDS=1-3282
OG0003105	YMR220W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.230-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.230&CDS=1-1359
OG0003106	YMR221C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.272-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.272&CDS=1-1569
OG0003107	YMR222C	maker-NODE_2_length_1190564_cov_24.2002_ID_3-snap-gene-10.103-mRNA-1_1&gene=maker-NODE_2_length_1190564_cov_24.2002_ID_3-snap-gene-10.103&CDS=1-1464
OG0003108	YMR223W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.231-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.231&CDS=1-1386
OG0003109	YMR224C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.275-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.275&CDS=1-2859
OG0003110	YMR225C	snap_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.73-mRNA-1_1&gene=snap_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.73&CDS=1-294
OG0003111	YMR226C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.278-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.278&CDS=1-801
OG0003112	YMR227C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.280-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.280&CDS=1-1725
OG0003113	YMR228W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.234-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.234&CDS=1-1023
OG0003114	YMR229C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.281-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.281&CDS=1-5133
OG0003115	YMR231W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.237-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.237&CDS=1-3105
OG0003116	YMR232W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.238-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.238&CDS=1-2091
OG0003117	YMR233W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.240-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.240&CDS=1-672
OG0003118	YMR234W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.242-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.242&CDS=1-1056
OG0003119	YMR235C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.285-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.285&CDS=1-1212
OG0003120	YMR239C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.287-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.287&CDS=1-1485
OG0003121	YMR240C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.288-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.288&CDS=1-1449
OG0003122	YMR241W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.251-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.251&CDS=1-933
OG0003123	YMR243C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.295-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.295&CDS=1-1335
OG0003124	YMR244C-A	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.297-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.297&CDS=1-333
OG0003125	YMR244W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.253-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.253&CDS=1-912
OG0003126	YMR247C	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.298-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.298&CDS=1-5988
OG0003127	YMR250W	augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.257-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-10.257&CDS=1-1764
OG0003128	YMR252C	snap_masked-NODE_40_length_13903_cov_23.689_ID_79-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NODE_40_length_13903_cov_23.689_ID_79-processed-gene-0.13&CDS=1-342
OG0003129	YMR256C	snap_masked-NODE_40_length_13903_cov_23.689_ID_79-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NODE_40_length_13903_cov_23.689_ID_79-processed-gene-0.10&CDS=1-177
OG0003130	YMR257C	augustus_masked-NODE_40_length_13903_cov_23.689_ID_79-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_40_length_13903_cov_23.689_ID_79-processed-gene-0.1&CDS=1-2385
OG0003131	YMR258C	augustus_masked-NODE_40_length_13903_cov_23.689_ID_79-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_40_length_13903_cov_23.689_ID_79-processed-gene-0.0&CDS=1-1656
OG0003132	YMR259C	augustus_masked-NODE_21_length_135322_cov_25.0028_ID_41-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NODE_21_length_135322_cov_25.0028_ID_41-processed-gene-0.23&CDS=1-4257
OG0003133	YMR260C	augustus_masked-NODE_21_length_135322_cov_25.0028_ID_41-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_21_length_135322_cov_25.0028_ID_41-processed-gene-0.24&CDS=1-459
OG0003134	YMR261C	augustus_masked-NODE_21_length_135322_cov_25.0028_ID_41-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_21_length_135322_cov_25.0028_ID_41-processed-gene-0.25&CDS=1-3204
OG0003135	YMR262W	augustus_masked-NODE_21_length_135322_cov_25.0028_ID_41-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_21_length_135322_cov_25.0028_ID_41-processed-gene-0.1&CDS=1-1359
OG0003136	YMR264W	augustus_masked-NODE_21_length_135322_cov_25.0028_ID_41-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_21_length_135322_cov_25.0028_ID_41-processed-gene-0.2&CDS=1-588
OG0003137	YMR265C	snap_masked-NODE_21_length_135322_cov_25.0028_ID_41-processed-gene-0.140-mRNA-1_1&gene=snap_masked-NODE_21_length_135322_cov_25.0028_ID_41-processed-gene-0.140&CDS=1-1284
OG0003138	YMR268C	augustus_masked-NODE_21_length_135322_cov_25.0028_ID_41-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_21_length_135322_cov_25.0028_ID_41-processed-gene-0.27&CDS=1-1275
OG0003139	YMR270C	augustus_masked-NODE_21_length_135322_cov_25.0028_ID_41-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NODE_21_length_135322_cov_25.0028_ID_41-processed-gene-0.28&CDS=1-1083
OG0003140	YMR272C	augustus_masked-NODE_21_length_135322_cov_25.0028_ID_41-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_21_length_135322_cov_25.0028_ID_41-processed-gene-0.30&CDS=1-1143
OG0003141	YMR274C	genemark-NODE_21_length_135322_cov_25.0028_ID_41-processed-gene-0.87-mRNA-1_1&gene=genemark-NODE_21_length_135322_cov_25.0028_ID_41-processed-gene-0.87&CDS=1-939
OG0003142	YMR276W	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-14.42-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-14.42&CDS=1-1137
OG0003143	YMR277W	maker-NODE_1_length_1546580_cov_24.4376_ID_1-snap-gene-14.59-mRNA-1_1&gene=maker-NODE_1_length_1546580_cov_24.4376_ID_1-snap-gene-14.59&CDS=1-2145
OG0003144	YMR278W	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-14.39-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-14.39&CDS=1-1884
OG0003145	YMR280C	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-14.47-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-14.47&CDS=1-4149
OG0003146	YMR281W	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-14.19-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-14.19&CDS=1-837
OG0003147	YMR283C	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-14.48-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-14.48&CDS=1-3024
OG0003148	YMR284W	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-14.20-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-14.20&CDS=1-1731
OG0003149	YMR285C	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-14.49-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-14.49&CDS=1-1521
OG0003150	YMR286W	snap_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-14.148-mRNA-1_1&gene=snap_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-14.148&CDS=1-258
OG0003151	YMR287C	snap_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-14.183-mRNA-1_1&gene=snap_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-14.183&CDS=1-2805
OG0003152	YMR288W	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.6&CDS=1-2886
OG0003153	YMR289W	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.5&CDS=1-1212
OG0003154	YMR290C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.0-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-1.0&CDS=1-1521
OG0003155	YMR291W	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.71&CDS=1-1728
OG0003156	YMR293C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.56&CDS=1-1389
OG0003157	YMR295C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.54&CDS=1-588
OG0003158	YMR296C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.53&CDS=1-1662
OG0003159	YMR298W	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.67&CDS=1-432
OG0003160	YMR300C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.50&CDS=1-1530
OG0003161	YMR301C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.49&CDS=1-2115
OG0003162	YMR302C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.48&CDS=1-2469
OG0003163	YMR304W	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.64&CDS=1-3552
OG0003164	YMR308C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.44&CDS=1-3273
OG0003165	YMR309C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.43&CDS=1-2421
OG0003166	YMR310C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.41&CDS=1-1119
OG0003167	YMR311C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.40&CDS=1-534
OG0003168	YMR312W	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.59&CDS=1-780
OG0003169	YMR313C	augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NODE_6_length_562868_cov_24.3835_ID_11-processed-gene-0.37&CDS=1-1740
OG0003170	YMR314W	maker-NODE_6_length_562868_cov_24.3835_ID_11-augustus-gene-0.109-mRNA-1_1&gene=maker-NODE_6_length_562868_cov_24.3835_ID_11-augustus-gene-0.109&CDS=1-771
OG0003171	YMR315W	augustus_masked-NODE_14_length_283393_cov_24.7985_ID_27-processed-gene-1.248-mRNA-1_1&gene=augustus_masked-NODE_14_length_283393_cov_24.7985_ID_27-processed-gene-1.248&CDS=1-1047
OG0003172	YMR318C	augustus_masked-NODE_18_length_155097_cov_25.367_ID_35-processed-gene-0.185-mRNA-1_1&gene=augustus_masked-NODE_18_length_155097_cov_25.367_ID_35-processed-gene-0.185&CDS=1-1074
OG0003173	YMR319C	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-0.39&CDS=1-2778
OG0003174	YNL001W	augustus_masked-NODE_38_length_18697_cov_23.6135_ID_75-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_38_length_18697_cov_23.6135_ID_75-processed-gene-0.3&CDS=1-1155
OG0003175	YNL002C	augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-0.91&CDS=1-942
OG0003176	YNL003C	augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-0.93&CDS=1-858
OG0003177	YNL004W	snap_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-0.69-mRNA-1_1&gene=snap_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-0.69&CDS=1-1290
OG0003178	YNL005C	augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-0.95&CDS=1-1122
OG0003179	YNL006W	augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-0.90&CDS=1-909
OG0003180	YNL007C	augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-0.104&CDS=1-1107
OG0003181	YNL010W	augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-0.112&CDS=1-726
OG0003182	YNL011C	augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-0.96&CDS=1-1401
OG0003183	YNL014W	augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-0.114&CDS=1-3138
OG0003184	YNL016W	augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.217-mRNA-1_1&gene=augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.217&CDS=1-1308
OG0003185	YNL021W	augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.190-mRNA-1_1&gene=augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.190&CDS=1-2127
OG0003186	YNL022C	augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.226-mRNA-1_1&gene=augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.226&CDS=1-1482
OG0003187	YNL023C	snap_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.143-mRNA-1_1&gene=snap_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.143&CDS=1-2022
OG0003188	YNL025C	augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.223-mRNA-1_1&gene=augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.223&CDS=1-996
OG0003189	YNL026W	augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.218-mRNA-1_1&gene=augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.218&CDS=1-1479
OG0003190	YNL027W	augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.219-mRNA-1_1&gene=augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.219&CDS=1-1656
OG0003191	YNL032W	augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.222-mRNA-1_1&gene=augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.222&CDS=1-822
OG0003192	YNL035C	augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.191-mRNA-1_1&gene=augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.191&CDS=1-2514
OG0003193	YNL036W	augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.195-mRNA-1_1&gene=augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.195&CDS=1-636
OG0003194	YNL037C	augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.229-mRNA-1_1&gene=augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.229&CDS=1-1083
OG0003195	YNL039W	augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.192-mRNA-1_1&gene=augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.192&CDS=1-1758
OG0003196	YNL041C	snap_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.109-mRNA-1_1&gene=snap_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.109&CDS=1-2496
OG0003197	YNL042W	snap_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.150-mRNA-1_1&gene=snap_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.150&CDS=1-1059
OG0003198	YNL044W	snap_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.151-mRNA-1_1&gene=snap_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.151&CDS=1-525
OG0003199	YNL048W	augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.233-mRNA-1_1&gene=augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.233&CDS=1-2652
OG0003200	YNL050C	snap_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.114-mRNA-1_1&gene=snap_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.114&CDS=1-723
OG0003201	YNL051W	augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.235-mRNA-1_1&gene=augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.235&CDS=1-1149
OG0003202	YNL052W	augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.237-mRNA-1_1&gene=augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.237&CDS=1-450
OG0003203	YNL054W	augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.240-mRNA-1_1&gene=augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.240&CDS=1-2913
OG0003204	YNL058C	snap_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.117-mRNA-1_1&gene=snap_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.117&CDS=1-936
OG0003205	YNL059C	augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.205-mRNA-1_1&gene=augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.205&CDS=1-2265
OG0003206	YNL061W	augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.243-mRNA-1_1&gene=augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.243&CDS=1-1923
OG0003207	YNL062C	augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.206-mRNA-1_1&gene=augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.206&CDS=1-1506
OG0003208	YNL063W	augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.244-mRNA-1_1&gene=augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.244&CDS=1-444
OG0003209	YNL064C	augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.208-mRNA-1_1&gene=augustus_masked-NODE_16_length_181188_cov_23.6141_ID_31-processed-gene-0.208&CDS=1-1221
OG0003210	YNL068C	augustus_masked-NODE_20_length_143656_cov_23.9501_ID_39-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_20_length_143656_cov_23.9501_ID_39-processed-gene-0.2&CDS=1-3006
OG0003211	YNL071W	augustus_masked-NODE_20_length_143656_cov_23.9501_ID_39-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_20_length_143656_cov_23.9501_ID_39-processed-gene-0.29&CDS=1-2643
OG0003212	YNL072W	augustus_masked-NODE_20_length_143656_cov_23.9501_ID_39-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_20_length_143656_cov_23.9501_ID_39-processed-gene-0.30&CDS=1-939
OG0003213	YNL073W	augustus_masked-NODE_20_length_143656_cov_23.9501_ID_39-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_20_length_143656_cov_23.9501_ID_39-processed-gene-0.31&CDS=1-1632
