	Saccharomyces_cerevisiae	yHMPu5000034952_Citeromyces_siamensis
OG0002340	YPL146C	augustus_masked-scf7180000054861-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000054861-processed-gene-0.0&CDS=1-1113, snap_masked-scf7180000053716-processed-gene-0.14-mRNA-1_1&gene=snap_masked-scf7180000053716-processed-gene-0.14&CDS=1-1191
OG0002341	YPL147W	augustus_masked-scf7180000055449-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000055449-processed-gene-0.9&CDS=1-2595, genemark-scf7180000060351-processed-gene-0.6-mRNA-1_1&gene=genemark-scf7180000060351-processed-gene-0.6&CDS=1-1233
OG0002342	YPL149W	augustus_masked-scf7180000059780-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-scf7180000059780-processed-gene-0.68&CDS=1-774, maker-scf7180000054996-snap-gene-0.0-mRNA-1_1&gene=maker-scf7180000054996-snap-gene-0.0&CDS=1-591
OG0002343	YPL150W	augustus_masked-scf7180000059780-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-scf7180000059780-processed-gene-0.59&CDS=1-1959, genemark-scf7180000058166-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000058166-processed-gene-0.3&CDS=1-2292
OG0002344	YPL151C	augustus_masked-scf7180000057045-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000057045-processed-gene-0.0&CDS=1-477, snap_masked-scf7180000060063-processed-gene-0.7-mRNA-1_1&gene=snap_masked-scf7180000060063-processed-gene-0.7&CDS=1-1203
OG0002345	YPL152W	augustus_masked-scf7180000055164-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000055164-processed-gene-0.1&CDS=1-915, augustus_masked-scf7180000055610-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000055610-processed-gene-0.14&CDS=1-1005
OG0002346	YPL155C	augustus_masked-scf7180000055610-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000055610-processed-gene-0.7&CDS=1-1644, genemark-scf7180000053867-processed-gene-0.4-mRNA-1_1&gene=genemark-scf7180000053867-processed-gene-0.4&CDS=1-1365
OG0002347	YPL157W	augustus_masked-scf7180000056374-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000056374-processed-gene-0.2&CDS=1-687, maker-scf7180000055610-augustus-gene-0.48-mRNA-1_1&gene=maker-scf7180000055610-augustus-gene-0.48&CDS=1-1995
OG0002348	YPL162C	augustus_masked-scf7180000053712-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-scf7180000053712-processed-gene-0.31&CDS=1-711, genemark-scf7180000060423-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000060423-processed-gene-0.2&CDS=1-474
OG0002349	YPL164C	snap_masked-scf7180000057834-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000057834-processed-gene-0.1&CDS=1-1560, snap_masked-scf7180000060053-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000060053-processed-gene-0.2&CDS=1-2064
OG0002350	YPL172C	augustus_masked-scf7180000058134-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000058134-processed-gene-0.3&CDS=1-1188, augustus_masked-scf7180000059780-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-scf7180000059780-processed-gene-0.53&CDS=1-1167
OG0002351	YPL173W	augustus_masked-scf7180000058072-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000058072-processed-gene-0.3&CDS=1-801, augustus_masked-scf7180000059780-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-scf7180000059780-processed-gene-0.64&CDS=1-915
OG0002352	YPL174C	snap_masked-scf7180000059780-processed-gene-0.49-mRNA-1_1&gene=snap_masked-scf7180000059780-processed-gene-0.49&CDS=1-2553, snap_masked-scf7180000059788-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000059788-processed-gene-0.0&CDS=1-1716
OG0002353	YPL181W	augustus_masked-scf7180000053611-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000053611-processed-gene-0.8&CDS=1-1008, augustus_masked-scf7180000057242-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000057242-processed-gene-0.4&CDS=1-1008
OG0002354	YPL184C	augustus_masked-scf7180000060448-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000060448-processed-gene-0.2&CDS=1-1407, snap_masked-scf7180000061762-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000061762-processed-gene-0.1&CDS=1-1542
OG0002355	YPL190C	augustus_masked-scf7180000054001-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000054001-processed-gene-0.11&CDS=1-1893, genemark-scf7180000056481-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000056481-processed-gene-0.1&CDS=1-1011
OG0002356	YPL193W	augustus_masked-scf7180000060337-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000060337-processed-gene-0.1&CDS=1-555, maker-scf7180000054129-snap-gene-0.0-mRNA-1_1&gene=maker-scf7180000054129-snap-gene-0.0&CDS=1-501
OG0002357	YPL209C	augustus_masked-scf7180000056614-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000056614-processed-gene-0.1&CDS=1-687, augustus_masked-scf7180000061702-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000061702-processed-gene-0.1&CDS=1-1005
OG0002358	YPL210C	augustus_masked-scf7180000055564-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000055564-processed-gene-0.3&CDS=1-1068, augustus_masked-scf7180000061786-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000061786-processed-gene-0.4&CDS=1-1782
OG0002359	YPL212C	augustus_masked-scf7180000059583-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000059583-processed-gene-0.12&CDS=1-1518, maker-scf7180000055471-snap-gene-0.0-mRNA-1_1&gene=maker-scf7180000055471-snap-gene-0.0&CDS=1-1338
OG0002360	YPL213W	snap_masked-scf7180000055299-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000055299-processed-gene-0.3&CDS=1-684, snap_masked-scf7180000056142-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000056142-processed-gene-0.0&CDS=1-267
OG0002361	YPL215W	augustus_masked-scf7180000055299-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000055299-processed-gene-0.10&CDS=1-972, augustus_masked-scf7180000058363-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000058363-processed-gene-0.1&CDS=1-612
OG0002362	YPL218W	augustus_masked-scf7180000055506-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-scf7180000055506-processed-gene-0.20&CDS=1-567, maker-scf7180000060878-augustus-gene-0.3-mRNA-1_1&gene=maker-scf7180000060878-augustus-gene-0.3&CDS=1-567
OG0002363	YPL227C	genemark-scf7180000054155-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000054155-processed-gene-0.0&CDS=1-738, maker-scf7180000053635-snap-gene-0.38-mRNA-1_1&gene=maker-scf7180000053635-snap-gene-0.38&CDS=1-990
OG0002364	YPL233W	augustus_masked-scf7180000056605-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000056605-processed-gene-0.0&CDS=1-330, genemark-scf7180000057751-processed-gene-0.14-mRNA-1_1&gene=genemark-scf7180000057751-processed-gene-0.14&CDS=1-672
OG0002365	YPL236C	augustus_masked-scf7180000053805-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000053805-processed-gene-0.5&CDS=1-1023, genemark-scf7180000059319-processed-gene-0.7-mRNA-1_1&gene=genemark-scf7180000059319-processed-gene-0.7&CDS=1-879
OG0002366	YPL239W	augustus_masked-scf7180000061437-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000061437-processed-gene-0.1&CDS=1-534, snap_masked-scf7180000061729-processed-gene-0.6-mRNA-1_1&gene=snap_masked-scf7180000061729-processed-gene-0.6&CDS=1-534
OG0002367	YPL244C	augustus_masked-scf7180000053651-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000053651-processed-gene-0.6&CDS=1-948, genemark-scf7180000055722-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000055722-processed-gene-0.0&CDS=1-693
OG0002368	YPL247C	augustus_masked-scf7180000059481-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000059481-processed-gene-0.4&CDS=1-1179, genemark-scf7180000057243-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000057243-processed-gene-0.3&CDS=1-750
OG0002369	YPL248C	augustus_masked-scf7180000060463-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000060463-processed-gene-0.1&CDS=1-1941, snap_masked-scf7180000054583-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000054583-processed-gene-0.1&CDS=1-1488
OG0002370	YPL249C	augustus_masked-scf7180000061551-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000061551-processed-gene-0.13&CDS=1-1491, genemark-scf7180000056392-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000056392-processed-gene-0.2&CDS=1-723
OG0002371	YPL254W	augustus_masked-scf7180000060518-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000060518-processed-gene-0.2&CDS=1-954, snap_masked-scf7180000061551-processed-gene-0.9-mRNA-1_1&gene=snap_masked-scf7180000061551-processed-gene-0.9&CDS=1-789
OG0002372	YPL259C	augustus_masked-scf7180000061093-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000061093-processed-gene-0.10&CDS=1-1323, genemark-scf7180000054571-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000054571-processed-gene-0.2&CDS=1-1086
OG0002373	YPL260W	augustus_masked-scf7180000060339-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000060339-processed-gene-0.13&CDS=1-1452, augustus_masked-scf7180000061744-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000061744-processed-gene-0.1&CDS=1-1452
OG0002374	YPL268W	maker-scf7180000059834-snap-gene-0.43-mRNA-1_1&gene=maker-scf7180000059834-snap-gene-0.43&CDS=1-2394, snap_masked-scf7180000056441-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000056441-processed-gene-0.1&CDS=1-825
OG0002375	YPR004C	augustus_masked-scf7180000059825-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scf7180000059825-processed-gene-0.15&CDS=1-996, genemark-scf7180000053647-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000053647-processed-gene-0.0&CDS=1-771
OG0002376	YPR007C	snap_masked-scf7180000053567-processed-gene-0.12-mRNA-1_1&gene=snap_masked-scf7180000053567-processed-gene-0.12&CDS=1-1359, snap_masked-scf7180000055605-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000055605-processed-gene-0.4&CDS=1-1287
OG0002377	YPR017C	augustus_masked-scf7180000055425-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000055425-processed-gene-0.7&CDS=1-402, augustus_masked-scf7180000059188-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000059188-processed-gene-0.3&CDS=1-399
OG0002378	YPR018W	augustus_masked-scf7180000056460-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000056460-processed-gene-0.0&CDS=1-1350, snap_masked-scf7180000055682-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000055682-processed-gene-0.1&CDS=1-1158
OG0002379	YPR020W	augustus_masked-scf7180000054578-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000054578-processed-gene-0.2&CDS=1-399, augustus_masked-scf7180000056460-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000056460-processed-gene-0.2&CDS=1-399
OG0002380	YPR021C	augustus_masked-scf7180000057300-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000057300-processed-gene-0.2&CDS=1-597, augustus_masked-scf7180000058442-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000058442-processed-gene-0.10&CDS=1-2121
OG0002381	YPR023C	snap_masked-scf7180000055465-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000055465-processed-gene-0.1&CDS=1-1095, snap_masked-scf7180000060074-processed-gene-0.6-mRNA-1_1&gene=snap_masked-scf7180000060074-processed-gene-0.6&CDS=1-915
OG0002382	YPR025C	augustus_masked-scf7180000060422-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000060422-processed-gene-0.5&CDS=1-720, augustus_masked-scf7180000061236-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000061236-processed-gene-0.6&CDS=1-1068
OG0002383	YPR026W	augustus_masked-scf7180000053578-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-scf7180000053578-processed-gene-0.27&CDS=1-2823, augustus_masked-scf7180000054768-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000054768-processed-gene-0.2&CDS=1-2364
OG0002384	YPR028W	augustus_masked-scf7180000054415-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000054415-processed-gene-0.13&CDS=1-534, augustus_masked-scf7180000054805-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000054805-processed-gene-0.0&CDS=1-381
OG0002385	YPR029C	augustus_masked-scf7180000054415-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000054415-processed-gene-0.4&CDS=1-2274, augustus_masked-scf7180000055910-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000055910-processed-gene-0.1&CDS=1-1362
OG0002386	YPR031W	augustus_masked-scf7180000053590-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scf7180000053590-processed-gene-0.15&CDS=1-2568, maker-scf7180000060204-snap-gene-0.7-mRNA-1_1&gene=maker-scf7180000060204-snap-gene-0.7&CDS=1-2298
OG0002387	YPR036W	maker-scf7180000057620-augustus-gene-0.1-mRNA-1_1&gene=maker-scf7180000057620-augustus-gene-0.1&CDS=1-1344, snap_masked-scf7180000058584-processed-gene-0.14-mRNA-1_1&gene=snap_masked-scf7180000058584-processed-gene-0.14&CDS=1-1344
OG0002388	YPR037C	augustus_masked-scf7180000053790-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000053790-processed-gene-0.1&CDS=1-378, augustus_masked-scf7180000060083-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000060083-processed-gene-0.2&CDS=1-528
OG0002389	YPR040W	augustus_masked-scf7180000060083-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000060083-processed-gene-0.7&CDS=1-978, snap_masked-scf7180000057847-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000057847-processed-gene-0.1&CDS=1-954
OG0002390	YPR045C	augustus_masked-scf7180000057986-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000057986-processed-gene-0.1&CDS=1-819, augustus_masked-scf7180000059939-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-scf7180000059939-processed-gene-0.32&CDS=1-1347
OG0002391	YPR048W	augustus_masked-scf7180000054426-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000054426-processed-gene-0.5&CDS=1-1710, augustus_masked-scf7180000060986-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000060986-processed-gene-0.1&CDS=1-1596
OG0002392	YPR049C	augustus_masked-scf7180000057822-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000057822-processed-gene-0.0&CDS=1-1152, augustus_masked-scf7180000061094-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scf7180000061094-processed-gene-0.19&CDS=1-2985
OG0002393	YPR051W	augustus_masked-scf7180000061094-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scf7180000061094-processed-gene-0.17&CDS=1-567, snap_masked-scf7180000056363-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000056363-processed-gene-0.1&CDS=1-297
OG0002394	YPR055W	augustus_masked-scf7180000059081-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-scf7180000059081-processed-gene-0.22&CDS=1-2607, snap_masked-scf7180000054933-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000054933-processed-gene-0.1&CDS=1-1536
OG0002395	YPR056W	augustus_masked-scf7180000056845-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000056845-processed-gene-0.5&CDS=1-531, augustus_masked-scf7180000060408-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000060408-processed-gene-0.10&CDS=1-936
OG0002396	YPR060C	augustus_masked-scf7180000055106-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000055106-processed-gene-0.5&CDS=1-639, augustus_masked-scf7180000057447-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000057447-processed-gene-0.6&CDS=1-771
OG0002397	YPR062W	maker-scf7180000055069-augustus-gene-0.0-mRNA-1_1&gene=maker-scf7180000055069-augustus-gene-0.0&CDS=1-450, snap_masked-scf7180000059765-processed-gene-0.8-mRNA-1_1&gene=snap_masked-scf7180000059765-processed-gene-0.8&CDS=1-222
OG0002398	YPR065W	genemark-scf7180000053714-processed-gene-0.7-mRNA-1_1&gene=genemark-scf7180000053714-processed-gene-0.7&CDS=1-1020, genemark-scf7180000059246-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000059246-processed-gene-0.3&CDS=1-1023
OG0002399	YPR066W	snap_masked-scf7180000054023-processed-gene-0.46-mRNA-1_1&gene=snap_masked-scf7180000054023-processed-gene-0.46&CDS=1-1257, snap_masked-scf7180000059223-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000059223-processed-gene-0.3&CDS=1-1053
OG0002400	YPR067W	augustus_masked-scf7180000054441-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000054441-processed-gene-0.4&CDS=1-546, augustus_masked-scf7180000058606-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-scf7180000058606-processed-gene-0.20&CDS=1-546
OG0002401	YPR070W	augustus_masked-scf7180000057424-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000057424-processed-gene-0.4&CDS=1-1368, snap_masked-scf7180000059667-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000059667-processed-gene-0.0&CDS=1-1395
OG0002402	YPR072W	augustus_masked-scf7180000054460-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000054460-processed-gene-0.10&CDS=1-1356, maker-scf7180000059524-augustus-gene-0.18-mRNA-1_1&gene=maker-scf7180000059524-augustus-gene-0.18&CDS=1-1692
OG0002403	YPR073C	maker-scf7180000054460-augustus-gene-0.3-mRNA-1_1&gene=maker-scf7180000054460-augustus-gene-0.3&CDS=1-483, maker-scf7180000059524-augustus-gene-0.17-mRNA-1_1&gene=maker-scf7180000059524-augustus-gene-0.17&CDS=1-483
OG0002404	YPR075C	snap_masked-scf7180000056962-processed-gene-0.9-mRNA-1_1&gene=snap_masked-scf7180000056962-processed-gene-0.9&CDS=1-1050, snap_masked-scf7180000060062-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000060062-processed-gene-0.2&CDS=1-1050
OG0002405	YPR082C	maker-scf7180000059735-augustus-gene-0.17-mRNA-1_1&gene=maker-scf7180000059735-augustus-gene-0.17&CDS=1-435, maker-scf7180000061110-augustus-gene-0.0-mRNA-1_1&gene=maker-scf7180000061110-augustus-gene-0.0&CDS=1-435
OG0002406	YPR084W	augustus_masked-scf7180000053658-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scf7180000053658-processed-gene-0.24&CDS=1-1020, augustus_masked-scf7180000053893-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000053893-processed-gene-0.1&CDS=1-672
OG0002407	YPR085C	augustus_masked-scf7180000061690-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000061690-processed-gene-0.9&CDS=1-1008, snap_masked-scf7180000055159-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000055159-processed-gene-0.2&CDS=1-621
OG0002408	YPR091C	augustus_masked-scf7180000057941-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000057941-processed-gene-0.2&CDS=1-834, augustus_masked-scf7180000059654-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000059654-processed-gene-0.3&CDS=1-1806
OG0002409	YPR093C	augustus_masked-scf7180000060138-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000060138-processed-gene-0.0&CDS=1-990, snap_masked-scf7180000059634-processed-gene-0.11-mRNA-1_1&gene=snap_masked-scf7180000059634-processed-gene-0.11&CDS=1-1212
OG0002410	YPR100W	augustus_masked-scf7180000059189-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000059189-processed-gene-0.4&CDS=1-417, augustus_masked-scf7180000061620-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scf7180000061620-processed-gene-0.15&CDS=1-417
OG0002411	YPR107C	augustus_masked-scf7180000060872-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000060872-processed-gene-0.6&CDS=1-672, maker-scf7180000058568-snap-gene-0.0-mRNA-1_1&gene=maker-scf7180000058568-snap-gene-0.0&CDS=1-474
OG0002412	YPR108W	augustus_masked-scf7180000061716-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000061716-processed-gene-0.12&CDS=1-1134, genemark-scf7180000056751-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000056751-processed-gene-0.3&CDS=1-645
OG0002413	YPR109W	augustus_masked-scf7180000053597-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000053597-processed-gene-0.12&CDS=1-624, augustus_masked-scf7180000056525-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000056525-processed-gene-0.3&CDS=1-558
OG0002414	YPR113W	augustus_masked-scf7180000053712-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-scf7180000053712-processed-gene-0.32&CDS=1-660, augustus_masked-scf7180000055461-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000055461-processed-gene-0.0&CDS=1-660
OG0002415	YPR118W	augustus_masked-scf7180000059760-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-scf7180000059760-processed-gene-0.46&CDS=1-1239, augustus_masked-scf7180000060589-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000060589-processed-gene-0.0&CDS=1-567
OG0002416	YPR119W	genemark-scf7180000059721-processed-gene-0.5-mRNA-1_1&gene=genemark-scf7180000059721-processed-gene-0.5&CDS=1-1128, snap_masked-scf7180000058517-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000058517-processed-gene-0.1&CDS=1-555
OG0002417	YPR122W	augustus_masked-scf7180000059775-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000059775-processed-gene-0.12&CDS=1-3342, snap_masked-scf7180000060815-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000060815-processed-gene-0.0&CDS=1-2607
OG0002418	YPR124W	augustus_masked-scf7180000059945-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scf7180000059945-processed-gene-0.16&CDS=1-729, genemark-scf7180000059594-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000059594-processed-gene-0.0&CDS=1-618
OG0002419	YPR128C	augustus_masked-scf7180000054681-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000054681-processed-gene-0.4&CDS=1-834, snap_masked-scf7180000053565-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000053565-processed-gene-0.2&CDS=1-921
OG0002420	YPR131C	augustus_masked-scf7180000053565-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000053565-processed-gene-0.12&CDS=1-576, snap_masked-scf7180000058852-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000058852-processed-gene-0.0&CDS=1-414
OG0002421	YPR135W	augustus_masked-scf7180000055662-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000055662-processed-gene-0.0&CDS=1-2319, augustus_masked-scf7180000061751-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000061751-processed-gene-0.2&CDS=1-1725
OG0002422	YPR137W	augustus_masked-scf7180000053714-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000053714-processed-gene-0.2&CDS=1-1545, snap_masked-scf7180000059246-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000059246-processed-gene-0.2&CDS=1-1443
OG0002423	YPR139C	maker-scf7180000057993-augustus-gene-0.0-mRNA-1_1&gene=maker-scf7180000057993-augustus-gene-0.0&CDS=1-1512, snap_masked-scf7180000054882-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000054882-processed-gene-0.1&CDS=1-753
OG0002424	YPR141C	augustus_masked-scf7180000053557-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-scf7180000053557-processed-gene-0.28&CDS=1-1911, snap_masked-scf7180000055090-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000055090-processed-gene-0.0&CDS=1-975
OG0002425	YPR143W	augustus_masked-scf7180000053557-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scf7180000053557-processed-gene-0.23&CDS=1-654, augustus_masked-scf7180000058130-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000058130-processed-gene-0.2&CDS=1-348
OG0002426	YPR144C	augustus_masked-scf7180000054328-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000054328-processed-gene-0.1&CDS=1-1152, augustus_masked-scf7180000061114-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000061114-processed-gene-0.0&CDS=1-1620
OG0002427	YPR152C	augustus_masked-scf7180000054317-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000054317-processed-gene-0.2&CDS=1-618, snap_masked-scf7180000054162-processed-gene-0.19-mRNA-1_1&gene=snap_masked-scf7180000054162-processed-gene-0.19&CDS=1-1017
OG0002428	YPR154W	augustus_masked-scf7180000056516-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000056516-processed-gene-0.3&CDS=1-582, maker-scf7180000054162-augustus-gene-0.0-mRNA-1_1&gene=maker-scf7180000054162-augustus-gene-0.0&CDS=1-654
OG0002429	YPR163C	augustus_masked-scf7180000060698-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000060698-processed-gene-0.5&CDS=1-981, snap_masked-scf7180000059647-processed-gene-0.7-mRNA-1_1&gene=snap_masked-scf7180000059647-processed-gene-0.7&CDS=1-1092
OG0002430	YPR166C	augustus_masked-scf7180000060854-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000060854-processed-gene-0.2&CDS=1-339, maker-scf7180000055420-augustus-gene-0.8-mRNA-1_1&gene=maker-scf7180000055420-augustus-gene-0.8&CDS=1-339
OG0002431	YPR169W-A, YPR170W-B	maker-scf7180000053722-snap-gene-0.1-mRNA-1_1&gene=maker-scf7180000053722-snap-gene-0.1&CDS=1-786
OG0002432	YPR175W	augustus_masked-scf7180000054586-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000054586-processed-gene-0.1&CDS=1-897, augustus_masked-scf7180000061708-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-scf7180000061708-processed-gene-0.96&CDS=1-1851
