	Saccharomyces_cerevisiae	yHAB159_Kazachstania_solicola
OG0003334	YNL281W	maker-scf7180000046143-augustus-gene-0.0-mRNA-1_1&gene=maker-scf7180000046143-augustus-gene-0.0&CDS=1-930
OG0003335	YNL284C	genemark-scf7180000046143-processed-gene-0.5-mRNA-1_1&gene=genemark-scf7180000046143-processed-gene-0.5&CDS=1-858
OG0003336	YNL286W	augustus_masked-scf7180000046143-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-scf7180000046143-processed-gene-0.58&CDS=1-879
OG0003337	YNL287W	genemark-scf7180000046143-processed-gene-0.17-mRNA-1_1&gene=genemark-scf7180000046143-processed-gene-0.17&CDS=1-2133
OG0003338	YNL288W	genemark-scf7180000046143-processed-gene-0.19-mRNA-1_1&gene=genemark-scf7180000046143-processed-gene-0.19&CDS=1-1248
OG0003339	YNL289W	genemark-scf7180000046304-processed-gene-0.78-mRNA-1_1&gene=genemark-scf7180000046304-processed-gene-0.78&CDS=1-780
OG0003340	YNL290W	genemark-scf7180000046143-processed-gene-0.21-mRNA-1_1&gene=genemark-scf7180000046143-processed-gene-0.21&CDS=1-996
OG0003341	YNL291C	snap_masked-scf7180000046143-processed-gene-0.30-mRNA-1_1&gene=snap_masked-scf7180000046143-processed-gene-0.30&CDS=1-1590
OG0003342	YNL292W	augustus_masked-scf7180000046143-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-scf7180000046143-processed-gene-0.64&CDS=1-3300
OG0003343	YNL293W	genemark-scf7180000046304-processed-gene-0.80-mRNA-1_1&gene=genemark-scf7180000046304-processed-gene-0.80&CDS=1-1839
OG0003344	YNL295W	augustus_masked-scf7180000046143-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-scf7180000046143-processed-gene-0.65&CDS=1-1467
OG0003345	YNL297C	augustus_masked-scf7180000046143-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-scf7180000046143-processed-gene-0.54&CDS=1-4716
OG0003346	YNL298W	genemark-scf7180000046143-processed-gene-0.25-mRNA-1_1&gene=genemark-scf7180000046143-processed-gene-0.25&CDS=1-2829
OG0003347	YNL304W	genemark-scf7180000046037-processed-gene-0.13-mRNA-1_1&gene=genemark-scf7180000046037-processed-gene-0.13&CDS=1-1167
OG0003348	YNL305C	genemark-scf7180000046037-processed-gene-0.18-mRNA-1_1&gene=genemark-scf7180000046037-processed-gene-0.18&CDS=1-831
OG0003349	YNL306W	genemark-scf7180000046037-processed-gene-0.11-mRNA-1_1&gene=genemark-scf7180000046037-processed-gene-0.11&CDS=1-558
OG0003350	YNL307C	genemark-scf7180000046262-processed-gene-0.60-mRNA-1_1&gene=genemark-scf7180000046262-processed-gene-0.60&CDS=1-1179
OG0003351	YNL308C	genemark-scf7180000046037-processed-gene-0.17-mRNA-1_1&gene=genemark-scf7180000046037-processed-gene-0.17&CDS=1-1782
OG0003352	YNL309W	snap_masked-scf7180000046037-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000046037-processed-gene-0.0&CDS=1-1218
OG0003353	YNL310C	genemark-scf7180000046037-processed-gene-0.16-mRNA-1_1&gene=genemark-scf7180000046037-processed-gene-0.16&CDS=1-573
OG0003354	YNL311C	genemark-scf7180000046196-processed-gene-0.5-mRNA-1_1&gene=genemark-scf7180000046196-processed-gene-0.5&CDS=1-1989
OG0003355	YNL312W	genemark-scf7180000046262-processed-gene-0.71-mRNA-1_1&gene=genemark-scf7180000046262-processed-gene-0.71&CDS=1-867
OG0003356	YNL313C	augustus_masked-scf7180000046262-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000046262-processed-gene-0.13&CDS=1-4392
OG0003357	YNL315C	genemark-scf7180000046196-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000046196-processed-gene-0.1&CDS=1-906
OG0003358	YNL316C	genemark-scf7180000046196-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000046196-processed-gene-0.2&CDS=1-978
OG0003359	YNL317W	genemark-scf7180000046262-processed-gene-0.73-mRNA-1_1&gene=genemark-scf7180000046262-processed-gene-0.73&CDS=1-1428
OG0003360	YNL318C	genemark-scf7180000046196-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000046196-processed-gene-0.3&CDS=1-1377
OG0003361	YNL320W	genemark-scf7180000046196-processed-gene-0.7-mRNA-1_1&gene=genemark-scf7180000046196-processed-gene-0.7&CDS=1-852
OG0003362	YNL322C	genemark-scf7180000046084-processed-gene-0.24-mRNA-1_1&gene=genemark-scf7180000046084-processed-gene-0.24&CDS=1-1107
OG0003363	YNL323W	genemark-scf7180000046262-processed-gene-0.76-mRNA-1_1&gene=genemark-scf7180000046262-processed-gene-0.76&CDS=1-1245
OG0003364	YNL325C	genemark-scf7180000046084-processed-gene-0.23-mRNA-1_1&gene=genemark-scf7180000046084-processed-gene-0.23&CDS=1-2811
OG0003365	YNL326C	genemark-scf7180000046084-processed-gene-0.22-mRNA-1_1&gene=genemark-scf7180000046084-processed-gene-0.22&CDS=1-990
OG0003366	YNL327W	snap_masked-scf7180000046084-processed-gene-0.26-mRNA-1_1&gene=snap_masked-scf7180000046084-processed-gene-0.26&CDS=1-2535
OG0003367	YNL329C	genemark-scf7180000046084-processed-gene-0.21-mRNA-1_1&gene=genemark-scf7180000046084-processed-gene-0.21&CDS=1-3573
OG0003368	YNL330C	genemark-scf7180000046262-processed-gene-0.66-mRNA-1_1&gene=genemark-scf7180000046262-processed-gene-0.66&CDS=1-1299
OG0003369	YNR001C	genemark-scf7180000046317-processed-gene-0.39-mRNA-1_1&gene=genemark-scf7180000046317-processed-gene-0.39&CDS=1-1422
OG0003370	YNR006W	genemark-scf7180000046331-processed-gene-2.21-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-2.21&CDS=1-1863
OG0003371	YNR007C	genemark-scf7180000046331-processed-gene-2.63-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-2.63&CDS=1-993
OG0003372	YNR008W	genemark-scf7180000046331-processed-gene-2.22-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-2.22&CDS=1-2136
OG0003373	YNR009W	snap_masked-scf7180000046331-processed-gene-2.116-mRNA-1_1&gene=snap_masked-scf7180000046331-processed-gene-2.116&CDS=1-1044
OG0003374	YNR010W	snap_masked-scf7180000046331-processed-gene-2.117-mRNA-1_1&gene=snap_masked-scf7180000046331-processed-gene-2.117&CDS=1-243
OG0003375	YNR012W	genemark-scf7180000046331-processed-gene-2.24-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-2.24&CDS=1-1440
OG0003376	YNR013C	genemark-scf7180000046331-processed-gene-2.70-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-2.70&CDS=1-2478
OG0003377	YNR014W	snap_masked-scf7180000046209-processed-gene-1.2-mRNA-1_1&gene=snap_masked-scf7180000046209-processed-gene-1.2&CDS=1-531
OG0003378	YNR015W	genemark-scf7180000046331-processed-gene-2.26-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-2.26&CDS=1-1101
OG0003379	YNR016C	maker-scf7180000046209-snap-gene-1.94-mRNA-1_1&gene=maker-scf7180000046209-snap-gene-1.94&CDS=1-7044
OG0003380	YNR017W	genemark-scf7180000046331-processed-gene-2.27-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-2.27&CDS=1-597
OG0003381	YNR019W	genemark-scf7180000046331-processed-gene-2.29-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-2.29&CDS=1-1761
OG0003382	YNR020C	genemark-scf7180000046331-processed-gene-2.71-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-2.71&CDS=1-708
OG0003383	YNR021W	genemark-scf7180000046209-processed-gene-1.56-mRNA-1_1&gene=genemark-scf7180000046209-processed-gene-1.56&CDS=1-1236
OG0003384	YNR022C	genemark-scf7180000046331-processed-gene-2.30-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-2.30&CDS=1-405
OG0003385	YNR023W	genemark-scf7180000046209-processed-gene-1.57-mRNA-1_1&gene=genemark-scf7180000046209-processed-gene-1.57&CDS=1-1785
OG0003386	YNR024W	snap_masked-scf7180000046331-processed-gene-2.124-mRNA-1_1&gene=snap_masked-scf7180000046331-processed-gene-2.124&CDS=1-573
OG0003387	YNR027W	genemark-scf7180000046331-processed-gene-2.33-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-2.33&CDS=1-942
OG0003388	YNR029C	genemark-scf7180000046331-processed-gene-2.73-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-2.73&CDS=1-1317
OG0003389	YNR030W	genemark-scf7180000046331-processed-gene-2.35-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-2.35&CDS=1-1698
OG0003390	YNR032C-A	snap_masked-scf7180000046331-processed-gene-2.170-mRNA-1_1&gene=snap_masked-scf7180000046331-processed-gene-2.170&CDS=1-219
OG0003391	YNR032W	snap_masked-scf7180000046331-processed-gene-2.128-mRNA-1_1&gene=snap_masked-scf7180000046331-processed-gene-2.128&CDS=1-1194
OG0003392	YNR033W	genemark-scf7180000046331-processed-gene-2.37-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-2.37&CDS=1-2325
OG0003393	YNR035C	genemark-scf7180000046331-processed-gene-2.76-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-2.76&CDS=1-1011
OG0003394	YNR036C	augustus_masked-scf7180000046331-processed-gene-2.260-mRNA-1_1&gene=augustus_masked-scf7180000046331-processed-gene-2.260&CDS=1-693
OG0003395	YNR038W	genemark-scf7180000046331-processed-gene-2.39-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-2.39&CDS=1-1902
OG0003396	YNR039C	genemark-scf7180000046331-processed-gene-2.78-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-2.78&CDS=1-2103
OG0003397	YNR040W	snap_masked-scf7180000046331-processed-gene-2.132-mRNA-1_1&gene=snap_masked-scf7180000046331-processed-gene-2.132&CDS=1-801
OG0003398	YNR041C	genemark-scf7180000046331-processed-gene-2.79-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-2.79&CDS=1-1134
OG0003399	YNR043W	maker-scf7180000046331-augustus-gene-2.283-mRNA-1_1&gene=maker-scf7180000046331-augustus-gene-2.283&CDS=1-1173
OG0003400	YNR045W	snap_masked-scf7180000046331-processed-gene-2.136-mRNA-1_1&gene=snap_masked-scf7180000046331-processed-gene-2.136&CDS=1-1464
OG0003401	YNR046W	genemark-scf7180000046331-processed-gene-2.45-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-2.45&CDS=1-405
OG0003402	YNR049C	snap_masked-scf7180000046331-processed-gene-2.178-mRNA-1_1&gene=snap_masked-scf7180000046331-processed-gene-2.178&CDS=1-711
OG0003403	YNR050C	genemark-scf7180000046331-processed-gene-2.82-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-2.82&CDS=1-1338
OG0003404	YNR051C	genemark-scf7180000046331-processed-gene-2.83-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-2.83&CDS=1-1620
OG0003405	YNR052C	genemark-scf7180000046331-processed-gene-2.84-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-2.84&CDS=1-1407
OG0003406	YNR053C	maker-scf7180000046331-snap-gene-2.280-mRNA-1_1&gene=maker-scf7180000046331-snap-gene-2.280&CDS=1-1539
OG0003407	YNR054C	genemark-scf7180000046331-processed-gene-2.86-mRNA-1_1&gene=genemark-scf7180000046331-processed-gene-2.86&CDS=1-948
OG0003408	YOL001W	genemark-scf7180000046139-processed-gene-0.52-mRNA-1_1&gene=genemark-scf7180000046139-processed-gene-0.52&CDS=1-930
OG0003409	YOL002C	snap_masked-scf7180000046309-processed-gene-1.35-mRNA-1_1&gene=snap_masked-scf7180000046309-processed-gene-1.35&CDS=1-663
OG0003410	YOL003C	genemark-scf7180000046330-processed-gene-0.44-mRNA-1_1&gene=genemark-scf7180000046330-processed-gene-0.44&CDS=1-1161
OG0003411	YOL004W	genemark-scf7180000046330-processed-gene-0.13-mRNA-1_1&gene=genemark-scf7180000046330-processed-gene-0.13&CDS=1-4647
OG0003412	YOL005C	genemark-scf7180000046330-processed-gene-0.43-mRNA-1_1&gene=genemark-scf7180000046330-processed-gene-0.43&CDS=1-369
OG0003413	YOL006C	genemark-scf7180000046151-processed-gene-0.30-mRNA-1_1&gene=genemark-scf7180000046151-processed-gene-0.30&CDS=1-2478
OG0003414	YOL007C	augustus_masked-scf7180000046330-processed-gene-0.169-mRNA-1_1&gene=augustus_masked-scf7180000046330-processed-gene-0.169&CDS=1-948
OG0003415	YOL008W	genemark-scf7180000046330-processed-gene-0.10-mRNA-1_1&gene=genemark-scf7180000046330-processed-gene-0.10&CDS=1-576
OG0003416	YOL009C	genemark-scf7180000046330-processed-gene-0.38-mRNA-1_1&gene=genemark-scf7180000046330-processed-gene-0.38&CDS=1-768
OG0003417	YOL012C	genemark-scf7180000046330-processed-gene-0.36-mRNA-1_1&gene=genemark-scf7180000046330-processed-gene-0.36&CDS=1-402
OG0003418	YOL013C	genemark-scf7180000046182-processed-gene-0.12-mRNA-1_1&gene=genemark-scf7180000046182-processed-gene-0.12&CDS=1-1716
OG0003419	YOL016C	genemark-scf7180000046324-processed-gene-0.150-mRNA-1_1&gene=genemark-scf7180000046324-processed-gene-0.150&CDS=1-1326
OG0003420	YOL018C	genemark-scf7180000046324-processed-gene-0.149-mRNA-1_1&gene=genemark-scf7180000046324-processed-gene-0.149&CDS=1-1215
OG0003421	YOL019W	augustus_masked-scf7180000046324-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000046324-processed-gene-0.4&CDS=1-1674
OG0003422	YOL021C	genemark-scf7180000046269-processed-gene-0.211-mRNA-1_1&gene=genemark-scf7180000046269-processed-gene-0.211&CDS=1-3006
OG0003423	YOL022C	genemark-scf7180000046324-processed-gene-0.117-mRNA-1_1&gene=genemark-scf7180000046324-processed-gene-0.117&CDS=1-1218
OG0003424	YOL023W	maker-scf7180000046324-snap-gene-0.51-mRNA-1_1&gene=maker-scf7180000046324-snap-gene-0.51&CDS=1-2064
OG0003425	YOL025W	snap_masked-scf7180000046324-processed-gene-0.91-mRNA-1_1&gene=snap_masked-scf7180000046324-processed-gene-0.91&CDS=1-1728
OG0003426	YOL027C	maker-scf7180000046148-augustus-gene-0.5-mRNA-1_1&gene=maker-scf7180000046148-augustus-gene-0.5&CDS=1-1620
OG0003427	YOL028C	snap_masked-scf7180000046148-processed-gene-0.16-mRNA-1_1&gene=snap_masked-scf7180000046148-processed-gene-0.16&CDS=1-831
OG0003428	YOL030W	genemark-scf7180000046170-processed-gene-0.22-mRNA-1_1&gene=genemark-scf7180000046170-processed-gene-0.22&CDS=1-1485
OG0003429	YOL031C	snap_masked-scf7180000045805-processed-gene-0.7-mRNA-1_1&gene=snap_masked-scf7180000045805-processed-gene-0.7&CDS=1-1266
OG0003430	YOL032W	genemark-scf7180000045805-processed-gene-0.12-mRNA-1_1&gene=genemark-scf7180000045805-processed-gene-0.12&CDS=1-729
OG0003431	YOL033W	augustus_masked-scf7180000045805-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000045805-processed-gene-0.3&CDS=1-1560
OG0003432	YOL034W	genemark-scf7180000046148-processed-gene-0.31-mRNA-1_1&gene=genemark-scf7180000046148-processed-gene-0.31&CDS=1-3681
OG0003433	YOL036W	augustus_masked-scf7180000046148-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-scf7180000046148-processed-gene-0.47&CDS=1-1731
OG0003434	YOL038W	genemark-scf7180000046148-processed-gene-0.27-mRNA-1_1&gene=genemark-scf7180000046148-processed-gene-0.27&CDS=1-735
OG0003435	YOL039W	genemark-scf7180000045805-processed-gene-0.10-mRNA-1_1&gene=genemark-scf7180000045805-processed-gene-0.10&CDS=1-318
OG0003436	YOL040C	genemark-scf7180000046269-processed-gene-0.195-mRNA-1_1&gene=genemark-scf7180000046269-processed-gene-0.195&CDS=1-426
OG0003437	YOL041C	genemark-scf7180000046269-processed-gene-0.194-mRNA-1_1&gene=genemark-scf7180000046269-processed-gene-0.194&CDS=1-1194
OG0003438	YOL042W	genemark-scf7180000046269-processed-gene-0.158-mRNA-1_1&gene=genemark-scf7180000046269-processed-gene-0.158&CDS=1-1113
OG0003439	YOL048C	snap_masked-scf7180000046132-processed-gene-0.23-mRNA-1_1&gene=snap_masked-scf7180000046132-processed-gene-0.23&CDS=1-831
OG0003440	YOL049W	genemark-scf7180000046132-processed-gene-0.13-mRNA-1_1&gene=genemark-scf7180000046132-processed-gene-0.13&CDS=1-1482
OG0003441	YOL052C	genemark-scf7180000046266-processed-gene-0.242-mRNA-1_1&gene=genemark-scf7180000046266-processed-gene-0.242&CDS=1-1206
OG0003442	YOL054W	augustus_masked-scf7180000046325-processed-gene-3.292-mRNA-1_1&gene=augustus_masked-scf7180000046325-processed-gene-3.292&CDS=1-2037
OG0003443	YOL056W	genemark-scf7180000046300-processed-gene-0.137-mRNA-1_1&gene=genemark-scf7180000046300-processed-gene-0.137&CDS=1-924
OG0003444	YOL057W	genemark-scf7180000046300-processed-gene-0.138-mRNA-1_1&gene=genemark-scf7180000046300-processed-gene-0.138&CDS=1-2091
OG0003445	YOL058W	genemark-scf7180000046300-processed-gene-0.139-mRNA-1_1&gene=genemark-scf7180000046300-processed-gene-0.139&CDS=1-1260
OG0003446	YOL061W	genemark-scf7180000046254-processed-gene-0.62-mRNA-1_1&gene=genemark-scf7180000046254-processed-gene-0.62&CDS=1-1458
OG0003447	YOL062C	genemark-scf7180000046254-processed-gene-0.39-mRNA-1_1&gene=genemark-scf7180000046254-processed-gene-0.39&CDS=1-1449
OG0003448	YOL064C	genemark-scf7180000046254-processed-gene-0.41-mRNA-1_1&gene=genemark-scf7180000046254-processed-gene-0.41&CDS=1-1080
OG0003449	YOL066C	genemark-scf7180000046235-processed-gene-0.59-mRNA-1_1&gene=genemark-scf7180000046235-processed-gene-0.59&CDS=1-1737
OG0003450	YOL068C	genemark-scf7180000046254-processed-gene-0.43-mRNA-1_1&gene=genemark-scf7180000046254-processed-gene-0.43&CDS=1-1707
OG0003451	YOL069W	augustus_masked-scf7180000046254-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-scf7180000046254-processed-gene-0.26&CDS=1-1365
OG0003452	YOL071W	genemark-scf7180000046254-processed-gene-0.66-mRNA-1_1&gene=genemark-scf7180000046254-processed-gene-0.66&CDS=1-495
OG0003453	YOL072W	genemark-scf7180000046254-processed-gene-0.67-mRNA-1_1&gene=genemark-scf7180000046254-processed-gene-0.67&CDS=1-1422
OG0003454	YOL073C	genemark-scf7180000046254-processed-gene-0.50-mRNA-1_1&gene=genemark-scf7180000046254-processed-gene-0.50&CDS=1-705
OG0003455	YOL075C	genemark-scf7180000046254-processed-gene-0.51-mRNA-1_1&gene=genemark-scf7180000046254-processed-gene-0.51&CDS=1-3822
OG0003456	YOL076W	snap_masked-scf7180000046235-processed-gene-0.125-mRNA-1_1&gene=snap_masked-scf7180000046235-processed-gene-0.125&CDS=1-2409
OG0003457	YOL077C	genemark-scf7180000046254-processed-gene-0.53-mRNA-1_1&gene=genemark-scf7180000046254-processed-gene-0.53&CDS=1-870
OG0003458	YOL078W	genemark-scf7180000046254-processed-gene-0.72-mRNA-1_1&gene=genemark-scf7180000046254-processed-gene-0.72&CDS=1-3951
OG0003459	YOL080C	genemark-scf7180000046254-processed-gene-0.54-mRNA-1_1&gene=genemark-scf7180000046254-processed-gene-0.54&CDS=1-825
OG0003460	YOL084W	snap_masked-scf7180000046254-processed-gene-0.118-mRNA-1_1&gene=snap_masked-scf7180000046254-processed-gene-0.118&CDS=1-3186
OG0003461	YOL087C	augustus_masked-scf7180000046254-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000046254-processed-gene-0.14&CDS=1-3075
OG0003462	YOL088C	augustus_masked-scf7180000046254-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scf7180000046254-processed-gene-0.15&CDS=1-834
OG0003463	YOL090W	genemark-scf7180000046254-processed-gene-0.76-mRNA-1_1&gene=genemark-scf7180000046254-processed-gene-0.76&CDS=1-2895
OG0003464	YOL094C	genemark-scf7180000046254-processed-gene-0.58-mRNA-1_1&gene=genemark-scf7180000046254-processed-gene-0.58&CDS=1-966
OG0003465	YOL096C	snap_masked-scf7180000046254-processed-gene-0.101-mRNA-1_1&gene=snap_masked-scf7180000046254-processed-gene-0.101&CDS=1-921
OG0003466	YOL097C	genemark-scf7180000046254-processed-gene-0.60-mRNA-1_1&gene=genemark-scf7180000046254-processed-gene-0.60&CDS=1-1287
OG0003467	YOL100W	genemark-scf7180000046166-processed-gene-0.51-mRNA-1_1&gene=genemark-scf7180000046166-processed-gene-0.51&CDS=1-3666
OG0003468	YOL102C	snap_masked-scf7180000046166-processed-gene-0.37-mRNA-1_1&gene=snap_masked-scf7180000046166-processed-gene-0.37&CDS=1-669
OG0003469	YOL104C	snap_masked-scf7180000046166-processed-gene-0.36-mRNA-1_1&gene=snap_masked-scf7180000046166-processed-gene-0.36&CDS=1-912
OG0003470	YOL105C	snap_masked-scf7180000046166-processed-gene-0.35-mRNA-1_1&gene=snap_masked-scf7180000046166-processed-gene-0.35&CDS=1-1434
OG0003471	YOL107W	genemark-scf7180000046166-processed-gene-0.46-mRNA-1_1&gene=genemark-scf7180000046166-processed-gene-0.46&CDS=1-978
OG0003472	YOL108C	genemark-scf7180000046166-processed-gene-0.53-mRNA-1_1&gene=genemark-scf7180000046166-processed-gene-0.53&CDS=1-393
OG0003473	YOL110W	augustus_masked-scf7180000046304-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-scf7180000046304-processed-gene-0.21&CDS=1-948
OG0003474	YOL111C	genemark-scf7180000046304-processed-gene-0.66-mRNA-1_1&gene=genemark-scf7180000046304-processed-gene-0.66&CDS=1-612
OG0003475	YOL114C	genemark-scf7180000046304-processed-gene-0.67-mRNA-1_1&gene=genemark-scf7180000046304-processed-gene-0.67&CDS=1-510
OG0003476	YOL115W	genemark-scf7180000046304-processed-gene-0.81-mRNA-1_1&gene=genemark-scf7180000046304-processed-gene-0.81&CDS=1-1617
OG0003477	YOL116W	snap_masked-scf7180000046304-processed-gene-0.55-mRNA-1_1&gene=snap_masked-scf7180000046304-processed-gene-0.55&CDS=1-981
OG0003478	YOL122C	snap_masked-scf7180000046304-processed-gene-0.39-mRNA-1_1&gene=snap_masked-scf7180000046304-processed-gene-0.39&CDS=1-2472
OG0003479	YOL123W	genemark-scf7180000046304-processed-gene-0.84-mRNA-1_1&gene=genemark-scf7180000046304-processed-gene-0.84&CDS=1-1734
OG0003480	YOL124C	genemark-scf7180000046304-processed-gene-0.69-mRNA-1_1&gene=genemark-scf7180000046304-processed-gene-0.69&CDS=1-1308
OG0003481	YOL125W	genemark-scf7180000046304-processed-gene-0.85-mRNA-1_1&gene=genemark-scf7180000046304-processed-gene-0.85&CDS=1-975
OG0003482	YOL126C	maker-scf7180000046304-snap-gene-0.29-mRNA-1_1&gene=maker-scf7180000046304-snap-gene-0.29&CDS=1-933
OG0003483	YOL127W	genemark-scf7180000046037-processed-gene-0.12-mRNA-1_1&gene=genemark-scf7180000046037-processed-gene-0.12&CDS=1-426
OG0003484	YOL129W	augustus_masked-scf7180000046262-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scf7180000046262-processed-gene-0.18&CDS=1-549
OG0003485	YOL132W	snap_masked-scf7180000046262-processed-gene-0.45-mRNA-1_1&gene=snap_masked-scf7180000046262-processed-gene-0.45&CDS=1-1458
OG0003486	YOL133W	genemark-scf7180000046262-processed-gene-0.72-mRNA-1_1&gene=genemark-scf7180000046262-processed-gene-0.72&CDS=1-396
OG0003487	YOL137W	genemark-scf7180000046262-processed-gene-0.74-mRNA-1_1&gene=genemark-scf7180000046262-processed-gene-0.74&CDS=1-1497
OG0003488	YOL138C	genemark-scf7180000046262-processed-gene-0.64-mRNA-1_1&gene=genemark-scf7180000046262-processed-gene-0.64&CDS=1-3918
OG0003489	YOL139C	genemark-scf7180000046262-processed-gene-0.65-mRNA-1_1&gene=genemark-scf7180000046262-processed-gene-0.65&CDS=1-627
OG0003490	YOL140W	genemark-scf7180000046262-processed-gene-0.75-mRNA-1_1&gene=genemark-scf7180000046262-processed-gene-0.75&CDS=1-1278
OG0003491	YOL141W	genemark-scf7180000046262-processed-gene-0.77-mRNA-1_1&gene=genemark-scf7180000046262-processed-gene-0.77&CDS=1-2085
OG0003492	YOL142W	genemark-scf7180000046262-processed-gene-0.78-mRNA-1_1&gene=genemark-scf7180000046262-processed-gene-0.78&CDS=1-747
OG0003493	YOL143C	genemark-scf7180000046084-processed-gene-0.20-mRNA-1_1&gene=genemark-scf7180000046084-processed-gene-0.20&CDS=1-510
OG0003494	YOL144W	snap_masked-scf7180000046084-processed-gene-0.25-mRNA-1_1&gene=snap_masked-scf7180000046084-processed-gene-0.25&CDS=1-1542
OG0003495	YOL145C	genemark-scf7180000046084-processed-gene-0.19-mRNA-1_1&gene=genemark-scf7180000046084-processed-gene-0.19&CDS=1-3216
OG0003496	YOL146W	genemark-scf7180000046084-processed-gene-0.13-mRNA-1_1&gene=genemark-scf7180000046084-processed-gene-0.13&CDS=1-600
OG0003497	YOL147C	genemark-scf7180000046084-processed-gene-0.18-mRNA-1_1&gene=genemark-scf7180000046084-processed-gene-0.18&CDS=1-741
OG0003498	YOL149W	genemark-scf7180000046148-processed-gene-0.33-mRNA-1_1&gene=genemark-scf7180000046148-processed-gene-0.33&CDS=1-666
OG0003499	YOR001W	genemark-scf7180000046151-processed-gene-0.28-mRNA-1_1&gene=genemark-scf7180000046151-processed-gene-0.28&CDS=1-2292
OG0003500	YOR002W	genemark-scf7180000046330-processed-gene-0.42-mRNA-1_1&gene=genemark-scf7180000046330-processed-gene-0.42&CDS=1-1683
OG0003501	YOR004W	genemark-scf7180000046330-processed-gene-0.40-mRNA-1_1&gene=genemark-scf7180000046330-processed-gene-0.40&CDS=1-825
OG0003502	YOR005C	snap_masked-scf7180000046330-processed-gene-0.69-mRNA-1_1&gene=snap_masked-scf7180000046330-processed-gene-0.69&CDS=1-2922
OG0003503	YOR006C	genemark-scf7180000046309-processed-gene-1.58-mRNA-1_1&gene=genemark-scf7180000046309-processed-gene-1.58&CDS=1-990
OG0003504	YOR007C	genemark-scf7180000046309-processed-gene-1.57-mRNA-1_1&gene=genemark-scf7180000046309-processed-gene-1.57&CDS=1-1068
OG0003505	YOR014W	genemark-scf7180000046148-processed-gene-0.43-mRNA-1_1&gene=genemark-scf7180000046148-processed-gene-0.43&CDS=1-2400
OG0003506	YOR016C	genemark-scf7180000046170-processed-gene-0.53-mRNA-1_1&gene=genemark-scf7180000046170-processed-gene-0.53&CDS=1-630
OG0003507	YOR017W	genemark-scf7180000046148-processed-gene-0.42-mRNA-1_1&gene=genemark-scf7180000046148-processed-gene-0.42&CDS=1-2094
OG0003508	YOR018W	genemark-scf7180000046288-processed-gene-0.47-mRNA-1_1&gene=genemark-scf7180000046288-processed-gene-0.47&CDS=1-2430
OG0003509	YOR019W	snap_masked-scf7180000046297-processed-gene-0.48-mRNA-1_1&gene=snap_masked-scf7180000046297-processed-gene-0.48&CDS=1-2145
OG0003510	YOR020C	genemark-scf7180000046151-processed-gene-0.36-mRNA-1_1&gene=genemark-scf7180000046151-processed-gene-0.36&CDS=1-321
OG0003511	YOR021C	genemark-scf7180000046151-processed-gene-0.37-mRNA-1_1&gene=genemark-scf7180000046151-processed-gene-0.37&CDS=1-645
OG0003512	YOR022C	genemark-scf7180000046297-processed-gene-0.101-mRNA-1_1&gene=genemark-scf7180000046297-processed-gene-0.101&CDS=1-1977
