	Candida_glabrata	Saccharomyces_cerevisiae
OG0003474	snap_masked-CR380958-processed-gene-5.21-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-5.21&CDS=1-921	YGR113W
OG0003475	snap_masked-CR380958-processed-gene-5.22-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-5.22&CDS=1-4347	YGR116W
OG0003476	snap_masked-CR380958-processed-gene-5.23-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-5.23&CDS=1-1023	YPR129W
OG0003477	augustus_masked-CR380958-processed-gene-5.133-mRNA-1_1&gene=augustus_masked-CR380958-processed-gene-5.133&CDS=1-1317	YGR117C
OG0003478	snap_masked-CR380958-processed-gene-5.44-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-5.44&CDS=1-2415	YMR049C
OG0003479	snap_masked-CR380958-processed-gene-5.26-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-5.26&CDS=1-606	YMR052W
OG0003480	snap_masked-CR380958-processed-gene-5.27-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-5.27&CDS=1-1539	YKL074C
OG0003481	snap_masked-CR380958-processed-gene-5.28-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-5.28&CDS=1-1425	YKL075C
OG0003482	snap_masked-CR380958-processed-gene-5.46-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-5.46&CDS=1-1161	YKL077W
OG0003483	snap_masked-CR380958-processed-gene-5.47-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-5.47&CDS=1-2031	YKL079W
OG0003484	snap_masked-CR380958-processed-gene-5.48-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-5.48&CDS=1-1173	YKL080W
OG0003485	snap_masked-CR380958-processed-gene-5.29-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-5.29&CDS=1-1359	YKL082C
OG0003486	snap_masked-CR380958-processed-gene-5.50-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-5.50&CDS=1-1008	YKL085W
OG0003487	snap_masked-CR380958-processed-gene-5.51-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-5.51&CDS=1-414	YKL086W
OG0003488	snap_masked-CR380958-processed-gene-5.30-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-5.30&CDS=1-741	YKL087C
OG0003489	snap_masked-CR380958-processed-gene-6.64-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-6.64&CDS=1-1632	YKL088W
OG0003490	augustus_masked-CR380958-processed-gene-6.31-mRNA-1_1&gene=augustus_masked-CR380958-processed-gene-6.31&CDS=1-993	YKL011C
OG0003491	snap_masked-CR380958-processed-gene-6.65-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-6.65&CDS=1-1770	YKL012W
OG0003492	snap_masked-CR380958-processed-gene-6.62-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-6.62&CDS=1-513	YKL013C
OG0003493	snap_masked-CR380958-processed-gene-6.66-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-6.66&CDS=1-915	YJL115W
OG0003494	snap_masked-CR380958-processed-gene-6.81-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-6.81&CDS=1-918	YJL117W
OG0003495	snap_masked-CR380958-processed-gene-6.67-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-6.67&CDS=1-738	YJL121C
OG0003496	snap_masked-CR380958-processed-gene-6.82-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-6.82&CDS=1-486	YJL122W
OG0003497	snap_masked-CR380958-processed-gene-6.68-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-6.68&CDS=1-1326	YJL123C
OG0003498	snap_masked-CR380958-processed-gene-6.69-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-6.69&CDS=1-474	YJL124C
OG0003499	snap_masked-CR380958-processed-gene-6.70-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-6.70&CDS=1-1122	YJL125C
OG0003500	snap_masked-CR380958-processed-gene-6.83-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-6.83&CDS=1-939	YJL126W
OG0003501	snap_masked-CR380958-processed-gene-6.71-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-6.71&CDS=1-1593	YJL127C
OG0003502	snap_masked-CR380958-processed-gene-6.72-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-6.72&CDS=1-2076	YJL128C
OG0003503	snap_masked-CR380958-processed-gene-6.75-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-6.75&CDS=1-807	YJL131C
OG0003504	snap_masked-CR380958-processed-gene-6.84-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-6.84&CDS=1-1893	YJL132W
OG0003505	snap_masked-CR380958-processed-gene-6.87-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-6.87&CDS=1-1512	YGL172W
OG0003506	snap_masked-CR380958-processed-gene-6.77-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-6.77&CDS=1-4566	YGL173C
OG0003507	snap_masked-CR380958-processed-gene-6.88-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-6.88&CDS=1-705	YGL174W
OG0003508	snap_masked-CR380958-processed-gene-6.78-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-6.78&CDS=1-1029	YGL175C
OG0003509	snap_masked-CR380958-processed-gene-6.79-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-6.79&CDS=1-657	YGL176C
OG0003510	snap_masked-CR380958-processed-gene-6.89-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-6.89&CDS=1-2691	YGL178W
OG0003511	augustus_masked-CR380958-processed-gene-6.58-mRNA-1_1&gene=augustus_masked-CR380958-processed-gene-6.58&CDS=1-2841	YGL180W
OG0003512	snap_masked-CR380958-processed-gene-6.91-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-6.91&CDS=1-1515	YGL181W
OG0003513	snap_masked-CR380958-processed-gene-6.80-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-6.80&CDS=1-672	YGL183C
OG0003514	snap_masked-CR380958-processed-gene-7.82-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-7.82&CDS=1-1350	YGL184C
OG0003515	snap_masked-CR380958-processed-gene-7.83-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-7.83&CDS=1-1176	YGL185C
OG0003516	snap_masked-CR380958-processed-gene-7.84-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-7.84&CDS=1-1893	YGL186C
OG0003517	snap_masked-CR380958-processed-gene-7.85-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-7.85&CDS=1-462	YGL187C
OG0003518	snap_masked-CR380958-processed-gene-7.86-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-7.86&CDS=1-1485	YGL190C
OG0003519	snap_masked-CR380958-processed-gene-7.109-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-7.109&CDS=1-384	YGL191W
OG0003520	snap_masked-CR380958-processed-gene-7.111-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-7.111&CDS=1-264	YBR085C-A
OG0003521	snap_masked-CR380958-processed-gene-7.88-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-7.88&CDS=1-423	YDR100W
OG0003522	snap_masked-CR380958-processed-gene-7.112-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-7.112&CDS=1-1764	YDR101C
OG0003523	genemark-CR380958-processed-gene-7.8-mRNA-1_1&gene=genemark-CR380958-processed-gene-7.8&CDS=1-1800	YDR103W
OG0003524	snap_masked-CR380958-processed-gene-7.113-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-7.113&CDS=1-1431	YDR105C
OG0003525	snap_masked-CR380958-processed-gene-7.114-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-7.114&CDS=1-204	YER180C-A
OG0003526	snap_masked-CR380958-processed-gene-7.94-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-7.94&CDS=1-1641	YDR131C
OG0003527	snap_masked-CR380958-processed-gene-7.95-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-7.95&CDS=1-939	YGR231C
OG0003528	augustus_masked-CR380958-processed-gene-7.73-mRNA-1_1&gene=augustus_masked-CR380958-processed-gene-7.73&CDS=1-222	YGR230W
OG0003529	snap_masked-CR380958-processed-gene-7.96-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-7.96&CDS=1-1752	YGR229C
OG0003530	maker-CR380958-augustus-gene-7.0-mRNA-1_1&gene=maker-CR380958-augustus-gene-7.0&CDS=1-3510	YGR227W
OG0003531	snap_masked-CR380958-processed-gene-7.97-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-7.97&CDS=1-693	YGR232W
OG0003532	snap_masked-CR380958-processed-gene-7.118-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-7.118&CDS=1-3411	YGR233C
OG0003533	augustus_masked-CR380958-processed-gene-7.58-mRNA-1_1&gene=augustus_masked-CR380958-processed-gene-7.58&CDS=1-1194	YGR234W
OG0003534	snap_masked-CR380958-processed-gene-7.121-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-7.121&CDS=1-864	YBR146W
OG0003535	snap_masked-CR380958-processed-gene-7.99-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-7.99&CDS=1-1314	YBR143C
OG0003536	snap_masked-CR380958-processed-gene-7.101-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-7.101&CDS=1-1119	YDL078C
OG0003537	snap_masked-CR380958-processed-gene-7.102-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-7.102&CDS=1-1098	YMR139W
OG0003538	snap_masked-CR380958-processed-gene-7.123-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-7.123&CDS=1-1317	YDL084W
OG0003539	snap_masked-CR380958-processed-gene-7.106-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-7.106&CDS=1-195	YDL085C-A
OG0003540	snap_masked-CR380958-processed-gene-7.124-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-7.124&CDS=1-1041	YMR146C
OG0003541	snap_masked-CR380958-processed-gene-7.125-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-7.125&CDS=1-819	YDL086W
OG0003542	augustus_masked-CR380958-processed-gene-7.66-mRNA-1_1&gene=augustus_masked-CR380958-processed-gene-7.66&CDS=1-636	YPL034W
OG0003543	augustus_masked-CR380958-processed-gene-7.81-mRNA-1_1&gene=augustus_masked-CR380958-processed-gene-7.81&CDS=1-1011	YPL033C
OG0003544	snap_masked-CR380958-processed-gene-7.108-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-7.108&CDS=1-744	YDL087C
OG0003545	snap_masked-CR380958-processed-gene-8.88-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.88&CDS=1-1458	YDL088C
OG0003546	augustus_masked-CR380958-processed-gene-8.50-mRNA-1_1&gene=augustus_masked-CR380958-processed-gene-8.50&CDS=1-1314	YDL089W
OG0003547	snap_masked-CR380958-processed-gene-8.89-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.89&CDS=1-1290	YDL090C
OG0003548	snap_masked-CR380958-processed-gene-8.90-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.90&CDS=1-1284	YDL091C
OG0003549	snap_masked-CR380958-processed-gene-8.92-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.92&CDS=1-420	YDL092W
OG0003550	snap_masked-CR380958-processed-gene-8.94-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.94&CDS=1-1263	YDL097C
OG0003551	snap_masked-CR380958-processed-gene-8.95-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.95&CDS=1-561	YDL098C
OG0003552	snap_masked-CR380958-processed-gene-8.111-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.111&CDS=1-1026	YDL099W
OG0003553	snap_masked-CR380958-processed-gene-8.96-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.96&CDS=1-1050	YDL100C
OG0003554	snap_masked-CR380958-processed-gene-8.97-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.97&CDS=1-1518	YDL101C
OG0003555	snap_masked-CR380958-processed-gene-8.112-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.112&CDS=1-3288	YDL102W
OG0003556	snap_masked-CR380958-processed-gene-8.98-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.98&CDS=1-1416	YDL103C
OG0003557	snap_masked-CR380958-processed-gene-8.99-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.99&CDS=1-1182	YDL104C
OG0003558	snap_masked-CR380958-processed-gene-8.113-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.113&CDS=1-1077	YDL105W
OG0003559	snap_masked-CR380958-processed-gene-8.100-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.100&CDS=1-1545	YDL106C
OG0003560	augustus_masked-CR380958-processed-gene-8.74-mRNA-1_1&gene=augustus_masked-CR380958-processed-gene-8.74&CDS=1-807	YBR065C
OG0003561	snap_masked-CR380958-processed-gene-8.116-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.116&CDS=1-684	YBR067C
OG0003562	snap_masked-CR380958-processed-gene-8.119-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.119&CDS=1-3618	YML002W
OG0003563	snap_masked-CR380958-processed-gene-8.101-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.101&CDS=1-957	YML004C
OG0003564	snap_masked-CR380958-processed-gene-8.120-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.120&CDS=1-951	YPL266W
OG0003565	snap_masked-CR380958-processed-gene-8.102-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.102&CDS=1-1704	YCR014C
OG0003566	snap_masked-CR380958-processed-gene-8.121-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.121&CDS=1-1248	YCR012W
OG0003567	snap_masked-CR380958-processed-gene-8.103-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.103&CDS=1-3198	YCR011C
OG0003568	augustus_masked-CR380958-processed-gene-8.64-mRNA-1_1&gene=augustus_masked-CR380958-processed-gene-8.64&CDS=1-795	YCR009C
OG0003569	snap_masked-CR380958-processed-gene-8.122-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.122&CDS=1-1788	YCR008W
OG0003570	snap_masked-CR380958-processed-gene-8.105-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.105&CDS=1-825	YCR016W
OG0003571	snap_masked-CR380958-processed-gene-8.123-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.123&CDS=1-2928	YCR017C
OG0003572	snap_masked-CR380958-processed-gene-8.106-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.106&CDS=1-1050	YCR019W
OG0003573	snap_masked-CR380958-processed-gene-8.124-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.124&CDS=1-651	YCR020C
OG0003574	snap_masked-CR380958-processed-gene-8.125-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.125&CDS=1-276	YCR020C-A
OG0003575	snap_masked-CR380958-processed-gene-8.107-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.107&CDS=1-213	YCR020W-B
OG0003576	snap_masked-CR380958-processed-gene-8.108-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.108&CDS=1-1932	YCR026C
OG0003577	snap_masked-CR380958-processed-gene-8.109-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.109&CDS=1-1401	YCR024C
OG0003578	snap_masked-CR380958-processed-gene-8.126-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-8.126&CDS=1-1452	YCR028C
OG0003579	maker-CR380958-snap-gene-8.1-mRNA-1_1&gene=maker-CR380958-snap-gene-8.1&CDS=1-387	YCR028C-A
OG0003580	snap_masked-CR380958-processed-gene-9.2-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-9.2&CDS=1-4380	YCR032W
OG0003581	snap_masked-CR380958-processed-gene-9.4-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-9.4&CDS=1-4068	YCR033W
OG0003582	snap_masked-CR380958-processed-gene-9.5-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-9.5&CDS=1-1053	YCR034W
OG0003583	snap_masked-CR380958-processed-gene-9.26-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-9.26&CDS=1-1218	YCR035C
OG0003584	snap_masked-CR380958-processed-gene-9.6-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-9.6&CDS=1-999	YCR036W
OG0003585	snap_masked-CR380958-processed-gene-9.27-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-9.27&CDS=1-2586	YIL143C
OG0003586	snap_masked-CR380958-processed-gene-9.7-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-9.7&CDS=1-1578	YIL142W
OG0003587	snap_masked-CR380958-processed-gene-9.8-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-9.8&CDS=1-2499	YIL140W
OG0003588	augustus_masked-CR380958-processed-gene-9.104-mRNA-1_1&gene=augustus_masked-CR380958-processed-gene-9.104&CDS=1-759	YIL139C
OG0003589	snap_masked-CR380958-processed-gene-9.29-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-9.29&CDS=1-483	YNL079C
OG0003590	snap_masked-CR380958-processed-gene-9.30-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-9.30&CDS=1-2838	YIL137C
OG0003591	augustus_masked-CR380958-processed-gene-9.86-mRNA-1_1&gene=augustus_masked-CR380958-processed-gene-9.86&CDS=1-1230	YPR152C
OG0003592	snap_masked-CR380958-processed-gene-9.10-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-9.10&CDS=1-420	YPR151C
OG0003593	snap_masked-CR380958-processed-gene-9.12-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-9.12&CDS=1-1155	YPR148C
OG0003594	snap_masked-CR380958-processed-gene-9.13-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-9.13&CDS=1-936	YPR147C
OG0003595	snap_masked-CR380958-processed-gene-9.14-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-9.14&CDS=1-804	YHR200W
OG0003596	augustus_masked-CR380958-processed-gene-9.108-mRNA-1_1&gene=augustus_masked-CR380958-processed-gene-9.108&CDS=1-1140	YHR201C
OG0003597	snap_masked-CR380958-processed-gene-9.16-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-9.16&CDS=1-1764	YPL020C
OG0003598	snap_masked-CR380958-processed-gene-9.33-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-9.33&CDS=1-1092	YPL015C
OG0003599	augustus_masked-CR380958-processed-gene-9.93-mRNA-1_1&gene=augustus_masked-CR380958-processed-gene-9.93&CDS=1-978	YPL014W
OG0003600	snap_masked-CR380958-processed-gene-9.34-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-9.34&CDS=1-363	YPL013C
OG0003601	snap_masked-CR380958-processed-gene-9.18-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-9.18&CDS=1-3657	YPL012W
OG0003602	augustus_masked-CR380958-processed-gene-9.111-mRNA-1_1&gene=augustus_masked-CR380958-processed-gene-9.111&CDS=1-1200	YPL011C
OG0003603	snap_masked-CR380958-processed-gene-9.19-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-9.19&CDS=1-552	YPL010W
OG0003604	snap_masked-CR380958-processed-gene-9.36-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-9.36&CDS=1-3093	YPL009C
OG0003605	snap_masked-CR380958-processed-gene-9.20-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-9.20&CDS=1-2490	YPL008W
OG0003606	augustus_masked-CR380958-processed-gene-9.113-mRNA-1_1&gene=augustus_masked-CR380958-processed-gene-9.113&CDS=1-1755	YPL007C
OG0003607	snap_masked-CR380958-processed-gene-9.21-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-9.21&CDS=1-3579	YPL006W
OG0003608	snap_masked-CR380958-processed-gene-9.22-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-9.22&CDS=1-1869	YPL005W
OG0003609	augustus_masked-CR380958-processed-gene-9.99-mRNA-1_1&gene=augustus_masked-CR380958-processed-gene-9.99&CDS=1-1362	YPL003W
OG0003610	snap_masked-CR380958-processed-gene-9.39-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-9.39&CDS=1-1851	YFL002C
OG0003611	snap_masked-CR380958-processed-gene-9.24-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-9.24&CDS=1-1314	YFL001W
OG0003612	snap_masked-CR380958-processed-gene-9.40-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-9.40&CDS=1-699	YPL002C
OG0003613	snap_masked-CR380958-processed-gene-9.25-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-9.25&CDS=1-1164	YPL001W
OG0003614	snap_masked-CR380958-processed-gene-10.71-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-10.71&CDS=1-1440	YPR001W
OG0003615	snap_masked-CR380958-processed-gene-10.72-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-10.72&CDS=1-1482	YPR002W
OG0003616	snap_masked-CR380958-processed-gene-10.73-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-10.73&CDS=1-2538	YFR002W
OG0003617	snap_masked-CR380958-processed-gene-10.74-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-10.74&CDS=1-918	YFR004W
OG0003618	augustus_masked-CR380958-processed-gene-10.2-mRNA-1_1&gene=augustus_masked-CR380958-processed-gene-10.2&CDS=1-1281	YFR005C
OG0003619	snap_masked-CR380958-processed-gene-10.77-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-10.77&CDS=1-2175	YPR003C
OG0003620	snap_masked-CR380958-processed-gene-10.97-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-10.97&CDS=1-1011	YPR004C
OG0003621	snap_masked-CR380958-processed-gene-10.99-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-10.99&CDS=1-1713	YPR006C
OG0003622	snap_masked-CR380958-processed-gene-10.100-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-10.100&CDS=1-1980	YPR007C
OG0003623	snap_masked-CR380958-processed-gene-10.101-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-10.101&CDS=1-354	YIR009W
OG0003624	snap_masked-CR380958-processed-gene-10.80-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-10.80&CDS=1-1230	YIR008C
OG0003625	snap_masked-CR380958-processed-gene-10.102-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-10.102&CDS=1-2163	YIR007W
OG0003626	augustus_masked-CR380958-processed-gene-10.8-mRNA-1_1&gene=augustus_masked-CR380958-processed-gene-10.8&CDS=1-1419	YIR010W
OG0003627	snap_masked-CR380958-processed-gene-10.103-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-10.103&CDS=1-840	YIR011C
OG0003628	snap_masked-CR380958-processed-gene-10.83-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-10.83&CDS=1-1287	YIR012W
OG0003629	augustus_masked-CR380958-processed-gene-10.10-mRNA-1_1&gene=augustus_masked-CR380958-processed-gene-10.10&CDS=1-5034	YKL014C
OG0003630	snap_masked-CR380958-processed-gene-10.104-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-10.104&CDS=1-2472	YKL015W
OG0003631	snap_masked-CR380958-processed-gene-10.85-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-10.85&CDS=1-528	YKL016C
OG0003632	snap_masked-CR380958-processed-gene-10.86-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-10.86&CDS=1-2085	YKL017C
OG0003633	snap_masked-CR380958-processed-gene-10.105-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-10.105&CDS=1-978	YKL018W
OG0003634	snap_masked-CR380958-processed-gene-10.87-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-10.87&CDS=1-246	YKL018C-A
OG0003635	snap_masked-CR380958-processed-gene-10.106-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-10.106&CDS=1-972	YKL019W
OG0003636	snap_masked-CR380958-processed-gene-10.88-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-10.88&CDS=1-2229	YKL022C
OG0003637	snap_masked-CR380958-processed-gene-10.89-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-10.89&CDS=1-849	YKL024C
OG0003638	snap_masked-CR380958-processed-gene-10.90-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-10.90&CDS=1-2151	YKL025C
OG0003639	snap_masked-CR380958-processed-gene-10.92-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-10.92&CDS=1-1224	YOR042W
OG0003640	snap_masked-CR380958-processed-gene-10.93-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-10.93&CDS=1-1383	YOR043W
OG0003641	snap_masked-CR380958-processed-gene-10.95-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-10.95&CDS=1-183	YOR045W
OG0003642	snap_masked-CR380958-processed-gene-10.108-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-10.108&CDS=1-1512	YOR046C
OG0003643	snap_masked-CR380958-processed-gene-11.4-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-11.4&CDS=1-3054	YOR048C
OG0003644	snap_masked-CR380958-processed-gene-11.5-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-11.5&CDS=1-1119	YOR049C
OG0003645	snap_masked-CR380958-processed-gene-11.6-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-11.6&CDS=1-1212	YOR051C
OG0003646	augustus_masked-CR380958-processed-gene-11.52-mRNA-1_1&gene=augustus_masked-CR380958-processed-gene-11.52&CDS=1-519	YOR052C
OG0003647	snap_masked-CR380958-processed-gene-11.8-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-11.8&CDS=1-1131	YOR057W
OG0003648	augustus_masked-CR380958-processed-gene-11.68-mRNA-1_1&gene=augustus_masked-CR380958-processed-gene-11.68&CDS=1-2535	YOR058C
OG0003649	snap_masked-CR380958-processed-gene-11.24-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-11.24&CDS=1-1371	YOR059C
OG0003650	snap_masked-CR380958-processed-gene-11.25-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-11.25&CDS=1-837	YOR060C
OG0003651	snap_masked-CR380958-processed-gene-11.26-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-11.26&CDS=1-756	YKR075C
OG0003652	snap_masked-CR380958-processed-gene-11.27-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-11.27&CDS=1-663	YOR064C
OG0003653	snap_masked-CR380958-processed-gene-11.9-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-11.9&CDS=1-897	YOR065W
OG0003654	augustus_masked-CR380958-processed-gene-11.56-mRNA-1_1&gene=augustus_masked-CR380958-processed-gene-11.56&CDS=1-1866	YOR066W
OG0003655	snap_masked-CR380958-processed-gene-11.28-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-11.28&CDS=1-1650	YOR067C
OG0003656	snap_masked-CR380958-processed-gene-11.11-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-11.11&CDS=1-1914	YOR069W
OG0003657	snap_masked-CR380958-processed-gene-11.29-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-11.29&CDS=1-1926	YOR070C
OG0003658	snap_masked-CR380958-processed-gene-11.30-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-11.30&CDS=1-1047	YKR081C
OG0003659	snap_masked-CR380958-processed-gene-11.31-mRNA-1_1&gene=snap_masked-CR380958-processed-gene-11.31&CDS=1-1131	YHR063C
