	Metschnikowia_shivogae	Saccharomyces_cerevisiae
OG0002482	genemark-shi_s59-processed-gene-5.82-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.82&CDS=1-1284	YOL041C
OG0002483	genemark-shi_s59-processed-gene-5.83-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.83&CDS=1-1530	YNL239W
OG0002484	genemark-shi_s59-processed-gene-5.84-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.84&CDS=1-2577	YPR105C
OG0002485	genemark-shi_s59-processed-gene-5.125-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.125&CDS=1-624	YPR107C
OG0002486	genemark-shi_s59-processed-gene-5.126-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.126&CDS=1-1050	YAL009W
OG0002487	genemark-shi_s59-processed-gene-5.89-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.89&CDS=1-1440	YJL091C
OG0002488	genemark-shi_s59-processed-gene-5.92-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.92&CDS=1-5139	YOR217W
OG0002489	genemark-shi_s59-processed-gene-5.127-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.127&CDS=1-1143	YPL146C
OG0002490	genemark-shi_s59-processed-gene-5.130-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.130&CDS=1-3054	YAL019W
OG0002491	genemark-shi_s59-processed-gene-5.96-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.96&CDS=1-1083	YAL020C
OG0002492	genemark-shi_s59-processed-gene-5.97-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.97&CDS=1-627	YOL032W
OG0002493	genemark-shi_s59-processed-gene-5.98-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.98&CDS=1-462	YJL122W
OG0002494	genemark-shi_s59-processed-gene-5.132-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.132&CDS=1-696	YJL121C
OG0002495	genemark-shi_s59-processed-gene-5.99-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.99&CDS=1-501	YGL242C
OG0002496	genemark-shi_s59-processed-gene-5.133-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.133&CDS=1-1080	YGL243W
OG0002497	genemark-shi_s59-processed-gene-5.100-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.100&CDS=1-1668	YOR067C
OG0002498	genemark-shi_s59-processed-gene-5.101-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.101&CDS=1-2835	YOR005C
OG0002499	genemark-shi_s59-processed-gene-5.103-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.103&CDS=1-3027	YIR002C
OG0002500	genemark-shi_s59-processed-gene-5.104-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.104&CDS=1-543	YER007C-A
OG0002501	augustus_masked-shi_s59-processed-gene-5.226-mRNA-1_1&gene=augustus_masked-shi_s59-processed-gene-5.226&CDS=1-1464	YER007W
OG0002502	genemark-shi_s59-processed-gene-5.137-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.137&CDS=1-1509	YER006W
OG0002503	genemark-shi_s59-processed-gene-5.139-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.139&CDS=1-1935	YER005W
OG0002504	augustus_masked-shi_s59-processed-gene-5.198-mRNA-1_1&gene=augustus_masked-shi_s59-processed-gene-5.198&CDS=1-2916	YGR122W
OG0002505	maker-shi_s59-snap-gene-5.166-mRNA-1_1&gene=maker-shi_s59-snap-gene-5.166&CDS=1-1338	YGR001C
OG0002506	genemark-shi_s59-processed-gene-5.107-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.107&CDS=1-3702	YAL001C
OG0002507	genemark-shi_s59-processed-gene-5.108-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.108&CDS=1-867	YGR280C
OG0002508	genemark-shi_s59-processed-gene-5.143-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.143&CDS=1-1053	YGL001C
OG0002509	snap_masked-shi_s59-processed-gene-5.64-mRNA-1_1&gene=snap_masked-shi_s59-processed-gene-5.64&CDS=1-2451	YAR002W
OG0002510	genemark-shi_s59-processed-gene-5.145-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.145&CDS=1-1758	YGR002C
OG0002511	augustus_masked-shi_s59-processed-gene-5.236-mRNA-1_1&gene=augustus_masked-shi_s59-processed-gene-5.236&CDS=1-3444	YEL052W
OG0002512	genemark-shi_s59-processed-gene-5.148-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.148&CDS=1-4182	YPR189W
OG0002513	genemark-shi_s59-processed-gene-5.111-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.111&CDS=1-1797	YPR190C
OG0002514	maker-shi_s59-snap-gene-5.164-mRNA-1_1&gene=maker-shi_s59-snap-gene-5.164&CDS=1-1437	YNR052C
OG0002515	genemark-shi_s59-processed-gene-5.150-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.150&CDS=1-1620	YNR053C
OG0002516	genemark-shi_s59-processed-gene-5.115-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.115&CDS=1-2778	YPR097W
OG0002517	genemark-shi_s59-processed-gene-5.117-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.117&CDS=1-1863	YLR023C
OG0002518	genemark-shi_s59-processed-gene-5.118-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.118&CDS=1-1677	YDR536W
OG0002519	augustus_masked-shi_s59-processed-gene-5.212-mRNA-1_1&gene=augustus_masked-shi_s59-processed-gene-5.212&CDS=1-1641	YNL153C
OG0002520	genemark-shi_s59-processed-gene-5.152-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.152&CDS=1-1320	YGL130W
OG0002521	genemark-shi_s59-processed-gene-5.153-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.153&CDS=1-4470	YGL131C
OG0002522	genemark-shi_s59-processed-gene-5.156-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.156&CDS=1-1506	YNL142W
OG0002523	genemark-shi_s59-processed-gene-5.122-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.122&CDS=1-2568	YCR030C
OG0002524	genemark-shi_s59-processed-gene-5.158-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.158&CDS=1-1683	YLL035W
OG0002525	maker-shi_s59-augustus-gene-5.171-mRNA-1_1&gene=maker-shi_s59-augustus-gene-5.171&CDS=1-2889	YDR402C
OG0002526	snap_masked-shi_s70-processed-gene-0.20-mRNA-1_1&gene=snap_masked-shi_s70-processed-gene-0.20&CDS=1-417	YLL050C
OG0002527	maker-shi_s70-snap-gene-0.16-mRNA-1_1&gene=maker-shi_s70-snap-gene-0.16&CDS=1-2124	YIR029W
OG0002528	genemark-shi_s70-processed-gene-0.40-mRNA-1_1&gene=genemark-shi_s70-processed-gene-0.40&CDS=1-915	YNL025C
OG0002529	genemark-shi_s70-processed-gene-0.45-mRNA-1_1&gene=genemark-shi_s70-processed-gene-0.45&CDS=1-1203	YGL184C
OG0002530	genemark-shi_s70-processed-gene-0.46-mRNA-1_1&gene=genemark-shi_s70-processed-gene-0.46&CDS=1-1809	YAR007C
OG0002531	genemark-shi_s72-processed-gene-0.61-mRNA-1_1&gene=genemark-shi_s72-processed-gene-0.61&CDS=1-1887	YKL029C
OG0002532	genemark-shi_s72-processed-gene-0.62-mRNA-1_1&gene=genemark-shi_s72-processed-gene-0.62&CDS=1-741	YDR226W
OG0002533	genemark-shi_s72-processed-gene-0.76-mRNA-1_1&gene=genemark-shi_s72-processed-gene-0.76&CDS=1-1593	YDR228C
OG0002534	genemark-shi_s72-processed-gene-0.63-mRNA-1_1&gene=genemark-shi_s72-processed-gene-0.63&CDS=1-897	YDL198C
OG0002535	snap_masked-shi_s72-processed-gene-0.50-mRNA-1_1&gene=snap_masked-shi_s72-processed-gene-0.50&CDS=1-597	YEL024W
OG0002536	genemark-shi_s72-processed-gene-0.79-mRNA-1_1&gene=genemark-shi_s72-processed-gene-0.79&CDS=1-2553	YJR036C
OG0002537	genemark-shi_s72-processed-gene-0.67-mRNA-1_1&gene=genemark-shi_s72-processed-gene-0.67&CDS=1-2130	YJR042W
OG0002538	snap_masked-shi_s72-processed-gene-0.52-mRNA-1_1&gene=snap_masked-shi_s72-processed-gene-0.52&CDS=1-474	YEL027W
OG0002539	genemark-shi_s72-processed-gene-0.68-mRNA-1_1&gene=genemark-shi_s72-processed-gene-0.68&CDS=1-375	YEL026W
OG0002540	genemark-shi_s72-processed-gene-0.81-mRNA-1_1&gene=genemark-shi_s72-processed-gene-0.81&CDS=1-2217	YJR040W
OG0002541	genemark-shi_s72-processed-gene-0.82-mRNA-1_1&gene=genemark-shi_s72-processed-gene-0.82&CDS=1-1458	YGR212W
OG0002542	genemark-shi_s72-processed-gene-0.83-mRNA-1_1&gene=genemark-shi_s72-processed-gene-0.83&CDS=1-807	YOR036W
OG0002543	genemark-shi_s72-processed-gene-0.71-mRNA-1_1&gene=genemark-shi_s72-processed-gene-0.71&CDS=1-4257	YNL102W
OG0002544	genemark-shi_s72-processed-gene-0.72-mRNA-1_1&gene=genemark-shi_s72-processed-gene-0.72&CDS=1-2799	YBR289W
OG0002545	genemark-shi_s76-processed-gene-0.57-mRNA-1_1&gene=genemark-shi_s76-processed-gene-0.57&CDS=1-3357	YIL048W
OG0002546	genemark-shi_s76-processed-gene-0.45-mRNA-1_1&gene=genemark-shi_s76-processed-gene-0.45&CDS=1-2748	YIL047C
OG0002547	maker-shi_s76-snap-gene-0.38-mRNA-1_1&gene=maker-shi_s76-snap-gene-0.38&CDS=1-879	YGL187C
OG0002548	genemark-shi_s76-processed-gene-0.47-mRNA-1_1&gene=genemark-shi_s76-processed-gene-0.47&CDS=1-1443	YGL190C
OG0002549	snap_masked-shi_s76-processed-gene-0.102-mRNA-1_1&gene=snap_masked-shi_s76-processed-gene-0.102&CDS=1-396	YGL191W
OG0002550	genemark-shi_s76-processed-gene-0.63-mRNA-1_1&gene=genemark-shi_s76-processed-gene-0.63&CDS=1-1449	YGL017W
OG0002551	genemark-shi_s76-processed-gene-0.48-mRNA-1_1&gene=genemark-shi_s76-processed-gene-0.48&CDS=1-1086	YGR005C
OG0002552	snap_masked-shi_s76-processed-gene-0.105-mRNA-1_1&gene=snap_masked-shi_s76-processed-gene-0.105&CDS=1-234	YLR325C
OG0002553	snap_masked-shi_s76-processed-gene-0.106-mRNA-1_1&gene=snap_masked-shi_s76-processed-gene-0.106&CDS=1-1128	YGR006W
OG0002554	genemark-shi_s76-processed-gene-0.49-mRNA-1_1&gene=genemark-shi_s76-processed-gene-0.49&CDS=1-1383	YLR324W
OG0002555	genemark-shi_s76-processed-gene-0.65-mRNA-1_1&gene=genemark-shi_s76-processed-gene-0.65&CDS=1-3492	YFR031C
OG0002556	genemark-shi_s76-processed-gene-0.68-mRNA-1_1&gene=genemark-shi_s76-processed-gene-0.68&CDS=1-1551	YKL217W
OG0002557	genemark-shi_s76-processed-gene-0.70-mRNA-1_1&gene=genemark-shi_s76-processed-gene-0.70&CDS=1-1779	YAL058W
OG0002558	snap_masked-shi_s76-processed-gene-0.113-mRNA-1_1&gene=snap_masked-shi_s76-processed-gene-0.113&CDS=1-471	YAL059W
OG0002559	genemark-shi_s76-processed-gene-0.52-mRNA-1_1&gene=genemark-shi_s76-processed-gene-0.52&CDS=1-537	YIL157C
OG0002560	snap_masked-shi_s76-processed-gene-0.93-mRNA-1_1&gene=snap_masked-shi_s76-processed-gene-0.93&CDS=1-1035	YKR087C
OG0002561	genemark-shi_s76-processed-gene-0.54-mRNA-1_1&gene=genemark-shi_s76-processed-gene-0.54&CDS=1-672	YOR077W
OG0002562	genemark-shi_s76-processed-gene-0.75-mRNA-1_1&gene=genemark-shi_s76-processed-gene-0.75&CDS=1-1638	YKR099W
OG0002563	genemark-shi_s76-processed-gene-0.76-mRNA-1_1&gene=genemark-shi_s76-processed-gene-0.76&CDS=1-948	YKR080W
OG0002564	genemark-shi_s76-processed-gene-0.77-mRNA-1_1&gene=genemark-shi_s76-processed-gene-0.77&CDS=1-1794	YOR070C
OG0002565	genemark-shi_s76-processed-gene-0.78-mRNA-1_1&gene=genemark-shi_s76-processed-gene-0.78&CDS=1-1635	YHR064C
OG0002566	genemark-shi_s76-processed-gene-0.56-mRNA-1_1&gene=genemark-shi_s76-processed-gene-0.56&CDS=1-1308	YGL111W
OG0002567	genemark-shi_s76-processed-gene-0.80-mRNA-1_1&gene=genemark-shi_s76-processed-gene-0.80&CDS=1-990	YGL100W
OG0002568	genemark-shi_s76-processed-gene-1.93-mRNA-1_1&gene=genemark-shi_s76-processed-gene-1.93&CDS=1-1479	YBR243C
OG0002569	genemark-shi_s76-processed-gene-1.94-mRNA-1_1&gene=genemark-shi_s76-processed-gene-1.94&CDS=1-4839	YOR341W
OG0002570	genemark-shi_s76-processed-gene-1.100-mRNA-1_1&gene=genemark-shi_s76-processed-gene-1.100&CDS=1-402	YIL098C
OG0002571	snap_masked-shi_s76-processed-gene-1.47-mRNA-1_1&gene=snap_masked-shi_s76-processed-gene-1.47&CDS=1-1062	YNL037C
OG0002572	maker-shi_s76-augustus-gene-1.0-mRNA-1_1&gene=maker-shi_s76-augustus-gene-1.0&CDS=1-3057	YNL220W
OG0002573	genemark-shi_s76-processed-gene-1.118-mRNA-1_1&gene=genemark-shi_s76-processed-gene-1.118&CDS=1-435	YDL235C
OG0002574	genemark-shi_s76-processed-gene-1.121-mRNA-1_1&gene=genemark-shi_s76-processed-gene-1.121&CDS=1-3015	YAL035W
OG0002575	genemark-shi_s76-processed-gene-1.101-mRNA-1_1&gene=genemark-shi_s76-processed-gene-1.101&CDS=1-1101	YAL036C
OG0002576	augustus_masked-shi_s76-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-shi_s76-processed-gene-1.14&CDS=1-4866	YMR308C
OG0002577	genemark-shi_s76-processed-gene-1.104-mRNA-1_1&gene=genemark-shi_s76-processed-gene-1.104&CDS=1-2607	YNL325C
OG0002578	genemark-shi_s76-processed-gene-1.105-mRNA-1_1&gene=genemark-shi_s76-processed-gene-1.105&CDS=1-651	YKL117W
OG0002579	genemark-shi_s76-processed-gene-1.106-mRNA-1_1&gene=genemark-shi_s76-processed-gene-1.106&CDS=1-1323	YHL004W
OG0002580	genemark-shi_s76-processed-gene-1.107-mRNA-1_1&gene=genemark-shi_s76-processed-gene-1.107&CDS=1-1365	YHL002W
OG0002581	snap_masked-shi_s76-processed-gene-1.78-mRNA-1_1&gene=snap_masked-shi_s76-processed-gene-1.78&CDS=1-798	YKL007W
OG0002582	snap_masked-shi_s76-processed-gene-1.79-mRNA-1_1&gene=snap_masked-shi_s76-processed-gene-1.79&CDS=1-4425	YKL010C
OG0002583	genemark-shi_s76-processed-gene-1.125-mRNA-1_1&gene=genemark-shi_s76-processed-gene-1.125&CDS=1-1095	YBL016W
OG0002584	genemark-shi_s76-processed-gene-1.109-mRNA-1_1&gene=genemark-shi_s76-processed-gene-1.109&CDS=1-1023	YLR100W
OG0002585	snap_masked-shi_s76-processed-gene-1.81-mRNA-1_1&gene=snap_masked-shi_s76-processed-gene-1.81&CDS=1-4170	YDR128W
OG0002586	genemark-shi_s76-processed-gene-1.110-mRNA-1_1&gene=genemark-shi_s76-processed-gene-1.110&CDS=1-642	YDR167W
OG0002587	snap_masked-shi_s76-processed-gene-1.63-mRNA-1_1&gene=snap_masked-shi_s76-processed-gene-1.63&CDS=1-1227	YER019W
OG0002588	genemark-shi_s76-processed-gene-1.112-mRNA-1_1&gene=genemark-shi_s76-processed-gene-1.112&CDS=1-369	YLR104W
OG0002589	genemark-shi_s76-processed-gene-1.113-mRNA-1_1&gene=genemark-shi_s76-processed-gene-1.113&CDS=1-2196	YGL113W
OG0002590	genemark-shi_s76-processed-gene-1.132-mRNA-1_1&gene=genemark-shi_s76-processed-gene-1.132&CDS=1-1464	YGL112C
OG0002591	genemark-shi_s76-processed-gene-1.114-mRNA-1_1&gene=genemark-shi_s76-processed-gene-1.114&CDS=1-1557	YLR149C
OG0002592	genemark-shi_s76-processed-gene-1.115-mRNA-1_1&gene=genemark-shi_s76-processed-gene-1.115&CDS=1-2091	YLR103C
OG0002593	snap_masked-shi_s76-processed-gene-1.89-mRNA-1_1&gene=snap_masked-shi_s76-processed-gene-1.89&CDS=1-1929	YDR323C
OG0002594	snap_masked-shi_s76-processed-gene-1.90-mRNA-1_1&gene=snap_masked-shi_s76-processed-gene-1.90&CDS=1-270	YDR322C-A
OG0002595	genemark-shi_s76-processed-gene-1.117-mRNA-1_1&gene=genemark-shi_s76-processed-gene-1.117&CDS=1-1161	YHR076W
OG0002596	snap_masked-shi_s76-processed-gene-1.91-mRNA-1_1&gene=snap_masked-shi_s76-processed-gene-1.91&CDS=1-3030	YHR077C
OG0002597	genemark-shi_s76-processed-gene-1.136-mRNA-1_1&gene=genemark-shi_s76-processed-gene-1.136&CDS=1-954	YDR322W
OG0002598	maker-shi_s76-snap-gene-2.130-mRNA-1_1&gene=maker-shi_s76-snap-gene-2.130&CDS=1-339	YHR051W
OG0002599	genemark-shi_s76-processed-gene-2.6-mRNA-1_1&gene=genemark-shi_s76-processed-gene-2.6&CDS=1-711	YHR090C
OG0002600	snap_masked-shi_s76-processed-gene-2.44-mRNA-1_1&gene=snap_masked-shi_s76-processed-gene-2.44&CDS=1-1980	YOR035C
OG0002601	genemark-shi_s76-processed-gene-2.27-mRNA-1_1&gene=genemark-shi_s76-processed-gene-2.27&CDS=1-2241	YML035C
OG0002602	snap_masked-shi_s76-processed-gene-2.50-mRNA-1_1&gene=snap_masked-shi_s76-processed-gene-2.50&CDS=1-945	YPL111W
OG0002603	genemark-shi_s76-processed-gene-2.10-mRNA-1_1&gene=genemark-shi_s76-processed-gene-2.10&CDS=1-3768	YPL110C
OG0002604	genemark-shi_s76-processed-gene-2.11-mRNA-1_1&gene=genemark-shi_s76-processed-gene-2.11&CDS=1-1365	YPR040W
OG0002605	genemark-shi_s76-processed-gene-2.12-mRNA-1_1&gene=genemark-shi_s76-processed-gene-2.12&CDS=1-747	YJR101W
OG0002606	genemark-shi_s76-processed-gene-2.13-mRNA-1_1&gene=genemark-shi_s76-processed-gene-2.13&CDS=1-909	YJR088C
OG0002607	genemark-shi_s76-processed-gene-2.30-mRNA-1_1&gene=genemark-shi_s76-processed-gene-2.30&CDS=1-1725	YBL039C
OG0002608	genemark-shi_s76-processed-gene-2.31-mRNA-1_1&gene=genemark-shi_s76-processed-gene-2.31&CDS=1-555	YJR102C
OG0002609	augustus_masked-shi_s76-processed-gene-2.114-mRNA-1_1&gene=augustus_masked-shi_s76-processed-gene-2.114&CDS=1-2304	YJR090C
OG0002610	genemark-shi_s76-processed-gene-2.15-mRNA-1_1&gene=genemark-shi_s76-processed-gene-2.15&CDS=1-1320	YJR084W
OG0002611	genemark-shi_s76-processed-gene-2.16-mRNA-1_1&gene=genemark-shi_s76-processed-gene-2.16&CDS=1-1191	YPR041W
OG0002612	genemark-shi_s76-processed-gene-2.35-mRNA-1_1&gene=genemark-shi_s76-processed-gene-2.35&CDS=1-711	YJR093C
OG0002613	snap_masked-shi_s76-processed-gene-2.80-mRNA-1_1&gene=snap_masked-shi_s76-processed-gene-2.80&CDS=1-4608	YJR092W
OG0002614	genemark-shi_s76-processed-gene-2.18-mRNA-1_1&gene=genemark-shi_s76-processed-gene-2.18&CDS=1-1437	YDL103C
OG0002615	genemark-shi_s76-processed-gene-2.19-mRNA-1_1&gene=genemark-shi_s76-processed-gene-2.19&CDS=1-1878	YHL032C
OG0002616	augustus_masked-shi_s76-processed-gene-2.104-mRNA-1_1&gene=augustus_masked-shi_s76-processed-gene-2.104&CDS=1-1413	YKL152C
OG0002617	maker-shi_s76-augustus-gene-2.124-mRNA-1_1&gene=maker-shi_s76-augustus-gene-2.124&CDS=1-2544	YJL041W
OG0002618	genemark-shi_s76-processed-gene-2.24-mRNA-1_1&gene=genemark-shi_s76-processed-gene-2.24&CDS=1-1020	YGL040C
OG0002619	genemark-shi_s76-processed-gene-2.40-mRNA-1_1&gene=genemark-shi_s76-processed-gene-2.40&CDS=1-672	YMR077C
OG0002620	genemark-shi_s76-processed-gene-3.51-mRNA-1_1&gene=genemark-shi_s76-processed-gene-3.51&CDS=1-1098	YLR113W
OG0002621	augustus_masked-shi_s76-processed-gene-3.15-mRNA-1_1&gene=augustus_masked-shi_s76-processed-gene-3.15&CDS=1-972	YBL033C
OG0002622	augustus_masked-shi_s76-processed-gene-3.19-mRNA-1_1&gene=augustus_masked-shi_s76-processed-gene-3.19&CDS=1-1176	YNL051W
OG0002623	maker-shi_s76-augustus-gene-3.2-mRNA-1_1&gene=maker-shi_s76-augustus-gene-3.2&CDS=1-4020	YNL241C
OG0002624	genemark-shi_s76-processed-gene-3.60-mRNA-1_1&gene=genemark-shi_s76-processed-gene-3.60&CDS=1-1341	YNL237W
OG0002625	genemark-shi_s76-processed-gene-3.61-mRNA-1_1&gene=genemark-shi_s76-processed-gene-3.61&CDS=1-933	YJR095W
OG0002626	genemark-shi_s76-processed-gene-3.62-mRNA-1_1&gene=genemark-shi_s76-processed-gene-3.62&CDS=1-1056	YJR100C
OG0002627	genemark-shi_s76-processed-gene-3.63-mRNA-1_1&gene=genemark-shi_s76-processed-gene-3.63&CDS=1-1116	YOR288C
OG0002628	genemark-shi_s76-processed-gene-3.64-mRNA-1_1&gene=genemark-shi_s76-processed-gene-3.64&CDS=1-1443	YFR044C
OG0002629	genemark-shi_s76-processed-gene-3.68-mRNA-1_1&gene=genemark-shi_s76-processed-gene-3.68&CDS=1-1341	YER043C
OG0002630	genemark-shi_s76-processed-gene-3.69-mRNA-1_1&gene=genemark-shi_s76-processed-gene-3.69&CDS=1-1185	YPL123C
OG0002631	genemark-shi_s76-processed-gene-3.85-mRNA-1_1&gene=genemark-shi_s76-processed-gene-3.85&CDS=1-2280	YGR261C
OG0002632	genemark-shi_s76-processed-gene-3.87-mRNA-1_1&gene=genemark-shi_s76-processed-gene-3.87&CDS=1-3108	YMR288W
OG0002633	genemark-shi_s76-processed-gene-3.71-mRNA-1_1&gene=genemark-shi_s76-processed-gene-3.71&CDS=1-885	YHR187W
OG0002634	genemark-shi_s76-processed-gene-3.88-mRNA-1_1&gene=genemark-shi_s76-processed-gene-3.88&CDS=1-1722	YHR188C
OG0002635	genemark-shi_s76-processed-gene-3.72-mRNA-1_1&gene=genemark-shi_s76-processed-gene-3.72&CDS=1-1770	YJL013C
OG0002636	genemark-shi_s76-processed-gene-3.89-mRNA-1_1&gene=genemark-shi_s76-processed-gene-3.89&CDS=1-2142	YJL012C
OG0002637	genemark-shi_s76-processed-gene-3.91-mRNA-1_1&gene=genemark-shi_s76-processed-gene-3.91&CDS=1-2733	YDL117W
OG0002638	genemark-shi_s76-processed-gene-4.40-mRNA-1_1&gene=genemark-shi_s76-processed-gene-4.40&CDS=1-1578	YJL014W
OG0002639	augustus_masked-shi_s76-processed-gene-4.84-mRNA-1_1&gene=augustus_masked-shi_s76-processed-gene-4.84&CDS=1-6759	YDL101C
OG0002640	genemark-shi_s76-processed-gene-4.41-mRNA-1_1&gene=genemark-shi_s76-processed-gene-4.41&CDS=1-672	YDR084C
OG0002641	genemark-shi_s76-processed-gene-4.39-mRNA-1_1&gene=genemark-shi_s76-processed-gene-4.39&CDS=1-288	YDR079W
OG0002642	genemark-shi_s76-processed-gene-4.42-mRNA-1_1&gene=genemark-shi_s76-processed-gene-4.42&CDS=1-2187	YDR081C
OG0002643	genemark-shi_s76-processed-gene-4.53-mRNA-1_1&gene=genemark-shi_s76-processed-gene-4.53&CDS=1-894	YKL094W
OG0002644	genemark-shi_s76-processed-gene-4.43-mRNA-1_1&gene=genemark-shi_s76-processed-gene-4.43&CDS=1-1191	YDL006W
OG0002645	genemark-shi_s76-processed-gene-4.56-mRNA-1_1&gene=genemark-shi_s76-processed-gene-4.56&CDS=1-645	YHR181W
OG0002646	snap_masked-shi_s76-processed-gene-4.22-mRNA-1_1&gene=snap_masked-shi_s76-processed-gene-4.22&CDS=1-5160	YKR031C
OG0002647	genemark-shi_s76-processed-gene-4.45-mRNA-1_1&gene=genemark-shi_s76-processed-gene-4.45&CDS=1-1134	YDR336W
OG0002648	genemark-shi_s76-processed-gene-4.59-mRNA-1_1&gene=genemark-shi_s76-processed-gene-4.59&CDS=1-582	YHR089C
OG0002649	snap_masked-shi_s76-processed-gene-4.10-mRNA-1_1&gene=snap_masked-shi_s76-processed-gene-4.10&CDS=1-3999	YBL047C
OG0002650	genemark-shi_s76-processed-gene-4.60-mRNA-1_1&gene=genemark-shi_s76-processed-gene-4.60&CDS=1-2268	YLL057C
OG0002651	snap_masked-shi_s76-processed-gene-4.29-mRNA-1_1&gene=snap_masked-shi_s76-processed-gene-4.29&CDS=1-426	YPR100W
OG0002652	genemark-shi_s76-processed-gene-4.64-mRNA-1_1&gene=genemark-shi_s76-processed-gene-4.64&CDS=1-1626	YGR055W
OG0002653	genemark-shi_s76-processed-gene-4.65-mRNA-1_1&gene=genemark-shi_s76-processed-gene-4.65&CDS=1-3582	YJL080C
OG0002654	maker-shi_s76-snap-gene-4.75-mRNA-1_1&gene=maker-shi_s76-snap-gene-4.75&CDS=1-2892	YFR016C
OG0002655	genemark-shi_s76-processed-gene-4.47-mRNA-1_1&gene=genemark-shi_s76-processed-gene-4.47&CDS=1-711	YDR054C
OG0002656	genemark-shi_s76-processed-gene-4.48-mRNA-1_1&gene=genemark-shi_s76-processed-gene-4.48&CDS=1-1572	YDR052C
OG0002657	genemark-shi_s76-processed-gene-4.49-mRNA-1_1&gene=genemark-shi_s76-processed-gene-4.49&CDS=1-1902	YLR299W
OG0002658	maker-shi_s76-augustus-gene-4.82-mRNA-1_1&gene=maker-shi_s76-augustus-gene-4.82&CDS=1-3348	YOR188W
OG0002659	genemark-shi_s76-processed-gene-4.71-mRNA-1_1&gene=genemark-shi_s76-processed-gene-4.71&CDS=1-1953	YJR131W
OG0002660	genemark-shi_s76-processed-gene-4.51-mRNA-1_1&gene=genemark-shi_s76-processed-gene-4.51&CDS=1-2379	YML076C
OG0002661	maker-shi_s76-augustus-gene-5.55-mRNA-1_1&gene=maker-shi_s76-augustus-gene-5.55&CDS=1-2925	YHR137W
OG0002662	genemark-shi_s76-processed-gene-5.113-mRNA-1_1&gene=genemark-shi_s76-processed-gene-5.113&CDS=1-972	YIL041W
OG0002663	genemark-shi_s76-processed-gene-5.117-mRNA-1_1&gene=genemark-shi_s76-processed-gene-5.117&CDS=1-1599	YER052C
OG0002664	maker-shi_s76-augustus-gene-5.56-mRNA-1_1&gene=maker-shi_s76-augustus-gene-5.56&CDS=1-2679	YER049W
OG0002665	genemark-shi_s76-processed-gene-5.142-mRNA-1_1&gene=genemark-shi_s76-processed-gene-5.142&CDS=1-2283	YLL013C
OG0002666	snap_masked-shi_s76-processed-gene-5.93-mRNA-1_1&gene=snap_masked-shi_s76-processed-gene-5.93&CDS=1-1290	YGR223C
OG0002667	genemark-shi_s76-processed-gene-5.144-mRNA-1_1&gene=genemark-shi_s76-processed-gene-5.144&CDS=1-2040	YKL022C
OG0002668	genemark-shi_s76-processed-gene-5.145-mRNA-1_1&gene=genemark-shi_s76-processed-gene-5.145&CDS=1-1098	YIR034C
OG0002669	genemark-shi_s76-processed-gene-5.146-mRNA-1_1&gene=genemark-shi_s76-processed-gene-5.146&CDS=1-1323	YJR003C
OG0002670	augustus_masked-shi_s76-processed-gene-5.35-mRNA-1_1&gene=augustus_masked-shi_s76-processed-gene-5.35&CDS=1-3102	YGR194C
OG0002671	genemark-shi_s76-processed-gene-5.149-mRNA-1_1&gene=genemark-shi_s76-processed-gene-5.149&CDS=1-6108	YPR184W
