	Meyerozyma_guilliermondii	Saccharomyces_cerevisiae
OG0002659	augustus_masked-NW_001809800.1-processed-gene-4.66-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-4.66&CDS=1-5178	YGL094C
OG0002660	snap_masked-NW_001809800.1-processed-gene-4.38-mRNA-1_1&gene=snap_masked-NW_001809800.1-processed-gene-4.38&CDS=1-189	YPL183W-A
OG0002661	augustus_masked-NW_001809800.1-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-4.67&CDS=1-2814	YNL287W
OG0002662	augustus_masked-NW_001809800.1-processed-gene-4.88-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-4.88&CDS=1-2262	YJL212C
OG0002663	augustus_masked-NW_001809800.1-processed-gene-4.68-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-4.68&CDS=1-1389	YCR054C
OG0002664	augustus_masked-NW_001809800.1-processed-gene-4.89-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-4.89&CDS=1-1554	YCR053W
OG0002665	augustus_masked-NW_001809800.1-processed-gene-4.69-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-4.69&CDS=1-1122	YGR046W
OG0002666	augustus_masked-NW_001809800.1-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-4.70&CDS=1-444	YMR263W
OG0002667	augustus_masked-NW_001809800.1-processed-gene-4.71-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-4.71&CDS=1-609	YMR264W
OG0002668	augustus_masked-NW_001809800.1-processed-gene-4.91-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-4.91&CDS=1-1509	YML102W
OG0002669	augustus_masked-NW_001809800.1-processed-gene-4.94-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-4.94&CDS=1-1533	YGR009C
OG0002670	augustus_masked-NW_001809800.1-processed-gene-4.95-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-4.95&CDS=1-453	YDL208W
OG0002671	augustus_masked-NW_001809800.1-processed-gene-4.96-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-4.96&CDS=1-2817	YDR238C
OG0002672	augustus_masked-NW_001809800.1-processed-gene-4.76-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-4.76&CDS=1-2127	YMR075W
OG0002673	augustus_masked-NW_001809800.1-processed-gene-4.98-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-4.98&CDS=1-453	YKL167C
OG0002674	augustus_masked-NW_001809800.1-processed-gene-4.77-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-4.77&CDS=1-1308	YMR062C
OG0002675	genemark-NW_001809800.1-processed-gene-4.145-mRNA-1_1&gene=genemark-NW_001809800.1-processed-gene-4.145&CDS=1-726	YDL114W
OG0002676	augustus_masked-NW_001809800.1-processed-gene-5.62-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-5.62&CDS=1-3663	YMR076C
OG0002677	augustus_masked-NW_001809800.1-processed-gene-5.84-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-5.84&CDS=1-1413	YDL207W
OG0002678	augustus_masked-NW_001809800.1-processed-gene-5.65-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-5.65&CDS=1-858	YDR237W
OG0002679	maker-NW_001809800.1-augustus-gene-5.0-mRNA-1_1&gene=maker-NW_001809800.1-augustus-gene-5.0&CDS=1-1572	YGR044C
OG0002680	genemark-NW_001809800.1-processed-gene-5.110-mRNA-1_1&gene=genemark-NW_001809800.1-processed-gene-5.110&CDS=1-1266	YDR235W
OG0002681	augustus_masked-NW_001809800.1-processed-gene-5.87-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-5.87&CDS=1-540	YDR236C
OG0002682	augustus_masked-NW_001809800.1-processed-gene-5.68-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-5.68&CDS=1-1392	YPL020C
OG0002683	augustus_masked-NW_001809800.1-processed-gene-5.88-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-5.88&CDS=1-2622	YMR302C
OG0002684	augustus_masked-NW_001809800.1-processed-gene-5.89-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-5.89&CDS=1-1047	YGR028W
OG0002685	augustus_masked-NW_001809800.1-processed-gene-5.69-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-5.69&CDS=1-2589	YLR336C
OG0002686	augustus_masked-NW_001809800.1-processed-gene-5.91-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-5.91&CDS=1-3633	YFL008W
OG0002687	augustus_masked-NW_001809800.1-processed-gene-5.71-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-5.71&CDS=1-966	YLR354C
OG0002688	augustus_masked-NW_001809800.1-processed-gene-5.73-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-5.73&CDS=1-573	YPL010W
OG0002689	augustus_masked-NW_001809800.1-processed-gene-5.74-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-5.74&CDS=1-789	YPL011C
OG0002690	augustus_masked-NW_001809800.1-processed-gene-5.75-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-5.75&CDS=1-1521	YPL014W
OG0002691	augustus_masked-NW_001809800.1-processed-gene-5.76-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-5.76&CDS=1-1560	YBR163W
OG0002692	snap_masked-NW_001809800.1-processed-gene-5.47-mRNA-1_1&gene=snap_masked-NW_001809800.1-processed-gene-5.47&CDS=1-726	YOR258W
OG0002693	genemark-NW_001809800.1-processed-gene-5.142-mRNA-1_1&gene=genemark-NW_001809800.1-processed-gene-5.142&CDS=1-336	YMR123W
OG0002694	snap_masked-NW_001809800.1-processed-gene-5.23-mRNA-1_1&gene=snap_masked-NW_001809800.1-processed-gene-5.23&CDS=1-1824	YER068W
OG0002695	augustus_masked-NW_001809800.1-processed-gene-5.96-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-5.96&CDS=1-2625	YPL040C
OG0002696	maker-NW_001809800.1-augustus-gene-5.3-mRNA-1_1&gene=maker-NW_001809800.1-augustus-gene-5.3&CDS=1-1386	YNR001C
OG0002697	augustus_masked-NW_001809800.1-processed-gene-5.78-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-5.78&CDS=1-981	YIR026C
OG0002698	augustus_masked-NW_001809800.1-processed-gene-5.99-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-5.99&CDS=1-1260	YNL119W
OG0002699	augustus_masked-NW_001809800.1-processed-gene-5.79-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-5.79&CDS=1-327	YHR116W
OG0002700	augustus_masked-NW_001809800.1-processed-gene-5.80-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-5.80&CDS=1-2787	YER114C
OG0002701	augustus_masked-NW_001809800.1-processed-gene-5.81-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-5.81&CDS=1-3888	YER113C
OG0002702	maker-NW_001809800.1-snap-gene-5.60-mRNA-1_1&gene=maker-NW_001809800.1-snap-gene-5.60&CDS=1-1095	YBR039W
OG0002703	augustus_masked-NW_001809800.1-processed-gene-5.82-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-5.82&CDS=1-2856	YCR017C
OG0002704	snap_masked-NW_001809800.1-processed-gene-5.32-mRNA-1_1&gene=snap_masked-NW_001809800.1-processed-gene-5.32&CDS=1-267	YNL122C
OG0002705	maker-NW_001809800.1-augustus-gene-5.5-mRNA-1_1&gene=maker-NW_001809800.1-augustus-gene-5.5&CDS=1-4215	YNL123W
OG0002706	augustus_masked-NW_001809800.1-processed-gene-6.125-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-6.125&CDS=1-5748	YHR120W
OG0002707	augustus_masked-NW_001809800.1-processed-gene-6.128-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-6.128&CDS=1-1845	YNL124W
OG0002708	augustus_masked-NW_001809800.1-processed-gene-6.127-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-6.127&CDS=1-1653	YEL063C
OG0002709	snap_masked-NW_001809800.1-processed-gene-6.42-mRNA-1_1&gene=snap_masked-NW_001809800.1-processed-gene-6.42&CDS=1-666	YNL136W
OG0002710	augustus_masked-NW_001809800.1-processed-gene-6.129-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-6.129&CDS=1-1395	YNL137C
OG0002711	augustus_masked-NW_001809800.1-processed-gene-6.130-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-6.130&CDS=1-864	YNL063W
OG0002712	augustus_masked-NW_001809800.1-processed-gene-6.157-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-6.157&CDS=1-1353	YNL062C
OG0002713	augustus_masked-NW_001809800.1-processed-gene-6.131-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-6.131&CDS=1-1842	YNL061W
OG0002714	augustus_masked-NW_001809800.1-processed-gene-6.158-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-6.158&CDS=1-2331	YNL059C
OG0002715	augustus_masked-NW_001809800.1-processed-gene-6.132-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-6.132&CDS=1-1575	YNL138W
OG0002716	augustus_masked-NW_001809800.1-processed-gene-6.134-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-6.134&CDS=1-690	YNL129W
OG0002717	augustus_masked-NW_001809800.1-processed-gene-6.161-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-6.161&CDS=1-3129	YNL132W
OG0002718	augustus_masked-NW_001809800.1-processed-gene-6.135-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-6.135&CDS=1-1590	YBL026W
OG0002719	augustus_masked-NW_001809800.1-processed-gene-6.162-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-6.162&CDS=1-1236	YBL020W
OG0002720	augustus_masked-NW_001809800.1-processed-gene-6.136-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-6.136&CDS=1-732	YBL021C
OG0002721	snap_masked-NW_001809800.1-processed-gene-6.19-mRNA-1_1&gene=snap_masked-NW_001809800.1-processed-gene-6.19&CDS=1-1986	YBL024W
OG0002722	genemark-NW_001809800.1-processed-gene-6.77-mRNA-1_1&gene=genemark-NW_001809800.1-processed-gene-6.77&CDS=1-3324	YBL022C
OG0002723	genemark-NW_001809800.1-processed-gene-6.78-mRNA-1_1&gene=genemark-NW_001809800.1-processed-gene-6.78&CDS=1-3429	YBL023C
OG0002724	augustus_masked-NW_001809800.1-processed-gene-6.166-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-6.166&CDS=1-759	YLR285W
OG0002725	augustus_masked-NW_001809800.1-processed-gene-6.167-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-6.167&CDS=1-1884	YJR072C
OG0002726	augustus_masked-NW_001809800.1-processed-gene-6.143-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-6.143&CDS=1-504	YDR231C
OG0002727	augustus_masked-NW_001809800.1-processed-gene-6.144-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-6.144&CDS=1-3765	YKL197C
OG0002728	augustus_masked-NW_001809800.1-processed-gene-6.168-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-6.168&CDS=1-402	YMR112C
OG0002729	augustus_masked-NW_001809800.1-processed-gene-6.145-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-6.145&CDS=1-1236	YMR113W
OG0002730	augustus_masked-NW_001809800.1-processed-gene-6.146-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-6.146&CDS=1-1719	YDL156W
OG0002731	maker-NW_001809800.1-augustus-gene-6.5-mRNA-1_1&gene=maker-NW_001809800.1-augustus-gene-6.5&CDS=1-951	YMR116C
OG0002732	augustus_masked-NW_001809800.1-processed-gene-6.147-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-6.147&CDS=1-1365	YNL011C
OG0002733	augustus_masked-NW_001809800.1-processed-gene-6.170-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-6.170&CDS=1-954	YKR026C
OG0002734	augustus_masked-NW_001809800.1-processed-gene-6.148-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-6.148&CDS=1-822	YKR025W
OG0002735	augustus_masked-NW_001809800.1-processed-gene-6.149-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-6.149&CDS=1-2241	YKR024C
OG0002736	augustus_masked-NW_001809800.1-processed-gene-6.172-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-6.172&CDS=1-1086	YOL009C
OG0002737	augustus_masked-NW_001809800.1-processed-gene-6.154-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-6.154&CDS=1-1758	YIL001W
OG0002738	genemark-NW_001809800.1-processed-gene-6.95-mRNA-1_1&gene=genemark-NW_001809800.1-processed-gene-6.95&CDS=1-3921	YPL012W
OG0002739	augustus_masked-NW_001809800.1-processed-gene-7.4-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-7.4&CDS=1-930	YLR340W
OG0002740	augustus_masked-NW_001809800.1-processed-gene-7.5-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-7.5&CDS=1-1806	YDR452W
OG0002741	genemark-NW_001809800.1-processed-gene-7.63-mRNA-1_1&gene=genemark-NW_001809800.1-processed-gene-7.63&CDS=1-1968	YGL203C
OG0002742	augustus_masked-NW_001809800.1-processed-gene-7.30-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-7.30&CDS=1-2613	YPR160W
OG0002743	genemark-NW_001809800.1-processed-gene-7.67-mRNA-1_1&gene=genemark-NW_001809800.1-processed-gene-7.67&CDS=1-1239	YMR044W
OG0002744	genemark-NW_001809800.1-processed-gene-7.69-mRNA-1_1&gene=genemark-NW_001809800.1-processed-gene-7.69&CDS=1-702	YMR043W
OG0002745	augustus_masked-NW_001809800.1-processed-gene-7.32-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-7.32&CDS=1-768	YLR059C
OG0002746	augustus_masked-NW_001809800.1-processed-gene-7.13-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-7.13&CDS=1-525	YLR050C
OG0002747	augustus_masked-NW_001809800.1-processed-gene-7.33-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-7.33&CDS=1-258	YGR037C
OG0002748	augustus_masked-NW_001809800.1-processed-gene-7.34-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-7.34&CDS=1-1617	YGL244W
OG0002749	augustus_masked-NW_001809800.1-processed-gene-7.17-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-7.17&CDS=1-2361	YOR168W
OG0002750	augustus_masked-NW_001809800.1-processed-gene-7.36-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-7.36&CDS=1-795	YGR024C
OG0002751	augustus_masked-NW_001809800.1-processed-gene-7.19-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-7.19&CDS=1-3498	YPR010C
OG0002752	maker-NW_001809800.1-augustus-gene-7.116-mRNA-1_1&gene=maker-NW_001809800.1-augustus-gene-7.116&CDS=1-3057	YFR048W
OG0002753	genemark-NW_001809800.1-processed-gene-7.81-mRNA-1_1&gene=genemark-NW_001809800.1-processed-gene-7.81&CDS=1-2127	YGL245W
OG0002754	augustus_masked-NW_001809800.1-processed-gene-7.22-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-7.22&CDS=1-342	YHR087W
OG0002755	augustus_masked-NW_001809800.1-processed-gene-7.23-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-7.23&CDS=1-1947	YDR333C
OG0002756	augustus_masked-NW_001809800.1-processed-gene-7.24-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-7.24&CDS=1-1842	YHR039C
OG0002757	augustus_masked-NW_001809800.1-processed-gene-7.41-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-7.41&CDS=1-234	YHR039C-A
OG0002758	genemark-NW_001809800.1-processed-gene-7.102-mRNA-1_1&gene=genemark-NW_001809800.1-processed-gene-7.102&CDS=1-4686	YDR334W
OG0002759	augustus_masked-NW_001809800.1-processed-gene-7.25-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-7.25&CDS=1-1350	YHR086W
OG0002760	augustus_masked-NW_001809800.1-processed-gene-7.26-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-7.26&CDS=1-864	YOR174W
OG0002761	augustus_masked-NW_001809800.1-processed-gene-7.46-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-7.46&CDS=1-1140	YOR176W
OG0002762	augustus_masked-NW_001809800.1-processed-gene-7.47-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-7.47&CDS=1-1806	YOR175C
OG0002763	augustus_masked-NW_001809800.1-processed-gene-7.48-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-7.48&CDS=1-3441	YLR272C
OG0002764	augustus_masked-NW_001809800.1-processed-gene-7.49-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-7.49&CDS=1-1365	YMR005W
OG0002765	augustus_masked-NW_001809800.1-processed-gene-7.28-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-7.28&CDS=1-1119	YOL010W
OG0002766	augustus_masked-NW_001809800.1-processed-gene-7.50-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-7.50&CDS=1-8502	YKL203C
OG0002767	augustus_masked-NW_001809800.1-processed-gene-7.51-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-7.51&CDS=1-1653	YJR064W
OG0002768	augustus_masked-NW_001809800.1-processed-gene-7.29-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-7.29&CDS=1-948	YJR070C
OG0002769	genemark-NW_001809800.1-processed-gene-8.136-mRNA-1_1&gene=genemark-NW_001809800.1-processed-gene-8.136&CDS=1-369	YJR063W
OG0002770	maker-NW_001809800.1-augustus-gene-8.129-mRNA-1_1&gene=maker-NW_001809800.1-augustus-gene-8.129&CDS=1-3015	YJL094C
OG0002771	snap_masked-NW_001809800.1-processed-gene-8.67-mRNA-1_1&gene=snap_masked-NW_001809800.1-processed-gene-8.67&CDS=1-750	YKL206C
OG0002772	augustus_masked-NW_001809800.1-processed-gene-8.15-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-8.15&CDS=1-528	YGL068W
OG0002773	augustus_masked-NW_001809800.1-processed-gene-8.40-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-8.40&CDS=1-753	YNL312W
OG0002774	augustus_masked-NW_001809800.1-processed-gene-8.41-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-8.41&CDS=1-1419	YNR023W
OG0002775	augustus_masked-NW_001809800.1-processed-gene-8.42-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-8.42&CDS=1-687	YOR319W
OG0002776	augustus_masked-NW_001809800.1-processed-gene-8.43-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-8.43&CDS=1-999	YHR040W
OG0002777	augustus_masked-NW_001809800.1-processed-gene-8.21-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-8.21&CDS=1-687	YNR022C
OG0002778	maker-NW_001809800.1-augustus-gene-8.131-mRNA-1_1&gene=maker-NW_001809800.1-augustus-gene-8.131&CDS=1-1755	YCR051W
OG0002779	augustus_masked-NW_001809800.1-processed-gene-8.24-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-8.24&CDS=1-1224	YCR047C
OG0002780	augustus_masked-NW_001809800.1-processed-gene-8.26-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-8.26&CDS=1-3150	YNL014W
OG0002781	augustus_masked-NW_001809800.1-processed-gene-8.45-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-8.45&CDS=1-894	YPR058W
OG0002782	augustus_masked-NW_001809800.1-processed-gene-8.46-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-8.46&CDS=1-3267	YMR038C
OG0002783	augustus_masked-NW_001809800.1-processed-gene-8.48-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-8.48&CDS=1-801	YPR060C
OG0002784	augustus_masked-NW_001809800.1-processed-gene-8.49-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-8.49&CDS=1-903	YPR061C
OG0002785	maker-NW_001809800.1-augustus-gene-8.132-mRNA-1_1&gene=maker-NW_001809800.1-augustus-gene-8.132&CDS=1-5112	YJL102W
OG0002786	augustus_masked-NW_001809800.1-processed-gene-8.53-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-8.53&CDS=1-903	YJR007W
OG0002787	maker-NW_001809800.1-augustus-gene-8.127-mRNA-1_1&gene=maker-NW_001809800.1-augustus-gene-8.127&CDS=1-1467	YPR054W
OG0002788	augustus_masked-NW_001809800.1-processed-gene-8.32-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-8.32&CDS=1-984	YJR008W
OG0002789	augustus_masked-NW_001809800.1-processed-gene-8.33-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-8.33&CDS=1-2046	YJR005W
OG0002790	augustus_masked-NW_001809800.1-processed-gene-8.54-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-8.54&CDS=1-3462	YDR291W
OG0002791	maker-NW_001809800.1-augustus-gene-8.128-mRNA-1_1&gene=maker-NW_001809800.1-augustus-gene-8.128&CDS=1-4116	YBR056W
OG0002792	augustus_masked-NW_001809800.1-processed-gene-8.55-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-8.55&CDS=1-1668	YDR062W
OG0002793	augustus_masked-NW_001809800.1-processed-gene-8.56-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-8.56&CDS=1-1620	YDR061W
OG0002794	augustus_masked-NW_001809800.1-processed-gene-8.35-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-8.35&CDS=1-948	YDR068W
OG0002795	genemark-NW_001809800.1-processed-gene-8.192-mRNA-1_1&gene=genemark-NW_001809800.1-processed-gene-8.192&CDS=1-1416	YHR045W
OG0002796	augustus_masked-NW_001809800.1-processed-gene-8.38-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-8.38&CDS=1-1287	YHR005C
OG0002797	augustus_masked-NW_001809800.1-processed-gene-8.58-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-8.58&CDS=1-1335	YBL045C
OG0002798	augustus_masked-NW_001809800.1-processed-gene-8.60-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-8.60&CDS=1-771	YJR113C
OG0002799	augustus_masked-NW_001809800.1-processed-gene-9.61-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-9.61&CDS=1-717	YBR256C
OG0002800	maker-NW_001809800.1-augustus-gene-9.108-mRNA-1_1&gene=maker-NW_001809800.1-augustus-gene-9.108&CDS=1-3885	YER013W
OG0002801	maker-NW_001809800.1-snap-gene-9.56-mRNA-1_1&gene=maker-NW_001809800.1-snap-gene-9.56&CDS=1-2793	YIR007W
OG0002802	augustus_masked-NW_001809800.1-processed-gene-9.64-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-9.64&CDS=1-1392	YIR008C
OG0002803	augustus_masked-NW_001809800.1-processed-gene-9.65-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-9.65&CDS=1-1248	YIR012W
OG0002804	maker-NW_001809800.1-augustus-gene-9.110-mRNA-1_1&gene=maker-NW_001809800.1-augustus-gene-9.110&CDS=1-1806	YER055C
OG0002805	augustus_masked-NW_001809800.1-processed-gene-9.67-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-9.67&CDS=1-1362	YDL147W
OG0002806	augustus_masked-NW_001809800.1-processed-gene-9.90-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-9.90&CDS=1-1350	YOL030W
OG0002807	genemark-NW_001809800.1-processed-gene-9.9-mRNA-1_1&gene=genemark-NW_001809800.1-processed-gene-9.9&CDS=1-1314	YPL259C
OG0002808	augustus_masked-NW_001809800.1-processed-gene-9.91-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-9.91&CDS=1-1755	YJR016C
OG0002809	augustus_masked-NW_001809800.1-processed-gene-9.70-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-9.70&CDS=1-780	YER016W
OG0002810	augustus_masked-NW_001809800.1-processed-gene-9.93-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-9.93&CDS=1-267	YER058W
OG0002811	augustus_masked-NW_001809800.1-processed-gene-9.72-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-9.72&CDS=1-1209	YIL050W
OG0002812	augustus_masked-NW_001809800.1-processed-gene-9.75-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-9.75&CDS=1-3798	YDL195W
OG0002813	genemark-NW_001809800.1-processed-gene-9.37-mRNA-1_1&gene=genemark-NW_001809800.1-processed-gene-9.37&CDS=1-3447	YPR026W
OG0002814	augustus_masked-NW_001809800.1-processed-gene-9.96-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-9.96&CDS=1-306	YGR215W
OG0002815	augustus_masked-NW_001809800.1-processed-gene-9.77-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-9.77&CDS=1-6672	YGR217W
OG0002816	augustus_masked-NW_001809800.1-processed-gene-9.97-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-9.97&CDS=1-1464	YGR211W
OG0002817	augustus_masked-NW_001809800.1-processed-gene-9.78-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-9.78&CDS=1-2013	YIL046W
OG0002818	genemark-NW_001809800.1-processed-gene-9.42-mRNA-1_1&gene=genemark-NW_001809800.1-processed-gene-9.42&CDS=1-1965	YOL141W
OG0002819	augustus_masked-NW_001809800.1-processed-gene-9.99-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-9.99&CDS=1-747	YOL142W
OG0002820	augustus_masked-NW_001809800.1-processed-gene-9.80-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-9.80&CDS=1-1827	YER080W
OG0002821	augustus_masked-NW_001809800.1-processed-gene-9.101-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-9.101&CDS=1-474	YBR254C
OG0002822	snap_masked-NW_001809800.1-processed-gene-9.163-mRNA-1_1&gene=snap_masked-NW_001809800.1-processed-gene-9.163&CDS=1-1932	YBR255W
OG0002823	augustus_masked-NW_001809800.1-processed-gene-9.84-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-9.84&CDS=1-1482	YOL027C
OG0002824	augustus_masked-NW_001809800.1-processed-gene-9.86-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-9.86&CDS=1-1320	YBR162C
OG0002825	augustus_masked-NW_001809800.1-processed-gene-10.68-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-10.68&CDS=1-1836	YDL185W
