	Metschnikowia_continentalis	Saccharomyces_cerevisiae
OG0002578	augustus_masked-con_s643-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-con_s643-processed-gene-0.0&CDS=1-1194	YML048W
OG0002579	augustus_masked-con_s643-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-con_s643-processed-gene-0.1&CDS=1-2301	YER091C
OG0002580	augustus_masked-con_s643-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-con_s643-processed-gene-0.2&CDS=1-1125	YBL058W
OG0002581	snap_masked-con_s644-processed-gene-0.2-mRNA-1_1&gene=snap_masked-con_s644-processed-gene-0.2&CDS=1-606	YER094C
OG0002582	augustus_masked-con_s646-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-con_s646-processed-gene-0.4&CDS=1-1593	YPL188W
OG0002583	snap_masked-con_s648-processed-gene-0.33-mRNA-1_1&gene=snap_masked-con_s648-processed-gene-0.33&CDS=1-864	YDR284C
OG0002584	maker-con_s648-augustus-gene-0.38-mRNA-1_1&gene=maker-con_s648-augustus-gene-0.38&CDS=1-1914	YMR004W
OG0002585	augustus_masked-con_s648-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-con_s648-processed-gene-0.20&CDS=1-429	YJR067C
OG0002586	augustus_masked-con_s648-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-con_s648-processed-gene-0.14&CDS=1-1044	YOR043W
OG0002587	augustus_masked-con_s648-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-con_s648-processed-gene-0.15&CDS=1-1032	YJR068W
OG0002588	augustus_masked-con_s648-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-con_s648-processed-gene-0.23&CDS=1-3339	YBR276C
OG0002589	augustus_masked-con_s648-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-con_s648-processed-gene-0.16&CDS=1-2178	YAL043C
OG0002590	augustus_masked-con_s652-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-con_s652-processed-gene-0.1&CDS=1-1308	YPL001W
OG0002591	augustus_masked-con_s652-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-con_s652-processed-gene-0.3&CDS=1-672	YDL046W
OG0002592	augustus_masked-con_s652-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-con_s652-processed-gene-0.6&CDS=1-2865	YGR125W
OG0002593	augustus_masked-con_s653-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-con_s653-processed-gene-0.14&CDS=1-756	YOR352W
OG0002594	augustus_masked-con_s653-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-con_s653-processed-gene-0.15&CDS=1-612	YJR073C
OG0002595	augustus_masked-con_s653-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-con_s653-processed-gene-0.16&CDS=1-1059	YMR214W
OG0002596	augustus_masked-con_s656-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-con_s656-processed-gene-0.0&CDS=1-513	YDR162C
OG0002597	snap_masked-con_s656-processed-gene-0.40-mRNA-1_1&gene=snap_masked-con_s656-processed-gene-0.40&CDS=1-1782	YLR141W
OG0002598	augustus_masked-con_s656-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-con_s656-processed-gene-0.12&CDS=1-4638	YDR135C
OG0002599	augustus_masked-con_s656-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-con_s656-processed-gene-0.14&CDS=1-1737	YDR349C
OG0002600	augustus_masked-con_s656-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-con_s656-processed-gene-0.5&CDS=1-3483	YIL147C
OG0002601	snap_masked-con_s656-processed-gene-0.48-mRNA-1_1&gene=snap_masked-con_s656-processed-gene-0.48&CDS=1-2538	YHR028C
OG0002602	augustus_masked-con_s656-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-con_s656-processed-gene-0.7&CDS=1-504	YKL056C
OG0002603	snap_masked-con_s656-processed-gene-0.57-mRNA-1_1&gene=snap_masked-con_s656-processed-gene-0.57&CDS=1-1470	YOL125W
OG0002604	augustus_masked-con_s656-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-con_s656-processed-gene-0.16&CDS=1-1482	YDR221W
OG0002605	augustus_masked-con_s656-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-con_s656-processed-gene-0.17&CDS=1-732	YKL055C
OG0002606	augustus_masked-con_s656-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-con_s656-processed-gene-0.18&CDS=1-498	YIR022W
OG0002607	augustus_masked-con_s66-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-con_s66-processed-gene-0.15&CDS=1-3843	YPL110C
OG0002608	maker-con_s66-augustus-gene-0.14-mRNA-1_1&gene=maker-con_s66-augustus-gene-0.14&CDS=1-2448	YJR101W
OG0002609	augustus_masked-con_s66-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-con_s66-processed-gene-0.18&CDS=1-927	YJR088C
OG0002610	augustus_masked-con_s66-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-con_s66-processed-gene-0.22&CDS=1-1725	YBL039C
OG0002611	augustus_masked-con_s66-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-con_s66-processed-gene-0.23&CDS=1-621	YJR102C
OG0002612	augustus_masked-con_s661-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-con_s661-processed-gene-0.52&CDS=1-3234	YLR187W
OG0002613	augustus_masked-con_s661-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-con_s661-processed-gene-0.54&CDS=1-627	YLR390W-A
OG0002614	augustus_masked-con_s661-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-con_s661-processed-gene-0.48&CDS=1-1110	YDR202C
OG0002615	augustus_masked-con_s661-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-con_s661-processed-gene-0.49&CDS=1-3138	YLR389C
OG0002616	augustus_masked-con_s661-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-con_s661-processed-gene-0.50&CDS=1-1860	YGL095C
OG0002617	augustus_masked-con_s661-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-con_s661-processed-gene-0.57&CDS=1-1104	YPL181W
OG0002618	genemark-con_s661-processed-gene-0.30-mRNA-1_1&gene=genemark-con_s661-processed-gene-0.30&CDS=1-1665	YML086C
OG0002619	augustus_masked-con_s661-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-con_s661-processed-gene-0.59&CDS=1-4305	YPL226W
OG0002620	snap_masked-con_s661-processed-gene-0.20-mRNA-1_1&gene=snap_masked-con_s661-processed-gene-0.20&CDS=1-933	YMR029C
OG0002621	augustus_masked-con_s662-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-con_s662-processed-gene-0.58&CDS=1-1527	YKL045W
OG0002622	augustus_masked-con_s662-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-con_s662-processed-gene-0.89&CDS=1-777	YJR060W
OG0002623	augustus_masked-con_s662-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-con_s662-processed-gene-0.60&CDS=1-1686	YLR044C
OG0002624	augustus_masked-con_s662-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-con_s662-processed-gene-0.61&CDS=1-2130	YMR301C
OG0002625	augustus_masked-con_s662-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-con_s662-processed-gene-0.90&CDS=1-2787	YIL137C
OG0002626	snap_masked-con_s662-processed-gene-0.9-mRNA-1_1&gene=snap_masked-con_s662-processed-gene-0.9&CDS=1-1590	YPL204W
OG0002627	snap_masked-con_s662-processed-gene-0.39-mRNA-1_1&gene=snap_masked-con_s662-processed-gene-0.39&CDS=1-1437	YPL212C
OG0002628	augustus_masked-con_s662-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-con_s662-processed-gene-0.64&CDS=1-543	YPL211W
OG0002629	augustus_masked-con_s662-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-con_s662-processed-gene-0.92&CDS=1-1437	YGL129C
OG0002630	augustus_masked-con_s662-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-con_s662-processed-gene-0.65&CDS=1-1716	YGL064C
OG0002631	augustus_masked-con_s662-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-con_s662-processed-gene-0.66&CDS=1-1290	YGL067W
OG0002632	augustus_masked-con_s662-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-con_s662-processed-gene-0.67&CDS=1-1098	YPL206C
OG0002633	augustus_masked-con_s662-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-con_s662-processed-gene-0.68&CDS=1-981	YAL032C
OG0002634	augustus_masked-con_s662-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-con_s662-processed-gene-0.70&CDS=1-969	YPL215W
OG0002635	snap_masked-con_s662-processed-gene-0.45-mRNA-1_1&gene=snap_masked-con_s662-processed-gene-0.45&CDS=1-1164	YDR019C
OG0002636	genemark-con_s662-processed-gene-0.124-mRNA-1_1&gene=genemark-con_s662-processed-gene-0.124&CDS=1-8553	YBL088C
OG0002637	augustus_masked-con_s662-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-con_s662-processed-gene-0.73&CDS=1-1797	YPL184C
OG0002638	augustus_masked-con_s662-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-con_s662-processed-gene-0.76&CDS=1-561	YER116C
OG0002639	augustus_masked-con_s662-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-con_s662-processed-gene-0.77&CDS=1-756	YNL305C
OG0002640	maker-con_s662-augustus-gene-0.2-mRNA-1_1&gene=maker-con_s662-augustus-gene-0.2&CDS=1-1323	YDL007W
OG0002641	augustus_masked-con_s662-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-con_s662-processed-gene-0.78&CDS=1-2106	YDR496C
OG0002642	augustus_masked-con_s662-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-con_s662-processed-gene-0.79&CDS=1-4275	YGL156W
OG0002643	augustus_masked-con_s662-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-con_s662-processed-gene-0.80&CDS=1-2187	YDR211W
OG0002644	maker-con_s662-augustus-gene-0.1-mRNA-1_1&gene=maker-con_s662-augustus-gene-0.1&CDS=1-2745	YDL128W
OG0002645	augustus_masked-con_s662-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-con_s662-processed-gene-0.103&CDS=1-1662	YDR212W
OG0002646	augustus_masked-con_s662-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-con_s662-processed-gene-0.84&CDS=1-1305	YER061C
OG0002647	augustus_masked-con_s662-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-con_s662-processed-gene-0.85&CDS=1-2697	YDL149W
OG0002648	augustus_masked-con_s662-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-con_s662-processed-gene-0.86&CDS=1-2397	YDL148C
OG0002649	augustus_masked-con_s665-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-con_s665-processed-gene-0.8&CDS=1-1971	YDL122W
OG0002650	augustus_masked-con_s668-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-con_s668-processed-gene-0.7&CDS=1-450	YPR062W
OG0002651	augustus_masked-con_s669-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-con_s669-processed-gene-0.3&CDS=1-984	YBR141C
OG0002652	augustus_masked-con_s669-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-con_s669-processed-gene-0.2&CDS=1-2727	YBR142W
OG0002653	snap_masked-con_s671-processed-gene-0.9-mRNA-1_1&gene=snap_masked-con_s671-processed-gene-0.9&CDS=1-4290	YHR186C
OG0002654	augustus_masked-con_s671-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-con_s671-processed-gene-0.2&CDS=1-1278	YGR257C
OG0002655	augustus_masked-con_s674-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-con_s674-processed-gene-0.53&CDS=1-2808	YPR097W
OG0002656	augustus_masked-con_s674-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-con_s674-processed-gene-0.55&CDS=1-1842	YLR023C
OG0002657	augustus_masked-con_s674-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-con_s674-processed-gene-0.56&CDS=1-1677	YDR536W
OG0002658	augustus_masked-con_s674-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-con_s674-processed-gene-0.58&CDS=1-1251	YGR111W
OG0002659	augustus_masked-con_s674-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-con_s674-processed-gene-0.59&CDS=1-390	YNL153C
OG0002660	augustus_masked-con_s674-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-con_s674-processed-gene-0.65&CDS=1-1386	YGL130W
OG0002661	augustus_masked-con_s674-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-con_s674-processed-gene-0.66&CDS=1-4668	YGL131C
OG0002662	augustus_masked-con_s674-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-con_s674-processed-gene-0.67&CDS=1-690	YPL213W
OG0002663	augustus_masked-con_s674-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-con_s674-processed-gene-0.69&CDS=1-1521	YNL142W
OG0002664	augustus_masked-con_s674-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-con_s674-processed-gene-0.60&CDS=1-2577	YCR030C
OG0002665	snap_masked-con_s674-processed-gene-0.20-mRNA-1_1&gene=snap_masked-con_s674-processed-gene-0.20&CDS=1-1689	YLL035W
OG0002666	augustus_masked-con_s674-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-con_s674-processed-gene-0.61&CDS=1-1461	YDR402C
OG0002667	augustus_masked-con_s674-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-con_s674-processed-gene-0.62&CDS=1-1431	YBR180W
OG0002668	augustus_masked-con_s674-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-con_s674-processed-gene-0.73&CDS=1-1656	YIL166C
OG0002669	augustus_masked-con_s677-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-con_s677-processed-gene-0.0&CDS=1-483	YMR039C
OG0002670	augustus_masked-con_s682-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-con_s682-processed-gene-0.8&CDS=1-2325	YPL153C
OG0002671	augustus_masked-con_s687-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-con_s687-processed-gene-0.16&CDS=1-2832	YMR205C
OG0002672	augustus_masked-con_s687-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-con_s687-processed-gene-0.13&CDS=1-1155	YMR203W
OG0002673	augustus_masked-con_s687-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-con_s687-processed-gene-0.18&CDS=1-816	YPL246C
OG0002674	augustus_masked-con_s688-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-con_s688-processed-gene-0.38&CDS=1-2631	YJR010W
OG0002675	augustus_masked-con_s688-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-con_s688-processed-gene-0.33&CDS=1-1473	YHR183W
OG0002676	augustus_masked-con_s688-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-con_s688-processed-gene-0.39&CDS=1-1566	YMR015C
OG0002677	augustus_masked-con_s688-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-con_s688-processed-gene-0.34&CDS=1-2094	YLR002C
OG0002678	augustus_masked-con_s688-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-con_s688-processed-gene-0.35&CDS=1-522	YHR193C
OG0002679	augustus_masked-con_s688-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-con_s688-processed-gene-0.37&CDS=1-456	YHR191C
OG0002680	augustus_masked-con_s688-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-con_s688-processed-gene-0.43&CDS=1-1914	YDL057W
OG0002681	augustus_masked-con_s689-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-con_s689-processed-gene-0.0&CDS=1-3132	YOL148C
OG0002682	augustus_masked-con_s689-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-con_s689-processed-gene-0.7&CDS=1-993	YBR037C
OG0002683	augustus_masked-con_s690-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-con_s690-processed-gene-0.3&CDS=1-5511	YBR208C
OG0002684	augustus_masked-con_s691-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-con_s691-processed-gene-0.2&CDS=1-435	YPL225W
OG0002685	genemark-con_s692-processed-gene-0.7-mRNA-1_1&gene=genemark-con_s692-processed-gene-0.7&CDS=1-1275	YNL051W
OG0002686	genemark-con_s696-processed-gene-0.7-mRNA-1_1&gene=genemark-con_s696-processed-gene-0.7&CDS=1-1170	YDR435C
OG0002687	augustus_masked-con_s697-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-con_s697-processed-gene-0.5&CDS=1-267	YDR510W
OG0002688	snap_masked-con_s697-processed-gene-0.19-mRNA-1_1&gene=snap_masked-con_s697-processed-gene-0.19&CDS=1-2010	YNL279W
OG0002689	augustus_masked-con_s697-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-con_s697-processed-gene-0.6&CDS=1-2202	YNL218W
OG0002690	augustus_masked-con_s697-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-con_s697-processed-gene-0.2&CDS=1-1083	YML060W
OG0002691	augustus_masked-con_s698-processed-gene-0.186-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.186&CDS=1-798	YAL039C
OG0002692	augustus_masked-con_s698-processed-gene-0.187-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.187&CDS=1-903	YHL013C
OG0002693	augustus_masked-con_s698-processed-gene-0.157-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.157&CDS=1-1572	YOR355W
OG0002694	augustus_masked-con_s698-processed-gene-0.188-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.188&CDS=1-2070	YOR356W
OG0002695	augustus_masked-con_s698-processed-gene-0.189-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.189&CDS=1-2364	YAL041W
OG0002696	augustus_masked-con_s698-processed-gene-0.158-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.158&CDS=1-1242	YAL042W
OG0002697	augustus_masked-con_s698-processed-gene-0.191-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.191&CDS=1-822	YNL252C
OG0002698	augustus_masked-con_s698-processed-gene-0.192-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.192&CDS=1-2049	YPR024W
OG0002699	augustus_masked-con_s698-processed-gene-0.193-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.193&CDS=1-2139	YBL097W
OG0002700	augustus_masked-con_s698-processed-gene-0.194-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.194&CDS=1-984	YIL019W
OG0002701	augustus_masked-con_s698-processed-gene-0.160-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.160&CDS=1-831	YIL020C
OG0002702	augustus_masked-con_s698-processed-gene-0.195-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.195&CDS=1-924	YIL021W
OG0002703	augustus_masked-con_s698-processed-gene-0.196-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.196&CDS=1-2766	YGR100W
OG0002704	augustus_masked-con_s698-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.163&CDS=1-1215	YDR394W
OG0002705	augustus_masked-con_s698-processed-gene-0.198-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.198&CDS=1-3453	YOR149C
OG0002706	augustus_masked-con_s698-processed-gene-0.164-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.164&CDS=1-663	YIL118W
OG0002707	augustus_masked-con_s698-processed-gene-0.199-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.199&CDS=1-2340	YIR027C
OG0002708	augustus_masked-con_s698-processed-gene-0.200-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.200&CDS=1-1185	YBR026C
OG0002709	augustus_masked-con_s698-processed-gene-0.203-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.203&CDS=1-1371	YER122C
OG0002710	augustus_masked-con_s698-processed-gene-0.204-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.204&CDS=1-1278	YIL022W
OG0002711	augustus_masked-con_s698-processed-gene-0.205-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.205&CDS=1-1380	YBL098W
OG0002712	augustus_masked-con_s698-processed-gene-0.207-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.207&CDS=1-3339	YIL031W
OG0002713	snap_masked-con_s698-processed-gene-0.15-mRNA-1_1&gene=snap_masked-con_s698-processed-gene-0.15&CDS=1-672	YBL095W
OG0002714	augustus_masked-con_s698-processed-gene-0.167-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.167&CDS=1-900	YOR074C
OG0002715	augustus_masked-con_s698-processed-gene-0.168-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.168&CDS=1-318	YKR083C
OG0002716	maker-con_s698-augustus-gene-0.223-mRNA-1_1&gene=maker-con_s698-augustus-gene-0.223&CDS=1-4380	YKR081C
OG0002717	augustus_masked-con_s698-processed-gene-0.211-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.211&CDS=1-1800	YDL017W
OG0002718	maker-con_s698-augustus-gene-0.219-mRNA-1_1&gene=maker-con_s698-augustus-gene-0.219&CDS=1-948	YGR165W
OG0002719	augustus_masked-con_s698-processed-gene-0.171-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.171&CDS=1-636	YDL018C
OG0002720	augustus_masked-con_s698-processed-gene-0.212-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.212&CDS=1-1740	YPR110C
OG0002721	augustus_masked-con_s698-processed-gene-0.213-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.213&CDS=1-3510	YGR090W
OG0002722	augustus_masked-con_s698-processed-gene-0.172-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.172&CDS=1-2196	YHR072W
OG0002723	augustus_masked-con_s698-processed-gene-0.214-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.214&CDS=1-846	YOR060C
OG0002724	maker-con_s698-augustus-gene-0.221-mRNA-1_1&gene=maker-con_s698-augustus-gene-0.221&CDS=1-2289	YKR074W
OG0002725	augustus_masked-con_s698-processed-gene-0.177-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.177&CDS=1-1212	YOL031C
OG0002726	augustus_masked-con_s698-processed-gene-0.178-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.178&CDS=1-1470	YOL049W
OG0002727	augustus_masked-con_s698-processed-gene-0.180-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.180&CDS=1-1668	YLL018C
OG0002728	augustus_masked-con_s698-processed-gene-0.217-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.217&CDS=1-1578	YIL142W
OG0002729	augustus_masked-con_s698-processed-gene-0.181-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.181&CDS=1-1395	YGL122C
OG0002730	augustus_masked-con_s698-processed-gene-0.218-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.218&CDS=1-753	YGL123W
OG0002731	augustus_masked-con_s698-processed-gene-0.184-mRNA-1_1&gene=augustus_masked-con_s698-processed-gene-0.184&CDS=1-1044	YNL234W
OG0002732	snap_masked-con_s699-processed-gene-0.10-mRNA-1_1&gene=snap_masked-con_s699-processed-gene-0.10&CDS=1-291	YDR469W
OG0002733	augustus_masked-con_s699-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-con_s699-processed-gene-0.17&CDS=1-819	YDR468C
OG0002734	augustus_masked-con_s699-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-con_s699-processed-gene-0.19&CDS=1-957	YDR392W
OG0002735	augustus_masked-con_s699-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-con_s699-processed-gene-0.25&CDS=1-3369	YOR144C
OG0002736	augustus_masked-con_s699-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-con_s699-processed-gene-0.21&CDS=1-795	YOR145C
OG0002737	augustus_masked-con_s699-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-con_s699-processed-gene-0.27&CDS=1-678	YHR013C
OG0002738	augustus_masked-con_s699-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-con_s699-processed-gene-0.28&CDS=1-741	YDR472W
OG0002739	augustus_masked-con_s699-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-con_s699-processed-gene-0.23&CDS=1-1386	YOR023C
OG0002740	augustus_masked-con_s7-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-con_s7-processed-gene-0.13&CDS=1-1452	YGL055W
OG0002741	maker-con_s7-augustus-gene-0.33-mRNA-1_1&gene=maker-con_s7-augustus-gene-0.33&CDS=1-624	YOR357C
OG0002742	augustus_masked-con_s705-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-con_s705-processed-gene-0.4&CDS=1-660	YLR251W
OG0002743	augustus_masked-con_s705-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-con_s705-processed-gene-0.3&CDS=1-972	YGR080W
OG0002744	augustus_masked-con_s707-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-con_s707-processed-gene-0.3&CDS=1-1272	YLR191W
OG0002745	augustus_masked-con_s708-processed-gene-0.167-mRNA-1_1&gene=augustus_masked-con_s708-processed-gene-0.167&CDS=1-795	YIL093C
OG0002746	augustus_masked-con_s708-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-con_s708-processed-gene-0.142&CDS=1-504	YDL120W
OG0002747	genemark-con_s708-processed-gene-0.74-mRNA-1_1&gene=genemark-con_s708-processed-gene-0.74&CDS=1-1965	YLR337C
OG0002748	augustus_masked-con_s708-processed-gene-0.170-mRNA-1_1&gene=augustus_masked-con_s708-processed-gene-0.170&CDS=1-1032	YBR246W
OG0002749	augustus_masked-con_s708-processed-gene-0.171-mRNA-1_1&gene=augustus_masked-con_s708-processed-gene-0.171&CDS=1-3183	YDL215C
OG0002750	augustus_masked-con_s708-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-con_s708-processed-gene-0.144&CDS=1-1323	YOL062C
OG0002751	augustus_masked-con_s708-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-con_s708-processed-gene-0.145&CDS=1-1170	YOL061W
OG0002752	augustus_masked-con_s708-processed-gene-0.173-mRNA-1_1&gene=augustus_masked-con_s708-processed-gene-0.173&CDS=1-3711	YMR218C
OG0002753	augustus_masked-con_s708-processed-gene-0.147-mRNA-1_1&gene=augustus_masked-con_s708-processed-gene-0.147&CDS=1-255	YKL053C-A
OG0002754	augustus_masked-con_s708-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-con_s708-processed-gene-0.148&CDS=1-984	YJR107W
OG0002755	augustus_masked-con_s708-processed-gene-0.176-mRNA-1_1&gene=augustus_masked-con_s708-processed-gene-0.176&CDS=1-1470	YDR376W
OG0002756	augustus_masked-con_s708-processed-gene-0.177-mRNA-1_1&gene=augustus_masked-con_s708-processed-gene-0.177&CDS=1-2838	YLR386W
OG0002757	maker-con_s708-augustus-gene-0.70-mRNA-1_1&gene=maker-con_s708-augustus-gene-0.70&CDS=1-3576	YDL060W
OG0002758	genemark-con_s708-processed-gene-0.83-mRNA-1_1&gene=genemark-con_s708-processed-gene-0.83&CDS=1-270	YLR390W
OG0002759	augustus_masked-con_s708-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-con_s708-processed-gene-0.151&CDS=1-1917	YDL063C
OG0002760	augustus_masked-con_s708-processed-gene-0.179-mRNA-1_1&gene=augustus_masked-con_s708-processed-gene-0.179&CDS=1-2331	YJL156C
